,https://roic.ai/company/ELDN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404281/000119312519129270/0001193125-19-129270-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459020011260/0001564590-20-011260-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459021016828/0001564590-21-016828-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459022011698/0001564590-22-011698-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,11691000,31753000,105256000,24023000,23223000,17233000,12972000,8791000,114195000,84833000
32,Short-Term Investments,- -,- -,- -,39934000,4175000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11691000,31753000,105256000,63957000,27398000,17233000,12972000,8791000,114195000,84833000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,245000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,235000,425000,2255000,3213000,2145000,1767000,1304000,935000,1435000,3513000
37,Total Current Assets,11926000,32178000,107511000,67170000,29543000,19000000,14276000,9971000,115630000,88346000
38,PP&E,16000,29000,33000,489000,98000,25000,14000,321000,138000,768000
39,Goodwill,- -,- -,- -,- -,- -,1867000,1867000,- -,48648000,48648000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,1867000,1867000,- -,48648000,48648000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20000,80000,200000,315000,120000,- -,869000,639000,-138000,32786000
45,Total Non-Current Assets,36000,109000,233000,804000,218000,1892000,2750000,960000,48648000,82202000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11962000,32287000,107744000,67974000,29761000,20892000,17026000,10931000,164278000,170548000
48,Accounts Payable,764000,5000,765000,1208000,430000,418000,689000,329000,1366000,1813000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,180000,144000,369000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1254000,2204000,3478000,4954000,2389000,1022000,1845000,813000,973000,2219000
53,Total Current Liabilities,2018000,2209000,4243000,6162000,2819000,1440000,2534000,1322000,2483000,4401000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4106000,1752000
57,Other Non-Current Liabilities,49845000,85345000,- -,88000,84000,- -,- -,144000,- -,- -
58,Total Non-Current Liabilities,49845000,85345000,- -,88000,84000,- -,- -,144000,4106000,2152000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,324000,144000,- -
61,Total Liabilities,51863000,87554000,4243000,6250000,2903000,1440000,2534000,1466000,6589000,6553000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,22000,23000,23000,7000,9000,13000,15000,14000
64,Retained Earnings,-47330000,-63055000,-86351000,-131438000,-169397000,-27506000,-41571000,-57582000,- -,-114899000
65,Other Comprehensive Income/Loss,-51000,-43000,-58000,-55000,-1000,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,7480000,7831000,189888000,193194000,196233000,46951000,56054000,67034000,190581000,278880000
67,Total Stockholders Equity,-39901000,-55267000,103501000,61724000,26858000,19452000,14492000,9465000,190596000,163995000
68,Total Liabilities And Stockholders Equity,11962000,32287000,107744000,67974000,29761000,20892000,17026000,10931000,197185000,170548000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-32907000,- -
70,Total Liabilities & Equity,11962000,32287000,107744000,67974000,29761000,20892000,17026000,10931000,164278000,170548000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404281/000119312519129270/0001193125-19-129270-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459020011260/0001564590-20-011260-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459021016828/0001564590-21-016828-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459022011698/0001564590-22-011698-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-9649000,-15725000,-23296000,-45087000,-37959000,-13116000,-14065000,-16011000,-24718000,-25122000
74,Depreciation and Amortization,9000,10000,21000,109000,171000,22000,11000,182000,5000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-404000,-2354000
76,Stock Based Compensation,210000,238000,2108000,2901000,3002000,579000,1543000,1308000,3171000,7904000
77,Change in Working Capital,97000,20061000,73299000,-42260000,-34284000,-9164000,-5818000,-3093000,104498000,-29202000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-119000,-759000,760000,443000,-778000,- -,- -,- -,- -,2143000
81,Other Working Capital,9908000,29969000,103268000,61008000,26724000,17560000,11742000,8649000,113147000,83945000
82,Other Non-Cash Items,- -,-20060000,-73253000,43101000,32550000,6738000,6436000,3757000,-97764000,19861000
83,Cash Provided by Operating Activities,-9333000,-15476000,-21121000,-41236000,-36520000,-14941000,-11893000,-13857000,-15212000,-28913000
84,CAPEX,-8000,-23000,-25000,-565000,-17000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,23250000,- -,- -,11035000,- -
86,Purchases of Investments,- -,- -,- -,-39875000,-500000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,36200000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-30000,-150000,-70000,- -,8000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-8000,-53000,-175000,-40510000,35683000,23258000,- -,- -,11035000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,97929000,- -,- -,4750000,7491000,9676000,9000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18779000,35591000,-3130000,513000,37000,3119000,71000,- -,100581000,-449000
95,Cash Used/Provided by Financing Activities,18779000,35591000,94799000,513000,37000,7869000,7562000,9676000,109581000,-449000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9438000,20062000,73503000,-81233000,-800000,16186000,-4331000,-4181000,105404000,-29362000
98,Cash at the End of Period,11691000,31753000,105256000,24023000,23223000,17303000,12972000,8791000,114195000,84833000
99,Cash at the Beginning of Period,2253000,11691000,31753000,105256000,24023000,1117000,17303000,12972000,8791000,114195000
100,Free Cash Flow,-9341000,-15499000,-21146000,-41801000,-36537000,-14941000,-11893000,-13857000,-15212000,-28913000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1404281/000119312519129270/0001193125-19-129270-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459020011260/0001564590-20-011260-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459021016828/0001564590-21-016828-index.htm,https://www.sec.gov/Archives/edgar/data/1404281/000156459022011698/0001564590-22-011698-index.htm
102,false,,,,,,,,,,
