,https://roic.ai/company/PHAS,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,10950000,- -,- -,- -,- -,- -
88,Other Investing Activites,-8000,- -,- -,- -,-100000,- -
89,Cash Used for Investing Activites,9249000,-216000,-119000,-960000,-1412000,-2679000
90,Debt Repayment,- -,- -,- -,-938000,-2727000,-5455000
91,Common Stock Issued,- -,- -,42974000,46277000,2942000,60354000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1000,18166000,21823000,8189000,15251000,8874000
95,Cash Used/Provided by Financing Activities,1000,18166000,64797000,53528000,15466000,63773000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-438000,9691000,47625000,12974000,-45903000,13678000
98,Cash at the End of Period,3715000,13406000,61051000,74025000,28122000,41800000
99,Cash at the Beginning of Period,4153000,3715000,13426000,61051000,74025000,28122000
100,Free Cash Flow,-9782000,-8475000,-17172000,-40554000,-61369000,-50095000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1169245/000156459019009364/0001564590-19-009364-index.htm,https://www.sec.gov/Archives/edgar/data/1169245/000116924520000043/0001169245-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1169245/000116924521000024/0001169245-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1169245/000116924522000028/0001169245-22-000028-index.htm
102,false,,,,,,
