,https://roic.ai/company/NDVN,2015,2016,2017,2018,2019,2020
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,439308,- -
58,Total Non-Current Liabilities,- -,- -,- -,114233,453974,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,428854,693292,947793
61,Total Liabilities,- -,9887,15632,1473279,3359938,1646833
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,13700,14400,40504,41250,42500
64,Retained Earnings,-1437,-30568,-74264,-4633932,-5614157,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1147188,- -
66,Other Total Stockholders Equity,- -,33300,46600,5184493,7184955,47092
67,Total Stockholders Equity,8563,16432,-13264,591065,464860,89592
68,Total Liabilities And Stockholders Equity,- -,26319,2368,2064344,3824798,1736425
69,Minority Interest,8563,- -,- -,- -,- -,1178084
70,Total Liabilities & Equity,8563,26319,2368,2064344,3824798,2914509
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1659183/000164033417002689/0001640334-17-002689-index.html,- -,https://www.sec.gov/Archives/edgar/data/1659183/000147793220001509/0001477932-20-001509-index.htm,https://www.sec.gov/Archives/edgar/data/1659183/000147793221001792/0001477932-21-001792-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-29131,-43696,-2393621,-980225,-1498926
74,Depreciation and Amortization,- -,- -,- -,568055,511142,432
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,403325,566019,787
77,Change in Working Capital,- -,12625,-29696,-434513,160941,790263
78,Accounts Receivable,- -,-825,-1050,-1919,-93064,-7
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,9887,-4255,-433376,- -,-90
81,Other Working Capital,- -,16432,-13264,- -,-492016,298247
82,Other Non-Cash Items,- -,- -,25216,5000,1795039,705997
83,Cash Provided by Operating Activities,- -,-16506,-48176,-1851754,2052916,-1446
84,CAPEX,- -,- -,- -,-826364,-56994,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-800000,-56563,-65
89,Cash Used for Investing Activites,- -,- -,- -,-826364,-113557,-65
90,Debt Repayment,- -,- -,- -,-679869,-624606,-54
91,Common Stock Issued,- -,37000,14000,3215738,288001,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,10000,169257,- -,1614
95,Cash Used/Provided by Financing Activities,- -,37000,24000,2705126,-336605,1560
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,20494,-24176,27008,1602754,49
98,Cash at the End of Period,- -,25494,1318,154941,1757695,1807
99,Cash at the Beginning of Period,- -,5000,25494,127933,154941,1758
100,Free Cash Flow,- -,-16506,-48176,-2678118,1995922,-1446
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1659183/000164033417002689/0001640334-17-002689-index.html,- -,https://www.sec.gov/Archives/edgar/data/1659183/000147793220001509/0001477932-20-001509-index.htm,https://www.sec.gov/Archives/edgar/data/1659183/000147793221001792/0001477932-21-001792-index.htm
102,false,,,,,,
