,https://roic.ai/company/AMEH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,347,- -,352,124,9,12,- -,- -,366901,1179751,1197483,1249224,2872122,8426180,9853079,13558497,144159562,172862792,329068418,338577000,398782000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,47330,11627,21593,43261,68141,94948,582470,1247973,13814306,12721082,26377628,48464000,68627000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,33200,494700,2168833,1622483,189847202,185805880,238505204,239053000,253039000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,- -,59627,1377257,2353212,103533558,86875883,103011849,86985000,82807000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,33200,554327,3546090,3975695,293380760,272681763,341517053,326038000,335846000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21903524,35281980,29323455,80367000,42611000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1,114063,39063,1563,249621,407922,1013424,784368,17377641,19451432,2426793,24040000,6497000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,47331,125690,60656,114824,350962,1057197,5141984,6008036,346476231,340136257,399644929,478909000,453581000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,347,- -,352,124,9,12,- -,- -,414232,1305441,1258139,1364048,3223084,9483377,14995063,19566533,490635793,512999049,728713347,817486000,852363000
48,Accounts Payable,147,- -,27212,34052,4568,12000,29070,- -,30599,32460,35815,109704,394915,824334,1377817,2036615,27303818,6020142,8941761,19196000,54485000
49,Short-Term Debt,- -,- -,- -,- -,39260,55223,67323,- -,74782,- -,- -,596366,594765,444764,1364959,188764,5634129,141998,12592427,14168000,3895000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4219,1087,4149,185051,110653,3198495,11621861,4528867,4224000,652000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,9024235,8891966,12988000,- -
52,Other Current Liabilities,15712,- -,4318,7339,10787,14879,21348,- -,318542,71792,56930,809198,715070,1175267,3234936,5206401,76414052,56833272,74997761,68640000,56991000
53,Total Current Liabilities,15859,- -,31530,41391,54615,82102,117741,- -,423923,104252,92745,1515268,1704750,2444365,5977712,7431780,109601999,72019647,105423915,114992000,115371000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,231218,1247582,1248588,150000,1909714,6307543,7691824,- -,619001,13000000,232172134,230211000,197088000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4954,171215,43479,24916598,19615935,18269448,10959000,9127000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,- -,2349670,2144496,3539988,19185025,1702286,11788116,16176000,70287000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,231218,1247582,1248588,270000,1909714,8662167,10007535,3583467,44720624,34318221,262229698,257346000,276502000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,717739,619002,14880543,19455000,17286000
61,Total Liabilities,347,- -,31530,41391,54615,82102,117741,- -,655141,1351834,1341333,1785268,3614464,11106532,15985247,11015247,154322623,106337868,367653613,372338000,391873000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10962523,- -,- -,- -,- -,- -
63,Common Stock,23810,- -,23810,23810,23810,23810,10197,- -,25870,27041,27636,29336,34844,49135,4863,5876,32305,34578,35908,42000,45000
64,Retained Earnings,- -,- -,-638681,-648770,-662109,-689593,-726244,- -,-1044951,-1241031,-1397363,-2117708,-11022272,-16347588,-19340521,-28684565,1734531,17788203,31904748,69771000,143629000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-155840,-191543,-202741,-215311,-236229,- -,- -,-697959,- -,-14000966,-16023176,- -,- -
66,Other Total Stockholders Equity,- -,- -,583693,583693,583693,583693,598306,- -,705897,1131026,1261159,1644362,10868781,15083365,16517985,24222476,158181192,176724017,175631469,261011000,310876000
67,Total Stockholders Equity,-15512,- -,-31178,-41267,-54606,-82090,-117741,- -,-469024,-274507,-311309,-659321,-354876,-1215088,-2817673,5808351,159948028,180545832,191548949,330824000,454550000
68,Total Liabilities And Stockholders Equity,-15165,- -,352,124,9,12,- -,- -,186117,1077327,1030024,1125947,3259588,9891444,13167574,16823598,314270651,286883700,559202562,703162000,846423000
69,Minority Interest,15512,- -,- -,- -,- -,- -,- -,- -,228115,228114,228115,238101,-36504,-408067,1827489,2742935,176365142,226115349,169510785,114324000,5940000
70,Total Liabilities & Equity,347,- -,352,124,9,12,- -,- -,414232,1305441,1258139,1364048,3223084,9483377,14995063,19566533,490635793,512999049,728713347,817486000,852363000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1083446/000107878202000063/0001078782-02-000063-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1083446/000116462104000024/0001164621-04-000024-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083446/000101629508000056/0001016295-08-000056-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1083446/000114420409028013/0001144204-09-028013-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420410027620/0001144204-10-027620-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420411029382/0001144204-11-029382-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420412029578/0001144204-12-029578-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420413025748/0001144204-13-025748-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1083446/000114420416110594/0001144204-16-110594-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1083446/000114420419014671/0001144204-19-014671-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828020003626/0001628280-20-003626-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828021004679/0001628280-21-004679-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828022004291/0001628280-22-004291-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4959,- -,-7804,-10089,-13339,-27484,-36651,- -,-891815,-196080,-156331,-720346,-8904564,-4558874,-1802601,-9344044,25801842,10835002,14116545,37866000,73858000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,19780,35703,11198,12589,20918,31361,334434,351396,19075353,19303179,18753270,18350000,17517000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51922,-127736,-20675807,-8345235,-6800919,-6620000,-5952000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706020,2157857,1258848,1103976,2743116,1441089,1546861,3383000,6745000
77,Change in Working Capital,- -,- -,-10089,-13339,-27484,-35651,60719,- -,1132521,29239,-1370782,1433416,-2585406,7399849,-2106448,2251350,34178417,66285582,122801358,-59503,59826000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,25183,-316208,-290363,-407224,-548899,72916,-912205,-27195,10702753,-28626299,9278497,3011000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,4566,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,764208,455738,851277,1024991,-3687022,-22669230,-4394760,15819000,3217000
81,Other Working Capital,-31178,- -,-41267,-54606,-82090,-117741,-57022,- -,1075499,1104738,-266044,1167372,-1418034,5981815,3875367,6126717,34557563,100843145,223644503,223585000,283411000
82,Other Non-Cash Items,4566,- -,12536,23200,34660,47175,-37180,- -,-882971,-207003,1270884,-1111114,10820988,-6508398,2095779,3925933,-9193542,-64023578,-136743732,-6756497,-81659000
83,Cash Provided by Operating Activities,-393,- -,-5357,-228,-6163,-15960,-13112,- -,-622485,-338141,-245031,-385455,57956,-1478205,-271910,-1839125,51929379,25496039,13673383,46163000,70335000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21165,-7205,-45799,-22931,-44509,-262108,-2084770,-1170064,-1041670,-1164000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164210,14114,-250000,-3084750,- -,36595842,-16706152,-52510514,31420000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5283,-414013,-115893452,-1793000,-28000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438884,- -,25000,- -,- -,50625000,-2193000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,19295,- -,- -,- -,- -,- -,-510000,15000,-26560000,-6892589,-11185000,16405000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,19295,- -,-21165,157005,-31685,-272931,-3200375,-247108,7970789,-25182818,-180630636,95493000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-198000,- -,- -,- -,-1237911,-936083,-8003500,-102348,-593869,-55116999,-9605000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,335000,- -,- -,- -,- -,730000,- -,200000,2160736,200000,754998,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500,- -,-3175836,-5047643,-7569685,-537000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-240000,-600000,- -,-10447923,-17758808,-61717367,-51319000,- -
94,Other Financing Activites,- -,- -,5500,- -,6048,15963,13100,- -,558000,1117717,-2440,-4290,1386095,2773727,3191632,14145501,-3410178,12023977,286979765,9765000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,5500,- -,6048,15963,13100,- -,643000,919717,-2440,-4290,986095,2025816,1655049,6342001,-14975549,-11176343,163330712,-51696000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-393,- -,143,-228,-115,3,13100,- -,39809,581576,-268636,-232740,1012366,274680,-1817236,4255768,44924619,-10863122,-3626541,89960000,- -
98,Cash at the End of Period,347,- -,352,124,9,12,- -,- -,84161,665737,397101,164361,1176727,1451407,5014242,9270010,99749199,107636973,104010432,193970000,- -
99,Cash at the Beginning of Period,740,- -,209,352,124,9,12,- -,44352,84161,665737,397101,164361,1176727,6831478,5014242,54824580,118500095,107636973,104010000,- -
100,Free Cash Flow,-393,- -,-5357,-228,-6163,-15960,-13112,- -,-622485,-338141,-266196,-392660,12157,-1501136,-316419,-2101233,49844609,24325975,12631713,44999000,70335000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1083446/000107878202000063/0001078782-02-000063-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1083446/000116462104000024/0001164621-04-000024-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083446/000101629508000056/0001016295-08-000056-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1083446/000114420409028013/0001144204-09-028013-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420410027620/0001144204-10-027620-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420411029382/0001144204-11-029382-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420412029578/0001144204-12-029578-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420413025748/0001144204-13-025748-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420414028378/0001144204-14-028378-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1083446/000114420416110594/0001144204-16-110594-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1083446/000114420419014671/0001144204-19-014671-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828020003626/0001628280-20-003626-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828021004679/0001628280-21-004679-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828022004291/0001628280-22-004291-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
