,https://roic.ai/company/FLNG,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.3716,0.6064,0.6649,0.5584,0.8396
17,Operating Income,-14767000,-10664000,-108903000,-125724000,-298319000,205472000,-2590000,-2231000,-1485000,-12614000,28997000,55007000,75620000,201157000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.4616,0.3756,0.4585,0.4598,0.5857
19,Total Other Income Expenses (Gains),2786000,393000,222000,-10147000,-422000,3000,-32000,-247000,-305000,2223000,-17228000,-37858000,-67431000,-38853000
20,Income Before Tax,-11981000,-10271000,-108681000,-135871000,-298741000,205475000,-2622000,-2478000,-1790000,-10391000,11769000,17149000,8189000,162304000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.3802,0.1524,0.1429,0.0498,0.4726
22,Income Tax expense (Gain),- -,186000,173000,88000,57000,15000,13000,7000,-1000,17000,-10000,182000,84000,99000
23,Net Income,-11981000,-10165000,-108659000,-135959000,-298798000,205460000,-2635000,-2485000,-1789000,-10408000,11779000,16967000,8105000,162205000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-0.3808,0.1526,0.1414,0.0493,0.4723
25,EPS,-1.40,-1.00,-9.60,-11.30,-23.90,16.30,-0.20,-0.20,-0.10,-0.30,0.29,0.31,0.15,3.04
26,EPS Diluted,-1.40,-1.00,-9.60,-11.30,-23.90,16.30,-0.20,-0.20,-0.10,-0.30,0.29,0.31,0.15,3.04
27,Weighted Average Shares Outstanding,8771551,10421318,11294742,12024002,12517303,12604081,12661586,12781706,12792200,30763911,40451462,54106142,54099504,53319408
28,Weighted Average Shares Outstanding Diluted,8771551,10421318,11294742,12024002,12517303,12604081,12661586,12781706,12792200,30763911,40592462,54247142,54285272,53340292
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,49499000,25679000,9889000,14754000,6246000,1524000,6731000,3722000,1439000,9961000,54932000,129005000,128878000,200652000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,49499000,25679000,9889000,14754000,6246000,1524000,6731000,3722000,1439000,9961000,54932000,129005000,128878000,200652000
34,Net Receivables,- -,- -,- -,- -,275000,98000,46000,250000,46000,486000,4413000,9318000,13883000,14781000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041000,915000,2686000,3656000,6453000
36,Other Current Assets,1325000,925000,2368000,1049000,208000,51000,17000,2000,174000,6082000,165000,2881000,11428000,3005000
37,Total Current Assets,50824000,26604000,12257000,15803000,6729000,1673000,6794000,3974000,1659000,17570000,60425000,143890000,157845000,224891000
38,PP&E,493975000,516776000,267000,342590000,77000,210525000,211067000,211273000,212474000,594940000,812489000,1147284000,1856466000,2342168000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,36251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,432107000,- -,- -,- -,- -,- -,- -,72000000,421472000,350108000,289709000,5862000
45,Total Non-Current Assets,493975000,553027000,432374000,342590000,77000,210525000,211067000,211273000,212474000,666940000,1233961000,1497392000,2146175000,2348030000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,544799000,579631000,444631000,358393000,6806000,212198000,217861000,215247000,214133000,684510000,1294386000,1641282000,2304020000,2572921000
48,Accounts Payable,7722000,443000,567000,198000,86000,47000,409000,15000,46000,76000,592000,582000,3373000,2016000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23365000,34566000,64466000,81472000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2559000,12575000,25341000,26873000
52,Other Current Liabilities,788000,2985000,2632000,12551000,1035000,370000,432000,598000,1145000,4333000,8944000,10009000,38652000,21226000
53,Total Current Liabilities,8510000,3428000,3199000,12749000,1121000,417000,841000,613000,1191000,4409000,35460000,57732000,131832000,131587000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,7000000,7000000,7000000,160000000,431602000,744283000,1337013000,1551947000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,6415000,10937000,29238000,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -
58,Total Non-Current Liabilities,- -,6415000,10937000,29238000,- -,- -,7000000,7000000,7000000,160000000,431602000,744285000,1337013000,1551947000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,8510000,9843000,14136000,41987000,1121000,417000,7841000,7613000,8191000,164409000,467062000,802017000,1468845000,1683534000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1024000,1127000,1130000,1248000,1254000,1264000,1269000,1279000,1279000,3680000,5410000,5411000,5411000,5411000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-367751000,-356195000,-358908000,-295635000
65,Other Comprehensive Income/Loss,- -,-370000,- -,-112914000,-720000,-120000,-109000,-4000,-3000,-5000,-17415000,-46141000,-87980000,- -
66,Other Total Stockholders Equity,535265000,535884000,429365000,428072000,5151000,210637000,208860000,206359000,204666000,516426000,1207080000,1236190000,1276652000,1179611000
67,Total Stockholders Equity,536289000,536641000,430495000,316406000,5685000,211781000,210020000,207634000,205942000,520101000,827324000,839265000,835175000,889387000
68,Total Liabilities And Stockholders Equity,544799000,546484000,444631000,358393000,6806000,212198000,217861000,215247000,214133000,684510000,1294386000,1641282000,2304020000,2572921000
69,Minority Interest,- -,33147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,544799000,579631000,444631000,358393000,6806000,212198000,217861000,215247000,214133000,684510000,1294386000,1641282000,2304020000,2572921000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-11981000,-10165000,-108659000,-135959000,-298798000,205460000,-2635000,-2485000,-1789000,-10408000,11779000,16967000,8105000,162205000
74,Depreciation and Amortization,- -,250000,211000,146000,116000,32000,1000,3000,2000,2000,17412000,28747000,41846000,69833000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,415000,335000,215000,91000,97000,115000,202000,324000,284000,-1273000
77,Change in Working Capital,7147000,-6619000,-71000,9397000,-127000,-271000,484000,-418000,784000,-5155000,6817000,-764000,9046000,6581000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5425000,1375000,-1220000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1041000,126000,-1771000,-970000,-2797000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000,-10000,2791000,-1357000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8354000,12996000,1302000
82,Other Non-Cash Items,4338000,1714000,100963000,126947000,289866000,-209709000,673000,- -,-173000,-2277000,-496000,6252000,30023000,-22502000
83,Cash Provided by Operating Activities,-496000,-14820000,-7556000,531000,-8528000,-4153000,-1262000,-2809000,-1079000,-17723000,35714000,51526000,89304000,214844000
84,CAPEX,-300646000,-23483000,-12690000,-23528000,-23000,-525000,-543000,-209000,-1204000,-77714000,-584433000,-291542000,-691393000,-265934000
85,Acquisitions Net,- -,-423000,-24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-957000,- -,-23470000,- -,7000,- -,1000,- -,- -,-2964000,- -,- -,- -
89,Cash Used for Investing Activites,-300646000,-23906000,-12714000,-23527000,-23000,-518000,-543000,-208000,-1204000,-77714000,-584433000,-291542000,-691393000,-265934000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117000000,-286069000,-373456000,-49342000,-490394000
91,Common Stock Issued,350002000,10000000,- -,9617000,- -,- -,3000,8000,- -,220988000,295311000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7788000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5411000,-10818000,-98932000
94,Other Financing Activites,-13702000,5197000,4489000,18258000,- -,- -,7000000,- -,- -,-29000,584613000,692865000,663481000,720217000
95,Cash Used/Provided by Financing Activities,336300000,15197000,4489000,27875000,- -,- -,7003000,8000,- -,103959000,593855000,313998000,603321000,123103000
96,Effect of Forex Changes on Cash,- -,-291000,-9000,-14000,43000,-51000,9000,- -,- -,- -,- -,19000,-1368000,195000
97,Net Change In Cash,35158000,-23820000,-15790000,4865000,-8508000,-4722000,5207000,-3009000,-2283000,8522000,45136000,74001000,-136000,72208000
98,Cash at the End of Period,49499000,25679000,9889000,14754000,6246000,1524000,6731000,3722000,1439000,9961000,55097000,129098000,128962000,201170000
99,Cash at the Beginning of Period,14341000,49499000,25679000,9889000,14754000,6246000,1524000,6731000,3722000,1439000,9961000,55097000,129098000,128962000
100,Free Cash Flow,-301142000,-38303000,-20246000,-22997000,-8551000,-4678000,-1805000,-3018000,-2283000,-95437000,-548719000,-240016000,-602089000,-51090000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,
