,https://roic.ai/company/REVG,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,64087164,64087164,64087164,64087164,60738242,63966977,62789165,63044872,64125216
28,Weighted Average Shares Outstanding Diluted,64273685,64273685,64273685,64273685,62405492,65210169,62789165,63044872,65918089
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687221/000156459017025241/0001564590-17-025241-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459018031125/0001564590-18-031125-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459019046328/0001564590-19-046328-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459021000486/0001564590-21-000486-index.htm,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/0001564590-21-060365-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,12519000,4968000,10821000,17838000,11900000,3300000,11000000,13300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12519000,4968000,10821000,17838000,11900000,3300000,11000000,13300000
34,Net Receivables,- -,120577000,113059000,181239000,243242000,266900000,253500000,229000000,248400000
35,Inventory,- -,244167000,246962000,325633000,452380000,514000000,513400000,537000000,481700000
36,Other Current Assets,- -,31259000,37523000,12037000,13372000,50300000,38900000,35000000,17600000
37,Total Current Assets,- -,408522000,402512000,529730000,726832000,843100000,809100000,812000000,761000000
38,PP&E,- -,84241000,89145000,146422000,217083000,214300000,201700000,168000000,176700000
39,Goodwill,- -,82825000,82825000,84507000,133235000,161800000,159800000,157000000,157300000
40,Intangible Assets,- -,127114000,118903000,124040000,167887000,174600000,159900000,136000000,126300000
41,Intangible Assets,- -,209939000,201728000,208547000,301122000,336400000,319700000,293000000,283600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2985000,2436000,4320000,9395000,14300000,16600000,- -,17000000
45,Total Non-Current Assets,- -,297165000,293309000,359289000,527600000,565000000,538000000,461000000,477300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,705687000,695821000,889019000,1254432000,1408100000,1347100000,1273000000,1238300000
48,Accounts Payable,- -,85781000,69950000,129481000,217267000,218100000,200800000,169000000,116200000
49,Short-Term Debt,- -,- -,- -,- -,750000,1300000,3600000,1700000,7100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,31271000,36489000,87627000,95774000,117800000,129900000,2000000,210600000
52,Other Current Liabilities,- -,82790000,73462000,114496000,96288000,80000000,101700000,274300000,103100000
53,Total Current Liabilities,- -,199842000,179901000,331604000,410079000,417200000,436000000,447000000,437000000
54,Long-Term Debt,- -,224419000,212394000,256040000,229105000,420600000,376600000,1000000,227800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,48220000,45604000,17449000,22527000,19900000,15400000,- -,21400000
57,Other Non-Current Liabilities,- -,14689000,18008000,23710000,20281000,18000000,13900000,32000000,33300000
58,Total Non-Current Liabilities,- -,287328000,276006000,297199000,271913000,458500000,405900000,33000000,282500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,426000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,25300000,19900000
61,Total Liabilities,- -,487170000,455907000,628803000,681992000,875700000,841900000,840000000,719500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,64000,100000,100000,- -,100000
64,Retained Earnings,- -,8342000,24607000,31655000,40353000,40600000,15800000,-21000000,16700000
65,Other Comprehensive Income/Loss,- -,-38181000,-46803000,-61145000,-80094000,-1000000,-2000000,-3000000,-100000
66,Other Total Stockholders Equity,- -,248356000,262110000,289706000,612117000,491700000,491100000,496000000,502100000
67,Total Stockholders Equity,- -,218517000,239914000,260216000,572440000,531400000,505000000,472300000,518800000
68,Total Liabilities And Stockholders Equity,- -,705687000,695821000,889019000,1254432000,1407100000,1346900000,1312300000,1238300000
69,Minority Interest,- -,- -,- -,- -,- -,1000000,200000,-39300000,- -
70,Total Liabilities & Equity,- -,705687000,695821000,889019000,1254432000,1408100000,1347100000,1273000000,1238300000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687221/000156459017025241/0001564590-17-025241-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459018031125/0001564590-18-031125-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459019046328/0001564590-19-046328-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459021000486/0001564590-21-000486-index.htm,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/0001564590-21-060365-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,25026000,1488000,22877000,30193000,31371000,13000000,-12300000,-46000000,44400000
74,Depreciation and Amortization,14377000,18901000,19084000,24593000,37812000,46000000,45700000,40200000,32000000
75,Deferred Income Tax,-9626000,-325000,-5325000,-3661000,2884000,-4100000,-5000000,-27800000,1100000
76,Stock Based Compensation,265000,859000,3237000,19692000,26627000,6300000,7200000,7800000,7800000
77,Change in Working Capital,59128000,201574000,13931000,-24485000,118627000,109147000,-52800000,-8100000,60200000
78,Accounts Receivable,33554000,-38190000,7518000,-52428000,-39724000,-22300000,13400000,- -,- -
79,Inventory,24762000,18754000,-2795000,-8054000,-61861000,-74500000,-2700000,27100000,52800000
80,Accounts Payable,-17445000,284000,-15831000,44805000,54699000,6100000,-17200000,-36700000,-49700000
81,Other Working Capital,7106000,208680000,222611000,198126000,316753000,425900000,373100000,365000000,37500000
82,Other Non-Cash Items,-20091000,-216568000,-28165000,29238000,-184146000,-189547000,69700000,89600000,12800000
83,Cash Provided by Operating Activities,69079000,5929000,25639000,75570000,33175000,-19200000,52500000,55700000,158300000
84,CAPEX,-9110000,-12067000,-15430000,-48542000,-79345000,-60700000,-23800000,-16800000,-24700000
85,Acquisitions Net,-124899000,-5043000,- -,-38162000,-156361000,-67600000,- -,7200000,2000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,914000,4290000,-187000,2274000,6604000,8700000,24000000,11300000,12500000
89,Cash Used for Investing Activites,-133095000,-12820000,-15617000,-84430000,-229102000,-119600000,200000,1700000,-10200000
90,Debt Repayment,-220353000,-353000,-13974000,-24234000,-187650000,- -,-91500000,-38400000,-303400000
91,Common Stock Issued,43751000,2855000,2000000,- -,- -,- -,- -,- -,2000000
92,Common Stock Repurchased,-440000,-3125000,-5461000,-21745000,-3251000,-53300000,-8300000,- -,-3900000
93,Dividends Paid,- -,- -,-186000,- -,-6379000,-12800000,-12500000,-9500000,-6600000
94,Other Financing Activites,253982000,2008000,48000,60692000,400224000,199000000,51000000,-1400000,165700000
95,Cash Used/Provided by Financing Activities,76940000,1385000,-17573000,14713000,202944000,132900000,-61300000,-49300000,-146200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,12924000,-5506000,-7551000,5853000,7017000,-5900000,-8600000,8100000,1900000
98,Cash at the End of Period,18025000,12519000,4968000,10821000,17838000,11900000,3300000,11400000,13300000
99,Cash at the Beginning of Period,5101000,18025000,12519000,4968000,10821000,17800000,11900000,3300000,11400000
100,Free Cash Flow,59969000,-6138000,10209000,27028000,-46170000,-79900000,28700000,38900000,133600000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687221/000156459017025241/0001564590-17-025241-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459018031125/0001564590-18-031125-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459019046328/0001564590-19-046328-index.html,https://www.sec.gov/Archives/edgar/data/1687221/000156459021000486/0001564590-21-000486-index.htm,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/0001564590-21-060365-index.htm
102,false,,,,,,,,,
