,https://roic.ai/company/WH,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722684/000172268419000008/0001722684-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1722684/000172268420000007/0001722684-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1722684/000172268421000008/0001722684-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1722684/000172268422000005/0001722684-22-000005-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,28000000,57000000,366000000,94000000,493000000,171000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,28000000,57000000,366000000,94000000,493000000,171000000
34,Net Receivables,- -,184000000,194000000,293000000,304000000,295000000,246000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,43000000,79000000,192000000,101000000,112000000,303000000
37,Total Current Assets,- -,255000000,330000000,851000000,499000000,900000000,720000000
38,PP&E,- -,277000000,250000000,326000000,307000000,278000000,106000000
39,Goodwill,- -,377000000,423000000,1547000000,1539000000,1525000000,1525000000
40,Intangible Assets,- -,882000000,943000000,1987000000,1946000000,1715000000,1675000000
41,Intangible Assets,- -,1259000000,1366000000,3534000000,3485000000,3240000000,3200000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,192000000,176000000,265000000,242000000,226000000,243000000
45,Total Non-Current Assets,- -,1728000000,1792000000,4125000000,4034000000,3744000000,3549000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1983000000,2122000000,4976000000,4533000000,4644000000,4269000000
48,Accounts Payable,- -,27000000,38000000,61000000,30000000,28000000,31000000
49,Short-Term Debt,- -,103000000,103000000,21000000,26000000,25000000,25000000
50,Tax Payable,- -,12000000,10000000,220000000,17000000,29000000,33000000
51,Deferred Revenue,- -,68000000,79000000,109000000,132000000,71000000,70000000
52,Other Current Liabilities,- -,174000000,186000000,502000000,274000000,222000000,271000000
53,Total Current Liabilities,- -,372000000,406000000,693000000,462000000,346000000,397000000
54,Long-Term Debt,- -,71000000,81000000,2120000000,2101000000,2576000000,2063000000
55,Deferred Revenue,- -,81000000,76000000,164000000,151000000,158000000,165000000
56,Deferred Tax Liabilities,- -,273000000,181000000,399000000,387000000,359000000,366000000
57,Other Non-Current Liabilities,- -,75000000,78000000,182000000,220000000,242000000,189000000
58,Total Non-Current Liabilities,- -,500000000,416000000,2865000000,2859000000,3335000000,2783000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5000000,4000000,4000000
61,Total Liabilities,- -,872000000,822000000,3558000000,3321000000,3681000000,3180000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1111000000,1295000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,69000000,113000000,-82000000,79000000
65,Other Comprehensive Income/Loss,- -,- -,5000000,-8000000,-27000000,-52000000,-15000000
66,Other Total Stockholders Equity,- -,- -,- -,1356000000,1125000000,1096000000,1024000000
67,Total Stockholders Equity,- -,1111000000,1300000000,1418000000,1212000000,963000000,1089000000
68,Total Liabilities And Stockholders Equity,- -,1983000000,2122000000,4976000000,4533000000,4644000000,4269000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1983000000,2122000000,4976000000,4533000000,4644000000,4269000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1722684/000172268419000008/0001722684-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1722684/000172268420000007/0001722684-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1722684/000172268421000008/0001722684-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1722684/000172268422000005/0001722684-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,149000000,176000000,243000000,162000000,157000000,-132000000,244000000
74,Depreciation and Amortization,67000000,73000000,75000000,99000000,109000000,98000000,95000000
75,Deferred Income Tax,10000000,26000000,-92000000,-35000000,-209000000,-23000000,-1000000
76,Stock Based Compensation,- -,- -,- -,25000000,20000000,21000000,28000000
77,Change in Working Capital,44000000,-149000000,41000000,234000000,-121000000,517000000,26000000
78,Accounts Receivable,-17000000,- -,-10000000,-55000000,-11000000,-38000000,25000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,26000000,-13000000,21000000,85000000,-28000000,-46000000,39000000
81,Other Working Capital,32000000,-117000000,-76000000,158000000,37000000,554000000,16000000
82,Other Non-Cash Items,17000000,138000000,12000000,-254000000,144000000,-414000000,34000000
83,Cash Provided by Operating Activities,287000000,264000000,279000000,231000000,100000000,67000000,426000000
84,CAPEX,-51000000,-42000000,-46000000,-73000000,-50000000,-33000000,-37000000
85,Acquisitions Net,- -,-70000000,- -,-1703000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-53000000,-2000000,-152000000,48000000,-3000000,2000000,3000000
89,Cash Used for Investing Activites,-104000000,-114000000,-198000000,-1728000000,-53000000,-31000000,-34000000
90,Debt Repayment,-2000000,-2000000,-1000000,-7000000,-16000000,-765000000,-579000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-156000000,- -,-59000000,-117000000,-242000000,-50000000,-107000000
93,Dividends Paid,- -,- -,- -,-186000000,-112000000,-53000000,-82000000
94,Other Financing Activites,-12000000,-159000000,9000000,2118000000,50000000,1231000000,55000000
95,Cash Used/Provided by Financing Activities,-170000000,-161000000,-51000000,1808000000,-320000000,363000000,-713000000
96,Effect of Forex Changes on Cash,- -,1000000,-1000000,-4000000,1000000,- -,-1000000
97,Net Change In Cash,13000000,-10000000,29000000,307000000,-272000000,399000000,-322000000
98,Cash at the End of Period,38000000,30000000,57000000,366000000,94000000,493000000,171000000
99,Cash at the Beginning of Period,25000000,40000000,28000000,59000000,366000000,94000000,493000000
100,Free Cash Flow,236000000,222000000,233000000,158000000,50000000,34000000,389000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722684/000172268419000008/0001722684-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1722684/000172268420000007/0001722684-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1722684/000172268421000008/0001722684-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1722684/000172268422000005/0001722684-22-000005-index.htm
102,false,,,,,,,
