,https://roic.ai/company/MG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.1074,0.0709,0.0768,0.0875,0.0842,0.0521,0.0614,0.0427,0.0373,0.0059,0.0299,0.0322,-0.1708,0.0268
19,Total Other Income Expenses (Gains),- -,-3531000,-4614000,-3918000,-2773000,-3132000,-3288000,-3192000,-4622000,-3075000,-4386000,-7950000,-13698000,-12955000,-10882000
20,Income Before Tax,- -,12827000,10211000,16979000,26838000,33637000,24266000,35103000,25731000,22471000,-226000,14271000,10439000,-114172000,7288000
21,Income Before Tax Ratio,- -,0.0842,0.0488,0.0624,0.0793,0.0770,0.0458,0.0563,0.0362,0.0328,-0.0003,0.0192,0.0139,-0.1927,0.0108
22,Income Tax expense (Gain),- -,5380000,4558000,6527000,10502000,12291000,12627000,12528000,9740000,8008000,1942000,7426000,4359000,-14706000,3395000
23,Net Income,- -,7439000,5466000,10429000,16431000,21353000,11646000,22518000,16081000,- -,-2175000,6836000,6060000,-99461000,3860000
24,Net Income ratio,- -,0.0489,0.0261,0.0383,0.0485,0.0489,0.0220,0.0361,0.0226,- -,-0.0031,0.0092,0.0081,-0.1678,0.0057
25,EPS,- -,-1.96,-1.67,0.78,0.61,0.77,0.41,0.79,0.56,0.50,-0.08,0.24,0.21,-3.41,-0.00
26,EPS Diluted,- -,-1.96,-1.67,0.43,0.61,0.74,0.40,0.77,0.54,0.48,-0.08,0.23,0.21,-3.41,-0.00
27,Weighted Average Shares Outstanding,- -,13000000,13000000,21744000,26724000,27839000,28141000,28365000,28613000,28960000,28422000,28406000,28740000,29147000,29619000
28,Weighted Average Shares Outstanding Diluted,- -,20435000,17297433,24430000,26933000,28685000,29106000,29324000,29590000,30114000,28422000,29427000,29046000,29147000,30127000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1436126/000101905610001041/0001019056-10-001041-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465911046479/0001104659-11-046479-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465912057839/0001104659-12-057839-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465913064031/0001104659-13-064031-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465914058909/0001104659-14-058909-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612615000018/0001436126-15-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1436126/000143612618000017/0001436126-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612619000014/0001436126-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612620000018/0001436126-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612621000013/0001436126-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612622000013/0001436126-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3555000,5668000,16037000,10879000,8410000,7802000,10020000,10555000,21188000,27541000,25544000,15016000,25760000,24110000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3555000,5668000,16037000,10879000,8410000,7802000,10020000,10555000,21188000,27541000,25544000,15016000,25760000,24110000
34,Net Receivables,- -,32772000,39153000,54721000,78031000,104515000,108554000,137824000,133228000,137913000,138080000,148324000,135997000,107628000,109511000
35,Inventory,- -,10644000,11509000,8736000,9830000,12492000,12504000,11376000,10841000,9918000,10503000,13053000,13413000,13134000,12686000
36,Other Current Assets,- -,2370000,7340000,7481000,8039000,8206000,10777000,15909000,16842000,18927000,18884000,15870000,14729000,16066000,15031000
37,Total Current Assets,- -,49341000,63670000,86975000,106779000,133623000,139637000,175129000,171466000,187946000,195008000,202791000,179155000,162588000,161338000
38,PP&E,- -,26511000,33592000,39981000,49168000,63527000,68419000,77811000,79256000,78676000,87143000,93895000,98607000,92681000,86578000
39,Goodwill,- -,28627000,38642000,44315000,64146000,96819000,115270000,130516000,166414000,169220000,203438000,279259000,282410000,206008000,205439000
40,Intangible Assets,- -,11552000,11949000,16088000,27304000,34469000,52428000,57875000,51276000,43492000,63739000,111395000,109537000,68642000,59381000
41,Intangible Assets,- -,40179000,50591000,60403000,91450000,131288000,167698000,188391000,217690000,212712000,267177000,390654000,391947000,274650000,264820000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1344000,1208000,1000000,1606000,1930000,1786000,2069000,2174000
44,Other Non-Current Assets,- -,3791000,3421000,1273000,1240000,1378000,906000,1297000,2107000,2341000,3507000,4767000,48383000,51325000,47285000
45,Total Non-Current Assets,- -,70481000,87604000,101657000,141858000,196193000,237023000,268843000,300261000,294729000,359433000,491246000,540723000,420725000,400857000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,119822000,151274000,188632000,248637000,329816000,376660000,443972000,471727000,482675000,554441000,694037000,719878000,583313000,562195000
48,Accounts Payable,- -,4774000,2797000,4640000,6656000,11944000,8490000,14978000,10529000,10796000,10362000,13863000,15033000,14240000,12870000
49,Short-Term Debt,- -,- -,- -,6303000,7226000,5971000,7418000,8058000,17902000,20388000,2358000,6833000,6593000,24791000,33967000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2710000,- -,- -,- -,2664000,755000
51,Deferred Revenue,- -,- -,- -,- -,2039000,5390000,2623000,2659000,3841000,3332000,6338000,5046000,5860000,6538000,6202000
52,Other Current Liabilities,- -,25622000,41311000,28741000,34667000,41014000,53685000,61096000,61251000,62361000,71167000,74729000,81754000,64278000,68376000
53,Total Current Liabilities,- -,30396000,44108000,39684000,50588000,64319000,72216000,86791000,93523000,96877000,90225000,100471000,109240000,109847000,121415000
54,Long-Term Debt,- -,40801000,51861000,5691000,14625000,34258000,52849000,68590000,95557000,84388000,164520000,283787000,248120000,220653000,192155000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1199000,2087000,2863000,4901000,11614000,15521000,16984000,18328000,8803000,23148000,21290000,8236000,8385000
57,Other Non-Current Liabilities,- -,73042000,101773000,10616000,13075000,33090000,29701000,30678000,20651000,6794000,20101000,15557000,55206000,47358000,39328000
58,Total Non-Current Liabilities,- -,113843000,154833000,18394000,30563000,72249000,94164000,114789000,133192000,109510000,193424000,322492000,324616000,276247000,239868000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,11842000,14525000,14569000,15476000,19045000,17689000,20915000,19363000,19767000,14613000,12997000,27307000,25228000,23557000
61,Total Liabilities,- -,144239000,198941000,58078000,81151000,136568000,166380000,201580000,226715000,206387000,283649000,422963000,433856000,386094000,361283000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,10000,267000,277000,280000,282000,284000,287000,290000,282000,285000,289000,292000,295000
64,Retained Earnings,- -,-25728000,-47376000,-30448000,-14017000,7336000,18982000,41500000,57581000,82235000,64717000,71553000,77613000,-21848000,-17988000
65,Other Comprehensive Income/Loss,- -,-24316000,-31106000,-2000000,-53414000,-3000000,-4000000,-2000000,-21000000,-20099000,-17000000,-28000000,-21000000,-16061000,-20311000
66,Other Total Stockholders Equity,- -,25559000,30560000,162467000,234311000,188396000,194789000,202320000,207951000,213737000,222620000,227059000,228920000,234638000,238687000
67,Total Stockholders Equity,- -,-24475000,-47912000,130286000,167157000,193012000,210053000,242104000,244819000,276163000,270619000,270897000,285822000,197021000,200683000
68,Total Liabilities And Stockholders Equity,- -,119764000,151029000,188364000,248308000,329580000,376433000,443684000,471534000,482550000,554268000,693860000,719678000,583115000,561966000
69,Minority Interest,- -,58000,245000,268000,329000,236000,227000,288000,193000,125000,173000,177000,200000,198000,229000
70,Total Liabilities & Equity,- -,119822000,151274000,188632000,248637000,329816000,376660000,443972000,471727000,482675000,554441000,694037000,719878000,583313000,562195000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1436126/000101905610001041/0001019056-10-001041-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465911046479/0001104659-11-046479-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465912057839/0001104659-12-057839-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465913064031/0001104659-13-064031-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465914058909/0001104659-14-058909-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612615000018/0001436126-15-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1436126/000143612618000017/0001436126-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612619000014/0001436126-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612620000018/0001436126-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612621000013/0001436126-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612622000013/0001436126-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,7439000,5466000,10429000,16431000,21353000,11646000,22518000,16081000,- -,-2175000,6836000,6060000,-99461000,3860000
74,Depreciation and Amortization,- -,11423000,12636000,15183000,18761000,22171000,26647000,28429000,33286000,32388000,31383000,34413000,38533000,35705000,34921000
75,Deferred Income Tax,- -,329000,146000,907000,1779000,-984000,-1732000,-621000,-1745000,-1775000,-4854000,1859000,-3599000,-13409000,87000
76,Stock Based Compensation,- -,318000,192000,2695000,3751000,5097000,6285000,6261000,6579000,7324000,6574000,6107000,5766000,5851000,5421000
77,Change in Working Capital,- -,-7631000,- -,617000,27729000,8900000,13113000,-1883000,20917000,13126000,13714000,-2463000,-32405000,-17174000,-3546000
78,Accounts Receivable,- -,-9226000,-8849000,-15213000,-22664000,-18030000,4772000,-23857000,3982000,- -,2490000,-10349000,8298000,27313000,-3979000
79,Inventory,- -,-1802000,-887000,-116000,-77000,-1708000,525000,1203000,388000,608000,-117000,-2764000,-302000,84000,278000
80,Accounts Payable,- -,2203000,-2225000,1806000,1904000,3149000,-5478000,6125000,-6281000,-2792000,2574000,2948000,1138000,-1020000,-1139000
81,Other Working Capital,- -,18945000,18945000,19562000,47291000,56191000,69304000,67421000,88338000,91069000,104783000,102320000,69915000,52741000,- -
82,Other Non-Cash Items,- -,973000,-5779000,-10844000,-43197000,-25135000,-12456000,-17831000,-24494000,12148000,10597000,-5088000,44755000,156290000,1518000
83,Cash Provided by Operating Activities,- -,12851000,12661000,18987000,25254000,31402000,43503000,36873000,50624000,63211000,55239000,41664000,59110000,67802000,42261000
84,CAPEX,- -,-4430000,-5713000,-1983000,-10595000,-10405000,-13523000,-17579000,-15970000,-15873000,-20569000,-21125000,-22920000,-15772000,-19276000
85,Acquisitions Net,- -,- -,- -,-15000000,-26000000,-29000000,-33000000,-22000000,-35000000,-8287000,-83000000,-136000000,-4000000,- -,-440000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-15728000,-10521000,413000,-403000,1080000,51000,866000,163000,331000,-483000,1134000,767000,427000,50000
89,Cash Used for Investing Activites,- -,-19446000,-15888000,-16534000,-36478000,-37512000,-45479000,-38005000,-49941000,-22408000,-102797000,-155450000,-25280000,-14969000,-18551000
90,Debt Repayment,- -,-6824000,-17157000,-75013000,-13371000,-19330000,-12047000,-16969000,-17877000,-81369000,-59193000,-58550000,-73102000,-78121000,-109387000
91,Common Stock Issued,- -,- -,- -,74007000,14682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-15923000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,13144000,22069000,9089000,4033000,21339000,13191000,20231000,18358000,60338000,128721000,172519000,28965000,33952000,86142000
95,Cash Used/Provided by Financing Activities,- -,6320000,4912000,8083000,5344000,2009000,1144000,3262000,481000,-30031000,53605000,113969000,-44137000,-44169000,-23245000
96,Effect of Forex Changes on Cash,- -,63000,428000,-167000,722000,1632000,224000,88000,-629000,-1217000,2340000,-2180000,-221000,2080000,-2115000
97,Net Change In Cash,- -,-212000,2113000,10369000,-5158000,-2469000,-608000,2218000,535000,-30031000,8387000,-1997000,-10528000,10744000,-1650000
98,Cash at the End of Period,- -,3555000,5668000,16037000,10879000,8410000,7802000,10020000,10555000,19154000,27541000,25544000,15016000,25760000,24110000
99,Cash at the Beginning of Period,- -,3767000,3555000,5668000,16037000,10879000,8410000,7802000,10020000,- -,19154000,27541000,25544000,15016000,25760000
100,Free Cash Flow,- -,8421000,6948000,17004000,14659000,20997000,29980000,19294000,34654000,47338000,34670000,20539000,36190000,52030000,22985000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1436126/000101905610001041/0001019056-10-001041-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465911046479/0001104659-11-046479-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465912057839/0001104659-12-057839-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465913064031/0001104659-13-064031-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000110465914058909/0001104659-14-058909-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612615000018/0001436126-15-000018-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1436126/000143612618000017/0001436126-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612619000014/0001436126-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612620000018/0001436126-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612621000013/0001436126-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1436126/000143612622000013/0001436126-22-000013-index.htm
102,false,,,,,,,,,,,,,,,
