,https://roic.ai/company/ARCO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5827000,12194000,- -,10384000
56,Deferred Tax Liabilities,769000,6378000,4650000,9007000,6113000,4180000,8224000,1866000,10577000,957000,4297000,5067000,7170000
57,Other Non-Current Liabilities,176862000,172122000,75884000,65604000,48520000,29867000,39447000,51723000,62299000,58760000,39024000,799421000,58342000
58,Total Non-Current Liabilities,632092000,629923000,606485000,724579000,825804000,795127000,542414000,605169000,702018000,691968000,1540672000,1592467000,1522232000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,931729000,809441000,786239000
61,Total Liabilities,1028902000,1235071000,1195777000,1302853000,1484960000,1337193000,1120087000,1153477000,1307601000,1185280000,2136119000,2095938000,2140095000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,377546000,377546000,- -,484569000,491735000,498616000,504772000,506884000,509647000,512760000,516119000,519518000,521284000
64,Retained Earnings,205366000,271387000,336707000,400761000,404287000,244791000,193158000,271968000,401134000,413074000,471149000,290895000,316180000
65,Other Comprehensive Income/Loss,-127789000,-98664000,-148389000,-158821000,-218735000,-302467000,-424263000,-441649000,-429347000,-502266000,-519505000,-584860000,-607768000
66,Other Total Stockholders Equity,-2468000,-2468000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28007000,-9266000
67,Total Stockholders Equity,452655000,547801000,678621000,745143000,694537000,456914000,286273000,350991000,495650000,392383000,421138000,197546000,220430000
68,Total Liabilities And Stockholders Equity,1481557000,1782872000,1874398000,2047996000,2179497000,1794107000,1406360000,1504468000,1803251000,1577663000,2557257000,2293484000,2360525000
69,Minority Interest,1391000,1394000,1008000,1167000,762000,673000,617000,585000,492000,376000,428000,470000,732000
70,Total Liabilities & Equity,1482948000,1784266000,1875406000,2049163000,2180259000,1794780000,1406977000,1505053000,1803743000,1578039000,2557685000,2293954000,2361257000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1508478/000162828021008225/0001628280-21-008225-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,80022000,106021000,115529000,114332000,53854000,-109333000,-51633000,78810000,129166000,36847000,79896000,-149451000,45486000
74,Depreciation and Amortization,56296000,63218000,71818000,92328000,114860000,116811000,110715000,92969000,99382000,105800000,123218000,126853000,120394000
75,Deferred Income Tax,-49830000,-61101000,-2882000,14228000,9113000,7419000,-9057000,5499000,1731000,648000,-7974000,471000,-16066000
76,Stock Based Compensation,- -,- -,- -,1265000,7027000,9252000,4082000,3558000,4216000,2638000,4060000,1360000,758000
77,Change in Working Capital,22445000,58659000,8125000,-16177000,-23820000,42388000,16583000,56219000,65078000,21436000,26087000,-6784000,92565000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,20821000,-39742000,-42415000,14628000,-102362000,53082000,-45900000,26763000,-53466000,-12074000,-21802000,-25032000,-38655000
80,Accounts Payable,3597000,48065000,54496000,22575000,96957000,-16128000,25020000,35815000,102660000,16563000,39434000,-23993000,78201000
81,Other Working Capital,-137000,9074000,6351000,13238000,9311000,608000,1427000,2706000,-3540000,4414000,3315000,2526000,-858000
82,Other Non-Cash Items,39089000,97079000,69034000,24137000,55980000,126554000,41999000,-72866000,-44403000,12362000,-1806000,43517000,14907000
83,Cash Provided by Operating Activities,148022000,263876000,261624000,230113000,217014000,193091000,112689000,164189000,255170000,179731000,223481000,15966000,258044000
84,CAPEX,-90105000,-175669000,-319859000,-294478000,-313462000,-169813000,-90964000,-92282000,-174766000,-197041000,-265235000,-86311000,-114999000
85,Acquisitions Net,-11061000,-504000,-5993000,-6004000,6128000,1113000,2770000,25090000,9537000,10158000,2160000,-3833000,-185000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-19588000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19588000,- -,- -,- -
88,Other Investing Activites,4796000,-2051000,5720000,-5939000,-3321000,-264000,28079000,90210000,60337000,3511000,2084000,1438000,-108094000
89,Cash Used for Investing Activites,-96370000,-178224000,-320132000,-306421000,-310655000,-168964000,-60115000,23018000,-124480000,-163784000,-260991000,-88706000,-108279000
90,Debt Repayment,-2539000,- -,-152005000,- -,-237006000,- -,-11710000,-261956000,-48885000,- -,- -,- -,-34595000
91,Common Stock Issued,- -,- -,152281000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-33400000,- -,- -,- -,- -,- -,- -,- -,-46035000,-13965000,- -,- -
93,Dividends Paid,- -,- -,-56627000,-50036000,-37527000,-50036000,-12509000,- -,- -,-20937000,-22425000,-10220000,-21000
94,Other Financing Activites,26911000,-17887000,92024000,140682000,376835000,51220000,-18044000,148961000,45532000,-6470000,6758000,136229000,16690000
95,Cash Used/Provided by Financing Activities,24372000,-51287000,35673000,90646000,102302000,1184000,-42263000,-112995000,-3353000,-73442000,-29632000,126009000,-17926000
96,Effect of Forex Changes on Cash,-14031000,5759000,-8963000,-5788000,-17864000,-61929000,-36822000,8072000,-13649000,-53714000,-8260000,-9160000,-18998000
97,Net Change In Cash,61993000,40124000,-31798000,8550000,-9203000,-36618000,-26511000,82284000,113688000,-111209000,-75402000,44109000,112841000
98,Cash at the End of Period,167975000,208099000,176301000,184851000,175648000,139030000,112519000,194803000,308491000,197282000,121880000,165989000,278830000
99,Cash at the Beginning of Period,105982000,167975000,208099000,176301000,184851000,175648000,139030000,112519000,194803000,308491000,197282000,121880000,165989000
100,Free Cash Flow,57917000,88207000,-58235000,-64365000,-96448000,23278000,21725000,71907000,80404000,-17310000,-41754000,-70345000,143045000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1508478/000162828021008225/0001628280-21-008225-index.htm,- -
102,false,,,,,,,,,,,,,
