,https://roic.ai/company/ALJJ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,-6000000,-7000000,-9000000,-49388000,-32969000,-20618000,-3949000,-1082000,-3861493,2772045,8719430,8613805,470817,7607743,11433639,11767464,86561636,11388460,6836592,4710000,3249000,-3033000,-5973000,-69716000,-3151000
21,Income Before Tax Ratio,- -,-0.9375,-0.6250,-0.6767,-1.7007,-1.2260,-0.6234,-0.4291,-Infinity,-0.0558,0.0198,0.0578,0.0464,0.0043,0.0674,0.0706,0.0741,Infinity,0.0761,0.0326,0.0176,0.0099,-0.0082,-0.0168,-0.1791,-0.0071
22,Income Tax expense (Gain),- -,200000,200000,200000,500000,275000,184000,30000,-88000,- -,339858,741694,972244,351783,636181,-1694830,-3028799,7240430,-4543292,-5456535,-6215000,-12424000,4299000,10006000,-2042000,-429000
23,Net Income,-1900000,-6200000,-7200000,-9200000,-49888000,-237803000,-20512000,-3128000,-2366000,-3430562,2432187,6572043,6331798,53161,5688400,11417131,13275916,66169933,15649786,11892552,10925000,15673000,-7332000,-15979000,-67674000,-4643000
24,Net Income ratio,-19.0000,-0.9688,-0.6429,-0.6917,-1.7180,-8.8429,-0.6201,-0.3399,-Infinity,-0.0496,0.0174,0.0435,0.0341,0.0005,0.0504,0.0705,0.0836,Infinity,0.1046,0.0566,0.0407,0.0480,-0.0198,-0.0450,-0.1739,-0.0105
25,EPS,-0.22,-0.71,-0.69,-0.72,-2.36,-8.11,-0.67,-0.08,-0.06,-0.09,0.06,0.16,0.13,0.00,0.12,0.21,0.23,1.58,0.54,0.36,0.31,0.45,-0.19,-0.41,-1.60,-0.11
26,EPS Diluted,-0.22,-0.71,-0.69,-0.72,-2.36,-8.11,-0.67,-0.08,-0.06,-0.09,0.06,0.16,0.13,0.00,0.11,0.21,0.22,1.47,0.48,0.35,0.30,0.43,-0.19,-0.41,-1.60,-0.11
27,Weighted Average Shares Outstanding,8636364,8732394,10434783,12777778,21111000,29334000,30414000,37987000,39242000,39242251,39242251,40004638,47133061,47899083,49197339,53331807,57090319,41995756,29011787,33101793,35013000,35208000,37856000,38710000,42186000,42329000
28,Weighted Average Shares Outstanding Diluted,8636364,8732394,10434783,12777778,21111000,29334000,30414000,37987000,39242000,39242251,39242251,40004638,49605283,49285194,49722339,54856807,59490319,44883256,32399287,34153536,36202000,36186000,37856000,38710000,42186000,42329000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438731/000156459016030454/0001564590-16-030454-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459017025100/0001564590-17-025100-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459018030991/0001564590-18-030991-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459019046710/0001564590-19-046710-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459020057536/0001564590-20-057536-index.htm,https://www.sec.gov/Archives/edgar/data/1438731/000156459021060735/0001564590-21-060735-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,4200000,2300000,7000000,18232000,14927000,597000,1490000,675000,998835,540851,599063,951803,779841,391470,1282228,2823576,27825326,10078301,5103462,5279000,5630000,2000000,4529000,6050000,2276000
32,Short-Term Investments,- -,- -,- -,- -,25189000,5655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,4200000,2300000,7000000,43421000,20582000,597000,1490000,675000,998835,540851,599063,951803,779841,391470,1282228,2823576,27825326,10078301,5103462,5279000,5630000,2000000,4529000,6050000,2276000
34,Net Receivables,- -,1400000,1500000,2700000,5010000,2585000,3584000,518000,242000,14668539,12157870,13980982,18326250,9435003,11461602,14522393,11620325,- -,25441827,35077531,44288000,49457000,46383000,42604000,59361000,68572000
35,Inventory,- -,- -,- -,900000,1471000,2606000,2584000,2098000,- -,17880805,21017679,23489768,32317350,17726138,21272658,28351131,24005885,- -,1999028,6173177,8873000,9376000,7656000,6777000,7453000,7654000
36,Other Current Assets,7900000,500000,500000,900000,8449000,628000,1178000,312000,17000,2167382,1397005,1536173,813115,612883,1078846,4369931,7537701,129492,5680490,6354569,5544000,5783000,5726000,5515000,9748000,10894000
37,Total Current Assets,8200000,6100000,4300000,11500000,58351000,26401000,7943000,4418000,934000,35715561,35113405,39605986,52408518,28553865,34204576,48525683,45987487,27954818,43199646,52708739,63984000,70246000,61765000,59425000,82612000,89396000
38,PP&E,3100000,4700000,4900000,4400000,12186000,6817000,4560000,1536000,25000,5567745,4837580,4115182,3409773,3307614,2907092,2533245,2242853,- -,9061044,50259549,51811000,54335000,60162000,69870000,68383000,92978000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22283308,52522675,53417000,54964000,56372000,59047000,- -,- -
40,Intangible Assets,- -,6300000,6500000,13700000,201606000,10785000,4924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16779458,41344223,38196000,43179000,42400000,41148000,35887000,30611000
41,Intangible Assets,- -,6300000,6500000,13700000,201606000,10785000,4924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39062766,93866898,91613000,98143000,98772000,100195000,35887000,30611000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,216035,75000,75000,1118935,1118935,241769,90228,90228,102077,102077,102077,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5446581,- -,- -,11052000,7639000,- -,- -,- -
44,Other Non-Current Assets,- -,100000,- -,700000,5804000,4703000,2560000,125000,546000,422913,378391,915435,- -,621528,1101172,1323179,498954,- -,398585,5964691,11318000,5353000,3130000,1687000,3362000,1668000
45,Total Non-Current Assets,3100000,11100000,11400000,18800000,219596000,22305000,12044000,1661000,571000,6206693,5290971,5105617,4528708,5048077,4250033,3946652,2832035,102077,54071053,150193215,154742000,168883000,169703000,171752000,107632000,125257000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11300000,17200000,15700000,30300000,277947000,48706000,19987000,6079000,1505000,41922254,40404376,44711603,56937226,33601942,38454609,52472335,48819522,28056895,97270699,202901954,218726000,239129000,231468000,231177000,190244000,214653000
48,Accounts Payable,500000,500000,900000,1400000,2077000,2820000,1931000,2019000,910000,9008612,9796915,10065153,14976957,7981779,6111990,9888998,7619591,- -,5852612,7345990,13258000,15597000,12692000,15070000,18170000,15241000
49,Short-Term Debt,- -,900000,800000,900000,2145000,2715000,18214000,- -,- -,19381635,17705596,13992619,18584155,4659431,16542734,2707000,4000000,- -,4700177,8705368,12939000,14419000,11504000,11654000,12264000,765000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528494,189140,328073,867300,50485,- -,251206,800135,633000,346000,397000,478000,105000,181000
51,Deferred Revenue,- -,- -,- -,- -,- -,1751000,548000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2732588,1453516,2981000,5755000,3179000,1965000,8768000,4053000
52,Other Current Liabilities,- -,1500000,2000000,2100000,5492000,8349000,4665000,4577000,3477000,6245985,6853551,13653393,15293446,10071120,7892271,8706728,4871871,298466,10166320,12751686,13979000,13935000,16578000,17574000,21389000,38869000
53,Total Current Liabilities,500000,2900000,3700000,4400000,9714000,15635000,25358000,6596000,4387000,34636232,34356062,37711165,48854558,22712330,30546995,21302726,16491462,298466,23451697,30256560,43157000,49706000,43953000,46263000,60591000,58928000
54,Long-Term Debt,- -,5300000,3500000,6600000,19766000,18630000,- -,4913000,4914000,53369772,42653622,- -,34116187,34075980,32853374,40557307,26165228,- -,16400000,95177661,91076000,82083000,83389000,82986000,87235000,5490000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,709002,211118,3783000,3111000,1374000,349000,2358000,369000
56,Deferred Tax Liabilities,- -,- -,- -,- -,4053000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403746,- -,5446581,8179901,1430000,- -,- -,2795000,987000,852000
57,Other Non-Current Liabilities,-100000,- -,- -,100000,- -,931000,509000,- -,5269000,33516600,40823106,65105231,23240160,25289988,12703691,17188749,19069929,- -,3435972,4690629,5333000,8476000,11224000,15668000,22017000,136438000
58,Total Non-Current Liabilities,-100000,5300000,3500000,6700000,23819000,19561000,509000,4913000,10183000,86886372,83476728,65105231,57356347,59365968,45557065,57746056,45638903,- -,25991555,108259309,101622000,93670000,95987000,101798000,112597000,143149000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1684320,1312064,879965,378406,459125,324025,171792,- -,- -,43388,1937983,4751000,7250000,7336000,5158000,5337000,- -
61,Total Liabilities,400000,8200000,7200000,11100000,33533000,35196000,25867000,11509000,14570000,121522604,117832790,102816396,106210905,82078298,76104060,79048782,62130365,298466,49443252,138515869,144779000,143376000,139940000,148061000,173188000,202077000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,5269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,280000,301000,336000,398000,398000,398486,398486,400236,465335,486651,497295,569340,572466,267612,312786,350886,346000,371000,381000,422000,423000,424000
64,Retained Earnings,-5400000,-11500000,-18800000,-28000000,-77846000,-315649000,-336161000,-341468000,-343834000,-347265398,-344833212,-338172285,-331840487,-331787326,-326098926,-314681795,-301405879,-235235946,-219586160,-207693608,-196769000,-181096000,-188428000,-204407000,-271560000,-276203000
65,Other Comprehensive Income/Loss,-700000,-1500000,-2700000,-3800000,-4290000,-3593000,-3497000,- -,-115000,-1062267,-1792432,-2514830,-3220238,-1799589,-2200111,-2573958,-2934624,- -,-10626241,-7746708,-16930000,-28755000,-41669000,-56775000,-69355000,- -
66,Other Total Stockholders Equity,17000000,22000000,30000000,50900000,326270000,332451000,333442000,330371000,330486000,268328829,268798744,280776393,285321711,284623908,286087799,290109966,290457194,262726763,277727062,279475529,287300000,305233000,321244000,343876000,357548000,288355000
67,Total Stockholders Equity,10900000,9000000,8500000,19200000,244414000,13510000,-5880000,-5430000,-13065000,-79600350,-77428414,-59510486,-49273679,-48476356,-41713943,-26576447,-13310843,27758429,47827447,64386099,73947000,95753000,91528000,83116000,17056000,12576000
68,Total Liabilities And Stockholders Equity,11300000,17200000,15700000,30300000,277947000,48706000,19987000,6079000,1505000,41922254,40404376,43305910,56937226,33601942,34390117,52472335,48819522,28056895,97270699,202901968,218726000,239129000,231468000,231177000,190244000,214653000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1405693,- -,- -,4064492,- -,- -,- -,- -,-14,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11300000,17200000,15700000,30300000,277947000,48706000,19987000,6079000,1505000,41922254,40404376,44711603,56937226,33601942,38454609,52472335,48819522,28056895,97270699,202901954,218726000,239129000,231468000,231177000,190244000,214653000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438731/000156459016030454/0001564590-16-030454-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459017025100/0001564590-17-025100-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459018030991/0001564590-18-030991-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459019046710/0001564590-19-046710-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459020057536/0001564590-20-057536-index.htm,https://www.sec.gov/Archives/edgar/data/1438731/000156459021060735/0001564590-21-060735-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1900000,-6200000,-7200000,-9200000,-49888000,-237803000,-20512000,-3128000,-2366000,-3430562,2432187,6572043,6331798,53161,5688400,11417131,13275916,66169933,15649786,11892552,10925000,15673000,-7332000,-15979000,-67674000,-4643000
74,Depreciation and Amortization,300000,1300000,1800000,2200000,34908000,6321000,3668000,775000,22000,638196,730165,722397,705408,768823,400522,550559,360666,- -,4499805,7169827,13260000,16611000,19048000,20553000,20341000,21567000
75,Deferred Income Tax,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6750000,-12482000,3413000,9537000,-1808000,-135000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148760,239036,212120,154731,18273,62500,475940,1508672,784000,810000,1054000,667000,381000,163000
77,Change in Working Capital,100000,-4500000,-2600000,6500000,41537000,-37871000,-28181000,15237000,-1275000,4532329,-321986,1137478,1659139,2287575,-2183954,23565376,2273068,-1839673,-7908403,2704230,-1625179,-287000,-2728000,-4650000,8859000,8447000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2510668,-1823112,-4230992,8975276,-1509638,-3364963,3142854,- -,-5865179,-1832130,-7885000,-1899000,-108000,4620000,-18962000,-12085000
79,Inventory,- -,- -,- -,-100000,-619000,-1135000,22000,888000,- -,881413,-3136876,-2472086,-8827582,14591212,-3546520,-7078473,4345246,- -,-599687,73865,-1688000,-562000,3075000,703000,-938000,25000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268238,- -,- -,-1869789,- -,-2269407,- -,1945423,-879549,4834000,1838000,-2905000,2378000,3100000,-1033000
81,Other Working Capital,7700000,3200000,600000,7100000,48637000,10766000,-17415000,-2178000,-3453000,1079329,757343,1894821,3553960,5841535,3657581,27222957,29496025,27656352,19747949,22452179,20827000,20540000,17812000,13162000,22021000,30468000
82,Other Non-Cash Items,- -,4000000,3600000,-7100000,-45128000,248452000,29890000,-16038000,2718000,-6040358,6257894,-8207886,-5745409,11897587,-7516685,-27537036,-1188637,-74392948,1660953,-11872906,-1097821,4908000,4307000,14489000,52804000,-12949000
83,Cash Provided by Operating Activities,-1500000,-5300000,-4400000,-7600000,-18571000,-20901000,-15135000,-3154000,-901000,-4300395,9098260,224032,3099696,15246182,-3399597,8150761,14739286,-10000188,14378081,11402375,15496000,25233000,17762000,24617000,12903000,12450000
84,CAPEX,-900000,-6000000,-2200000,-5500000,-6739000,-1795000,-1410000,-86000,- -,- -,- -,- -,- -,- -,- -,- -,-70274,- -,-4263169,-7083649,-3638000,-9288000,-8598000,-18295000,-9550000,-8876000
85,Acquisitions Net,- -,- -,- -,- -,-6536000,-100000,-1050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500000,-24680306,-88284548,-6575000,-8037000,-9000000,-3466000,- -,- -
86,Purchases of Investments,-7900000,- -,- -,- -,-25189000,- -,- -,- -,- -,- -,- -,- -,-212500,- -,-29269,- -,- -,-11849,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,7900000,- -,- -,- -,19534000,5655000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,394467,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-100000,100000,-300000,-559000,557000,- -,681000,1045000,506149,-75000,- -,- -,- -,- -,- -,- -,- -,- -,60000,-2595000,-9136000,-8054000,-17977000,-9549000,-8136000
89,Cash Used for Investing Activites,-8800000,1800000,-2100000,-5800000,-39023000,18196000,3195000,595000,1045000,506149,-75000,- -,-212500,- -,-29269,- -,-70274,112882618,-28943475,-95308197,-9170000,-17173000,-17054000,-21443000,-9549000,-8136000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234277,-12380410,-604812,- -,-5822929,-6669139,-3666947,-3540790,-11167015,-6754852,-23707769,-12253000,-13290000,-16373000,-2955000,-2815000,-4190000
91,Common Stock Issued,9700000,3800000,4600000,15400000,56447000,162000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000,2240000,1710000,- -,- -,1500000,7011000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-239000,-590000,- -,- -,- -,- -,- -,- -,- -,-5652680,38843,- -,-47493830,-786707,-1155106,-2063000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3500000,- -,2800000,12333000,-523000,-1800000,-5018000,- -,3439284,2899166,438991,-2534456,-9595215,15362314,-3631899,-9586874,-19265835,2119928,102083858,8166000,5581000,10535000,-4701000,982000,-3898000
95,Cash Used/Provided by Financing Activities,9700000,7300000,4600000,18200000,68780000,-600000,-2390000,-5018000,- -,3205007,-9481244,-165821,-2534456,-15418144,3040495,-7260003,-13127664,-77880680,-3181631,78930983,-6150000,-7709000,-4338000,-645000,-1833000,-8088000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,9700000,7300000,4600000,4700000,11186000,-3305000,-14330000,-7577000,144000,323955,-457984,58211,352740,-171962,-388371,890758,1541348,25001750,-17747025,-4974839,176000,351000,-3630000,2529000,1521000,-3774000
98,Cash at the End of Period,- -,- -,- -,7000000,18232000,14927000,597000,1490000,675000,998835,540848,599062,951803,779841,391470,1282228,2823576,27825326,10078301,5103462,5279000,5630000,2000000,4529000,6050000,2276000
99,Cash at the Beginning of Period,800000,300000,4200000,2300000,7046000,18232000,14927000,9067000,531000,674880,998832,540851,599063,951803,779841,391470,1282228,2823576,27825326,10078301,5103000,5279000,5630000,2000000,4529000,6050000
100,Free Cash Flow,-2400000,-11300000,-6600000,-13100000,-25310000,-22696000,-16545000,-3240000,-901000,-4300395,9098260,224032,3099696,15246182,-3399597,8150761,14669012,-10000188,10114912,4318726,11858000,15945000,9164000,6322000,3353000,3574000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1438731/000156459016030454/0001564590-16-030454-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459017025100/0001564590-17-025100-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459018030991/0001564590-18-030991-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459019046710/0001564590-19-046710-index.html,https://www.sec.gov/Archives/edgar/data/1438731/000156459020057536/0001564590-20-057536-index.htm,https://www.sec.gov/Archives/edgar/data/1438731/000156459021060735/0001564590-21-060735-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
