,https://roic.ai/company/RGEN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,9900000,- -,- -,- -,-100000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,230518,200342,143043,82398,642447,584162,2133339,3457631,5879013,4708000,3802000,2343000,4125000,29321000,1324000,97053000
58,Total Non-Current Liabilities,10000000,200000,100000,100000,-100000,- -,- -,4600000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,100000,119891,230518,200342,143043,82398,642447,584162,2133339,3457631,5879013,4708000,99074000,126760000,29211000,292032000,54781000,233025000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30552000,31679000,110795000
61,Total Liabilities,11000000,1800000,2500000,2800000,3400000,3300000,3300000,14600000,12900000,15700000,4400000,700000,400000,600000,1197085,1256824,2666759,2243388,2450867,3317474,3166312,3537585,4732853,4631311,5299587,5207286,12885567,14758802,16561426,23489000,120149000,151971000,159053000,340345000,373737000,608287000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263159,266289,266427,273390,300361,300944,303776,304776,310729,307417,307618,308123,311950,319257,327744,329000,338000,436000,439000,521000,548000,553000
64,Retained Earnings,-3600000,-24800000,-24500000,-27900000,-30300000,-36000000,-48700000,-60000000,-79600000,-111500000,-123000000,-123500000,-124300000,-126900000,-130679941,-135958808,-140419425,-144956497,-154507357,-157490931,-156794071,-157683334,-120576820,-113857261,-117921105,-117964614,-105150577,-89057422,-80887208,-71542000,-59861000,-31508000,-15568000,5843000,65769000,194060000
65,Other Comprehensive Income/Loss,-1300000,-1000000,-1500000,-2000000,-2800000,-3700000,-4800000,-6100000,-8300000,-15300000,-200000,-300000,-600000,-900000,-1187343,-1464195,-1721732,-2013828,-1689625,-1766585,-2074049,-2613081,-3417941,-4216430,-5466354,-6793984,1911970,2000000,-6000000,-9000000,-14000000,-6000000,-12000000,-15000000,2085000,-16886000
66,Other Total Stockholders Equity,4200000,47000000,51000000,51800000,61100000,73500000,104400000,115000000,134600000,142400000,128000000,128700000,131000000,132400000,166694527,168047879,168319386,171246803,183060624,183246230,183997373,185529937,187790886,186889705,189200217,191537179,187051253,190624267,198291272,202961000,242287000,628620000,642697000,1068404000,1460748000,1572340000
67,Total Stockholders Equity,-700000,21200000,25000000,21900000,28000000,33800000,50900000,48900000,46700000,15600000,4800000,4900000,6100000,4600000,35090402,30891165,26444656,24549868,27164003,24289658,25433029,25538298,64106854,69123431,66120376,67086704,84124596,103886102,111731808,122748000,168764000,591548000,615568000,1059768000,1529150000,1750067000
68,Total Liabilities And Stockholders Equity,10300000,23000000,27500000,24700000,31400000,37100000,54200000,63500000,59600000,31300000,9200000,5600000,6500000,5200000,36287487,32147989,29111415,26793256,29614870,27607132,28599341,29075883,68839707,73754742,71419963,72293990,97010163,118644904,128293234,146237000,288913000,743519000,774621000,1400113000,1902887000,2358354000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10300000,23000000,27500000,24700000,31400000,37100000,54200000,63500000,59600000,31300000,9200000,5600000,6500000,5200000,36287487,32147989,29111415,26793256,29614870,27607132,28599341,29075883,68839707,73754742,71419963,72293990,97010163,118644904,128293234,146237000,288913000,743519000,774621000,1400113000,1902887000,2358354000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730272/000119312505124977/0001193125-05-124977-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312506127642/0001193125-06-127642-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312507132409/0001193125-07-132409-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312508133668/0001193125-08-133668-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312509129275/0001193125-09-129275-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312510136879/0001193125-10-136879-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312511161972/0001193125-11-161972-index.html,- -,https://www.sec.gov/Archives/edgar/data/730272/000119312514099241/0001193125-14-099241-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312515095569/d854858d10k.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312516478518/0001193125-16-478518-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312517054220/0001193125-17-054220-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312518054262/0001193125-18-054262-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312519060645/0001193125-19-060645-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312520050136/0001193125-20-050136-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312521054675/0001193125-21-054675-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000095017022001430/0000950170-22-001430-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-5700000,-12800000,-11300000,-19500000,-32000000,-11500000,-500000,-800000,-2500000,-3816383,-5278867,-4460617,-4537072,-9550860,-2983574,696860,-889263,37106514,5746028,-4063844,-43509,14156037,16093155,8170214,9345000,11681000,28353000,16617000,21411000,59926000,128291000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,900000,1100000,1700000,2400000,2600000,1400000,200000,200000,300000,324409,276852,257537,802228,886705,756258,398434,539032,824626,1077347,1378999,1674528,3508592,3113892,4019387,4594000,5334000,10507000,15778000,20868000,27067000,38447000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3143268,2787967,295095,-118000,-4092000,-24679000,71000,-624000,-3992000,6517000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823245,1006798,1003266,1024152,1059806,1766532,3598000,4595000,6747000,10192000,12847000,17007000,27500000
77,Change in Working Capital,- -,- -,- -,- -,- -,-900000,11600000,-3100000,1500000,-23500000,-4800000,-200000,1400000,-1500000,30572768,-10075084,-3820818,-4975032,-1918095,1989723,2901176,3819144,27437594,403427,4789092,-3803003,4236331,19592205,-4786199,14207771,78607000,54493000,-71674000,447618000,-10089000,-102128000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520822,-29259,-689569,-1211343,-773954,-1596803,-3729000,-3222000,-6888000,-6101000,-7726000,-21020000,-46523000
79,Inventory,- -,- -,- -,- -,- -,-200000,-100000,-1500000,600000,100000,500000,200000,-200000,- -,82882,-87276,-281368,26167,10543,246067,-832278,-48979,-1289676,391020,212087,247164,2734239,-625895,-860124,-6149000,-6163000,605000,-4042000,-9314000,-29260000,-89781000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-799337,-931567,-60404,1001546,-733728,2288064,3024000,-1802000,807000,2266000,662000,2462000,19523000
81,Other Working Capital,- -,- -,- -,- -,- -,22500000,34100000,31000000,32500000,9000000,4200000,4000000,5400000,3900000,34472768,24397684,20576866,15601834,13683739,15673462,18574638,22393782,49831376,50234803,55023895,51220892,55457223,75049428,70263229,84471000,163078000,217571000,145897000,593515000,583426000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-8500000,10800000,-9200000,38300000,5600000,-2700000,-1500000,2500000,-30215294,10456792,3269726,3452186,4863881,-557684,-3581086,-3063431,-26902133,-1742903,-5559399,4400481,-6342236,-16717058,8936269,-16573771,-88604000,-57970000,61786000,-434904000,-27294000,20389000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-5700000,-8600000,-1900000,-24800000,-14600000,-9300000,-3200000,-700000,-1200000,-3134500,-4620307,-4754172,-5257690,-5718369,-795277,415384,405482,38466601,6307144,-2448354,3231763,13439608,25929967,18401298,15053000,7521000,17451000,32770000,67216000,62625000,119016000
84,CAPEX,- -,- -,- -,- -,- -,-1100000,-1300000,-18200000,- -,-600000,-500000,-400000,-100000,-300000,-217256,-184721,-307971,-1083571,-307773,-52658,-735495,-1326529,-1102585,-1339999,-597349,-524666,-1263647,-4634776,-5602547,-2628000,-4325000,-5454000,-14037000,-23154000,-26344000,-71276000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1780000,-300000,- -,- -,-21235937,- -,-44614000,-112795000,- -,-182154000,-175041000,-149893000
