,https://roic.ai/company/CXXIF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,334091,222334,152593,126664,110029,185162,192108,189423,291746,185692,607368,237619,415721,191886,171056,358005,73505,71439,52359,627056,14127809,38921085,27220051
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158,17,- -,- -,- -,- -,- -,- -,- -,- -,337986,2353,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4782,3385,1816,1604,883,- -,- -,- -,- -,- -,1384163,4300751,4488123
14,Depreciation and Amortization,106956,12798,3545,2142,2192,14592,11294,18226,21942,27194,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,879376,4981575,3375999
15,EBITDA,-529584,-198070,-235912,-130782,-627968,-157355,-157715,-1240197,-116404,35018,-1316705,-599791,-1000883,-102986,424179,-350825,-70072,-74924,-52359,-627056,-21337631,-19558641,4124151
16,EBITDA ratio,-6.1258,-5.6258,-42.8825,-16.2674,-269.1611,-5.8347,-17.5931,-43.5507,-3.3951,0.3199,-5.2838,-4.3011,-7.0088,-0.7782,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.2528,-0.5187,0.1142
17,Operating Income,-616371,-187127,-190713,-118625,-618824,-158193,-156617,-1257228,-281498,-78484,-1321645,-584468,-1000883,-102986,-171056,- -,- -,- -,- -,- -,-12026848,-1181107,7522313
18,Operating Income ratio,-7.1296,-5.3150,-34.6665,-14.7552,-265.2420,-5.8657,-17.4707,-44.1487,-8.2104,-0.7170,-5.3036,-4.1913,-7.0088,-0.7782,-Infinity,- -,- -,- -,- -,- -,-4.6516,-0.0313,0.2082
19,Total Other Income Expenses (Gains),-355561,-5206,-81157,- -,-511128,-2,29217,-1096282,143152,86308,158,-18708,-1816,-1604,-596118,-7180,-3433,3486,- -,- -,-11574322,-27659860,-11262284
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-138346,7824,-1321487,-603176,-1002699,-104589,-767174,-365185,-76938,-67953,-52359,-627056,-23601170,-28840967,-3739971
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-4.0351,0.0715,-5.3030,-4.3254,-7.0216,-0.7903,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.1282,-0.7649,-0.1035
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-352886,- -,-5271,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3714666,2366046
23,Net Income,-636541,-210867,-239456,-132924,-630160,-171947,-169009,-1258422,214540,7824,-1316217,-603176,-1002699,-104589,-730525,-365185,-76938,-67953,-52359,-627056,-23601170,-32555633,-6106017
24,Net Income ratio,-7.3629,-5.9893,-43.5268,-16.5338,-270.1006,-6.3757,-18.8530,-44.1907,6.2575,0.0715,-5.2819,-4.3254,-7.0216,-0.7903,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.1282,-0.8634,-0.1690
25,EPS,-2.65,-0.69,-0.67,-0.63,-1.97,-0.75,-0.81,-2.62,0.41,0.01,-2.43,-0.94,-1.00,-0.11,-0.70,-0.18,-0.08,-0.07,-0.02,-0.12,-0.77,-0.42,-0.06
26,EPS Diluted,-2.65,-0.69,-0.67,-0.63,-1.97,-0.75,-0.81,-2.62,0.41,0.01,-2.43,-0.94,-1.00,-0.11,-0.70,-0.18,-0.08,-0.07,-0.02,-0.12,-0.77,-0.42,-0.06
27,Weighted Average Shares Outstanding,227645,281645,317145,321542,346940,369137,382520,450567,521444,607295,617989,672000,849132,994695,1156826,1854695,1854695,1873530,1979695,5004353,31001645,76683895,104841540
28,Weighted Average Shares Outstanding Diluted,227645,281645,317145,321542,346940,369137,382520,450567,521444,607295,617989,672000,849132,994695,1156826,1854695,1854695,1873530,1979695,5004353,31001645,76683895,104841540
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,41626,1512,76683,124365,437340,109775,1822,100612,518061,19253,234604,2607,106,74,65,208478,9067095,3076493,6237182
32,Short-Term Investments,- -,- -,- -,- -,- -,17830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,41626,19343,76683,124365,437340,109775,1822,100612,518061,19253,234604,2607,106,74,65,208478,9067095,3076493,6237182
34,Net Receivables,- -,- -,- -,- -,1089,12708,1265,19886,47478,9676,10890,16797,93891,55584,21223,4861,1075,2915,4333,12094,79953,443122,209872
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8729574,7600114,6758508
36,Other Current Assets,- -,- -,- -,- -,- -,0,- -,0,596163,-0,- -,- -,2667,- -,- -,0,- -,-0,- -,9727,608002,543482,2374559
37,Total Current Assets,- -,- -,- -,- -,42715,32051,77948,144252,1080981,119451,12712,117409,614619,74837,255827,7468,1181,2990,4398,230299,18484624,11663211,15580121
38,PP&E,- -,- -,- -,- -,1272323,1238206,1302640,339094,1040085,2085734,291140,377583,669866,935617,397968,1853,1082,- -,- -,- -,9826621,8494818,13682365
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29230651,28541323,28541323
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13368580,12704626,10957961
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42599231,41245949,39499284
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29775,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,15527,- -,- -,- -,848,20919,418244,- -,- -,- -,52512,51511,45619,41890,45018,48242,6522550,46106,47739
45,Total Non-Current Assets,- -,- -,- -,- -,1287850,1238206,1302640,339094,1040933,2106653,739160,377583,669866,935617,450480,53365,46701,41890,45018,48242,58948402,49786873,53229388
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1330564,1270257,1380588,483346,2121913,2226104,751872,494992,1284486,1010454,706306,60833,47882,44880,49416,278541,77433026,61450084,68809509
48,Accounts Payable,- -,- -,- -,- -,213210,30894,8514,16426,34535,107389,- -,- -,- -,- -,73787,175389,199489,241232,305574,106984,1398196,1136955,1382519
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52706,- -,- -,- -,- -,- -,- -,- -,- -,- -,25421265,30568564,9036366
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3714666,3378299
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,260724,4281,15325,28405,276207,106775,6508,8886,33529,35749,43769,44634,4981285,6912241,5305956
53,Total Current Liabilities,- -,- -,- -,- -,213210,30894,8514,16426,295259,111669,68032,28405,276207,106775,80295,184276,233018,276982,349343,151618,31800746,38617760,15724841
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21005483,1630282,8568953
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,139939,162482,117813,136742,- -,- -,- -,- -,- -,- -,39353,63001,55221,50295,53646,56982,3540184,7622489,19177214
58,Total Non-Current Liabilities,- -,- -,- -,- -,139939,162482,117813,136742,- -,- -,- -,- -,- -,- -,39353,63001,55221,50295,53646,56982,24545667,9252771,27746167
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7907965,5001360,10129072
61,Total Liabilities,- -,- -,- -,- -,353149,193377,126327,153168,295259,111669,68032,28405,276207,106775,119649,247277,288239,327276,402989,208600,56346413,47870531,43471008
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10910869,- -,- -,- -,15810974,14204493,12450284,11344103,12100007,13654205,52923983,76028268,92237648
64,Retained Earnings,- -,- -,- -,- -,-6401448,-7523274,-8209482,-10158662,-9633661,-11352307,-10556851,-12792331,-14632115,-15158264,-15889545,-14988567,-13214465,-12103595,-12962466,-14395605,-37954751,-70510384,-76616401
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-52043,54680,76717,-2337189,- -,- -,13558,- -,-358532,- -,- -,597630,523824,477095,508886,811340,5072500,6960789,9067326
66,Other Total Stockholders Equity,- -,- -,- -,- -,7430907,8661949,9463742,12826029,11460316,13466742,316265,13258919,15998925,16061943,665229,-0,0,0,-0,0,1044881,1100881,649928
67,Total Stockholders Equity,- -,- -,- -,- -,977415,1076880,1254261,330178,1826655,2114435,683840,466587,1008278,903679,586658,-186444,-240357,-282397,-353573,69941,21086613,13579554,25338501
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1330564,1270257,1380588,483346,2121913,2226104,751872,494992,1284486,1010454,706306,60833,47882,44880,49416,278541,77433026,61450085,68809509
69,Minority Interest,- -,- -,- -,- -,0,- -,-0,0,- -,0,0,- -,0,0,0,-0,0,-0,0,0,- -,-1,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,1330564,1270257,1380588,483346,2121913,2226104,751872,494992,1284486,1010454,706306,60833,47882,44880,49416,278541,77433026,61450084,68809509
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-636541,-210867,-239456,-132924,-630160,-171947,-169009,-1258422,214540,7824,-1316217,-603176,-1002699,-104589,-730525,-365185,-76938,-67953,-52359,-627056,-23601170,-32555633,-6106017
74,Depreciation and Amortization,106956,12798,3545,2142,2192,14592,11294,18226,21942,27194,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,879376,4981575,3375999
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-352886,-59770,-5271,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3714666,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142529,30136,132312,- -,- -,- -,- -,- -,- -,270809,4574237,492631,494435
77,Change in Working Capital,-52789,38571,-93705,178498,29844,-32403,-12188,-11319,-9589,34521,-11284,6486,-89151,76885,41277,153992,71795,62814,52682,-163718,628654,-1403595,-2028911
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11797,- -,- -,- -,- -,- -,-176490,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37160,1401762,1257981
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429269
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7591,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,368733,14110,85995,-0,511128,54682,15588,1107780,113898,2256,1149187,501638,727965,43444,565308,7180,3433,5457,0,- -,6152050,30280220,14188219
83,Cash Provided by Operating Activities,-213641,-145389,-243621,47716,-86995,-135077,-154315,-143736,-12095,12026,-41055,-64915,-231573,15739,-123939,-204013,-1710,318,323,-519966,-11366853,5509864,9923725
84,CAPEX,-63895,-530124,-79996,-135923,-30331,-2608,-12816,-41355,-752821,- -,-181083,-41426,-739108,-514542,-51584,- -,- -,- -,- -,- -,-212959,-509624,-227777
85,Acquisitions Net,-3150,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12218400,-4033117,-976256
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-848,-810324,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,21746,- -,- -,- -,811,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,276638,130476,69582,- -,-15526,14145,22211,- -,-314518,394166,-0,- -,- -,-514542,-22585,-4336,-469,-341,-337,-424,-6245000,- -,100000
89,Cash Used for Investing Activites,209592,-399648,-10414,-135923,-45857,11537,31140,-41355,-1068188,-416158,-180272,-41426,-739108,-514542,-74170,-4336,-469,-341,-337,-424,-18676359,-4542741,-1104033
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60856,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10927812,-8746420
91,Common Stock Issued,151390,541057,242412,63060,188287,75472,254079,217306,1529620,- -,81087,265705,1381546,- -,428945,- -,- -,- -,- -,737607,3971266,5695345,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-108703,- -,18469,22182,-24411,1779,-55839,9016,-132563,- -,52706,0,- -,- -,-15486,192,- -,- -,- -,-8808,35196052,-1869046,3051356
95,Cash Used/Provided by Financing Activities,42687,541057,260881,85242,163876,77251,198240,226322,1397057,- -,133793,204850,1381546,- -,413459,192,- -,- -,- -,728798,39167318,-7101513,-5695064
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-266246,143788,36061
97,Net Change In Cash,38639,-3980,6845,-2965,31024,-46290,75066,41230,316775,-404132,-87534,98509,410865,-498803,215350,-208157,-2179,-22,-14,208409,8857860,-5990602,3160689
98,Cash at the End of Period,10825,7299,13913,10173,41626,1512,76683,124365,437340,109775,1822,100612,518061,19253,234604,2607,106,74,65,208478,9067095,3076493,6237182
99,Cash at the Beginning of Period,-27814,11279,7068,13138,10602,47802,1617,83135,120565,513907,89356,2104,107196,518056,19254,210764,2285,97,79,69,209235,9067095,3076493
100,Free Cash Flow,-277536,-675514,-323617,-88207,-117326,-137685,-167131,-185091,-764916,12026,-222137,-106341,-970681,-498803,-175523,-204013,-1710,318,323,-519966,-11579812,5000240,9695948
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
