,https://roic.ai/company/SCND,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100,8600,16100,22700,- -,- -,101600,106600,113600,25500,- -,- -,- -,30200,64200,100100,115800,136000,106200,146200,154500,275900,376100,392600,431100,537100,2489900
44,Other Non-Current Assets,- -,- -,- -,30000,30000,30000,30000,50000,80000,94300,118100,123900,135600,144100,159200,150900,146400,75400,72800,40000,38700,45700,46000,25700,25700,25700,25700,24100,28200,52500,52500,52500,297900,54700,56000,54300
45,Total Non-Current Assets,- -,- -,- -,90000,60000,50000,70000,80000,150000,208900,305900,336100,364300,367100,360200,459400,442400,357000,251300,211500,201000,903200,936600,927400,938600,876800,1809400,1650200,2927700,2599400,2182400,1912200,1934000,1684900,2510100,10575300
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,850000,810000,750000,930000,1290000,1620000,1779300,1839400,2110000,2256700,1958000,1690100,2095300,2239400,2216400,2470700,2779900,2970500,4137100,4776800,4831000,5165000,5013200,5772200,6153000,7111800,7141400,7549300,6827700,7325500,8276000,14797400,29006400
48,Accounts Payable,- -,- -,- -,80000,120000,60000,50000,40000,30000,86800,44500,82800,108600,244000,84000,152500,84400,58100,76000,82400,68100,231900,241800,137400,227700,128100,114800,156800,373700,227600,342400,139200,428000,569000,354700,453500
49,Short-Term Debt,- -,- -,- -,80000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75800,78300,26700,200000,6400,6700,5800,140000,833800,1026000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98500,15900,89500,76400,- -,- -,63800,- -,89000,- -
52,Other Current Liabilities,- -,- -,- -,100000,90000,110000,150000,200000,290000,178900,184600,266300,183100,94500,90300,73900,181200,126300,160100,237200,212300,541500,822200,783100,486000,284300,256500,426700,551800,626700,986200,666700,775700,876300,910700,807300
53,Total Current Liabilities,- -,- -,- -,260000,290000,170000,200000,240000,320000,265700,229100,349100,291700,338500,174300,226400,265600,184400,236100,319600,280400,773400,1064000,920500,713700,412400,545600,677700,1041700,1130700,1335000,812600,1273300,1585300,2188200,2286800
54,Long-Term Debt,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,26700,- -,- -,12500,5800,- -,- -,640800,460500
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3200,7600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,30000,40000,50300,64700,77900,87800,94300,106500,88900,59500,43800,36000,19400,- -,- -,- -,- -,- -,- -,88400,51600,391000,260300,269800,181300,350000,350000,247000,34300
58,Total Non-Current Liabilities,- -,- -,- -,10000,10000,- -,- -,30000,40000,50300,64700,77900,87800,94300,106500,88900,59500,43800,36000,22400,3200,7600,- -,- -,- -,- -,193400,78300,391000,260300,282300,187100,350000,350000,887800,494800
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,867700,731000
61,Total Liabilities,- -,- -,- -,270000,290000,170000,200000,270000,360000,316000,293800,427000,379500,432800,280800,315300,325100,228200,272100,342000,283600,781000,1064000,920500,713700,412400,739000,756000,1432700,1391000,1617300,999700,1623300,1935300,3076000,2781600
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,40000,40000,40000,40000,40000,40000,42300,42300,42300,42700,42800,42800,45800,48500,49000,49800,50000,51000,58200,60000,60600,60800,60800,67800,67900,74400,75400,75400,75700,75700,75700,144100,324000
64,Retained Earnings,- -,- -,- -,-250000,-300000,-250000,-90000,180000,430000,633300,714800,850500,1031000,666300,554000,879100,956300,1020100,1220500,1456700,1689300,1931300,2242600,2467600,2935500,3055400,3061700,3418000,3235300,3244000,3409600,3292300,3131800,3724700,3021400,-651100
65,Other Comprehensive Income/Loss,- -,- -,- -,-110000,-50000,-30000,-20000,-20000,-30000,- -,- -,- -,- -,-194200,-256000,-320800,-376100,-392700,-386400,-442800,-495000,-545500,-586900,-609300,-672500,-748700,-812600,-870700,-943100,-915300,-976500,-1045200,-1106400,-1174800,-1263800,-9200
66,Other Total Stockholders Equity,- -,- -,- -,890000,830000,820000,800000,820000,820000,787700,788500,790200,803500,1010300,1068500,1175900,1285600,1311800,1314700,1374000,1441600,1912100,1997100,1991600,2127500,2233300,2716300,2781800,3312500,3346300,3423500,3505200,3601100,3715100,9819700,26561100
67,Total Stockholders Equity,- -,- -,- -,570000,520000,580000,730000,1020000,1260000,1463300,1545600,1683000,1877200,1525200,1409300,1780000,1914300,1988200,2198600,2437900,2686900,3356100,3712800,3910500,4451300,4600800,5033200,5397000,5679100,5750400,5932000,5828000,5702200,6340700,11721400,26224800
68,Total Liabilities And Stockholders Equity,- -,- -,- -,840000,810000,750000,930000,1290000,1620000,1779300,1839400,2110000,2256700,1958000,1690100,2095300,2239400,2216400,2470700,2779900,2970500,4137100,4776800,4831000,5165000,5013200,5772200,6153000,7111800,7141400,7549300,6827700,7325500,8276000,14797400,29006400
69,Minority Interest,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,850000,810000,750000,930000,1290000,1620000,1779300,1839400,2110000,2256700,1958000,1690100,2095300,2239400,2216400,2470700,2779900,2970500,4137100,4776800,4831000,5165000,5013200,5772200,6153000,7111800,7141400,7549300,6827700,7325500,8276000,14797400,29006400
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87802/000008780208000012/0000087802-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/87802/000008780209000012/0000087802-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780210000017/0000087802-10-000017-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780211000020/0000087802-11-000020-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780212000010/0000087802-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780213000010/0000087802-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780214000008/0000087802-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780215000008/0000087802-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780216000019/0000087802-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/87802/000165495417008901/0001654954-17-008901-index.html,https://www.sec.gov/Archives/edgar/data/87802/000165495418010612/0001654954-18-010612-index.html,- -,https://www.sec.gov/Archives/edgar/data/87802/000165495420010982/0001654954-20-010982-index.htm,https://www.sec.gov/Archives/edgar/data/87802/000165495421011097/0001654954-21-011097-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,30000,-50000,50000,150000,270000,240000,206300,81500,135700,180500,-347600,-112300,325100,77200,63800,248700,304500,321700,312000,391500,319500,539700,227600,66100,396400,-75300,8700,165600,-72600,-160500,645600,-703300,-3672500
74,Depreciation and Amortization,- -,- -,- -,30000,30000,10000,10000,10000,10000,30600,52100,69400,77800,94500,92700,71800,65300,65400,68000,66600,78100,150100,213500,205500,197600,188400,185900,178800,262800,434800,641600,403900,305100,257300,160900,251500
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-10000,-10000,-26800,38400,-14500,7200,43900,- -,-101600,-5000,-7000,25800,41800,23700,4300,-43600,-56700,-42200,-24900,-19700,17600,-32100,-29800,-149200,-87600,112500,-38500,-106000,-1152500
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600,17400,21300,7000,8500,16000,10900,11800,2200,30000,46800,65800,2108000
77,Change in Working Capital,- -,- -,- -,-20000,-40000,70000,130000,310000,180000,154700,-300,120400,175900,-348300,-96800,253900,121900,143600,308300,265500,240300,-28600,315700,206900,529600,211300,-306800,407900,-682700,268900,620600,71000,15300,887600,5093300,-659100
78,Accounts Receivable,- -,- -,- -,- -,-120000,- -,20000,20000,-50000,-19100,86400,-97100,12200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-351900,-687800,874500,-3500,-192400,59200,-325000,-150200,-192500,-543300,-6500,906800,-75500
79,Inventory,- -,- -,- -,- -,70000,80000,-20000,-20000,110000,40900,-22500,-35400,-11000,-25000,-50900,-159500,-102700,96900,-84000,-134200,-129900,24900,-231800,-76600,325400,-367200,26100,-91900,-459600,95500,-198400,450900,-306700,-324400,-292400,-560000
80,Accounts Payable,- -,- -,- -,- -,-40000,60000,10000,10000,10000,53200,-42300,38300,25800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104400,90300,-99600,-13300,42000,216900,-146100,114800,-203200,288800,141000,-214400,79600
81,Other Working Capital,- -,- -,- -,500000,460000,530000,660000,970000,1150000,1304700,1304400,1424800,1600700,1252400,1155600,1409500,1531400,1675000,1983300,2248800,2489100,2460500,2776200,2983100,3512700,3724000,3417200,3825100,3142400,3411300,4031900,4102900,4118200,5005800,10099100,-20000
82,Other Non-Cash Items,- -,- -,- -,- -,30000,- -,-100000,-240000,-90000,-215700,-45100,-101500,-210500,218500,10800,-371000,-124900,-249700,-312800,-358500,-327600,-265700,-9900,-725600,-1126800,28800,399300,-444800,546300,-546100,-410000,-270800,-45500,-639300,-4678800,-176900
83,Cash Provided by Operating Activities,- -,- -,- -,40000,-30000,130000,190000,340000,330000,149100,126600,209500,230900,-339000,-105600,178200,134500,16100,338000,319900,336200,172100,867200,-47800,115300,652500,331800,564400,35000,147400,880400,46100,256900,1159500,-168100,-3301500
84,CAPEX,- -,- -,- -,-40000,- -,- -,-30000,- -,-50000,-56200,-108400,-75000,-75900,-91100,-74800,-77100,-43600,-63800,-53400,-53900,-68200,-79800,-71500,-75600,-33000,-73100,-340200,-50800,-752800,-73900,-105900,-33500,-65000,-212400,-76700,-257400
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-346500,-102800,-144900,-107000,-182600,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7239000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1011100,-1112300,-1444500,-1650700,-1193700,-159600,-487200,-446500,-355200,-337600,-548900,-344500,-23700,-23800,-17600,-14500,-14000,-10900,-920500,-25000,-3800,-2700,-18700,-14500,-157900,-63400,-9569000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,915500,948400,1286700,1504400,1693700,506900,246500,331500,190600,223400,318100,195900,475700,25000,50000,- -,- -,800,717600,518800,127000,- -,11100,- -,151900,55000,6181400
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-530000,-56200,-108400,-75000,-75900,-6700,-1400,-600,-600,16500,-1300,-30300,- -,- -,- -,-75600,-33000,-73100,-340200,-50800,-752800,-373900,197100,-33500,-65000,-212400,-75700,-257400
89,Cash Used for Investing Activites,- -,- -,- -,-40000,- -,- -,-30000,- -,-580000,-151800,-272300,-232800,-222200,402200,271100,-318400,-159200,-211900,-168900,-315000,-216800,25700,-173100,-188100,-154500,-269700,-350300,-253700,-259000,-250700,194400,-41100,-79500,-218400,-84100,-10884000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,-109200,-75800,-228300,-276700,-1171000,-256400,-46700,-55800,- -,-32700
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600,- -,- -,21000,46100,6600,13000,5900,13500,33200,62900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6004400,17080400
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48300,-68300,-89100,-70000,-80200,-94500,-71800,-107700,-59800,-40100,-107400,- -,- -,-44700,- -,-74700,- -,- -
94,Other Financing Activites,- -,- -,- -,30000,-10000,-90000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53300,5300,- -,49000,-36800,126100,368300,859200,76200,-102700,-261200,205000,-737500
95,Cash Used/Provided by Financing Activities,- -,- -,- -,30000,-10000,-90000,-10000,10000,- -,- -,- -,- -,10600,- -,- -,21000,46100,6600,-35300,-62400,-75600,-36800,-17300,-91200,-66500,-107700,-120000,-152700,-209600,91600,-311800,-224900,-149400,-391700,6209400,16310200
