,https://roic.ai/company/ARWR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-9414070,-9465690,-9043343,-9180896,-9366717,-9612924,-95238,-2592180,-9217004,-28476319,-58407437,-85496467,-104968819,-110742867,-113871752,-134997680,-166140969,-224771159,-316712041,-398435043,-432815338,-487265816,-419290967,-503844193,-644692000
65,Other Comprehensive Income/Loss,-77032,-92032,-61546,-69168,-10573,-81772,-90,-194126,-728450,-1088105,-1675998,-1596009,-1025392,-1176404,-340364,-1565783,-3081186,-4190230,-136425,7449,33232,-21564,-391624,18433,-69000
66,Other Total Stockholders Equity,6911739,6926740,8103877,8115849,8067540,8138739,1510410,12221044,36044924,60201474,86348781,99352135,110795719,120893238,126916799,146467751,196595952,395354788,426873358,493844909,514037301,582902694,664086155,965410146,- -
67,Total Stockholders Equity,-2576172,-2627693,-996100,-1129153,-1304474,-1550681,1419762,9448381,26127467,30671206,26303968,12302609,4857936,9045702,12791106,10012642,27498666,166540443,110176822,95579447,81422350,95796189,244591440,461779132,408822000
68,Total Liabilities And Stockholders Equity,107679,84781,82293,65149,46305,63561,1515939,10138079,27151531,33591440,29700343,17255442,7702174,13321948,16115501,17731551,39093508,183371944,132823102,128731693,104577468,112165139,350400625,522503743,710148000
69,Minority Interest,- -,1,- -,- -,- -,- -,- -,1777699,1889190,934438,152609,- -,- -,-967406,-226938,-1203733,-1763877,-555188,-555188,-555188,-555188,-555188,-555188,- -,- -
70,Total Liabilities & Equity,107679,84782,82293,65149,46305,63561,1515939,11915778,29040721,34525878,29852952,17255442,7702174,12354542,15888563,16527818,37329631,182816756,132267914,128176505,104022280,111609951,349845437,522503743,710148000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879407/000119312504214808/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312505247560/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312506253375/d10k.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312507265636/0001193125-07-265636-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312508253655/0001193125-08-253655-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312509258134/0001193125-09-258134-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312510286618/0001193125-10-286618-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312511347334/0001193125-11-347334-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312512517638/0001193125-12-517638-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459013001463/0001564590-13-001463-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459014005961/0001564590-14-005961-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459015011489/0001564590-15-011489-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459016030217/0001564590-16-030217-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459017024834/0001564590-17-024834-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459018030805/0001564590-18-030805-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459019044376/0001564590-19-044376-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459020054893/0001564590-20-054893-index.htm,https://www.sec.gov/Archives/edgar/data/879407/000156459021057888/0001564590-21-057888-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-854535,-51620,593003,-137553,-185821,-246207,-95238,-2496942,-6624824,-18997209,-29931118,-27089030,-19308392,-5774048,-3128885,-21125928,-31143289,-58630190,-91940882,-81723002,-34380295,-54450478,67974849,-84553226,-140848000
74,Depreciation and Amortization,103787,18312,8120,7622,3526,9078,90,74740,644006,886956,1003868,1133381,994604,654689,267977,1748975,1751412,1345655,2336207,3260045,4690440,4699275,4439144,5942264,8267000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2676170,1582149,1376921,1241404,1536271,5696173,10232897,11595816,7891595,8454607,12393323,43382988,76673000
77,Change in Working Capital,88057,11790,1628918,-130173,-132700,-282699,2972356,7389640,12982554,4065626,-3446504,-15574235,-6695501,3716212,3423696,-6039777,18879251,122835047,-55983156,-22111841,-15656893,17201791,101772491,113512826,226866000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65625,75000,- -,-75000,7203,-259578,-333986,-184312,-9409000
79,Inventory,24805,-767,2348,2073,6297,-7080,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-328719,-331718,157079,291876,321647,1412275,2497804,2554802,-3509995,-1270416,4843825,-821012,2628000
81,Other Working Capital,-2649755,-2637965,-1009047,-1139220,-1271920,-1554619,1417737,8807377,21789931,25855557,22409053,6834818,139317,3855529,7279225,1239448,20118699,142953746,86970590,64858749,49201856,66403647,168176138,281688964,224485000
82,Other Non-Cash Items,667253,-24629,-2265259,180017,233181,413997,-3034804,-7281854,-16101053,-746600,8506630,13945207,7055624,-7878279,-7330418,8834956,-10056825,-106663058,69647319,24551496,13516181,-23128612,-13544884,-173676422,266000
83,Cash Provided by Operating Activities,4562,-46147,-35218,-80087,-81814,-105831,-157596,-2314416,-9099317,-14791227,-23867124,-27584677,-15277495,-7699277,-5390709,-15340370,-19033180,-35416373,-65707615,-64427486,-23938972,-47223417,173034923,-95391570,171224000
84,CAPEX,- -,- -,- -,-742,- -,-1675,-2115,-665465,-672761,-934517,-756371,-684111,-40245,-5407,-9674,-479710,-296880,-1717362,-1970612,-3860237,-7918198,-1421252,-12001225,-11951712,-23567000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,305844,-8001000,- -,5136346,109375,- -,- -,-1700398,121033,- -,- -,-10000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18575915,- -,- -,- -,- -,- -,- -,-10732571,-46365528,- -,- -,-44974736,-52083131,-90266001,-278964290,-240703000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,489768,18968410,- -,- -,700000,- -,1534687,509009,1419079,11591120,26090950,17308000,4248716,46069420,54521219,50138238,122592000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,10453324,- -,- -,-2000000,79375,493000,- -,290312,89505,10000,500,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-742,- -,-1675,-2115,-359621,2269331,-542022,4379975,-2574736,739130,487593,-175385,440644,-9520867,-36481770,14120838,13447763,-48644218,-7434963,-47746007,-240777764,-141678000
90,Debt Repayment,-4427,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-810456,-726534,- -,-196606,-214801,-225406,-213991,-217549,-197790,-208506,-2415150,103437,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,4680,9871415,20744335,20886537,15586942,16272911,4758993,12165156,6226321,10966231,44506004,172641671,- -,52231433,12419119,56585035,60521739,250478974,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,46000,35324,82657,80133,125726,1510320,- -,- -,- -,- -,-140010,2516467,600000,- -,- -,- -,12878044,504512,3117933,-166020,3576497,8275410,7365462,11305000
95,Cash Used/Provided by Financing Activities,-4427,46000,34324,82657,80133,125726,1515000,9871415,20744335,20886537,15586942,16132901,6465004,12038622,6226321,10769625,44291203,185294309,290521,55131817,12055309,59953026,66381999,257947873,11305000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,131,-147,-894,1828,-1681,18220,- -,- -,13914349,5553288,-3900207,-14026512,-8073361,4826938,660227,-4130101,15737156,113396166,-51296256,4152094,-60527881,5294646,191670915,-78221461,40851000
98,Cash at the End of Period,1165,1018,124,1952,271,18491,1355289,7197378,22467016,28020304,24120097,10093585,2020224,6847162,7507389,3377288,19114444,132510610,81214354,85366448,24838567,30133213,221804128,143582667,184434000
99,Cash at the Beginning of Period,1034,1165,1018,124,1952,271,- -,- -,8552667,22467016,28020304,24120097,10093585,2020224,6847162,7507389,3377288,19114444,132510610,81214354,85366448,24838567,30133213,221804128,143583000
100,Free Cash Flow,4562,-46147,-35218,-80829,-81814,-107506,-159711,-2979881,-9772078,-15725744,-24623495,-28268788,-15317740,-7704684,-5400383,-15820080,-19330060,-37133735,-67678227,-68287723,-31857170,-48644669,161033698,-107343282,147657000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879407/000119312504214808/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312505247560/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312506253375/d10k.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312507265636/0001193125-07-265636-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312508253655/0001193125-08-253655-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312509258134/0001193125-09-258134-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312510286618/0001193125-10-286618-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312511347334/0001193125-11-347334-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312512517638/0001193125-12-517638-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459013001463/0001564590-13-001463-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459014005961/0001564590-14-005961-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459015011489/0001564590-15-011489-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459016030217/0001564590-16-030217-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459017024834/0001564590-17-024834-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459018030805/0001564590-18-030805-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459019044376/0001564590-19-044376-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459020054893/0001564590-20-054893-index.htm,https://www.sec.gov/Archives/edgar/data/879407/000156459021057888/0001564590-21-057888-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
