,https://roic.ai/company/TPIC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,- -,1279000,-6648000,7682000,13842000,43690000,5279000,-15708000,-19027000,-159548000
24,Net Income ratio,- -,0.0059,-0.0207,0.0131,0.0183,0.0470,0.0051,-0.0109,-0.0114,-0.0921
25,EPS,- -,-0.48,-0.78,0.29,0.48,1.29,0.15,-0.45,-0.54,-4.49
26,EPS Diluted,- -,-0.48,-0.78,0.29,0.48,1.25,0.15,-0.45,-0.54,-4.49
27,Weighted Average Shares Outstanding,- -,26549000,26549000,26549000,17530000,33844000,34311000,35062000,35532000,35532000
28,Weighted Average Shares Outstanding Diluted,- -,26555000,26555000,26555000,17616000,34862000,36002000,35062000,35532000,35532000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1455684/000156459017004685/0001564590-17-004685-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459018004934/0001564590-18-004934-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459019006097/0001564590-19-006097-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459020007922/0001564590-20-007922-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459021008945/0001564590-21-008945-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000095017022002105/0000950170-22-002105-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,3600000,11800000,43592000,45917000,119066000,148113000,85346000,70282000,129857000,242165000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3600000,11800000,43592000,45917000,119066000,148113000,85346000,70282000,129857000,242165000
34,Net Receivables,11200000,20800000,55492000,84965000,73071000,133083000,304683000,373214000,132768000,365800000
35,Inventory,29700000,39500000,99811000,100435000,105403000,131922000,5735000,6731000,10839000,11533000
36,Other Current Assets,4900000,8500000,10071000,21045000,27687000,19849000,18433000,18195000,274695000,40773000
37,Total Current Assets,49400000,80600000,208966000,252362000,325227000,432967000,414197000,468422000,548159000,660271000
38,PP&E,25300000,35000000,51799000,67732000,91166000,123480000,159423000,327358000,209001000,306770000
39,Goodwill,2800000,2800000,2807000,2807000,2807000,2807000,2807000,2807000,2807000,2807000
40,Intangible Assets,2700000,2000000,3138000,2215000,1913000,1858000,6836000,5691000,4146000,3540000
41,Intangible Assets,5500000,4800000,5945000,5022000,4720000,4665000,9643000,8498000,6953000,6347000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,355000,1661000,5131000,8304000,15296000,11209000,- -,21078000
44,Other Non-Current Assets,2200000,7100000,10895000,7363000,10962000,4118000,6296000,11190000,- -,13235000
45,Total Non-Current Assets,33000000,46900000,68994000,81778000,111979000,140567000,190658000,358255000,215954000,347430000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,82400000,127500000,277960000,334140000,437206000,573534000,604855000,826677000,764113000,1007701000
48,Accounts Payable,21800000,- -,66805000,101108000,112281000,166743000,199078000,293104000,295992000,336697000
49,Short-Term Debt,- -,1600000,64260000,52065000,33403000,35506000,27058000,30130000,58650000,89119000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,72743000,74425000,70958000,91182000,7143000,3008000,- -,1274000
52,Other Current Liabilities,45200000,102500000,5916000,13596000,19912000,29163000,36765000,47639000,51466000,42020000
53,Total Current Liabilities,67000000,104100000,209724000,241194000,236554000,322594000,270044000,373881000,406108000,469110000
54,Long-Term Debt,4200000,20800000,62720000,81501000,89752000,85879000,110565000,127888000,32551000,154687000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,5500000,7700000,192609000,202642000,4393000,4444000,3289000,119858000,8873000,261952000
58,Total Non-Current Liabilities,9700000,28500000,255329000,284143000,94145000,90323000,113854000,247746000,41424000,416639000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,390538000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,130512000,182024000,169160000
61,Total Liabilities,76700000,132600000,465053000,525337000,330699000,412917000,383898000,621627000,755222000,885749000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,337000,340000,347000,353000,- -,374000
64,Retained Earnings,-149600000,-175600000,-189431000,-191172000,-182801000,-140197000,-74981000,-90689000,- -,-269264000
65,Other Comprehensive Income/Loss,3600000,5000000,2338000,-25000,-3862000,-558000,-14392000,-23612000,-32990000,-54006000
66,Other Total Stockholders Equity,151700000,165500000,- -,- -,292833000,301032000,309983000,318998000,989247000,- -
67,Total Stockholders Equity,5700000,-5100000,-187093000,-191197000,106507000,160617000,220957000,205050000,201035000,121952000
68,Total Liabilities And Stockholders Equity,82400000,127500000,277960000,334140000,437206000,573534000,604855000,826677000,956257000,1007701000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-192144000,- -
70,Total Liabilities & Equity,82400000,127500000,277960000,334140000,437206000,573534000,604855000,826677000,764113000,1007701000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1455684/000156459017004685/0001564590-17-004685-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459018004934/0001564590-18-004934-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459019006097/0001564590-19-006097-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459020007922/0001564590-20-007922-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459021008945/0001564590-21-008945-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000095017022002105/0000950170-22-002105-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-7080000,1279000,-6648000,7682000,13842000,43690000,5279000,-15708000,-19027000,-159548000
74,Depreciation and Amortization,5440000,5250000,7441000,11416000,12897000,20878000,26429000,38580000,49667000,52593000
75,Deferred Income Tax,40000,1095000,-1018000,-765000,-2782000,-1068000,-14912000,4951000,-7982000,2126000
76,Stock Based Compensation,- -,36000,- -,- -,9902000,7124000,7795000,5681000,10352000,8407000
77,Change in Working Capital,480000,-5900000,22742000,11926000,77505000,21700000,33780000,-49612000,47510000,56736000
78,Accounts Receivable,- -,-6434000,-31677000,-29652000,5071000,-53734000,-59200000,-19366000,42986000,-34715000
79,Inventory,- -,-9752000,-60320000,-626000,-4967000,-26519000,-1685000,-1145000,-4276000,-1018000
80,Accounts Payable,- -,10831000,26050000,34423000,14959000,51248000,32263000,80720000,6209000,45755000
81,Other Working Capital,-17600000,-23500000,-758000,11168000,88673000,110373000,144153000,94541000,142051000,32754000
82,Other Non-Cash Items,-10290000,-133000,-55734000,1034000,-57523000,-9661000,-61629000,73192000,-42950000,14161000
83,Cash Provided by Operating Activities,-11410000,1627000,-33217000,31293000,53841000,82663000,-3258000,57084000,37570000,-25525000
84,CAPEX,-6610000,-7065000,-18924000,-26361000,-30507000,-44828000,-52688000,-74408000,-65666000,-37119000
85,Acquisitions Net,- -,-84000,- -,- -,- -,- -,- -,-1102000,- -,- -
86,Purchases of Investments,- -,-84000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,84000,- -,146000,- -,850000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6610000,-7149000,-18924000,-26215000,-30507000,-43978000,-52688000,-75510000,-65666000,-37119000
90,Debt Repayment,- -,- -,-13121000,-24887000,-21033000,-17011000,-98735000,-16949000,-27376000,-186904000
91,Common Stock Issued,- -,- -,- -,- -,67199000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,5940000,- -,- -,- -,- -,-1264000,-2859000,-2120000,-2191000,-493000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6860000,12948000,97142000,22464000,5164000,8302000,93862000,20039000,118179000,386316000
95,Cash Used/Provided by Financing Activities,12800000,12948000,84021000,-2423000,51330000,-9973000,-7732000,970000,88612000,198919000
96,Effect of Forex Changes on Cash,10000,720000,-43000,-330000,-1515000,335000,617000,-171000,-2069000,-14253000
97,Net Change In Cash,-5200000,8146000,31837000,2325000,73149000,29047000,-63061000,-17627000,58447000,122022000
98,Cash at the End of Period,-5200000,11755000,43592000,45917000,119066000,148113000,89376000,71749000,130196000,252218000
99,Cash at the Beginning of Period,- -,3609000,11755000,43592000,45917000,119066000,152437000,89376000,71749000,130196000
100,Free Cash Flow,-18020000,-5438000,-52141000,4932000,23334000,37835000,-55946000,-17324000,-28096000,-62644000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1455684/000156459017004685/0001564590-17-004685-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459018004934/0001564590-18-004934-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459019006097/0001564590-19-006097-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459020007922/0001564590-20-007922-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000156459021008945/0001564590-21-008945-index.htm,https://www.sec.gov/Archives/edgar/data/1455684/000095017022002105/0000950170-22-002105-index.htm
102,false,,,,,,,,,,
