,https://roic.ai/company/LVS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,5226000,6251000,8010000,9967000,12291000,19902000,28837000,27073000,32260000,34990000,43875000,41946000,41674000,42573000,46000000,47000000,35000000,37000000,32000000,22000000
36,Other Current Assets,- -,- -,46994000,59498000,45636000,93115000,439517000,314839000,289457000,180419000,272647000,122627000,101613000,111069000,131734000,119339000,148000000,126000000,157000000,198000000,153000000,3432000000
37,Total Current Assets,- -,- -,212239000,272739000,1405126000,644706000,1093557000,1379086000,3741276000,5623674000,4058907000,5397152000,4477514000,5515539000,5190499000,3609250000,3098000000,3207000000,5566000000,5305000000,2644000000,5510000000
38,PP&E,- -,- -,1246607000,1484670000,1756090000,2600468000,4582325000,8574614000,11868228000,14561091000,15901037000,15030979000,17225489000,16787772000,16725564000,16993770000,17113000000,16753000000,16352000000,17116000000,17365000000,14016000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89805000,80068000,70618000,102081000,86260000,71586000,103000000,89000000,72000000,42000000,25000000,19000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89805000,80068000,70618000,102081000,86260000,71586000,103000000,89000000,72000000,42000000,25000000,19000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,425000,11332000,- -,- -,44189000,22219000,10423000,153000,43280000,13821000,31720000,23681000,- -,493000000,368000000,282000000,318000000,297000000
44,Other Non-Current Assets,- -,- -,147916000,159626000,439837000,623233000,1450576000,1512817000,1490420000,365122000,984136000,1735771000,346751000,305051000,327648000,289134000,155000000,145000000,189000000,454000000,455000000,217000000
45,Total Non-Current Assets,- -,- -,1394523000,1644296000,2196352000,3235033000,6032901000,10087431000,13402837000,14948432000,16985401000,16846971000,17686138000,17208725000,17171192000,17378171000,17371000000,17480000000,16981000000,17894000000,18163000000,14549000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1606762000,1917035000,3601478000,3879739000,7126458000,11466517000,17144113000,20572106000,21044308000,22244123000,22163652000,22724264000,22361691000,20987421000,20469000000,20687000000,22547000000,23199000000,20807000000,20059000000
48,Accounts Payable,- -,- -,15071000,16679000,33383000,34803000,51038000,99023000,71035000,82695000,113505000,104113000,106498000,119194000,112721000,110408000,128000000,171000000,178000000,149000000,98000000,77000000
49,Short-Term Debt,- -,- -,8550000,41379000,304864000,7325000,6486000,54333000,114623000,173315000,767068000,455846000,97802000,377507000,99734000,95367000,167000000,296000000,111000000,70000000,76000000,74000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466879000,592426000,746789000,573656000,517371000,504000000,628000000,647000000,664000000,242000000,175000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388355000,450550000,464588000,431019000,508000000,572000000,676000000,582000000,614000000,470000000
52,Other Current Liabilities,- -,- -,137873000,165308000,274313000,418240000,677124000,1339917000,1344758000,1583295000,1719840000,1938747000,2030168000,2182414000,2035451000,1827341000,2003000000,1909000000,2192000000,2423000000,1521000000,1944000000
53,Total Current Liabilities,- -,- -,161494000,223366000,612560000,460368000,734648000,1493273000,1530416000,1839305000,2600413000,2498706000,2622823000,3129665000,2712494000,2464135000,2806000000,2948000000,3157000000,3224000000,2309000000,2565000000
54,Long-Term Debt,- -,- -,1343762000,1525116000,1485064000,1625901000,4136152000,7517997000,10356115000,10852147000,9373755000,9577131000,10132265000,9382752000,9892913000,9372645000,9428000000,9344000000,11874000000,12422000000,13931000000,14721000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,447274000,442114000,386907000,430271000,425912000,422153000,417552000,413000000,407000000,401000000,350000000,344000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,324000,1553000,- -,- -,115219000,205438000,185945000,173211000,188935000,201734000,200000000,206000000,191000000,183000000,188000000,173000000
57,Other Non-Current Liabilities,- -,- -,1122000,6445000,187853000,183932000,180180000,193420000,835474000,492793000,581619000,136789000,133936000,112195000,124614000,113368000,126000000,147000000,179000000,513000000,497000000,352000000
58,Total Non-Current Liabilities,- -,- -,1344884000,1531561000,1672917000,1809833000,4316656000,7712970000,11191589000,11792214000,10512707000,10306265000,10882417000,10094070000,10628615000,10105299000,10167000000,10104000000,12645000000,13468000000,14960000000,15246000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,1506378000,1754927000,2285477000,2270201000,5051304000,9206243000,12722005000,13631519000,13113120000,12804971000,13505240000,13223735000,13341109000,12569434000,12973000000,13052000000,15802000000,16692000000,17269000000,17811000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,298066000,234607000,710735000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,123000,123000,354000,354000,354000,355000,642000,660000,708000,733000,824000,827000,829000,830000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,-58345000,8289000,359262000,642948000,1084951000,1197534000,1015554000,473833000,880703000,2145692000,560452000,1713339000,2945846000,2840387000,2222000000,2716000000,2770000000,3101000000,813000000,-148000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-270184000,1576000,-580000,-2493000,17554000,26748000,129519000,94104000,263078000,173783000,76101000,-66283000,-119000000,14000000,-40000000,-3000000,29000000,-22000000
66,Other Total Stockholders Equity,- -,- -,158606000,153696000,1226569000,964660000,990429000,1064878000,3090292000,5770586000,4941326000,5610160000,6237488000,5777545000,4190810000,4041807000,4073000000,3762000000,2953000000,2088000000,2130000000,2165000000
67,Total Stockholders Equity,- -,- -,100384000,162108000,1316001000,1609538000,2075154000,2260274000,4422108000,6506434000,6662991000,7850689000,7061842000,7665494000,7213586000,6816741000,6177000000,6493000000,5684000000,5187000000,2973000000,1996000000
68,Total Liabilities And Stockholders Equity,- -,- -,1606762000,1917035000,3601478000,3879739000,7126458000,11466517000,17144113000,20137953000,19776111000,20655660000,20567082000,20889229000,20554695000,19386175000,19150000000,19545000000,21486000000,21879000000,20242000000,19807000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,434153000,1268197000,1588463000,1596570000,1835035000,1806996000,1601246000,1319000000,1142000000,1061000000,1320000000,565000000,252000000
70,Total Liabilities & Equity,- -,- -,1606762000,1917035000,3601478000,3879739000,7126458000,11466517000,17144113000,20572106000,21044308000,22244123000,22163652000,22724264000,22361691000,20987421000,20469000000,20687000000,22547000000,23199000000,20807000000,20059000000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1300514/000095012306002497/0000950123-06-002497-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095015307000439/0000950153-07-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012408000952/0000950124-08-000952-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095015309000169/0000950153-09-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012310018509/0000950123-10-018509-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012311020089/0000950123-11-020089-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012312004305/0000950123-12-004305-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000119312513087854/0001193125-13-087854-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000144530514000758/0001445305-14-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/0001300514-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/0001300514-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051417000005/0001300514-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051418000022/0001300514-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051419000021/0001300514-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051420000011/0001300514-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051421000033/0001300514-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051422000007/0001300514-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,16862000,7874000,-11844000,66634000,495183000,283686000,442003000,116688000,-163558000,-354479000,599394000,1560123000,1524093000,2305997000,2840629000,1966236000,1670000000,2806000000,2413000000,2698000000,-1685000000,-961000000
74,Depreciation and Amortization,- -,- -,46662000,53859000,76324000,99796000,119977000,248090000,565995000,613052000,694971000,794404000,932211000,1047820000,1072187000,1037564000,1149000000,1208000000,1146000000,1216000000,1215000000,1097000000
75,Deferred Income Tax,- -,- -,- -,- -,-13736000,-5542000,3914000,-15554000,-36242000,-1339000,99536000,90927000,5188000,-4245000,-3235000,18663000,24000000,-497000000,113000000,157000000,-33000000,-45000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,45545000,58021000,62714000,65428000,53377000,48058000,45804000,34000000,34000000,30000000,35000000,22000000,22000000
77,Change in Working Capital,- -,- -,50745000,-1372000,743193000,-608228000,174571000,-473096000,2325047000,1573509000,-2325875000,1439952000,-1043755000,531183000,92131000,-1332890000,-853115000,-33000000,2150000000,-328000000,-1746000000,-89000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178746000,-332924000,-789163000,-675461000,-209055000,37411000,49293000,319000000,83000000,-119000000,-150000000,402000000,43000000
79,Inventory,- -,- -,-341000,-1025000,-1759000,-1957000,-2324000,-7611000,-8879000,1759000,-4941000,-2841000,-8355000,1113000,-30000,-1334000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,11388000,29270000,-9565000,788000,13777000,-5215000,-512000,19000000,40000000,8000000,-26000000,-51000000,-11000000
81,Other Working Capital,- -,- -,50745000,49373000,792566000,184338000,358909000,-114187000,2210860000,3784369000,1458494000,2898446000,1854691000,2385874000,2478005000,1145115000,292000000,259000000,2409000000,2081000000,335000000,- -
82,Other Non-Cash Items,-16862000,-7874000,1279000,17995000,-927595000,820204000,-937185000,489329000,-2563456000,-1237675000,2744104000,-1285624000,1574592000,505280000,783074000,1714594000,2019115000,1025000000,-1151000000,-740000000,915000000,-9000000
83,Cash Provided by Operating Activities,- -,- -,86842000,137116000,373369000,589916000,-196720000,365457000,127786000,638613000,1870151000,2662496000,3057757000,4439412000,4832844000,3449971000,4043000000,4543000000,4701000000,3038000000,-1312000000,15000000
84,CAPEX,-30677000,-56025000,-136740000,-279948000,-465748000,-860621000,-1925291000,-3793703000,-3789008000,-2092896000,-2023981000,-1508593000,-1449234000,-943982000,-1178656000,-1528642000,-1445000000,-837000000,-949000000,-1269000000,-1330000000,-839000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1161000000,- -,- -
86,Purchases of Investments,- -,- -,-102817000,-16945000,- -,- -,- -,- -,- -,- -,-173774000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173774000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-137420000,-281381000,414098000,-265386000,-310565000,556276000,218044000,-2010063000,-2707815000,-698106000,-1445632000,-912209000,-1176568000,-1528466000,-1442000000,-823000000,-930000000,-1264000000,-1329000000,-895000000
89,Cash Used for Investing Activites,- -,- -,-240237000,-298326000,-51650000,-1126007000,-2235856000,-3287427000,-3570964000,-2010063000,-2707815000,-698106000,-1445632000,-912209000,-1176568000,-1528466000,-1442000000,-823000000,-930000000,-103000000,-1329000000,-895000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-817337000,-65965000,-3300310000,-4399698000,-3513032000,-2117466000,-2397717000,-1987000000,-858000000,-5178000000,-3536000000,-467000000,-1998000000
91,Common Stock Issued,- -,- -,- -,- -,751157000,313000,7226000,30221000,2087874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-487000,- -,- -,- -,- -,- -,-862192000,- -,-561150000,-1676802000,-205084000,- -,-375000000,-905000000,-754000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-125027000,-21052000,- -,- -,- -,-94697000,-93400000,-75297000,-3460888000,-1564049000,-2386657000,-2692882000,-2909000000,-2943000000,-2979000000,-3000000000,-911000000,- -
94,Other Financing Activites,- -,- -,194119000,207520000,194256000,-281492000,2435756000,3292644000,3517365000,4218007000,-968192000,3144338000,4815280000,3205781000,2459139000,2089285000,2266000000,689000000,7540000000,3922000000,1938000000,2682000000
95,Cash Used/Provided by Financing Activities,- -,- -,194119000,207520000,820386000,-302718000,2442982000,3322865000,5605239000,3305973000,-1127557000,-1093461000,-3045306000,-2432450000,-3721786000,-3206398000,-2630000000,-3487000000,-1522000000,-3368000000,560000000,684000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,757000,814000,-11811000,18952000,-17270000,46886000,-5292000,43229000,-7105000,-28585000,-41936000,-22000000,58000000,-18000000,14000000,-24000000,-16000000
97,Net Change In Cash,- -,- -,40724000,46310000,1142105000,-838052000,11220000,389084000,2181013000,1917253000,-1918335000,865637000,-1389952000,1087648000,-94095000,-1326829000,-51000000,291000000,2231000000,-419000000,-2105000000,-212000000
98,Cash at the End of Period,- -,- -,106483000,152793000,1294898000,456846000,468066000,857150000,3038163000,4955416000,3037081000,3902718000,2512766000,3600414000,3506319000,2179490000,2128000000,2419000000,4661000000,4242000000,2137000000,1925000000
99,Cash at the Beginning of Period,- -,- -,65759000,106483000,152793000,1294898000,456846000,468066000,857150000,3038163000,4955416000,3037081000,3902718000,2512766000,3600414000,3506319000,2179000000,2128000000,2430000000,4661000000,4242000000,2137000000
100,Free Cash Flow,- -,- -,-49898000,-142832000,-92379000,-270705000,-2122011000,-3428246000,-3661222000,-1454283000,-153830000,1153903000,1608523000,3495430000,3654188000,1921329000,2598000000,3706000000,3752000000,1769000000,-2642000000,-824000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1300514/000095012306002497/0000950123-06-002497-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095015307000439/0000950153-07-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012408000952/0000950124-08-000952-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095015309000169/0000950153-09-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012310018509/0000950123-10-018509-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012311020089/0000950123-11-020089-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012312004305/0000950123-12-004305-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000119312513087854/0001193125-13-087854-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000144530514000758/0001445305-14-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/0001300514-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/0001300514-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051417000005/0001300514-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051418000022/0001300514-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051419000021/0001300514-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051420000011/0001300514-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051421000033/0001300514-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051422000007/0001300514-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
