,https://roic.ai/company/CELU,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,150555,11041594,14222974,314710000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,863,275564621,272934359,12000
64,Retained Earnings,-1098,2511873,-118424,-663681000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -
66,Other Total Stockholders Equity,24137,2487262,5117524,763087000
67,Total Stockholders Equity,23902,280563756,277933459,99418000
68,Total Liabilities And Stockholders Equity,174457,291605350,292156433,414128000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,174457,291605350,292156433,414128000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1752828/000121390020007185/0001213900-20-007185-index.html,https://www.sec.gov/Archives/edgar/data/1752828/000121390021028849/0001213900-21-028849-index.htm,https://www.sec.gov/Archives/edgar/data/1752828/000156459022013004/0001564590-22-013004-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,- -,2512971,-2630297,-100118
74,Depreciation and Amortization,- -,- -,- -,8817
75,Deferred Income Tax,- -,-1653,2255,-1353
76,Stock Based Compensation,- -,- -,- -,40010
77,Change in Working Capital,- -,136389,-3830646,35925583
78,Accounts Receivable,- -,- -,- -,-1909
79,Inventory,- -,- -,- -,-6422
80,Accounts Payable,- -,209656,3199661,3007
81,Other Working Capital,- -,780063,-3050583,32875000
82,Other Non-Cash Items,- -,-3745540,5277674,-35983035
83,Cash Provided by Operating Activities,- -,-1097833,-1181014,-110096
84,CAPEX,- -,- -,- -,-6203
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,-286849000,578703,-4933
89,Cash Used for Investing Activites,- -,-286849000,578703,-5903
90,Debt Repayment,- -,-280000,- -,-5000
91,Common Stock Issued,- -,282500000,- -,5333
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,- -,6619133,- -,98229
95,Cash Used/Provided by Financing Activities,- -,288839133,- -,98562
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,- -,892300,-602311,-262620
98,Cash at the End of Period,- -,917007,314696,52076
99,Cash at the Beginning of Period,- -,24707,917007,314696
100,Free Cash Flow,- -,-1097833,-1181014,-116299
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1752828/000121390020007185/0001213900-20-007185-index.html,https://www.sec.gov/Archives/edgar/data/1752828/000121390021028849/0001213900-21-028849-index.htm,https://www.sec.gov/Archives/edgar/data/1752828/000156459022013004/0001564590-22-013004-index.htm
102,false,,,,
