,https://roic.ai/company/CNQ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.6434,0.6448,0.6304,0.6198,0.5481,0.6014,0.5719,0.6524,0.5914,0.6018,0.5940,0.5238,0.3810,0.5092,0.4521,0.6124,0.4602,0.5141,0.5086,0.4509,0.4548,0.4873,0.3942,0.3808,0.4973,0.4255,0.4679,0.3431,0.4975
17,Operating Income,89000000,147800000,130500000,316800000,- -,202786378,- -,1462207558,1214581344,1109537299,1669457684,2577393808,3657402023,4040074557,2337868706,6708353570,- -,3024000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.5636,0.5707,0.4642,0.4975,- -,0.2310,- -,0.4537,0.3411,0.2718,0.2796,0.3415,0.3619,0.3470,0.1864,0.4148,- -,0.2111,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-28900000,-50200000,-56600000,-131200000,-45746963,-77399382,-94039352,-166466707,-81184337,-62952471,262785006,-417566594,-1774624956,-385601118,359519317,562166100,-500000000,-146000000,-17000000,-444000000,-127000000,303000000,75000000,216000000,538000000,-1326000000,-636000000,-428000000,399000000
20,Income Before Tax,60100000,97600000,73900000,185600000,215868477,125386996,353009259,1295740851,1133397007,1046584828,1932242690,2159827214,1882777067,3654473439,2697388023,7270519670,1975000000,2878000000,3910000000,2609000000,3036000000,5163000000,-667000000,-1063000000,2873000000,3522000000,4956000000,-873000000,9911000000
21,Income Before Tax Ratio,0.3806,0.3768,0.2629,0.2915,0.2345,0.1429,0.2742,0.4020,0.3183,0.2564,0.3236,0.2862,0.1863,0.3139,0.2150,0.4495,0.1783,0.2009,0.2521,0.1611,0.1692,0.2424,-0.0507,-0.0958,0.1626,0.1581,0.2032,-0.0499,0.3017
22,Income Tax expense (Gain),25800000,43400000,31500000,90600000,104360257,66563467,153356481,511397720,359758039,409191061,431534201,590352772,638446331,873718546,-76472341,2107819330,289000000,1181000000,1267000000,717000000,766000000,1234000000,-30000000,-859000000,476000000,931000000,-460000000,-438000000,2247000000
23,Net Income,34300000,54200000,42400000,95000000,111508220,58823529,199652778,784343131,703597580,574441297,1393791060,1405087593,1050122107,2524464119,2608004767,4985429820,1580000000,1697000000,2643000000,1892000000,2270000000,3929000000,-637000000,-204000000,2397000000,2591000000,5416000000,-435000000,7664000000
24,Net Income ratio,0.2172,0.2093,0.1508,0.1492,0.1211,0.0670,0.1551,0.2434,0.1976,0.1407,0.2334,0.1862,0.1039,0.2168,0.2079,0.3083,0.1426,0.1185,0.1704,0.1168,0.1265,0.1845,-0.0484,-0.0184,0.1357,0.1163,0.2220,-0.0249,0.2333
25,EPS,0.02,0.03,0.02,0.04,0.04,0.02,0.06,0.84,0.72,0.56,1.31,1.31,0.98,2.35,2.42,4.61,1.46,1.56,2.41,1.72,2.08,3.60,-0.58,-0.19,2.04,2.13,4.55,-0.37,6.49
26,EPS Diluted,0.02,0.03,0.02,0.04,0.04,0.02,0.06,0.84,0.69,0.54,1.27,1.30,0.97,2.35,2.42,4.61,1.46,1.56,2.40,1.72,2.08,3.58,-0.58,-0.19,2.03,2.12,4.54,-0.37,6.49
27,Weighted Average Shares Outstanding,1829333333,2040470588,2224262295,2666666667,3162208000,3193888000,3566528000,933609248,968375251,1019096054,1060029323,1068922120,1071553170,1074240051,1077687920,1081294000,1083850000,1088096000,1095582000,1097084000,1088682000,1091754000,1093862000,1100471000,1175094000,1218798000,1190977000,1181768000,1181768000
28,Weighted Average Shares Outstanding Diluted,1829333333,2040470588,2224262295,2666666667,3162208000,3193888000,3566528000,3676960000,1003208894,1054563434,1095572712,1077144598,1077048315,1074240051,1077687920,1081294000,1083850000,1088096000,1102582000,1099519000,1090541000,1096822000,1093862000,1100471000,1182823000,1223758000,1193106000,1181768000,1181768000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017413/000095014209000440/0000950142-09-000440-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014210000571/0000950142-10-000571-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014211000623/eh1100179_form40f.htm,https://www.sec.gov/Archives/edgar/data/1017413/000095014212000726/0000950142-12-000726-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014213000713/0000950142-13-000713-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014214000718/eh1400468_40f-2013.htm,https://www.sec.gov/Archives/edgar/data/1017413/000095014215000641/eh1500406_40f-2014.htm,https://www.sec.gov/Archives/edgar/data/1017413/000095014216003370/0000950142-16-003370-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014217000639/0000950142-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000101741318000017/0001017413-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000101741319000018/0001017413-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000101741320000013/0001017413-20-000013-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,300000,- -,- -,- -,28494301,14326648,29902424,104341105,27597792,17443889,23299161,20856093,26711996,13000000,22000000,34000000,37000000,16000000,25000000,69000000,17000000,137000000,101000000,139000000,184000000,744000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,974000000,913000000,893000000,524000000,490000000,305000000,309000000
33,Cash and Short-Term Investments,- -,- -,- -,300000,- -,- -,- -,28494301,14326648,29902424,104341105,27597792,17443889,23299161,20856093,26711996,13000000,22000000,34000000,37000000,16000000,25000000,1043000000,930000000,1030000000,625000000,629000000,489000000,1053000000
34,Net Receivables,35700000,51300000,64000000,150400000,184417441,143962848,250289352,550389922,509391913,744412968,750998325,1175905928,1545528550,1946644921,1661535406,1514084507,1148000000,1481000000,2077000000,1197000000,1427000000,2117000000,1954000000,2285000000,2719000000,1148000000,2478000000,2499000000,3111000000
35,Inventory,- -,8900000,- -,- -,- -,49535604,46296296,34493101,- -,- -,- -,- -,- -,- -,- -,- -,584000000,610000000,550000000,554000000,632000000,665000000,525000000,689000000,894000000,955000000,1152000000,1060000000,1548000000
36,Other Current Assets,- -,100000,100000,- -,- -,- -,- -,-1499700,- -,- -,1,34797216,488428887,269105312,498559936,1851627004,146000000,59000000,120000000,126000000,141000000,682000000,537000000,432000000,254000000,292000000,228000000,313000000,230000000
37,Total Current Assets,35700000,60300000,64100000,150700000,184417441,193498452,296585648,611877624,523718561,774315392,855339431,1238300936,2051401326,2239049394,2180951435,3392423507,1891000000,2172000000,2781000000,1914000000,2216000000,3489000000,4059000000,4336000000,4897000000,3020000000,4487000000,4361000000,5942000000
38,PP&E,401100000,677500000,836400000,1912000000,2746247320,3034055728,4554398148,7141571686,8443170965,12500786906,13269354631,17063834893,19694150483,30766542404,33902075678,38965517241,39115000000,40472000000,41631000000,46639000000,49096000000,56037000000,54061000000,53292000000,67802000000,67196000000,72411000000,69833000000,70158000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310000000,306000000,- -,- -,- -,- -,287000000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,-100000,-100000,- -,20123839,- -,22495501,74816937,83412024,73425222,107991361,106989184,154939423,30787566,292617776,18000000,25000000,2866000000,117000000,136000000,674000000,1155000000,1020000000,1168000000,1056000000,1223000000,1082000000,565000000
45,Total Non-Current Assets,401200000,677500000,836300000,1911900000,2746247320,3054179567,4554398148,7164067187,8517987902,12584198930,13342779853,17171826254,19801139667,30921481827,33932863244,39258135017,39133000000,40497000000,44497000000,47066000000,49538000000,56711000000,55216000000,54312000000,68970000000,68539000000,73634000000,70915000000,70723000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,436900000,737800000,900400000,2062600000,2930664761,3247678019,4850983796,7775944811,9041706463,13358514322,14198119284,18410127190,21852540993,33160531221,36113814679,42650558524,41024000000,42669000000,47278000000,48980000000,51754000000,60200000000,59275000000,58648000000,73867000000,71559000000,78121000000,75276000000,76665000000
48,Accounts Payable,33500000,56200000,54300000,151500000,204431737,136222910,260416667,673365327,249920408,336795719,463738246,379169666,573322479,842264678,379382262,382467217,240000000,274000000,526000000,465000000,637000000,564000000,571000000,595000000,775000000,779000000,816000000,667000000,803000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,16496701,15918497,23607177,184207136,194384449,- -,- -,- -,420106848,643000000,719000000,359000000,798000000,1444000000,980000000,1729000000,1812000000,1877000000,1141000000,2624000000,1343000000,1185000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000000,285000000,359000000,- -,- -,- -,- -,151000000,- -,- -,1607000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-1499700,264247055,428076802,712353472,1316294697,3251540877,2228564772,3184030192,2617775619,1522000000,2163000000,3149000000,2713000000,3153000000,3598000000,2295000000,2685000000,3609000000,2842000000,3197000000,3068000000,5434000000
53,Total Current Liabilities,33500000,56200000,54300000,151500000,204431737,136222910,260416667,688362328,530085960,788479698,1360298854,1889848812,3824863356,3070829450,3563412454,3420349684,2405000000,3156000000,4034000000,3976000000,5234000000,5142000000,4595000000,5092000000,6261000000,4762000000,6637000000,5078000000,7422000000
54,Long-Term Debt,189200000,242900000,237700000,588200000,1136526090,1425696594,2157118056,2455008998,2669531996,4074598678,2644596161,3538516919,3321316432,11042637465,10939517330,12595920350,9658000000,8499000000,8212000000,7938000000,8217000000,13022000000,15065000000,14993000000,20581000000,19482000000,20400000000,20110000000,15093000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,39500000,78500000,105600000,224300000,318799142,374613003,504918981,1243251350,1779687997,3186968839,3587530594,4450443964,5035469241,6962954334,6728572847,7135745508,7687000000,7899000000,8221000000,8174000000,8183000000,8970000000,9344000000,9073000000,10975000000,11451000000,10539000000,10144000000,10220000000
57,Other Non-Current Liabilities,3500000,4000000,6500000,24400000,67190851,34055728,36168982,172465507,194205668,440667296,488213320,1207103432,1433887661,1394454799,1561227531,1124332199,1848000000,2130000000,3913000000,4609000000,4348000000,4175000000,2890000000,3223000000,4397000000,3890000000,5554000000,7564000000,6985000000
58,Total Non-Current Liabilities,232200000,325400000,349800000,836900000,1522516083,1834365325,2698206019,3870725855,4643425661,7702234813,6720340075,9196064315,9790673334,19400046598,19229317708,20855998057,19193000000,18528000000,20346000000,20721000000,20748000000,26167000000,27299000000,27289000000,35953000000,34823000000,36493000000,37818000000,32298000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41711996115,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2042000000,1879000000,1584000000
61,Total Liabilities,265700000,381600000,404100000,988400000,1726947820,1970588235,2958622685,4559088182,5173511621,8490714511,8080638928,11085913127,13615536690,22470876048,22792730162,24276347742,21598000000,21684000000,24380000000,24697000000,25982000000,31309000000,31894000000,32381000000,42214000000,39585000000,43130000000,42896000000,39720000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,125904942,103052943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3147000000,- -,3709000000,3854000000,4432000000,4541000000,4671000000,9109000000,9323000000,9533000000,9606000000,10168000000
64,Retained Earnings,61600000,115900000,158300000,253300000,364546104,424148607,623553241,1406718656,1980261063,2414227258,3644209713,4922006240,5804163275,8140726934,10575032277,15343613405,16696000000,18005000000,19365000000,20516000000,21876000000,24408000000,22765000000,21526000000,22612000000,22529000000,25424000000,22766000000,26778000000
65,Other Comprehensive Income/Loss,-70900000,-125100000,-203400000,-381300000,-663330951,-984520124,-1358506944,-1982603479,-2844635466,23607177,16746103,-5999520,-9303407,-12814539,71506604,262263235,-104000000,-167000000,26000000,58000000,42000000,51000000,75000000,70000000,-68000000,122000000,34000000,8000000,-1000000
66,Other Total Stockholders Equity,180500000,365400000,541400000,1202200000,1502501788,1837461300,2627314814,3792741452,4732569245,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,171200000,356200000,496300000,1074200000,1203716941,1277089783,1892361111,3216856629,3868194842,4867799811,6117480356,7324214063,8237004303,10689655172,13321084517,18374210782,19426000000,20985000000,22898000000,24283000000,25772000000,28891000000,27381000000,26267000000,31653000000,31974000000,34991000000,32380000000,36945000000
68,Total Liabilities And Stockholders Equity,436900000,737800000,900400000,2062600000,2930664761,3247678018,4850983796,7775944811,9041706463,13358514322,14198119284,18410127190,21852540993,33160531220,36113814679,42650558524,41024000000,42669000000,47278000000,48980000000,51754000000,60200000000,59275000000,58648000000,73867000000,71559000000,78121000000,75276000000,76665000000
69,Minority Interest,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,436900000,737800000,900400000,2062600000,2930664761,3247678019,4850983796,7775944811,9041706463,13358514322,14198119284,18410127190,21852540993,33160531221,36113814679,42650558524,41024000000,42669000000,47278000000,48980000000,51754000000,60200000000,59275000000,58648000000,73867000000,71559000000,78121000000,75276000000,76665000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017413/000095014209000440/0000950142-09-000440-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014210000571/0000950142-10-000571-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014211000623/eh1100179_form40f.htm,https://www.sec.gov/Archives/edgar/data/1017413/000095014212000726/0000950142-12-000726-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014213000713/0000950142-13-000713-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014214000718/eh1400468_40f-2013.htm,https://www.sec.gov/Archives/edgar/data/1017413/000095014215000641/eh1500406_40f-2014.htm,https://www.sec.gov/Archives/edgar/data/1017413/000095014216003370/0000950142-16-003370-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000095014217000639/0000950142-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000101741318000017/0001017413-18-000017-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000101741319000018/0001017413-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1017413/000101741320000013/0001017413-20-000013-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,34300000,54200000,42400000,95000000,111508220,58823529,199652778,784343131,703597580,574441297,1393791060,1405087593,1050122107,2524464119,2608004767,4985429820,1580000000,1697000000,2643000000,1892000000,2270000000,3929000000,-637000000,-204000000,2397000000,2591000000,5416000000,-435000000,7664000000
74,Depreciation and Amortization,35000000,57100000,82400000,182400000,288777698,326625387,383391204,644871026,904170646,1314132830,1565116579,1768658507,2013024770,2390493942,2863243619,2683341428,2819000000,4036000000,3604000000,4328000000,4844000000,4880000000,5483000000,4858000000,5186000000,5161000000,5546000000,6046000000,- -
75,Deferred Income Tax,24900000,41400000,28900000,82200000,94353109,55727554,137442130,455908818,283349252,401322002,338786552,473962083,353529480,652376514,-455854603,1607576493,-99000000,364000000,407000000,-30000000,89000000,807000000,264000000,-241000000,640000000,557000000,-894000000,-181000000,399000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355000000,294000000,-102000000,-214000000,135000000,66000000,-46000000,355000000,134000000,-146000000,223000000,-82000000,514000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-54976852,-55488902,-41388093,-157381177,-47661986,-14398848,-145365740,-679170550,-346608402,-188198154,-235000000,149000000,-36000000,447000000,-33000000,-744000000,239000000,-542000000,299000000,1346000000,-1033000000,-166000000,964000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-54976852,-55488902,-41388093,-157381177,-47661986,-14398848,-560530295,-137465051,177773364,-280475958,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-4200000,-1800000,-5800000,11000000,25732667,-72755417,2893518,2999400,38204394,-110166825,-118510886,56395489,1525758810,-711789374,1150064554,-2321515299,1392000000,-256000000,-273000000,-214000000,-87000000,-479000000,329000000,-774000000,-1394000000,612000000,-429000000,-468000000,4937000000
83,Cash Provided by Operating Activities,90000000,150900000,147900000,370600000,520371694,368421053,668402778,1832633473,1887933779,2022348127,3131521319,3689704824,4797069427,4176374651,5818849935,6766634288,5812000000,6284000000,6243000000,6209000000,7218000000,8459000000,5632000000,3452000000,7262000000,10121000000,8829000000,4714000000,14478000000
84,CAPEX,-281400000,-361400000,-248300000,-1214600000,-1153681201,-741486069,-1916956019,-1295740852,-1948424069,-1751652502,-2526085277,-4582433405,-5340155832,-7265843430,-6464395670,-7433220010,-2985000000,-5335000000,-6201000000,-6104000000,-7067000000,-11398000000,-4468000000,-3797000000,-4698000000,-4441000000,-3608000000,-2560000000,-4493000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-722855429,- -,-843563110,- -,- -,- -,-4641192917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8630000000,- -,-3412000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000
88,Other Investing Activites,10200000,30200000,9500000,11000000,34310222,131578948,95486112,224955009,11142948,51935788,360685303,-80393569,1007093848,172413793,-75479193,254978145,-573000000,137000000,559000000,177000000,362000000,-11177000000,-5465000000,-3811000000,-4472000000,-4814000000,-3770000000,-2814000000,-3831000000
89,Cash Used for Investing Activites,-271200000,-331200000,-238800000,-1203600000,-1119370979,-609907121,-1821469907,-1793641272,-1937281121,-2543279824,-2165399974,-4662826974,-4333061984,-11734622554,-6539874863,-7178241865,-3558000000,-5198000000,-5963000000,-5927000000,-7006000000,-11177000000,-5465000000,-3811000000,-13102000000,-4814000000,-7255000000,-2819000000,-3703000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2055000000,-872000000,-647000000,- -,-398000000,- -,- -,-834000000,- -,- -,-237000000,-1722000000,-1020000000
91,Common Stock Issued,54400000,128400000,96000000,482800000,18584703,13931889,403645833,65986803,42979943,83412024,88883164,23998080,9303408,20969245,20856093,18212725,24000000,170000000,- -,194000000,130000000,488000000,91000000,559000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-113021331,-9442871,-144274121,-33597312,-152343296,-27958993,- -,- -,- -,-68000000,-104000000,-318000000,-320000000,-453000000,- -,- -,- -,-1282000000,-941000000,-271000000,-1581000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-4499100,-47755492,-58231036,-86306840,-100791937,-120944296,-152609506,-177773364,-207625061,-225000000,-302000000,-378000000,-444000000,-523000000,-955000000,-1251000000,-758000000,-1252000000,-1562000000,-1743000000,-1950000000,-2170000000
94,Other Financing Activites,126800000,51800000,-5100000,350500000,580414582,227554179,749421297,-71985603,154409424,520931697,-749710164,1007919367,-210489592,7723671947,875955904,605876639,-12000000,-5000000,861000000,289000000,878000000,3647000000,1037000000,1340000000,7212000000,-2499000000,1385000000,2093000000,-5444000000
95,Cash Used/Provided by Financing Activities,181200000,180200000,90900000,833300000,598999285,241486068,1153067130,-10497900,36612544,536669814,-891407961,897528198,-474473776,7564072693,719038633,416464303,-2268000000,-1077000000,-268000000,-279000000,-233000000,2727000000,-123000000,307000000,5960000000,-5343000000,-1536000000,-1850000000,-10215000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,181200000,180200000,90900000,833300000,598999285,241486068,1153067130,-10497900,-14326647,14164306,74713384,-76793857,-10466333,5824790,-1986295,6070908,-14000000,9000000,12000000,3000000,-21000000,9000000,44000000,-52000000,120000000,-36000000,38000000,45000000,560000000
98,Cash at the End of Period,- -,- -,- -,300000,- -,- -,- -,28494301,14326648,29902424,104341105,27597792,17443889,23299161,20856093,26711996,13000000,22000000,34000000,37000000,16000000,25000000,69000000,17000000,137000000,101000000,139000000,184000000,744000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,28653295,15738118,29627721,104391649,27910222,17474371,22842388,20641088,27000000,13000000,22000000,34000000,37000000,16000000,25000000,69000000,17000000,137000000,101000000,139000000,184000000
