,https://roic.ai/company/NTP,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829365/000114554904000297/u98916e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000114554905000363/u99587e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000114554906000360/h00389e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000095013707004003/v28278e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000095013408004876/v38999e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000095013409005282/0000950134-09-005282-index.html,https://www.sec.gov/Archives/edgar/data/829365/000095012310025189/0000950123-10-025189-index.html,https://www.sec.gov/Archives/edgar/data/829365/000095012311025911/v58963e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000119312512119657/0001193125-12-119657-index.html,https://www.sec.gov/Archives/edgar/data/829365/000119312513109928/0001193125-13-109928-index.html,https://www.sec.gov/Archives/edgar/data/829365/000119312514098684/d653728d20f.htm,https://www.sec.gov/Archives/edgar/data/829365/000119312515090237/d856170d20f.htm,https://www.sec.gov/Archives/edgar/data/829365/000119312516502218/0001193125-16-502218-index.html,https://www.sec.gov/Archives/edgar/data/829365/000119312517078785/0001193125-17-078785-index.html,https://www.sec.gov/Archives/edgar/data/829365/000156459018005040/0001564590-18-005040-index.html,https://www.sec.gov/Archives/edgar/data/829365/000156459019008018/0001564590-19-008018-index.html,https://www.sec.gov/Archives/edgar/data/829365/000156459020012102/0001564590-20-012102-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,1761000,102411000,71215000,54215000,58896000,58676000,82477000,61827000,160649000,213843000,221084000,272459000,237017000,182722000,228067000,118510000,157838000,68707000,212760000,157371000,94558000,165173000,62919000,130218000,211131000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,513000,- -,7937000,9505000,- -,- -,41906000,13330000,24360000,- -,- -,- -,- -,- -,49824000,201565000,85295000,49983000,89624000,- -,46952000,2166000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,1761000,102411000,71728000,54215000,66833000,68181000,82477000,61827000,202555000,227173000,245444000,272459000,237017000,182722000,228067000,118510000,207662000,270272000,298055000,207354000,184182000,165173000,109871000,132384000,211131000
34,Net Receivables,- -,- -,- -,- -,- -,- -,16589000,16985000,16138000,24283000,37550000,41968000,50944000,64797000,90428000,125662000,121877000,101285000,112349000,57911000,74176000,74469000,159309000,74838000,4294000,1403000,- -,- -,226000,1032000,3965000
35,Inventory,- -,- -,- -,- -,- -,- -,10511000,9838000,4355000,10901000,27172000,11892000,19200000,27032000,23096000,31744000,30894000,32356000,27300000,16054000,29058000,31856000,55638000,30493000,- -,- -,- -,- -,- -,- -,153249000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,17748000,3788000,4794000,5037000,3797000,3730000,2722000,18048000,18653000,15073000,2503000,5857000,5380000,17442000,6200000,57885000,30624000,53695000,28611000,23726000,23004000,5100000,6663000,9338000,9361000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,46609000,133022000,97015000,94436000,135352000,125771000,155343000,171704000,334732000,399652000,400718000,411957000,382046000,274129000,337501000,282720000,453233000,429298000,330960000,232483000,207186000,170273000,116760000,142754000,377706000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26568000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18476000,20296000,2951000,2951000,2951000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000,24996000,23060000,21308000,20688000,16290000,19883000,2673000,3930000,13593000,13296000,12264000,11981000,16532000,10951000,9645000,11562000,- -,- -,- -,4078000,9695000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000,24996000,23060000,21308000,20688000,16290000,19883000,21149000,24226000,16544000,16247000,15215000,11981000,16532000,10951000,9645000,11562000,- -,- -,- -,4078000,9695000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2319000,2204000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3192000,3547000,4486000,8423000,8203000,5420000,- -,- -,- -,- -,- -,- -,2011000,3842000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,41782000,34766000,50213000,63472000,48022000,75742000,98435000,105303000,109451000,100476000,107368000,105443000,111924000,109062000,89641000,154839000,160859000,54170000,27148000,27435000,41615000,89485000,199143000,281567000,283040000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,41782000,34766000,50213000,64311000,73018000,98802000,119743000,125991000,125741000,120359000,128517000,132861000,132015000,129795000,113279000,175023000,182811000,65121000,36793000,38997000,41615000,91804000,201347000,287656000,323145000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,88391000,167788000,147228000,158747000,208370000,224573000,275086000,297695000,460473000,520011000,529235000,544818000,514061000,403924000,450780000,457743000,636044000,494419000,367753000,271480000,248801000,262077000,318107000,430410000,700851000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,16184000,17551000,18377000,25504000,40224000,34258000,38714000,55674000,89570000,121608000,125893000,107326000,98125000,58667000,84590000,83055000,187440000,95303000,- -,- -,845000,5705000,87214000,36676000,61559000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,5186000,1814000,329000,6949000,1523000,3687000,14970000,3004000,4955000,9400000,6266000,6570000,8199000,691000,- -,268000,12655000,- -,40000000,- -,- -,- -,- -,3491000,6944000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16644000,10821000,793000,632000,584000,173000,708000,67642000,71220000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,31000,187000,770000,718000,4037000,3844000,14251000,16225000,21964000,33970000,30454000,31755000,36685000,17053000,30677000,50835000,55134000,24905000,10008000,5283000,11026000,11841000,2285000,6571000,7454000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,21401000,19552000,19476000,33171000,45784000,41789000,67935000,74903000,116489000,164978000,162613000,145651000,143009000,76411000,115267000,134158000,271873000,131029000,50801000,5915000,12455000,17719000,90207000,114380000,147177000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12860000,2812000,1688000,5163000,2850000,1100000,1558000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93861000,115939000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,300000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,56000,8000,34000,151000,112000,78000,- -,- -,- -,- -,740000,1103000,1379000,1379000,1379000,- -,- -,- -,- -,- -,- -,- -,7395000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,7253000,9263000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,56000,8000,34000,13011000,2924000,1766000,5163000,2850000,1100000,1558000,740000,1103000,1379000,1379000,1379000,- -,- -,- -,- -,- -,9000,101292000,132897000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,4184000,10327000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,21401000,19552000,19532000,33179000,45818000,54800000,70859000,76669000,121652000,167828000,163713000,147209000,143749000,77514000,116646000,135537000,273252000,131029000,50801000,5915000,12455000,17719000,90216000,215672000,280074000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,78000,112000,98000,88000,102000,104000,120000,412000,426000,435000,438000,448000,448000,448000,448000,448000,448000,453000,426000,367000,364000,376000,382000,386000,579000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,38007000,68050000,47509000,44566000,56304000,57864000,54182000,9863000,56324000,50771000,25030000,47846000,39054000,40706000,46751000,34711000,74750000,71214000,42258000,26343000,6607000,-24000,-13329000,-26520000,-9630000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-10264000,-11853000,-15672000,-20359000,-27025000,-35122000,-40669000,-50283000,-60706000,-72619000,-88399000,-108682000,-128192000,-146751000,-166642000,-159313000,-117492000,-64479000,-30481000,-4000000,-12000000,-6000000,-16000000,-19000000,-5759000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,39169000,91927000,95761000,101273000,132983000,146505000,188495000,257126000,309009000,331804000,380025000,390569000,410951000,432007000,453577000,446360000,405086000,356202000,304749000,242855000,241375000,250006000,256838000,259872000,263638000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,66990000,148236000,127696000,125568000,162364000,169351000,202128000,217118000,305053000,310391000,317094000,330181000,322261000,326410000,334134000,322206000,362792000,363390000,316952000,265565000,236346000,244358000,227891000,214738000,248828000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,88391000,167788000,147228000,158747000,208182000,224151000,272987000,293787000,426705000,478219000,480807000,477390000,466010000,403924000,450780000,457743000,636044000,494419000,367753000,271480000,248801000,262077000,318107000,430410000,528902000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000,422000,2099000,3908000,33768000,41792000,48428000,67428000,48051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171949000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,88391000,167788000,147228000,158747000,208370000,224573000,275086000,297695000,460473000,520011000,529235000,544818000,514061000,403924000,450780000,457743000,636044000,494419000,367753000,271480000,248801000,262077000,318107000,430410000,700851000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829365/000114554904000297/u98916e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000114554905000363/u99587e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000114554906000360/h00389e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000095013707004003/v28278e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000095013408004876/v38999e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000095013409005282/0000950134-09-005282-index.html,https://www.sec.gov/Archives/edgar/data/829365/000095012310025189/0000950123-10-025189-index.html,https://www.sec.gov/Archives/edgar/data/829365/000095012311025911/v58963e20vf.htm,https://www.sec.gov/Archives/edgar/data/829365/000119312512119657/0001193125-12-119657-index.html,https://www.sec.gov/Archives/edgar/data/829365/000119312513109928/0001193125-13-109928-index.html,https://www.sec.gov/Archives/edgar/data/829365/000119312514098684/d653728d20f.htm,https://www.sec.gov/Archives/edgar/data/829365/000119312515090237/d856170d20f.htm,https://www.sec.gov/Archives/edgar/data/829365/000119312516502218/0001193125-16-502218-index.html,https://www.sec.gov/Archives/edgar/data/829365/000119312517078785/0001193125-17-078785-index.html,https://www.sec.gov/Archives/edgar/data/829365/000156459018005040/0001564590-18-005040-index.html,https://www.sec.gov/Archives/edgar/data/829365/000156459019008018/0001564590-19-008018-index.html,https://www.sec.gov/Archives/edgar/data/829365/000156459020012102/0001564590-20-012102-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3000000,2500000,5200000,8100000,11400000,9416000,30839000,3529000,11798000,24001000,9045000,20023000,43802000,66885000,51306000,40756000,69503000,30635000,1652000,15006000,505000,66921000,297000,-25588000,-13158000,-9534000,3944000,-13254000,-13191000,15693000
74,Depreciation and Amortization,- -,900000,800000,1100000,2000000,2600000,2676000,4331000,4258000,5669000,8121000,11434000,10968000,12264000,14016000,17283000,19024000,21501000,22208000,23116000,24468000,16068000,26133000,21355000,4596000,4173000,1784000,328000,3801000,1985000,4150000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000,-110000,117000,-39000,-34000,-78000,- -,- -,-3246000,-793000,-804000,-2577000,-2538000,5460000,4498000,- -,- -,- -,- -,- -,-2011000,6784000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,95000,112000,547000,1536000,309000,1685000,1035000,1126000,2925000,539000,809000
77,Change in Working Capital,- -,-1600000,2100000,-5900000,2500000,-6200000,3347000,-3629000,3635000,-7842000,-22002000,4627000,8736000,-12220000,16093000,-2070000,7177000,5715000,-13985000,15450000,1354000,-18515000,10382000,24685000,-13498000,-2813000,-1843000,-1032000,-1030000,66610000,-157768000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46239000,-16265000,-293000,-81245000,82633000,73031000,- -,- -,- -,- -,-806000,-2933000
79,Inventory,- -,-1200000,-600000,-1600000,-2400000,-1300000,-86000,673000,5483000,-6546000,-13245000,15302000,-7625000,-8554000,3936000,-8648000,850000,-1462000,5056000,11246000,-13004000,-2798000,-25064000,25671000,30493000,- -,- -,- -,- -,- -,-161818000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39458000,25923000,-1535000,104385000,-92137000,-95303000,- -,- -,- -,- -,- -,2261000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25818000,- -,- -,- -,- -,- -,- -,- -,- -,67579000,3357000
82,Other Non-Cash Items,- -,-1100000,-100000,800000,-800000,- -,123000,-9838000,7978000,-624000,-11145000,-1988000,-186000,-2643000,-21706000,4306000,12854000,-22423000,-1274000,-978000,-3453000,-952000,328000,29671000,23821000,1331000,3348000,-2107000,-1175000,386000,-85000
83,Cash Provided by Operating Activities,- -,1200000,5300000,1200000,11800000,7800000,15562000,21703000,19400000,8953000,-1135000,23235000,39502000,41169000,75210000,70825000,79811000,71050000,36791000,38503000,34893000,-5320000,109771000,82042000,-10360000,-8782000,-5210000,2259000,-8733000,54318000,-130417000
84,CAPEX,- -,-1500000,-4900000,-3100000,-10700000,-13700000,-11650000,-3602000,-4699000,-17888000,-3579000,-36013000,-18485000,-17053000,-42985000,-32166000,-23793000,-13785000,-30676000,-30420000,-6295000,-63924000,-58444000,-3653000,-1711000,-2818000,-525000,-13377000,-2189000,-864000,-449000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-951000,-7872000,-85000,-17096000,-10384000,-25084000,- -,-3130000,-6521000,3765000,-43434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-500000,- -,- -,- -,- -,-119000,-12000,- -,- -,- -,- -,- -,-5277000,- -,- -,- -,- -,- -,- -,- -,- -,-15155000,-151741000,- -,- -,- -,- -,-47030000,- -,-150150000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,8717000,2132000,- -,24214000,- -,- -,- -,5609000,10995000,- -,53914000,- -,- -,- -,- -,- -,679000,116270000,- -,- -,- -,- -,46902000,2166000
88,Other Investing Activites,- -,3700000,1100000,-400000,-3800000,-6400000,-10086000,7420000,-24655000,250000,2143000,660000,1821000,14148000,100189000,39911000,18493000,-6998000,-7812000,-927000,14512000,-35486000,6671000,14332000,26685000,40829000,-43595000,75992000,-29521000,-131896000,- -
89,Cash Used for Investing Activites,- -,1700000,-3800000,-3500000,-14500000,-20100000,-21855000,12523000,-27222000,-18589000,14906000,-35438000,-33760000,-18566000,37729000,18740000,-8430000,26610000,-34723000,-74781000,8217000,-99410000,-66928000,-140383000,141244000,38011000,-44120000,62615000,-78740000,-85858000,-148433000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8199000,- -,- -,- -,-8382000,- -,-132432000,- -,- -,- -,-193000,-54869000
91,Common Stock Issued,- -,- -,3500000,6000000,12300000,400000,226000,51201000,- -,394000,2753000,4307000,36470000,8508000,72000,16420000,5439000,- -,- -,- -,- -,- -,- -,2598000,89000,- -,- -,- -,- -,- -,174483000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2583000,-10000,-21255000,-11809000,-73000,-3353000,-3528000,- -,- -,- -,- -,- -,-110000,- -,- -,- -,- -,- -,-17561000,-36704000,-6258000,- -,- -,- -,- -
93,Dividends Paid,- -,-200000,-900000,- -,-100000,-100000,-243000,-749000,-2141000,-2889000,-11973000,-3947000,-16654000,-37777000,-19414000,-51984000,-65923000,-47796000,-47675000,-9857000,- -,-8961000,-12545000,-27093000,-3581000,-3230000,-2936000,-10266000,-10565000,- -,- -
94,Other Financing Activites,- -,-500000,-1600000,500000,200000,- -,-273000,- -,- -,6949000,199000,14976000,1797000,-13984000,5225000,-601000,-4587000,698000,5518000,- -,- -,- -,8382000,- -,40000000,96428000,3288000,6908000,3954000,100128000,72343000
95,Cash Used/Provided by Financing Activities,- -,-700000,1000000,6500000,12400000,- -,-2873000,50442000,-23396000,-7355000,-9094000,11983000,18085000,-43253000,-14117000,-36165000,-65071000,-47098000,-42267000,-18056000,- -,-8961000,-4163000,-32877000,18947000,-75938000,-5906000,-3358000,-6611000,99935000,191957000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,2000,22000,-9000,4000,- -,-26000,- -,- -,-206000,931000,813000,4757000,39000,2235000,4134000,648000,2087000,-5778000,-8680000,-7577000,9099000,-8170000,-1096000,19720000
97,Net Change In Cash,- -,-700000,1000000,6500000,12400000,- -,-9166000,84670000,-31196000,-17000000,4681000,-220000,23801000,-20650000,98822000,53194000,7241000,51375000,-35442000,-54295000,45345000,-109557000,39328000,-89131000,144053000,-55389000,-62813000,70615000,-102254000,67299000,-67173000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1761000,102411000,71215000,54215000,58896000,58676000,82477000,61827000,160649000,213843000,221084000,272459000,237017000,182722000,228067000,118510000,157838000,68707000,212760000,157371000,94558000,165173000,62919000,130218000,63045000
