,https://roic.ai/company/AEHL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,258185,666666,260283,553840,851284,851284,851284,851284,851284,920665,1113161,1497677,2025220,2940265
28,Weighted Average Shares Outstanding Diluted,258185,666666,269267,553840,851284,851284,851284,851284,851284,920665,1113161,1497677,2025220,2940265
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,494941,697424,150121000,263495000,42149000,89448000,28848000,61155000,514000,110000,2328000,9016000,8212000,12344000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,494941,697424,150121000,263495000,42149000,89448000,28848000,61155000,514000,110000,2328000,9016000,8212000,12344000
34,Net Receivables,3298163,794059,274724000,291883000,499586000,455885000,504354000,549925000,527205000,566235000,534540000,228814000,180877000,102315000
35,Inventory,- -,- -,114658000,177217000,291781000,290603000,307436000,330763000,306853000,212742000,191667000,127346000,165296000,52201000
36,Other Current Assets,916465846,856269619,145384000,- -,- -,4092000,39563000,31050000,43200000,2682000,- -,1719000,7863000,- -
37,Total Current Assets,920258951,857761102,684887000,732595000,833516000,840028000,880201000,972893000,877772000,781769000,728535000,366895000,362248000,166860000
38,PP&E,10943,7609,64184000,459161000,843429000,795983000,802578000,718418000,409855000,130542000,61171000,46000,35000,58527000
39,Goodwill,- -,- -,- -,3735000,3735000,3735000,3735000,3735000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,165000,31936000,31267000,30598000,29929000,29259000,15809000,5920000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,165000,35671000,35002000,34333000,33664000,32994000,15809000,5920000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6791000,- -,- -,- -,- -
43,Tax Assets,319480,4855432,- -,- -,- -,1059000,9797000,7854000,9584000,4765000,209000,- -,- -,- -
44,Other Non-Current Assets,-0,- -,- -,- -,- -,- -,- -,1404000,- -,1494000,35503000,- -,- -,-1000
45,Total Non-Current Assets,330423,4863041,64349000,494832000,878431000,831375000,846039000,760670000,435248000,149512000,96883000,46000,35000,58526000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,920589374,862624143,749236000,1227427000,1711947000,1671403000,1726240000,1733563000,1313020000,931281000,825418000,366941000,362283000,225386000
48,Accounts Payable,- -,- -,129631000,178382000,254009000,115123000,152572000,122168000,110267000,84257000,61084000,24329000,22577000,6750000
49,Short-Term Debt,- -,- -,26500000,72000000,125000000,10000000,99652000,84704000,40076000,- -,- -,- -,5793000,13431000
50,Tax Payable,- -,- -,20385000,22576000,35090000,869000,1823000,13749000,7657000,4666000,5590000,6038000,1869000,2976000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,16200000,619000,- -
52,Other Current Liabilities,33732748,31946387,88008000,68684000,78112000,52038000,53199000,77663000,74433000,74575000,52398000,50394000,60401000,61128000
53,Total Current Liabilities,33732748,31946387,244139000,319066000,457121000,177161000,305423000,284535000,224776000,158832000,130682000,90923000,89390000,81309000
54,Long-Term Debt,- -,- -,- -,25000000,60000000,50000000,- -,- -,- -,- -,- -,- -,- -,46728000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1122000,1087000,1052000,1245000,1404000,1404000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,294861993,275442890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,294861993,275442890,- -,26122000,61087000,51052000,1245000,1404000,1404000,- -,- -,- -,- -,46728000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5793000,60159000
61,Total Liabilities,328594742,307389277,244139000,345188000,518208000,228213000,306668000,285939000,226180000,158832000,130682000,90923000,89390000,128037000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,116881,109184,61000,112000,- -,137000,137000,137000,137000,151000,206000,306000,397000,591000
64,Retained Earnings,2181976,4266257,- -,882127000,1193615000,991121000,962370000,924112000,554917000,232460000,144434000,-289358000,-300973000,-494068000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-207575000,-202442000,-136132000,-127721000,-129354000,-128787000,-253399000,-253517000,-253146000
66,Other Total Stockholders Equity,589695775,550859426,505036000,- -,- -,659507000,659507000,659507000,659507000,669192000,678883000,818469000,826986000,843972000
67,Total Stockholders Equity,591994632,555234866,505097000,882239000,1193739000,1443190000,1419572000,1447624000,1086840000,772449000,694736000,276018000,272893000,97349000
68,Total Liabilities And Stockholders Equity,920589374,862624143,749236000,1227427000,1711947000,1671403000,1726240000,1733563000,1313020000,931281000,825418000,366941000,362283000,225386000
69,Minority Interest,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,920589374,862624143,749236000,1227427000,1711947000,1671403000,1726240000,1733563000,1313020000,931281000,825418000,366941000,362283000,225386000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,2181976,2227982,152861000,225474000,294439000,243831000,-2032000,-30353000,-362412000,-321802000,-88026000,-418674000,-9501000,-193095000
74,Depreciation and Amortization,234,2614,15631000,30863000,49079000,66855000,70222000,70120000,68645000,44952000,15514000,11608000,12000,12000
75,Deferred Income Tax,-319480,-4556992,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,14100000,- -,17295000,5651000,2117000,150000,- -,- -,294000,619000,627000,1135000
77,Change in Working Capital,-2947015,3417975,-33748000,-57136000,-250347000,-94139000,-48618000,-86149000,24882000,-58432000,-45220000,-57428000,-11981000,27852000
78,Accounts Receivable,- -,- -,-74992000,-12136000,-190233000,17324000,-35104000,-58937000,40022000,-67578000,-50384000,-23309000,-21570000,-74714000
79,Inventory,- -,- -,16904000,-51086000,-114564000,-3059000,-40247000,-25765000,16242000,19034000,23808000,8347000,18817000,115395000
80,Accounts Payable,- -,- -,31956000,40578000,74301000,-137559000,37449000,-30404000,-11901000,-26010000,-23173000,-36755000,-1753000,-15826000
81,Other Working Capital,-1063554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619000,-619000
82,Other Non-Cash Items,0,-22146790,10776000,5040000,13761000,-30997000,30426000,68949000,430867000,326597000,115392000,457641000,27130000,163783000
83,Cash Provided by Operating Activities,-1084286,-21055213,159620000,204241000,124227000,191201000,52115000,22717000,161982000,-8685000,-2046000,-6234000,6287000,-313000
84,CAPEX,-11177,- -,-8041000,-222246000,-441605000,-19520000,-97068000,- -,-164697000,- -,-5618000,- -,- -,-46000
85,Acquisitions Net,- -,- -,-145384000,-36311000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-915165812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,3302000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,638099,21401721,1131000,4469000,8266000,649000,-34898000,12991000,-12045000,44463000,70000,-1719000,-1066000,2785000
89,Cash Used for Investing Activites,-914538890,21401721,-152294000,-254088000,-433339000,-18871000,-128664000,12991000,-176742000,44463000,-5548000,-1719000,-1066000,2739000
90,Debt Repayment,- -,- -,-28100000,-62200000,-85000000,-125000000,-10000000,-73064000,-94816000,-40076000,- -,- -,-13902000,-14841000
91,Common Stock Issued,957828714,- -,- -,- -,- -,- -,- -,- -,- -,6185000,9537000,15262000,5033000,16045000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-22455000,- -,- -,- -,-11831000,-1505000,-1505000,- -,- -,- -,- -,- -
94,Other Financing Activites,-41710597,-111429,141655000,225448000,173000000,- -,37821000,71167000,48813000,- -,- -,186000,2962000,131000
95,Cash Used/Provided by Financing Activities,916118117,-111429,91100000,163248000,88000000,-125000000,15990000,-3402000,-47508000,-33891000,9537000,15448000,-5907000,1335000
96,Effect of Forex Changes on Cash,- -,- -,89000,-27000,-234000,-31000,-41000,1000,1627000,-2291000,275000,-807000,-118000,371000
97,Net Change In Cash,916118117,235079,98515000,113374000,-221346000,47299000,-60600000,32307000,-60641000,-404000,2218000,6688000,-804000,4132000
98,Cash at the End of Period,494941,697424,150121000,263495000,42149000,89448000,28848000,61155000,514000,110000,2328000,9016000,8212000,12344000
99,Cash at the Beginning of Period,- -,462345,51606000,150121000,263495000,42149000,89448000,28848000,61155000,514000,110000,2328000,9016000,8212000
100,Free Cash Flow,-1095462,-21055213,151579000,-18005000,-317378000,171681000,-44953000,22717000,-2715000,-8685000,-7664000,-6234000,6287000,-359000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532
