,https://roic.ai/company/MNOV,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-99.1519,-37.4193,-157.9430,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.6377,-0.6697,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.5302
19,Total Other Income Expenses (Gains),- -,82000,51973,339783,4395514,5987922,4610724,690076,877577,-2291842,-1614069,-4814,-3953,23747,-15334,19609,119907,917015,1102079,322778,84128
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-48883244,-21911270,-20361883,-20174630,-17722503,-10950170,-4024493,-9199264,-8837720,-10862225,-12907186,-14669811,-12928998,-13855545,-10131684
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.6437,-0.6704,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.5094
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,20000,13559,7007,12678,11573,11144,4035,-3972,7359,3754,-1744050,5276,12660,-1648,2568
23,Net Income,-1795000,-6931000,-6209130,-48272603,-25692135,-35689611,-48903244,-21924829,-20368890,-20187308,-17734076,-10961314,-4028528,-9195292,-8845079,-10865979,-11163136,-14675087,-12941658,-13853897,-10134252
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-98.4589,-31.9527,-135.2509,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.6576,-0.6711,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.5100
25,EPS,-35.90,-138.62,-124.20,-1592.30,-2.90,-3.52,-4.16,-1.82,-1.68,-1.63,-1.20,-0.66,-0.19,-0.38,-0.33,-0.33,-0.32,-0.36,-0.30,-0.31,-0.00
26,EPS Diluted,-35.90,-138.62,-124.20,-1592.30,-2.90,-3.52,-4.16,-1.82,-1.68,-1.63,-1.20,-0.66,-0.19,-0.38,-0.33,-0.33,-0.32,-0.36,-0.30,-0.31,-0.00
27,Weighted Average Shares Outstanding,50000,50000,50000,50000,8928533,10130920,11752139,12072027,12105835,12410576,14813156,17261821,20697440,24067781,26578770,32986740,35137028,41124909,43158830,44413441,48987836
28,Weighted Average Shares Outstanding Diluted,50000,50000,50000,500000,8928533,10130920,11752139,12072027,12105835,12410576,14813156,17261821,20697440,24067781,26578770,32986740,35137028,41124909,43158830,44413441,48987836
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1226616/000119312506033676/0001193125-06-033676-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312507033031/0001193125-07-033031-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312508058990/0001193125-08-058990-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312509069548/0001193125-09-069548-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312510065827/0001193125-10-065827-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312511085028/0001193125-11-085028-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312512137788/0001193125-12-137788-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312513132600/0001193125-13-132600-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312514118744/0001193125-14-118744-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312515089483/0001193125-15-089483-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459016013409/0001564590-16-013409-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459017001547/0001564590-17-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459018001957/0001564590-18-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459019002835/0001564590-19-002835-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459020004605/0001564590-20-004605-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459021006771/0001564590-21-006771-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459022005388/0001564590-22-005388-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4240699,38801328,37677985,8334496,18778938,19297284,19241581,28252204,15093124,4010530,6700493,11669435,22076749,24118037,27991743,62313418,63792657,60036763,71430954
32,Short-Term Investments,- -,- -,1250000,12000000,101022899,95716690,51856571,- -,26811994,623751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,5490699,50801328,138700884,104051186,70635509,19297284,46053575,28875955,15093124,4010530,6700493,11669435,22076749,24118037,27991743,62313418,63792657,60036763,71430954
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6008553,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,108360,487576,2558529,6618994,2443612,718317,869649,29468042,614540,411592,1673560,463486,649457,585810,336580,444942,511916,680171,577992
37,Total Current Assets,- -,- -,5599059,51288904,141259413,110670180,73079121,20015601,46923224,58343997,15707664,4422122,14382606,12132921,22726206,24703847,28328323,62758360,64304573,60716934,72008946
38,PP&E,- -,- -,32250,308187,1134297,870645,673317,368299,153547,65209,29425,78474,82414,44844,20430,90717,62886,53134,40550,55700,881780
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,9142205,9600241,9600241,9600241,9600241,9600241,9600240,9600240,9600240,9600240,9600240,9600240,9600240
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,4800000,4800000,4800000,4800000,4800000,4800000,4800000,4800000,4800000,4800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9142205,9600241,14400241,14400241,14400241,14400241,14400240,14400240,14400240,14400240,14400240,14400240,14400240
42,Investments,- -,- -,- -,- -,- -,- -,- -,24047314,2761924,- -,650000,667204,680982,684789,650470,618330,616657,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,2171504,- -,50000,- -,5792701,35346007,4924722,- -,- -,- -,10699,108977,- -,10958,10958,459811,246236,115492
45,Total Non-Current Assets,- -,- -,32250,2479691,1134297,920645,673317,30208314,47403683,14590172,15079666,15145919,15163637,15140573,15180117,15109287,15090741,14464332,14900601,14702176,15397512
46,Other Assets,8379000,1586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8379000,1586000,5631309,53768595,142393710,111590825,73752438,50223915,94326907,72934169,30787330,19568041,29546243,27273494,37906323,39813134,43419064,77222692,79205174,75419110,87406458
48,Accounts Payable,- -,- -,329328,469798,1379982,3828270,2880462,392572,1300271,1099625,718882,491853,33894,461970,170786,367275,1520225,616753,451326,616629,402740
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,17605485,33577906,- -,- -,- -,- -,- -,- -,- -,- -,- -,33577906,131965
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,863510,3163,- -,- -,- -,- -,- -,- -,- -,1694163,- -
52,Other Current Liabilities,- -,- -,432099,2115278,5246443,6740273,4260465,1786811,3517041,2112673,2114902,542776,426541,1132024,1319720,1262800,1360744,1575161,1776912,-33694748,2298203
53,Total Current Liabilities,- -,- -,761427,2585076,6626425,10568543,7140927,2179383,22422797,36790204,3697294,1037792,460435,1593994,1490506,1630075,2880969,2191914,2228238,2193950,2832908
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,29258137,9483605,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1636490,1694257,1694163,1694163,1694163,1694163,1694163,1694163,1694163,1694163,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1956000,1956000,1956000,1956000,1956000,1956000,1956000,1956000,201792,201792,201792,201792,201792
57,Other Non-Current Liabilities,- -,- -,300000,43514397,59506,41374,3310,- -,676499,- -,- -,- -,9889,18748,12680,967,- -,27211,186358,2705,694674
58,Total Non-Current Liabilities,- -,- -,300000,43514397,59506,41374,3310,- -,31890636,11439605,3592490,3650257,3660052,3668911,3662843,3651130,1895955,1923166,2082313,1898660,896466
59,Other Liabilities,325000,464000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131965
61,Total Liabilities,325000,464000,1061427,46099473,6685931,10609917,7144237,2179383,54313433,48229809,7289784,4688049,4120487,5262905,5153349,5281205,4776924,4115080,4310551,4092610,3729374
62,Preferred Stock,- -,- -,11075,12912,- -,- -,- -,- -,- -,- -,2200,2200,2200,2200,2200,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,500,500,98856,10422,12072,12072,12170,12484,16128,17407,22495,24437,29957,34525,36453,42081,43908,45025,49043
64,Retained Earnings,-1996000,-8928000,-15136665,-94752701,-120464525,-156154136,-205057380,-226982209,-247351099,-267538407,-285272483,-296233797,-301386714,-310582006,-319427085,-330293064,-341456200,-356131287,-369072945,-382926842,-393061094
65,Other Comprehensive Income/Loss,- -,- -,- -,-59662,-212116,-648470,-1098147,-1390864,-1579263,-1447522,-925935,-672301,-431193,-461948,-483242,-499400,-471715,-483528,-497859,-523617,-98877
66,Other Total Stockholders Equity,10050000,10050000,19694972,102468073,256285564,257773092,272751656,276405533,288931666,293677805,309677636,311766483,327218968,333027906,352631144,365289868,380533602,429680346,444421519,454731934,- -
67,Total Stockholders Equity,8054000,1122000,4569882,7669122,135707779,100980908,66608201,48044532,40013474,24704360,23497546,14879992,25425756,22010589,32752974,34531929,38642140,73107612,74894623,71326500,83677084
68,Total Liabilities And Stockholders Equity,8379000,1586000,5631309,53768595,142393710,111590825,73752438,50223915,94326907,72934169,30787330,19568041,29546243,27273494,37906323,39813134,43419064,77222692,79205174,75419110,87406458
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8379000,1586000,5631309,53768595,142393710,111590825,73752438,50223915,94326907,72934169,30787330,19568041,29546243,27273494,37906323,39813134,43419064,77222692,79205174,75419110,87406458
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1226616/000119312506033676/0001193125-06-033676-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312507033031/0001193125-07-033031-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312508058990/0001193125-08-058990-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312509069548/0001193125-09-069548-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312510065827/0001193125-10-065827-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312511085028/0001193125-11-085028-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312512137788/0001193125-12-137788-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312513132600/0001193125-13-132600-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312514118744/0001193125-14-118744-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312515089483/0001193125-15-089483-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459016013409/0001564590-16-013409-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459017001547/0001564590-17-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459018001957/0001564590-18-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459019002835/0001564590-19-002835-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459020004605/0001564590-20-004605-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459021006771/0001564590-21-006771-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459022005388/0001564590-22-005388-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-6209130,-48272603,-25692135,-35689611,-48903244,-21924829,-20368890,-20187308,-17734076,-10961314,-4028528,-9195292,-8845079,-10865979,-11163136,-14675087,-12941658,-13853897,-10134252
74,Depreciation and Amortization,- -,- -,29872,45298,-715918,-308374,345437,305018,219202,108257,41869,69528,100487,40186,26704,14127,28098,25881,23944,21342,26149
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9557,- -,-1901,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,3172712,2371636,2000935,1372748,709650,1216444,1638038,2025500,3972533,4474945,6330305,4112649,3175553,1717513
77,Change in Working Capital,- -,- -,248008,43866196,85929160,-34531351,-34163443,-48101976,6664209,-2946634,-9543423,-8626040,10537841,-3383244,10696773,1838072,2373582,35119092,1509889,-3553351,-1207941
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127373,1246630,-663671,194099,-224314,-1026525
81,Other Working Capital,- -,- -,4837632,48703828,134632988,100101637,65938194,17836218,24500427,21553793,12010370,3384330,13922171,10538927,21235700,23073772,25447354,60566446,62076335,58522984,- -
82,Other Non-Cash Items,- -,- -,- -,-9185367,-82402002,36470313,38862561,45430695,-5900319,3326671,12554230,6943738,-18472700,11726398,-11056268,-1503065,-2637423,-35914312,-1829811,3383991,216926
83,Cash Provided by Operating Activities,- -,- -,-5931250,-13546476,-22880895,-34059023,-43858689,-21118380,-17014162,-17698079,-13308652,-11864438,-10646456,816529,-7152370,-6546213,-6923934,-9114121,-9124987,-10826362,-9381605
84,CAPEX,- -,- -,-10537,-321235,-978564,-208999,-380709,- -,-16447,-18559,-6085,-83378,-41554,-3523,-2320,-84483,- -,-10200,-11272,-36492,-28732
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2371749,-458036,- -,-680000,- -,- -,- -,- -,- -,636524,- -,- -,- -
86,Purchases of Investments,- -,- -,-1250000,-10750000,-213319715,-108173406,-41712645,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,125150000,114191364,85662087,23550000,1252846,28111943,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,194821,- -,- -,- -,62024,- -,- -,- -,- -,- -,4800,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1065716,-11071235,-89148279,5808959,43630757,21550000,-1135350,27635348,-6085,-763378,-36754,-3523,-2320,-84483,- -,626324,-11272,-36492,-28732
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17605485,-15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,60560424,110961276,289000,10672374,86726,488324,204059,9715100,1545222,13363997,3797361,16691120,8577907,10719707,42757772,10588231,7297891,20890239
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1382425,- -,- -,- -,- -,8230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,9956547,-1382084,-55445,- -,- -,- -,17605485,16474780,5432327,- -,6697,364900,872632,87729,77319,51009,27320,-192132,-112258
95,Cash Used/Provided by Financing Activities,- -,- -,9956547,59178340,110905831,-1093425,10672374,86726,18093809,-926646,155657,1545222,13370694,4162261,17563752,8665636,10797026,42808781,10615551,7105759,20777981
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2479,-6325,-1748,6348,614,691,-53,1201,26547
97,Net Change In Cash,- -,- -,2959581,34560629,-1123343,-29343489,10444442,518346,-55703,9010623,-13159080,-11082594,2689963,4968942,10407314,2041288,3873706,34321675,1479239,-3755894,11394191
98,Cash at the End of Period,- -,- -,4240699,38801328,37677985,8334496,18778938,19297284,19241581,28252204,15093124,4010530,6700493,11669435,22076749,24118037,27991743,62313418,63792657,60036763,71430954
99,Cash at the Beginning of Period,- -,- -,1281118,4240699,38801328,37677985,8334496,18778938,19297284,19241581,28252204,15093124,4010530,6700493,11669435,22076749,24118037,27991743,62313418,63792657,60036763
100,Free Cash Flow,- -,- -,-5941787,-13867711,-23859459,-34268022,-44239398,-21118380,-17030609,-17716638,-13314737,-11947816,-10688010,813006,-7154690,-6630696,-6923934,-9124321,-9136259,-10862854,-9410337
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1226616/000119312506033676/0001193125-06-033676-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312507033031/0001193125-07-033031-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312508058990/0001193125-08-058990-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312509069548/0001193125-09-069548-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312510065827/0001193125-10-065827-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312511085028/0001193125-11-085028-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312512137788/0001193125-12-137788-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312513132600/0001193125-13-132600-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312514118744/0001193125-14-118744-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000119312515089483/0001193125-15-089483-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459016013409/0001564590-16-013409-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459017001547/0001564590-17-001547-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459018001957/0001564590-18-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459019002835/0001564590-19-002835-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459020004605/0001564590-20-004605-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459021006771/0001564590-21-006771-index.htm,https://www.sec.gov/Archives/edgar/data/1226616/000156459022005388/0001564590-22-005388-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
