,https://roic.ai/company/JVA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1007019/000114420407003674/v063545_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000114420408005566/v101509_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448809000093/0001354488-09-000093-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448810000166/0001354488-10-000166-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448811000309/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448812000351/0001354488-12-000351-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448813000337/0001354488-13-000337-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448814000335/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448815000288/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448816005981/0001354488-16-005981-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000165495417000551/0001654954-17-000551-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315218001192/0001493152-18-001192-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315219001104/0001493152-19-001104-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315220001327/0001493152-20-001327-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315221003836/0001493152-21-003836-index.htm,https://www.sec.gov/Archives/edgar/data/1007019/000149315222002765/0001493152-22-002765-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,43568,73832,642145,735468,1112165,890649,963298,1367933,1672921,4244335,7568583,4035669,3782639,3853816,3227981,2325650,4611384,2402556,2875120,3696275
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,43568,73832,642145,735468,1112165,890649,963298,1367933,1672921,4244335,7568583,4035669,3782639,3853816,3227981,2325650,4611384,2402556,2875120,3696275
34,Net Receivables,- -,- -,- -,- -,- -,2552024,3048806,4879656,8153970,6534848,7130467,9067797,10174221,8852372,16021581,12695891,13363109,15420619,12402814,14134591,13914616,10297503,9908392,7554210,10024978
35,Inventory,- -,- -,- -,- -,- -,1418144,1781424,2258289,4496578,2899543,4472097,5046554,4800143,8190420,13475855,11303581,9373018,15210153,13862818,14276290,16310572,15271106,18841225,17102993,15961866
36,Other Current Assets,- -,- -,- -,- -,- -,198567,535132,813295,602770,5182036,4486176,2576981,1224554,2451548,1938805,1556668,2106450,1070924,1874374,1052578,1104923,578861,587626,490246,618176
37,Total Current Assets,- -,- -,- -,- -,- -,4212303,5439194,8593385,13988786,15728592,16979389,17654630,17566851,21167261,35680576,33124723,28878246,35484335,31993822,32691440,33655761,30758854,31739799,28022569,30301295
38,PP&E,- -,- -,- -,- -,- -,1813342,1579294,2286936,2379952,2138951,2651960,2804053,1648214,1560940,1661759,1791754,2060350,1991094,1845000,2269863,2439338,2350208,2413533,4311547,6208414
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440000,440000,440000,440000,440000,440000,1017905,1794265,2157661,2488785,2488785,2488785
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326250,318750,311250,303750,296250,288750,399750,1518874,2484349,2090673,2028121,885569
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,766250,758750,751250,743750,736250,728750,1417655,3313139,4642010,4579458,4516906,3374354
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,588573,699029,677606,1931931,98178,97404,96571,95598,94643,89776,86008,561405,2902245
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440325,480473,782175,77394
44,Other Non-Current Assets,- -,- -,- -,- -,- -,16796,16796,33496,176575,1114315,765368,542893,- -,- -,- -,648094,618498,643549,610499,549337,497529,552904,387453,285548,449225
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1830138,1596090,2320432,2556527,3253266,3417328,3346946,2236787,3026219,3098115,5123029,3520776,3468297,3280820,4332453,6344649,8075223,7946925,10457581,13011632
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,6042441,7035284,10913817,16545313,18981858,20396717,21001576,19803638,24193480,38778691,38247752,32399022,38952632,35274642,37023893,40000410,38834077,39686724,38480150,43312927
48,Accounts Payable,- -,- -,- -,- -,- -,2048494,- -,4658836,4431577,4828689,6791690,9120124,6655916,7124072,14246972,11769107,7244822,8693100,4021389,4062573,4430626,4833548,4344015,3036097,4144700
49,Short-Term Debt,- -,- -,- -,- -,- -,205259,214551,3048105,1064496,2542881,897191,3522207,791628,2306749,1820109,562500,1229182,2498458,5554121,6958375,8407527,6330269,7167740,489238,4145450
50,Tax Payable,- -,- -,- -,- -,- -,229540,- -,- -,- -,- -,- -,- -,453512,234744,100,21122,- -,331051,- -,1050,1346,1505,100,5371,416449
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,229540,1861447,160000,218864,- -,9161,- -,574512,349044,100,1388511,984040,815975,483835,1050,212208,23551,100,457696,2027710
53,Total Current Liabilities,- -,- -,- -,- -,- -,2483293,2075998,7866941,5714937,7371570,7698042,12642331,8022056,9779865,16067181,13720118,9458044,12007533,10059345,11021998,13050361,11187368,11511855,3983031,10317860
54,Long-Term Debt,- -,- -,- -,- -,- -,1657373,2707712,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5594420,3312876
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300,145000,86000,14500,216700,35900,32655,145666,165157,92370,167470,629680,882022,872232,882582,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,403378,131095,51055,188754,256284,351332,422596,588849,665398,685628,695355,710950,725189,704554,920888,728908,774869,571914,276548,311872
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,2060751,2838807,51055,188754,268584,496332,508596,603349,882098,721528,728010,856616,890346,796924,1088358,1358588,1656891,1444146,6753550,3624748
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,342967,222446,5855,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2264469,3640184
61,Total Liabilities,- -,- -,- -,- -,- -,4544044,4914805,7917996,5903691,7640154,8194374,13150927,8625405,10661963,16788709,14448128,10314660,12897879,10856269,12110356,14408949,12844259,12956001,10736581,13942608
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,4000,4000,4000,5530,5530,5530,5530,5530,5580,6456,6456,6456,6456,6456,6456,6494,6494,6494,6634,6634
64,Retained Earnings,- -,- -,- -,- -,- -,626510,1248592,2123934,3309069,4009151,4946467,804605,4095671,6151054,6268326,7979247,6111633,11079168,9665940,11878228,12345490,13404767,13310169,13215868,14471222
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-3354418,-3727524,-4159274,-4542490,-5020573,-4681558,-5147593,-2191566,-2631468,-3130902,-3704802,-4241256,-4819828,-5557899,-6251828,-6931913,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,867887,867887,4222305,11054547,11486297,11792836,12057861,11713320,12473305,17823542,18263444,18762878,18341049,18650653,17474347,18157464,17722343,18879327,13296164,14055237
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1498397,2120479,2995821,10641622,11341704,12202343,7847423,11132963,13482346,21906758,23617679,21750065,25721871,24081793,24539203,24951549,24881776,25264077,26518666,28533093
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,6042441,7035284,10913817,16545313,18981858,20396717,20998350,19758368,24144309,38695467,38065807,32064725,38619750,34938062,36649559,39360498,37726035,38220078,37255247,42475701
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3226,45270,49171,83224,181945,334297,332882,336580,374334,639912,1108042,1466646,1224903,837226
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,6042441,7035284,10913817,16545313,18981858,20396717,21001576,19803638,24193480,38778691,38247752,32399022,38952632,35274642,37023893,40000410,38834077,39686724,38480150,43312927
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1007019/000114420407003674/v063545_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000114420408005566/v101509_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448809000093/0001354488-09-000093-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448810000166/0001354488-10-000166-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448811000309/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448812000351/0001354488-12-000351-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448813000337/0001354488-13-000337-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448814000335/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448815000288/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448816005981/0001354488-16-005981-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000165495417000551/0001654954-17-000551-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315218001192/0001493152-18-001192-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315219001104/0001493152-19-001104-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315220001327/0001493152-20-001327-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315221003836/0001493152-21-003836-index.htm,https://www.sec.gov/Archives/edgar/data/1007019/000149315222002765/0001493152-22-002765-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,437439,-1102029,608904,281334,517878,755375,622082,875342,1185135,700082,937316,-2597294,3291066,2389361,811930,2485677,-1480235,4967535,-1413228,2212288,467262,1059276,-94598,-94301,1255354
74,Depreciation and Amortization,170579,239687,252925,252988,262004,270994,299774,363612,373106,431750,383216,541204,537375,469787,433199,447404,506934,581400,545390,587572,762043,740454,742637,1139297,1013780
75,Deferred Income Tax,- -,- -,- -,- -,- -,-26200,-38300,-27200,-173200,56200,74700,-703877,687377,112500,-822500,190500,-515000,1006500,-726850,991275,-183975,151765,-49938,-291352,-177801
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476899,868477,759073
77,Change in Working Capital,-421915,- -,-58572,211708,-145630,1721504,1634186,-2636752,7547405,83173,924325,-4269048,4532496,1842601,8225999,-208790,15597,4056600,-1542325,-265035,-1064042,-1033914,656458,3811594,-4056103
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1201718,1304231,-7241742,3388453,270336,-3057068,4451623,-2465512,661008,3613947,492870,2012522,-1891073
79,Inventory,-504122,19429,-118531,12435,114900,-66994,-363280,-476865,-2238289,1597035,-1572554,-574457,246411,-1580353,-5285435,2172274,2434063,-5837135,1347335,-143907,-917376,2155487,-3570119,1738232,1141127
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-610307,-3531885,1448278,-4671711,-30860,-258827,392713,-489533,-1307917,2011543
81,Other Working Capital,- -,- -,-58572,153136,7506,1729010,3363196,726444,8273849,8357022,9281347,5012299,9544795,11387396,19613395,19404605,19420202,23476802,21934477,21669442,20605400,19571486,20227944,24039538,19983435
82,Other Non-Cash Items,175108,2195549,-98761,-743621,-383985,-1898233,-3261968,3041463,-12811528,-1590769,-159324,6585756,-8639239,-3472157,-12701188,5111721,-1803555,-10581969,851173,-1918312,1495345,7775822,-3880074,-1047958,5915216
83,Cash Provided by Operating Activities,361211,1333207,704496,2409,250267,823440,-744226,1616465,-3879082,-319564,2160233,-443259,409075,1342092,-4052560,8026512,-3276259,30066,-2285840,1607788,1476633,8693403,-2148616,4385757,4709519
84,CAPEX,- -,- -,- -,- -,-85154,-435538,-62758,-1039479,-466122,-190749,-659382,-341982,-204808,-363763,-526518,-569899,-768029,-504644,-391796,-963435,-679921,-383516,-743410,-435930,-1500483
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2259924,- -,-2100000,232069,- -,- -,-819564,-2893275,-2677335,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-585709,- -,-9500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-262653,-347260,-111092,-95319,- -,- -,- -,-16700,-8025,- -,- -,- -,2936473,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154273,-101905,113166
89,Cash Used for Investing Activites,-262653,-347260,-111092,-95319,-85154,-435538,-62758,-1056179,-474147,-776458,-659382,-351482,2731665,-2623687,-526518,-2669899,-535960,-504644,-391796,-1782999,-3573196,-3060851,-897683,-537835,-3887317
90,Debt Repayment,-393125,-666813,-902759,-290059,-46161,-19284797,-20521475,- -,- -,- -,- -,- -,-79006925,-83235742,-128942736,-136059333,-6154684,-2782245,- -,- -,- -,-6028168,-570255,-4516490,-6017460
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,6436016,- -,- -,- -,- -,- -,8331790,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76677,-213058,-5526,- -,- -,- -,- -,-995729,-226850,-1754878,-254920,-1129050,- -,- -,- -
93,Dividends Paid,- -,-422258,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1544568,- -,-333978,-694658,-774756,-387377,-52000,-80000,-100000,- -,- -,- -,- -,- -
94,Other Financing Activites,482156,-95555,574399,271769,-73362,18741029,21358723,8027,-1989464,1472719,-1645690,2625016,76276346,84750863,128456096,134801724,6821366,4051522,3055663,1404254,1449152,3810400,1407726,1141132,6016413
95,Cash Used/Provided by Financing Activities,89031,-1184626,-328360,-18290,-119523,-543768,837248,8027,4446552,1472719,-1722367,867390,-2736105,1181143,7150492,-2032365,279305,221548,2748813,-450624,1194232,-3346818,837471,-3375358,-1047
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,187589,-1184626,-328360,-111200,45590,-155866,30264,568313,93323,376697,-221516,72649,404635,-100452,2571414,3324248,-3532914,-253030,71177,-625835,-902331,2285734,-2208828,472564,821155
98,Cash at the End of Period,198679,- -,265044,153844,199434,43568,73832,642145,735468,1112165,890649,963298,1367933,1672921,4244335,7568583,4035669,3782639,3853816,3227981,2325650,4611384,2402556,2875120,3696275
99,Cash at the Beginning of Period,11090,198679,- -,265044,153844,199434,43568,73832,642145,735468,1112165,890649,963298,1773373,1672921,4244335,7568583,4035669,3782639,3853816,3227981,2325650,4611384,2402556,2875120
100,Free Cash Flow,361211,1333207,704496,2409,165113,387902,-806984,576986,-4345204,-510313,1500851,-785241,204267,978329,-4579078,7456613,-4044288,-474578,-2677636,644353,796712,8309887,-2892026,3949827,3209036
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1007019/000114420407003674/v063545_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000114420408005566/v101509_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448809000093/0001354488-09-000093-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448810000166/0001354488-10-000166-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448811000309/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448812000351/0001354488-12-000351-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448813000337/0001354488-13-000337-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000135448814000335/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448815000288/jva_10k.htm,https://www.sec.gov/Archives/edgar/data/1007019/000135448816005981/0001354488-16-005981-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000165495417000551/0001654954-17-000551-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315218001192/0001493152-18-001192-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315219001104/0001493152-19-001104-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315220001327/0001493152-20-001327-index.html,https://www.sec.gov/Archives/edgar/data/1007019/000149315221003836/0001493152-21-003836-index.htm,https://www.sec.gov/Archives/edgar/data/1007019/000149315222002765/0001493152-22-002765-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
