,https://roic.ai/company/HIL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,1995000,3740000,6385000,7343000,10001000,15640000,12430000,10756000,9823000,11004000,7153000,6523000,5430000,3824000,4038000,2441000
15,EBITDA,512000,-882000,-158639,-481473,13421000,21105000,27690000,33127000,27842000,10699000,15805000,41292000,37840000,41040000,-4913000,40023000,-16482000,22594000,8214000,5859000
16,EBITDA ratio,0.0070,-0.0112,-Infinity,-Infinity,0.0680,0.0727,0.0728,0.0785,0.0616,0.0213,0.0329,0.0716,0.0591,0.0570,-0.0094,0.0827,-0.0384,0.0600,0.0223,0.0155
17,Operating Income,512000,-320000,-158639,-481473,11373000,17612000,22198000,26497000,18619000,-3859000,5247000,32458000,29280000,30844000,-854000,-556000,-20963000,18327000,10499000,10088000
18,Operating Income ratio,0.0070,-0.0041,-Infinity,-Infinity,0.0576,0.0607,0.0583,0.0628,0.0412,-0.0077,0.0109,0.0563,0.0457,0.0428,-0.0016,-0.0011,-0.0489,0.0487,0.0285,0.0267
19,Total Other Income Expenses (Gains),-483000,-562000,296782,1042998,-259000,-680000,-893000,-1737000,-3144000,-7262000,-18150000,-22864000,-30485000,-14663000,-694000,-3031000,-5310000,-5182000,-10935000,-6341000
20,Income Before Tax,29000,-882000,138143,561525,11114000,16932000,21305000,24760000,15475000,-11121000,-12903000,9594000,-1205000,16181000,-1548000,-3587000,-26273000,13145000,-436000,3747000
21,Income Before Tax Ratio,0.0004,-0.0112,Infinity,Infinity,0.0563,0.0583,0.0560,0.0587,0.0343,-0.0222,-0.0268,0.0166,-0.0019,0.0225,-0.0030,-0.0074,-0.0613,0.0349,-0.0012,0.0099
22,Income Tax expense (Gain),12000,-353000,67717,277568,2534000,2788000,3654000,4577000,481000,-6186000,13442000,6043000,8411000,8442000,6068000,3103000,4239000,-1109000,7134000,7689000
23,Net Income,17000,-529000,70426,283957,8580000,14144000,17651000,19470000,14216000,-6017000,-28217000,1629000,-10879000,6931000,-18828000,27366000,-31461000,14084000,-8182000,-4271000
24,Net Income ratio,0.0002,-0.0067,Infinity,Infinity,0.0434,0.0487,0.0464,0.0462,0.0315,-0.0120,-0.0587,0.0028,-0.0170,0.0096,-0.0361,0.0566,-0.0734,0.0374,-0.0222,-0.0113
25,EPS,0.00,-0.05,0.01,0.03,0.50,0.53,0.43,0.49,0.36,-0.16,-0.73,0.04,-0.25,0.14,-0.36,0.52,-0.57,0.25,-0.14,-0.07
26,EPS Diluted,0.00,-0.05,0.01,0.03,0.46,0.45,0.43,0.49,0.36,-0.16,-0.73,0.04,-0.25,0.14,-0.36,0.52,-0.57,0.25,-0.14,-0.07
27,Weighted Average Shares Outstanding,11586000,11586000,6091241,8300000,17240000,26720000,40809000,39659000,39258000,38414000,38500000,39098000,44370000,50874000,51724000,52175000,54769000,56280000,56603000,56603000
28,Weighted Average Shares Outstanding Diluted,11586000,11586000,6091241,8300000,18489000,31387000,41148000,40124000,39824000,38414000,38500000,39322000,44370000,51311000,51724000,52175000,54769000,56280000,56603000,56603000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287808/000119312508064682/0001193125-08-064682-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312509055492/0001193125-09-055492-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312510055329/0001193125-10-055329-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312511064139/0001193125-11-064139-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312512109496/0001193125-12-109496-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000110465913021745/0001104659-13-021745-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746914002378/0001047469-14-002378-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746915002173/0001047469-15-002173-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746916011694/0001047469-16-011694-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746917002267/0001047469-17-002267-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780818000020/0001287808-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780819000004/0001287808-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780820000014/0001287808-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780821000008/0001287808-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780822000011/0001287808-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,51000,1360000,1219597,410289,11219000,66128000,20430000,30923000,39406000,17924000,16716000,30381000,30124000,24089000,25637000,21353000,18711000,15915000,34229000,21821000
32,Short-Term Investments,- -,- -,35634814,36660510,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2805000,- -
33,Cash and Short-Term Investments,51000,1360000,36854411,37070799,11219000,66128000,20430000,30923000,39406000,17924000,16716000,30381000,30124000,24089000,25637000,21353000,18711000,15915000,37034000,21821000
34,Net Receivables,- -,- -,6294,5732,61850000,87095000,127838000,138965000,185224000,201424000,215881000,236963000,201082000,252768000,174327000,163598000,155885000,141383000,135544000,121679000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,18093000,20545000,42500,50000,10275000,9205000,13224000,13714000,12836000,12485000,24673000,30549000,25893000,14734000,66207000,13460000,8499000,14006000,10325000,46983000
37,Total Current Assets,18144000,21905000,36903205,37126531,83344000,162428000,161492000,183602000,237466000,231833000,257270000,297893000,257099000,291591000,266171000,198411000,183095000,171304000,182903000,190483000
38,PP&E,- -,- -,- -,- -,5515000,6463000,11776000,11576000,11926000,13110000,11268000,10613000,11643000,23751000,16787000,12004000,10787000,29346000,22847000,27242000
39,Goodwill,- -,- -,- -,- -,16072000,21587000,41290000,46025000,57310000,82941000,84007000,85853000,80437000,74893000,50665000,52658000,48869000,48024000,46397000,44127000
40,Intangible Assets,- -,- -,- -,- -,8076000,10228000,19774000,21885000,26709000,30937000,28248000,24964000,19282000,14659000,6747000,3908000,1316000,232000,2253000,3002000
41,Intangible Assets,- -,- -,- -,- -,24148000,31815000,61064000,67910000,84019000,113878000,112255000,110817000,99719000,89552000,57412000,56566000,50185000,48256000,48650000,47129000
42,Investments,- -,- -,- -,- -,- -,1000000,12000000,13196000,10962000,12620000,8275000,5984000,5083000,8386000,3581000,3639000,3015000,1711000,2805000,2038000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,4162000,8918000,18186000,14426000,13882000,15426000,19724000,2197000,4052000,4521000,3800000,3698000,2165000
44,Other Non-Current Assets,4497000,4906000,- -,215195,5986000,5493000,7709000,11093000,17560000,17885000,18179000,9913000,76014000,9559000,55060000,18623000,13166000,15134000,11096000,14000000
45,Total Non-Current Assets,4497000,4906000,- -,215195,35649000,44771000,92549000,107937000,133385000,175679000,164403000,151209000,207885000,150972000,135037000,94884000,81674000,98247000,89096000,92574000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,22641000,26811000,36903205,37341726,118993000,207199000,254041000,291539000,370851000,407512000,421673000,449102000,464984000,442563000,401208000,293295000,264769000,269551000,271999000,283057000
48,Accounts Payable,- -,- -,- -,- -,14769000,16909000,17067000,54607000,77118000,25541000,24486000,25349000,32701000,44200000,30944000,32345000,30005000,22102000,20953000,- -
49,Short-Term Debt,- -,- -,- -,- -,1080000,2708000,4250000,1972000,2278000,6025000,21769000,18974000,6361000,4357000,1983000,3241000,3364000,7528000,5854000,25841000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,4722000,2931000,4071000,6955000,9442000,8689000,9064000,5315000,16494000,8826000,3152000,2219000,2163000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,16617000,15401000,15620000,15503000,17156000,18203000,20542000,11310000,12943000,13945000,11169000,10773000,3305000,4088000
52,Other Current Liabilities,15244000,14445000,35679,190243,34986000,40031000,42629000,10677000,9449000,61731000,86724000,88989000,78331000,83181000,94234000,76343000,64501000,51098000,54859000,77495000
53,Total Current Liabilities,15244000,14445000,35679,190243,50835000,59648000,80563000,82657000,104465000,108800000,150135000,151515000,137935000,143048000,140104000,125874000,109039000,91501000,84971000,107424000
54,Long-Term Debt,- -,- -,- -,- -,9589000,574000,14637000,24823000,67778000,92947000,87666000,114285000,121875000,140626000,142120000,34541000,44587000,41150000,48294000,48440000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2537000,1747000,6604000,9652000,16261000,12193000,11919000,12691000,7212000,5105000,3041000,7488000,9541000
56,Deferred Tax Liabilities,- -,- -,- -,- -,1197000,1877000,4569000,8728000,11275000,15224000,17675000,16732000,14654000,16341000,535000,933000,418000,419000,1210000,959000
57,Other Non-Current Liabilities,4578000,9907000,6932532,7329582,11050000,16470000,15256000,13154000,17490000,11543000,15442000,7278000,15541000,12590000,15372000,14065000,11175000,23212000,20748000,13454000
58,Total Non-Current Liabilities,4578000,9907000,6932532,7329582,21836000,18921000,34462000,49242000,98290000,126318000,130435000,154556000,164263000,181476000,170718000,56751000,61285000,67822000,77740000,72394000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,168000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22766000,18237000,- -
61,Total Liabilities,19822000,24352000,6968211,7519825,72671000,78569000,115025000,131899000,202755000,235118000,280570000,306071000,302198000,324524000,310822000,182625000,170324000,159323000,162711000,179818000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,4000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,830,830,2000,4000,4000,- -,- -,4000,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000
64,Retained Earnings,- -,- -,70426,354383,14162000,28306000,45957000,65427000,79643000,73626000,45409000,47038000,36159000,1205000,-17623000,-53983000,-85444000,-71360000,-79542000,-83813000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,491000,257000,-15744000,-12588000,-14552000,-18896000,-20015000,-25032000,-33661000,-46866000,-54327000,-4011000,-2575000,-3817000,1318000,-1813000
66,Other Total Stockholders Equity,2819000,2459000,29863738,29466688,- -,99804000,105289000,107213000,103453000,99402000,102147000,109133000,151608000,159624000,160314000,167063000,181853000,184528000,185954000,188859000
67,Total Stockholders Equity,2819000,2459000,29934994,29821901,46036000,128371000,135506000,155635000,161091000,154136000,127546000,131144000,154112000,113969000,88370000,109075000,93840000,109357000,107736000,103239000
68,Total Liabilities And Stockholders Equity,22641000,26811000,36903205,37341726,118707000,206940000,250531000,287534000,363846000,389254000,408116000,437215000,456310000,438493000,399192000,291700000,264164000,268680000,270447000,283057000
69,Minority Interest,- -,- -,- -,- -,286000,259000,3510000,4005000,7005000,18258000,13557000,11887000,8674000,4070000,2016000,1595000,605000,871000,1552000,- -
70,Total Liabilities & Equity,22641000,26811000,36903205,37341726,118993000,207199000,254041000,291539000,370851000,407512000,421673000,449102000,464984000,442563000,401208000,293295000,264769000,269551000,271999000,283057000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287808/000119312508064682/0001193125-08-064682-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312509055492/0001193125-09-055492-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312510055329/0001193125-10-055329-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312511064139/0001193125-11-064139-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312512109496/0001193125-12-109496-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000110465913021745/0001104659-13-021745-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746914002378/0001047469-14-002378-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746915002173/0001047469-15-002173-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746916011694/0001047469-16-011694-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746917002267/0001047469-17-002267-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780818000020/0001287808-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780819000004/0001287808-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780820000014/0001287808-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780821000008/0001287808-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780822000011/0001287808-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,70426,283957,8580000,14144000,17651000,19470000,14216000,-6017000,-28217000,1629000,-10879000,6931000,-18828000,27366000,-31461000,14084000,-8182000,-3942000
74,Depreciation and Amortization,- -,- -,- -,- -,1995000,3740000,6385000,7343000,10001000,15640000,12430000,10756000,9823000,11004000,7153000,6523000,5430000,3824000,4038000,2441000
75,Deferred Income Tax,- -,- -,- -,- -,-5000,338000,-2282000,319000,-4950000,-11629000,5256000,-2171000,-2241000,-826000,2293000,-1815000,-1509000,751000,4405000,1275000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,1098000,1159000,2091000,2456000,2961000,3494000,3098000,2827000,2893000,1622000,2514000,2006000,2270000
77,Change in Working Capital,- -,- -,-13115,68762,-4427288,70271000,-21851000,20016000,32056000,-9968000,-15898000,39243000,-27214000,29379000,-22476000,-53530000,1519000,5747000,18129000,-14873000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-11952000,-52878000,-17322000,-10580000,-8397000,-31087000,-66744000,-20024000,14431000,13403000,28000000,8617000,-21634000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10592000,-6538000,11297000,26599000,-3335000,-7957000,-4831000,-14310000,-1197000,- -
81,Other Working Capital,- -,- -,36867526,36936288,32509000,102780000,80929000,100945000,133001000,123033000,107135000,146378000,119164000,148543000,126067000,72537000,74056000,79803000,97932000,83059000
82,Other Non-Cash Items,- -,- -,-282814,-1047836,-2585712,-85598000,-9733000,-34063000,-68147000,-587000,17502000,-30985000,33322000,-56439000,38599000,6610000,-1498000,-16941000,-8118000,166000
83,Cash Provided by Operating Activities,- -,- -,-225503,-695117,3557000,2895000,-9830000,14183000,-15665000,-10470000,-6471000,21433000,6305000,-6853000,9568000,-11953000,-25897000,9979000,12278000,-12663000
84,CAPEX,- -,- -,- -,- -,-1874000,-3121000,-6882000,-2779000,-4372000,-4883000,-2377000,-3764000,-5721000,-14202000,-956000,-1884000,-2327000,-3936000,-2893000,-1697000
85,Acquisitions Net,- -,- -,- -,- -,-16626000,-8557000,-34452000,3269000,-13229000,-14769000,- -,-12062000,-6257000,-4384000,- -,-1099000,-745000,- -,- -,- -
86,Purchases of Investments,- -,- -,-70984900,-144922391,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,35633000,144917000,- -,- -,- -,- -,- -,- -,3149000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-108800,-3350000,4878000,- -,- -,-198000,-684000,156000,1000000,- -,- -,-2928000,129307000,- -,- -,-1050000,-678000
89,Cash Used for Investing Activites,- -,- -,-35351900,-114191,-21850000,-6800000,-41334000,490000,-17799000,-20336000,928000,-14826000,-11978000,-18586000,-3884000,126324000,-3072000,-3936000,-2893000,-2375000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2690000,-1972000,-6257000,-60166000,-5262000,-139633000,-1240000,-2058000,-143640000,-990000,-42421000,-48670000,-306000
91,Common Stock Issued,- -,- -,36797000,- -,31573000,67878000,1105000,372000,215000,545000,- -,- -,38042000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-5939000,-9172000,-9328000,- -,- -,- -,- -,-580000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-5293000,-8217000,15034000,8445000,49334000,14961000,69083000,21223000,110989000,24124000,-1109000,27822000,22417000,37490000,55185000,6488000
95,Cash Used/Provided by Financing Activities,- -,- -,36797000,- -,26280000,59661000,10200000,-3045000,38249000,9249000,8917000,15961000,9398000,22304000,-3167000,-115818000,21427000,-4931000,6515000,6182000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,516000,-847000,-4734000,-1135000,3698000,75000,-4582000,-8903000,-3982000,-2900000,-969000,-2837000,3729000,763000,540000,-2111000
97,Net Change In Cash,- -,- -,36797000,-809308,8503000,54909000,-45698000,10493000,8483000,-21482000,-1208000,13665000,-257000,-6035000,1548000,-4284000,-3813000,1875000,16431000,-10967000
98,Cash at the End of Period,- -,- -,1219597,410289,11219000,66128000,20430000,30923000,39406000,17924000,16716000,30381000,30124000,24089000,25637000,21353000,23107000,24982000,41413000,30446000
99,Cash at the Beginning of Period,- -,- -,- -,1219597,2716000,11219000,66128000,20430000,30923000,39406000,17924000,16716000,30381000,30124000,24089000,25637000,26920000,23107000,24982000,41413000
100,Free Cash Flow,- -,- -,-225503,-695117,1683000,-226000,-16712000,11404000,-20037000,-15353000,-8848000,17669000,584000,-21055000,8612000,-13837000,-28224000,6043000,9385000,-14360000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287808/000119312508064682/0001193125-08-064682-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312509055492/0001193125-09-055492-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312510055329/0001193125-10-055329-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312511064139/0001193125-11-064139-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000119312512109496/0001193125-12-109496-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000110465913021745/0001104659-13-021745-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746914002378/0001047469-14-002378-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746915002173/0001047469-15-002173-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746916011694/0001047469-16-011694-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000104746917002267/0001047469-17-002267-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780818000020/0001287808-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780819000004/0001287808-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780820000014/0001287808-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780821000008/0001287808-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1287808/000128780822000011/0001287808-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
