,https://roic.ai/company/GRNQ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,19829,-52375,107164,-227494,-4089931,219175,-847378,-11603608
20,Income Before Tax,- -,- -,-22295,-73110,-341500,-32210,-3048540,-8308930,-1371910,-3752953,-14358292
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-0.1159,-0.0104,-0.7784,-1.9720,-0.3059,-1.6644,-4.8676
22,Income Tax expense (Gain),- -,- -,- -,- -,7430,7460,68370,16240,-22430,- -,-4940
23,Net Income,- -,- -,-22295,-73110,-383770,-50820,-2284560,-8549770,-1344550,-3761823,-14363232
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-0.1303,-0.0164,-0.5833,-2.0292,-0.2998,-1.6684,-4.8693
25,EPS,- -,- -,-0.00,-0.01,-0.01,-0.00,-0.04,-0.15,-0.02,-0.07,-0.26
26,EPS Diluted,- -,- -,-0.00,-0.01,-0.01,-0.00,-0.04,-0.15,-0.02,-0.07,-0.26
27,Weighted Average Shares Outstanding,- -,- -,10000000,22422800,31497626,52125008,53060323,53981607,54723842,57357398,55505330
28,Weighted Average Shares Outstanding Diluted,- -,- -,10000000,22422800,31497626,52125008,53060323,53981607,54723842,57357398,55505330
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1597846/000155485515000101/0001554855-15-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315216008476/0001493152-16-008476-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315217002875/0001493152-17-002875-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315218005123/0001493152-18-005123-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315219004719/0001493152-19-004719-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315220005005/0001493152-20-005005-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315221007017/0001493152-21-007017-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315222007945/0001493152-22-007945-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,61205,410000,1587860,1021350,1162390,2172050,1092930,913791,5338571
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,796059,776080,- -
33,Cash and Short-Term Investments,- -,- -,61205,410000,1587860,1021350,1162390,2172050,1888989,1689871,5338571
34,Net Receivables,- -,- -,- -,270000,255730,384420,345730,188050,221530,253810,30601
35,Inventory,- -,- -,- -,- -,3746980,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,50000,233400,190390,345760,816100,-312269,-331568,1440809
37,Total Current Assets,- -,- -,61205,730000,5823970,1596160,1853880,3176200,1798250,1612113,6809981
38,PP&E,- -,- -,- -,30000,1078480,840050,4135810,3816980,4134090,2966223,2961426
39,Goodwill,- -,- -,- -,- -,1402320,1646730,1211860,319730,319730,319726,345808
40,Intangible Assets,- -,- -,- -,- -,664000,472320,251660,57140,91010,3364,2625
41,Intangible Assets,- -,- -,- -,- -,2066320,2119050,1463520,376870,410740,323090,348433
42,Investments,- -,- -,- -,55408,62773,52195,130457,163728,145140,6829660,9621935
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-55408,36827,3803785,3430643,2530172,2396230,3064800,2968906
45,Total Non-Current Assets,- -,- -,- -,30000,3244400,6815080,9160430,6887750,7086200,13183773,15900700
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,61205,760000,9068370,8411240,11014310,10063950,8884450,14795886,22710681
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,757813,702726,- -
49,Short-Term Debt,- -,- -,82500,15067,13610,13042,928147,147416,850402,388060,89636
50,Tax Payable,- -,- -,- -,- -,7988,18077,68008,73595,27598,- -,2342
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,345000,1816358,1202153,1634075,123293
52,Other Current Liabilities,- -,- -,- -,254933,2898390,1984358,2650933,1753646,1065902,2298427,3440558
53,Total Current Liabilities,- -,- -,82500,270000,2912000,1997400,3924080,3717420,3876270,5023288,3653487
54,Long-Term Debt,- -,- -,- -,- -,592320,554130,1842840,1617110,1461560,1376996,18760
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,136980,319140,83280,230120,379470,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,729300,873270,1926120,1847230,1841030,1376996,18760
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,511692,86975,- -
61,Total Liabilities,- -,- -,82500,270000,3641300,2870670,5850200,5564650,5717300,6400284,3672247
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,- -,5200,5240,5320,5470,5470,6178,7867
64,Retained Earnings,- -,- -,-22295,-200000,-567930,-981750,-3266310,-11816080,-13160630,-16922452,-31271808
65,Other Comprehensive Income/Loss,- -,- -,- -,-9541,74503,102898,-40199,-66277,-95169,-26863,-26863
66,Other Total Stockholders Equity,- -,- -,- -,670347,5915289,6818453,8465294,16376194,16417485,25135738,50102738
67,Total Stockholders Equity,- -,- -,-21295,470347,5427062,5944841,5164105,4499307,3167156,8192601,18811934
68,Total Liabilities And Stockholders Equity,- -,- -,61205,740347,9068362,8815511,11014305,10063957,8884456,14592885,22484181
69,Minority Interest,- -,- -,- -,19653,8,-404271,5,-7,-6,203001,226500
70,Total Liabilities & Equity,- -,- -,61205,760000,9068370,8411240,11014310,10063950,8884450,14795886,22710681
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1597846/000155485515000101/0001554855-15-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315216008476/0001493152-16-008476-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315217002875/0001493152-17-002875-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315218005123/0001493152-18-005123-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315219004719/0001493152-19-004719-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315220005005/0001493152-20-005005-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315221007017/0001493152-21-007017-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315222007945/0001493152-22-007945-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,-22295,-73110,-383770,-50820,-2284560,-8549770,-1344550,-3761823,-14363232
74,Depreciation and Amortization,- -,- -,- -,470,77950,167200,188490,233940,265750,515255,317638
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,82500,-90000,2451970,-3313210,-1668960,1528980,-1536800,-1333155,6567669
78,Accounts Receivable,- -,- -,- -,- -,- -,-254462,-180281,154100,-28290,30039,160889
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,41439,-17413,39671,419676,-193399,157000,-55087,84869
81,Other Working Capital,- -,- -,- -,460000,2911970,-401240,-2070200,-541220,-2078020,-3411175,3156494
82,Other Non-Cash Items,- -,- -,- -,111920,-5536550,2696600,3322320,5785430,1182230,3011965,5454775
83,Cash Provided by Operating Activities,- -,- -,60205,-50720,-3390400,-500230,-442710,-1001420,-1433370,-1567758,-2023150
84,CAPEX,- -,- -,- -,-19210,-21670,-16126,-3152539,-12665,-5613,-3008,-39349
85,Acquisitions Net,- -,- -,- -,-2160,-64787,2160,145354,- -,-60187,-25015,81609
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-199109,-696932,- -,-248056,-10875
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-15838,-66141,-600,392425,1170731,227224,231192,4130
89,Cash Used for Investing Activites,- -,- -,- -,-83262,-151774,-14566,-2813869,461134,161424,-44887,35515
90,Debt Repayment,- -,- -,- -,- -,- -,-137001,- -,1072327,-293384,-542928,- -
91,Common Stock Issued,- -,- -,1000,- -,- -,711708,984864,3463705,- -,477300,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,974977,4548865,-620869,2382394,-2968388,675182,1568363,6308213
95,Cash Used/Provided by Financing Activities,- -,- -,1000,974977,4548865,-46162,3367258,1567644,381798,1502735,6308213
96,Effect of Forex Changes on Cash,- -,- -,- -,10992,-42203,-3393,30365,-17703,-25160,-60076,-68760
97,Net Change In Cash,- -,- -,- -,-96750,964490,-566510,141040,1009650,-915310,-169986,4251818
98,Cash at the End of Period,- -,- -,61205,413250,1374490,1021350,1162390,2172040,1256740,1086753,5338571
99,Cash at the Beginning of Period,- -,- -,- -,510000,410000,1587860,1021350,1162390,2172050,1256739,1086753
100,Free Cash Flow,- -,- -,60205,-69930,-3412070,-516960,-3596310,-1015150,-1440920,-1570766,-2062499
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1597846/000155485515000101/0001554855-15-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315216008476/0001493152-16-008476-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315217002875/0001493152-17-002875-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315218005123/0001493152-18-005123-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315219004719/0001493152-19-004719-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315220005005/0001493152-20-005005-index.html,https://www.sec.gov/Archives/edgar/data/1597846/000149315221007017/0001493152-21-007017-index.htm,https://www.sec.gov/Archives/edgar/data/1597846/000149315222007945/0001493152-22-007945-index.htm
102,false,,,,,,,,,,,
