,https://roic.ai/company/REEMF,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,191,2117,2395,6900,37629,171000,197000,210000,118000,38000,18000,14000,5000,5000,5000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,428350,524497,7414364,6359000,1378000,517000,254000,97000,33000,104000,68000,386000,1536000
77,Change in Working Capital,- -,14731,196588,10483,-103671,339603,711700,1126974,64180,8781064,71952607873079,-13079000,-14436000,-13386000,-6227000,-2201000,3558000,-2175000,3060000,-2596000,21247000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,36626,34709,-33902,-155000,-12000,8000,11000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004000
81,Other Working Capital,- -,0,196588,207071,103400,443003,1154703,2281677,2345857,11126921,71952619000000,37041000,22605000,9219000,2992000,791000,4349000,2174000,5234000,2638000,23885000
82,Other Non-Cash Items,- -,- -,-178617,184517,117953,-298225,-536812,-643477,-60719,-8699392,-71952605348354,15243000,12651000,13000000,6198000,-4997000,-5735000,1984000,-3635000,2314000,-20228000
83,Cash Provided by Operating Activities,- -,-9691,-19509,2528,-130799,-417029,-576417,-368252,-819981,-1080566,-6681244,-20668000,-22456000,-13688000,-9335000,-3637000,-1273000,-1837000,-1935000,-3119000,-2842000
84,CAPEX,- -,- -,- -,- -,- -,- -,-864,-262329,-581012,-2602721,-144547,-316000,-1181000,-33000,-2000,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-519043,-15118000,-9823000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,24977000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-22281,-2601,-235750,-211641,-159750,- -,-581012,-2509566,- -,422000,- -,- -,- -,88000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-22281,-2601,-235750,-211641,-160614,-262329,-581012,-2654651,-663590,-14932000,13973000,-33000,- -,88000,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,220103,257668,961013,1394101,1831259,1474000,13701260,72107411,1108000,7400000,-42000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-10779,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,248001,-8549,-10000,- -,- -,-14101,- -,-839712,-3911083,- -,- -,- -,3077000,595000,4706000,- -,5076000,161000,25083000
95,Cash Used/Provided by Financing Activities,- -,- -,248001,211554,247668,961013,1394101,1817158,1463221,12861548,68196328,1108000,7400000,-42000,3077000,595000,4706000,- -,5076000,161000,25083000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-9691,206211,211481,-118880,332343,657070,1186579,62228,9126331,60851494,-34492000,-1083000,-13763000,-6258000,-2954000,3433000,-1837000,3141000,-2958000,22241000
98,Cash at the End of Period,- -,10770,218293,214805,95924,428267,1085337,2271916,2334145,11460476,72311970,24985000,23902000,10139000,3881000,927000,4360000,2523000,5664000,2706000,24947000
99,Cash at the Beginning of Period,- -,20461,12082,3324,214804,95924,428267,1085337,2271917,2334145,11460476,59477000,24985000,23902000,10139000,3881000,927000,4360000,2523000,5664000,2706000
100,Free Cash Flow,- -,-9691,-19509,2528,-130799,-417029,-577281,-630581,-1400993,-3683287,-6825791,-20984000,-23637000,-13721000,-9337000,-3637000,-1273000,-1837000,-1935000,-3119000,-2842000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419806/000105291814000067/0001052918-14-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000105291815000092/0001052918-15-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000105291816000897/0001052918-16-000897-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291817000165/0001052918-17-000165-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291818000086/0001052918-18-000086-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291819000058/0001052918-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291820000052/0001052918-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291821000080/0001052918-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000155837022004094/0001558370-22-004094-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
