,https://roic.ai/company/VERU,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-825000,-762862,-1485268,-2512946,-2167076,-4507298,-4408744,1524130,2341004,2469191,-1990443,866102,-303933,-1078441,-3129138
23,Net Income,- -,300000,-1500000,-4300000,-3700000,-3000000,-8300000,-8660303,-5609149,-3357316,-3750309,-3690163,-1171256,-3481162,-2370169,-2018888,-1355656,282026,1693913,4966768,6535379,6737078,5399051,15299321,14342598,2433061,4346036,344725,-6612047,-23938389,-12017366,-18973535,7394374
24,Net Income ratio,- -,0.0280,-0.1145,-0.3839,-0.2960,-0.1852,-3.7727,-4.1954,-1.9233,-0.6159,-0.7953,-0.6399,-0.1744,-0.4136,-0.2620,-0.2287,-0.1215,0.0190,0.0877,0.1938,0.2373,0.3032,0.2908,0.4367,0.4559,0.0993,0.1333,0.0156,-0.4842,-1.5089,-0.3779,-0.4455,0.1207
25,EPS,- -,0.14,-0.45,-1.24,-0.96,-0.62,-1.39,-1.31,-0.67,-0.43,-0.36,-0.30,-0.09,-0.22,-0.13,-0.11,-0.07,0.01,0.06,0.18,0.25,0.25,0.20,0.55,0.51,0.09,0.15,0.01,-0.25,-0.44,-0.19,-0.28,0.10
26,EPS Diluted,- -,0.14,-0.45,-1.24,-0.96,-0.62,-1.39,-1.31,-0.67,-0.43,-0.36,-0.30,-0.09,-0.22,-0.13,-0.11,-0.07,0.01,0.06,0.18,0.24,0.24,0.19,0.53,0.50,0.08,0.15,0.01,-0.25,-0.44,-0.19,-0.28,0.09
27,Weighted Average Shares Outstanding,- -,3278000,3333333,3467742,3854167,4838710,5971223,6611796,8453266,9971493,10890173,12764498,14630970,16244920,19020029,19925716,23094868,23801167,24952440,26116499,25651915,26981275,27287342,27693721,28376607,28522525,28532327,28666477,34640308,53861981,63323127,66753450,76272853
28,Weighted Average Shares Outstanding Diluted,- -,3278000,3333333,3467742,3854167,4838710,5971223,6611796,8453266,9971493,10890173,12764498,14630970,16244920,19020029,19925716,25811911,26494568,26398565,27983263,27244605,28545391,28971011,28933144,28726478,28865384,28917048,28926557,34640308,53861981,63323127,66753450,83802420
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863894/000100015896000304/0001000158-96-000304-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863894/000104216704000449/0001042167-04-000449-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216705000519/0001042167-05-000519-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216706000507/0001042167-06-000507-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216707000373/0001042167-07-000373-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216708000194/0001042167-08-000194-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216709000214/0001042167-09-000214-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216710000257/0001042167-10-000257-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184311003652/0001171843-11-003652-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184312004364/0001171843-12-004364-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184313004893/0001171843-13-004893-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389414000010/0000863894-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389415000009/0000863894-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389416000032/0000863894-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000156276217000231/0001562762-17-000231-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389418000011/0000863894-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389419000014/0000863894-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389420000021/0000863894-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389421000013/0000863894-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4600000,1500000,100000,- -,3500000,1500000,1521344,1633467,1480287,570709,457122,469406,558643,632295,755482,1775066,1827393,799421,1922148,2810197,2918776,4313199,5290780,8922430,5796223,4105814,2385082,3277602,3759509,6295152,13588778,122359535
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,4600000,1500000,100000,- -,3500000,1500000,1521344,1633467,1480287,570709,457122,469406,558643,632295,755482,1775066,1827393,799421,1922148,2810197,2918776,4313199,5290780,8922430,5796223,4105814,2385082,3277602,3759509,6295152,13588778,122359535
34,Net Receivables,- -,900000,700000,700000,1500000,2700000,400000,415089,610951,1138274,1572455,847979,1430643,2421425,2054985,1450756,2040476,3160801,6080153,6810050,7874113,4488696,2305473,7296286,2440605,2943850,14109641,10777587,3555350,3972632,5021057,5227237,13794224
35,Inventory,- -,1600000,1700000,2700000,2100000,5000000,3200000,3192570,947081,925425,1015202,490815,603665,913184,1092286,1413315,883709,1011672,1372582,1322652,1203063,2194330,2026528,1458199,2459417,2983447,1745180,2492644,2767924,2302030,3647406,6704134,5574253
36,Other Current Assets,- -,100000,300000,100000,300000,1100000,4200000,4146606,293590,395293,477482,192460,119895,244224,353482,270539,344383,651273,1310971,2225913,2715676,2189526,1101793,2780950,3066213,1349243,1625320,2659588,697097,1148345,1843297,1494541,10025475
37,Total Current Assets,- -,7200000,4200000,3600000,3900000,12300000,9300000,9275609,3485089,3939279,3635848,1988376,2623609,4137476,4133048,3890092,5043634,6651139,9563127,12280763,14603049,11791328,9746993,16826215,16888665,13072763,21585955,18314901,10297973,11182516,16806912,27014690,151753487
38,PP&E,- -,700000,1500000,3200000,2900000,2900000,200000,236140,2864124,2529595,1957282,1393333,985516,758635,356278,174361,358149,606693,1378885,1494645,2821616,2398060,1979438,2349876,2094830,1602307,1239990,825087,555539,404552,351895,1665006,1562442
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6878932,6878932,6878932,6878932,6878932
40,Intangible Assets,- -,- -,- -,- -,700000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,287653,178940,43809,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20752991,20477729,20168495,5752127,4048810
41,Intangible Assets,- -,- -,- -,- -,700000,1300000,- -,- -,996360,924319,- -,- -,- -,- -,287653,178940,43809,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27631923,27356661,27047427,12631059,10927742
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1028149,4000000,7600000,11148000,16048000,16832000,14509000,11457000,8827000,8543758,8433669,9466800,13024550
44,Other Non-Current Assets,- -,1300000,2500000,3300000,2600000,2100000,4300000,4226822,993782,165701,914013,739073,721653,666759,258591,251877,233559,187940,251536,55330,87621,178713,116360,122336,138458,166084,136766,8026719,7993931,965152,988867,766120,878502
45,Total Non-Current Assets,- -,2000000,4000000,6500000,6200000,6300000,4500000,4462962,4854266,3619615,2871295,2132406,1707169,1425394,902522,605178,635517,794633,1630421,1549975,3937386,6576773,9695798,13620212,18281288,18600391,15885756,20308806,45008393,37270123,36821858,24528985,26393236
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9200000,8200000,10100000,10100000,18600000,13800000,13738571,8339355,7558894,6507143,4120782,4330778,5562870,5035570,4495270,5679151,7445772,11193548,13830738,18540435,18368101,19442791,30446427,35169953,31673154,37471711,38623707,55306366,48452639,53628770,51543675,178146723
48,Accounts Payable,- -,1200000,500000,1200000,900000,1700000,1100000,1121549,874908,473979,612043,427556,459248,524947,371742,398672,559414,599023,806134,621115,602196,586596,1076994,1775327,904049,1124859,1077349,701035,2685718,3226036,3124751,2812673,3409771
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,166206,43996,626066,2003978,2610181,945400,876891,2258930,475300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6692718,5385649,7528836,3735114
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,657605,- -,- -,- -,- -,- -,- -,- -,1014517,202452,- -,- -,- -
52,Other Current Liabilities,- -,1300000,2400000,1600000,3000000,2600000,5000000,4810641,1254079,1599593,497746,376155,515976,825950,636212,533663,675910,981649,1608371,2410608,4134672,1351837,1216416,4085114,2503150,2253351,3147659,2645442,1787346,3431721,5509575,4385632,8622425
53,Total Current Liabilities,- -,2500000,2900000,2800000,3900000,4300000,6100000,6098396,2172983,2699638,3113767,3413892,1920624,2227788,3266884,1407635,1235324,1580672,2414505,3031723,5394473,1938433,2293410,5860441,3407199,3378210,4225008,3346477,5487581,13552927,14019975,14727141,15767310
54,Long-Term Debt,- -,600000,600000,1900000,1800000,1700000,100000,89017,538969,4882,- -,- -,1107131,1377546,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2701570,2886382,5617494,10007057
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1767612,1766611,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208614,173552,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188177,194244,235179,190513,98252,110069,- -,844758,296605,74724,63426
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,305153,153186,1670406,1399957,1250700,1327251,1275554,1262278,1134003,1092775,1331584,1089813,191571,297538,- -,- -,124618,39105,15389,1233750,1365580,1871966,4092672,1013000,14986
58,Total Non-Current Liabilities,- -,600000,600000,1900000,1800000,1700000,100000,89017,2611734,1924679,1670406,1399957,2357831,2704797,1275554,1262278,1134003,1092775,1331584,1089813,191571,297538,396791,367796,359797,229618,113641,1343819,1365580,5418294,7275659,6705218,10085469
59,Other Liabilities,- -,500000,600000,1800000,3700000,1600000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21195,- -,- -,- -,- -,49597,34428,12999,- -,- -,- -,- -,- -,- -,- -,- -,- -,1576789,1107824
61,Total Liabilities,- -,3000000,3500000,4600000,5800000,5900000,6200000,6187413,4784717,4624317,4784173,4813849,4278455,4932585,4542438,2669913,2369327,2673447,3746089,4121536,5586044,2235971,2690201,6228237,3766996,3607828,4338649,4690296,6853161,18971221,21295634,21432359,25852779
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,560,5294,5294,5294,5294,3076,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,63928,95145,104158,119297,138037,156929,180424,195250,207152,234973,243164,264379,271129,283828,293675,296490,305500,306948,309587,311925,312740,553922,574687,672220,720474,821535
64,Retained Earnings,- -,-1000000,-2500000,-6800000,-10500000,-13500000,-21900000,-21924472,-36208889,-41295874,-45180102,-49002460,-50306716,-53919883,-56301476,-58427365,-59944229,-59823450,-58428233,-53598971,-47143309,-44544073,-44697131,-35594455,-28715040,-32341976,-27995940,-27651215,-34263262,-58201651,-70219017,-89192552,-81798178
65,Other Comprehensive Income/Loss,- -,-900000,-1100000,-1400000,-1700000,-2100000,-100000,-115644,-999735,-1584776,-1986428,-2281065,-2650109,-3290406,209321,372087,209626,88149,1051156,-162705,-581519,-581519,-581519,-581519,-581519,-581519,-581519,-581519,-581519,-581519,-581519,-581519,-581519
66,Other Total Stockholders Equity,- -,8100000,8300000,13700000,16500000,28300000,29600000,29527346,40668117,45711069,48770203,50452421,52852219,57660150,56389477,59668189,62804160,64259168,64554863,63196673,60395391,60964047,61734750,60088664,60392568,60679234,61398596,61853405,82744064,87689901,102461452,119164913,233852106
67,Total Stockholders Equity,- -,6200000,4700000,5500000,4300000,12700000,7600000,7551158,3554638,2934577,1722970,-693067,52323,630285,493132,1825357,3309824,4772325,7447459,9709202,12954391,16132130,16752590,24218190,31402957,28065326,33133062,33933411,48453205,29481418,32333136,30111316,152293944
68,Total Liabilities And Stockholders Equity,- -,9200000,8200000,10100000,10100000,18600000,13800000,13738571,8339355,7558894,6507143,4120782,4330778,5562870,5035570,4495270,5679151,7445772,11193548,13830738,18540435,18368101,19442791,30446427,35169953,31673154,37471711,38623707,55306366,48452639,53628770,51543675,178146723
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,9200000,8200000,10100000,10100000,18600000,13800000,13738571,8339355,7558894,6507143,4120782,4330778,5562870,5035570,4495270,5679151,7445772,11193548,13830738,18540435,18368101,19442791,30446427,35169953,31673154,37471711,38623707,55306366,48452639,53628770,51543675,178146723
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863894/000100015896000304/0001000158-96-000304-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863894/000104216704000449/0001042167-04-000449-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216705000519/0001042167-05-000519-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216706000507/0001042167-06-000507-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216707000373/0001042167-07-000373-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216708000194/0001042167-08-000194-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216709000214/0001042167-09-000214-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000104216710000257/0001042167-10-000257-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184311003652/0001171843-11-003652-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184312004364/0001171843-12-004364-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000117184313004893/0001171843-13-004893-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389414000010/0000863894-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389415000009/0000863894-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389416000032/0000863894-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000156276217000231/0001562762-17-000231-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389418000011/0000863894-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389419000014/0000863894-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389420000021/0000863894-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/863894/000086389421000013/0000863894-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,300000,-1500000,-4300000,-3700000,-3000000,-8300000,-8660303,-5609149,-3357316,-3750309,-3690163,-1171256,-3481162,-2370169,-2018888,-1355656,282026,1693913,4966768,6535379,6737078,5399051,15299321,14342598,2433061,4346036,344725,-6612047,-23938389,-12017366,-18973535,7394374
74,Depreciation and Amortization,- -,-100000,-200000,-300000,-400000,-500000,-100000,675084,553298,533994,1283789,1825421,923917,1011100,1545648,1086697,522797,333633,252936,217085,268382,466544,464909,461447,556304,589343,494258,422873,481008,452048,471421,462741,211394
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-825000,-775000,-1597552,-2538624,-2464050,-4893933,-5259065,1012334,1925739,2054817,-2255069,630150,-438064,-1255012,-3569048
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373776,471811,796453,842512,727609,858615,489689,499873,756275,1638505,1906098,2646246,5050389
77,Change in Working Capital,- -,-300000,-3400000,-500000,-800000,8000000,-4800000,-22787,-1865107,-72465,-717560,-1947597,2128501,1206703,-1043524,1616293,1325853,1262157,2078155,2100418,-40464,644319,-2399312,3512191,2515692,-3786913,7666394,-2392523,-10158032,-7180803,5157348,9500612,123698628
78,Accounts Receivable,- -,200000,-100000,-200000,-800000,-3200000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1287103,3345490,2149008,-5005819,4903572,-619753,-11144540,-4524310,7226825,1874555,-1351709,-87790,-3561987
79,Inventory,- -,-700000,100000,-1100000,600000,-2700000,-600000,1935923,1086999,891421,-105433,438442,-97696,-237449,-112911,-235202,523406,-100407,-280528,-110081,-72259,-911157,-9924,439969,-994556,-561633,1064633,-738834,-479418,375038,-1454483,-3301551,546378
80,Accounts Payable,- -,200000,-600000,700000,-300000,800000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44476,-15600,- -,- -,-871278,220810,-47510,-376314,897471,495971,-56938,-312078,597098
81,Other Working Capital,- -,4700000,1300000,800000,- -,8000000,3200000,3177213,1312106,1239641,522081,-1425516,702985,1909688,866164,2482457,3808310,5070467,7148622,9249040,9208576,9852895,7453583,10965774,13481466,9694553,17360947,14968424,4810392,-2370411,2786937,12287549,135986177
82,Other Non-Cash Items,- -,400000,4000000,3100000,5100000,-12200000,8600000,3935469,1311809,142868,342751,2780502,-2506181,884708,2158053,-900866,-692252,-1609881,-3242051,-2264873,207593,-1789273,5171104,-4865484,-1090057,2558973,-16470813,-2644123,18770753,16852298,-564644,5688853,-148356761
83,Cash Provided by Operating Activities,- -,300000,-1100000,-2000000,200000,-7700000,-4600000,-4072537,-5609149,-2752919,-2841329,-1031837,-625019,-378651,290008,-216764,-199258,267935,-42047,4244398,5747114,3991855,6968155,10356054,11793081,3665413,-1548697,-1714358,982888,-11546191,-5485207,-1930095,-15571024
84,CAPEX,- -,-100000,-800000,-300000,-100000,-200000,- -,-596402,-24597,-58827,- -,-11284,-57791,-35009,-47233,-43990,-251687,-124190,-1020170,-347602,-1643593,-51133,-46287,-718303,-302198,-97311,-135424,-6374,-133486,-50654,-108517,-105760,-376649
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,110175,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43118,- -,- -,- -,15000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000,- -,- -,- -,- -,- -,- -,27062,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-100000,-300000,-300000,-300000,-300000,-500000,-596402,3196677,32032,-22637,- -,-115000,1105,98572,160078,- -,-237741,167508,-111579,-1504715,49363,-46235,-654332,-302198,-97311,-135424,-6374,-133486,-50654,-108517,-105760,-376649
89,Cash Used for Investing Activites,- -,-200000,-1100000,-600000,-400000,-500000,-500000,-486227,3196677,782032,-22637,-11284,-172791,-33904,51339,116088,-224625,-361931,-852662,-459181,-1504715,49363,-46235,-654332,-302198,-97311,-135424,-6374,-90368,-50654,-108517,-105760,14623351
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-878116,-4072430,-1113131,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39448,-29279,-12999,-13037,- -,- -,- -,- -,- -,-642485,-4935600,-4435698,-19435
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,3126874,178666,- -,1131835,932000,800000,203008,- -,2567753,2049200,1400,96600,724750,1860,- -,- -,-289611,- -,- -,- -,- -,- -,3000000,13000000,13399999,108099988
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19330,-12746,- -,- -,- -,- -,- -,- -,- -,-367671,-2400210,-3831054,-349058,-33063,- -,-395667,-737745,-950,- -,- -,-77840,- -,-50284,- -
