,https://roic.ai/company/PRLX,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20,Income Before Tax,- -,- -,-6082944,- -,- -,- -,-554668,-504494,-1113197,-3719898,-8231504,-13876506,17113718,-12866332
21,Income Before Tax Ratio,- -,- -,-Infinity,- -,- -,- -,-Infinity,-Infinity,-Infinity,-0.3212,-0.3558,-4.3430,1457.8514,-100.0492
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-24728,-73915,-6082944,-5093507,-5129937,-1967287,-554668,-504494,-1113197,-3419898,-8231504,-13876506,16289320,-12866332
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-251.5045,-10.2332,-Infinity,-Infinity,-Infinity,-0.2953,-0.3558,-4.3430,1387.6242,-100.0492
25,EPS,-0.93,-0.14,-9.00,-8.00,-0.12,-0.02,-0.01,-0.00,-0.01,-0.03,-0.07,-0.12,0.11,-0.06
26,EPS Diluted,-0.93,-0.14,-9.00,-8.00,-0.12,-0.02,-0.01,-0.00,-0.01,-0.03,-0.07,-0.12,0.07,-0.06
27,Weighted Average Shares Outstanding,26620,536462,653448,670345,41102254,102202088,107722568,150699093,127492922,131734518,113689042,120493618,148335736,201920901
28,Weighted Average Shares Outstanding Diluted,26620,536462,653448,670345,41102254,102202088,107722568,150699093,127492922,131734518,113689042,172353832,215576153,261528105
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1388410/000101359610000058/0001013596-10-000058-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388410/000138713112003420/0001387131-12-003420-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138713113001334/0001387131-13-001334-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388410/000138841015000003/0001388410-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841017000024/0001388410-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841018000030/0001388410-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841018000052/0001388410-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841019000040/0001388410-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1388410/000138841020000045/2019123110kfinal.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,67093,84,347,- -,27802,- -,9397,569,513,912399,62430,2604,262,6445
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,67093,84,347,- -,27802,- -,9397,569,513,912399,62430,2604,262,6445
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1873620,924818,44131,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,831156,528207,- -,- -,- -
36,Other Current Assets,-899,- -,- -,- -,- -,- -,- -,- -,- -,132136,92595,8684,- -,52176
37,Total Current Assets,66194,84,347,- -,27802,- -,9397,569,513,3749311,1608050,55419,262,58621
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,3887818,4081250,785060,785060,785060
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19584,17920,203756,35424,2298094,579035,458415
41,Intangible Assets,- -,- -,- -,- -,- -,- -,21250,19584,17920,4091574,4116674,3083154,1364095,1243475
42,Investments,- -,- -,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,5600000,- -,- -,12847,8347,26417,15851,9527,316165,604221,201902,- -,7800
45,Total Non-Current Assets,- -,5600000,25000,- -,12847,8347,47667,35435,27447,4407739,4720895,3285056,1364095,1301275
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,66194,5600084,25347,- -,40649,8347,57064,36004,27960,8157050,6328945,3340475,1364357,1359896
48,Accounts Payable,7680,19588,1848,21107,4839,115154,116760,174053,302868,2788202,2272855,2021472,830590,1128381
49,Short-Term Debt,- -,- -,170101,137757,436513,84075,84075,84075,1095027,- -,508045,926000,1479759,1592132
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,49738,61915,168346,108349,513152,921693,103563,133610,263196,5117352,2829268,5002253
53,Total Current Liabilities,7680,19588,221687,220779,609698,307578,713987,1179821,1501458,2921812,3044096,8064824,5139617,7722766
54,Long-Term Debt,- -,- -,- -,- -,- -,417438,172500,190100,- -,10332630,15836505,19691220,1466299,1884548
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,94655,2974075,740000,2007165
58,Total Non-Current Liabilities,-1,- -,- -,- -,- -,417438,172500,190100,- -,10332630,15931160,22665295,2206299,3891713
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52176
61,Total Liabilities,7679,19588,221687,220779,609698,725016,886487,1369921,1501458,13254442,18975256,30730119,7345916,11614479
62,Preferred Stock,- -,- -,- -,- -,- -,- -,836,824,824,824,834,864,1014,978
63,Common Stock,579,6535,6535,68888,144564,151064,151064,162766,128228,120567,107067,136754,158113,250124
64,Retained Earnings,-25478,-98495,-6181439,-11299946,-16429883,-18397170,-1389052,-1893546,-2994878,-6714776,-14946280,-33773141,-17272260,-32057254
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-653,-5153,-27162,-37728,-44052,-67948,-10449,-129317,- -,- -
66,Other Total Stockholders Equity,83414,5672456,5978564,11010279,15716923,17534590,434891,433767,1436380,1563941,2202517,6375196,11131574,21551569
67,Total Stockholders Equity,58515,5580496,-196340,-220779,-569049,-716669,-829423,-1333917,-1473498,-5097392,-12646311,-27389644,-5981559,-10254583
68,Total Liabilities And Stockholders Equity,66194,5600084,25347,- -,40649,8347,57064,36004,27960,8157050,6328945,3340475,1364357,1359896
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,66194,5600084,25347,- -,40649,8347,57064,36004,27960,8157050,6328945,3340475,1364357,1359896
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1388410/000101359610000058/0001013596-10-000058-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388410/000138713112003420/0001387131-12-003420-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138713113001334/0001387131-13-001334-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388410/000138841015000003/0001388410-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841017000024/0001388410-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841018000030/0001388410-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841018000052/0001388410-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841019000040/0001388410-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1388410/000138841020000045/2019123110kfinal.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-24728,-73915,-6082944,-5093507,-5129937,-1967287,-554668,-504494,-1113197,-3419898,-8231504,-13876506,16289320,-12866332
74,Depreciation and Amortization,- -,- -,- -,- -,653,4500,18550,12232,7988,77905,210988,345492,120620,187381
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,47370,- -,384808,58024,180085,2473510,3440340,2782426
77,Change in Working Capital,6930,10000,31998,-985,85963,69985,249765,465834,149726,-7995078,1880220,4134112,2921182,922425
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,687929,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,82680,302949,410148,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2137271,45790
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750,-95141,1748,- -,-7800
82,Other Non-Cash Items,899,-1,5600000,5028177,4890933,1800000,- -,- -,570619,10630211,5124436,5564957,-24063446,6028527
83,Cash Provided by Operating Activities,-16899,-63916,-450946,-66315,-152388,-92802,-238983,-26428,-56,-648836,-835775,-1358435,-1291984,-2945573
84,CAPEX,- -,- -,- -,- -,-13500,- -,-2186,- -,- -,-7659,-94647,- -,- -,-2628
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-25000,-609718,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-25000,-609718,-13500,- -,-2186,- -,- -,-7659,-94647,- -,- -,-2628
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-469599,-785042,-194824,-59245,-1374528
91,Common Stock Issued,83992,- -,264949,- -,- -,- -,- -,- -,- -,37980,- -,201500,41250,2337632
92,Common Stock Repurchased,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1907,211260,675686,193690,65000,114500,17600,- -,2000000,865495,1291000,1350000,1991280
95,Cash Used/Provided by Financing Activities,83992,-3093,476209,675686,193690,65000,114500,17600,- -,1568381,80453,1297676,1332005,2954384
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-67009,263,- -,- -,- -,-126669,-8828,-56,911886,-849969,-60759,79,6183
98,Cash at the End of Period,67093,84,347,- -,27802,- -,9397,569,513,912399,62430,2604,262,6445
99,Cash at the Beginning of Period,- -,67093,84,347,- -,27802,136066,9397,569,513,912399,63363,183,262
100,Free Cash Flow,-16899,-63916,-450946,-66315,-165888,-92802,-241169,-26428,-56,-656495,-930422,-1358435,-1291984,-2948201
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1388410/000101359610000058/0001013596-10-000058-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388410/000138713112003420/0001387131-12-003420-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138713113001334/0001387131-13-001334-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1388410/000138841015000003/0001388410-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841017000024/0001388410-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841018000030/0001388410-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841018000052/0001388410-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1388410/000138841019000040/0001388410-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/1388410/000138841020000045/2019123110kfinal.htm
102,false,,,,,,,,,,,,,,
