,https://roic.ai/company/LNDC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,7600000,13400000,18600000,19200000,30900000,30700000,29700000,18400000,25700000,25900000,31000000,2000000,23100000,21682000,25700000,38700000,37600000,37900000,42400000,46946000,87409000,65777000,64751000,75528000,83287000,75586000
11,COGS and Expenses,8100000,18500000,36800000,38500000,198100000,193500000,181500000,110000000,188000000,199200000,222900000,180100000,223400000,223340000,230200000,268700000,303000000,416800000,456600000,520796000,497546000,456341000,510640000,552084000,598665000,538273000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1306000,834000,430000,180000,179000,260000,315000,71000,16000,211000,145000,103000,48000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,88000,820000,929000,2008000,1650000,1829000,1987000,1826000,1950000,5230000,9603000,15344000
14,Depreciation and Amortization,500000,1100000,2100000,2200000,6066000,5430000,3500000,2040000,3705000,3467000,3203000,3260000,3204000,3139000,3364000,5313000,5621000,7295000,7114000,7090000,9395000,10677000,12412000,15230000,18838000,19867000
15,EBITDA,-3700000,-7500000,-600000,-500000,2066000,-2470000,2000000,3840000,6605000,8867000,11903000,30004000,13350000,16488000,3190000,5852000,12065000,41355000,38447000,30209000,-7663000,27428000,29828000,22389000,-22866000,-5255000
16,EBITDA ratio,-1.4800,-0.7895,-0.0179,-0.0141,0.0105,-0.0130,0.0109,0.0342,0.0344,0.0432,0.0513,0.1425,0.0560,0.0699,0.0134,0.0211,0.0380,0.0936,0.0806,0.0560,-0.0161,0.0584,0.0569,0.0402,-0.0387,-0.0097
17,Operating Income,-5600000,-9000000,-3300000,-3100000,-213000,-2647000,1258000,2300000,4055000,6017000,9023000,30365000,15176000,12598000,11707000,8032000,14577000,24868000,20190000,18461000,-19786000,15505000,13587000,5475000,-38537000,-13496000
18,Operating Income ratio,-2.2400,-0.9474,-0.0985,-0.0876,-0.0011,-0.0139,0.0069,0.0205,0.0211,0.0293,0.0389,0.1443,0.0636,0.0534,0.0491,0.0290,0.0459,0.0563,0.0423,0.0342,-0.0415,0.0330,0.0259,0.0098,-0.0653,-0.0248
19,Total Other Income Expenses (Gains),1500000,1700000,600000,400000,-1887000,-2153000,-558000,-300000,-655000,-217000,177000,1235000,2224000,743000,-3007000,368000,5723000,7432000,9710000,3010000,92000,-1330000,2811000,-1835000,-12770000,-26970000
20,Income Before Tax,- -,- -,-2700000,-2700000,-2100000,-4800000,700000,2000000,3400000,5800000,9200000,31600000,17400000,13341000,8700000,8400000,20300000,32300000,29900000,21471000,-19694000,14175000,16398000,3640000,-51307000,-40466000
21,Income Before Tax Ratio,- -,- -,-0.0806,-0.0763,-0.0106,-0.0252,0.0038,0.0178,0.0177,0.0283,0.0397,0.1501,0.0730,0.0565,0.0365,0.0304,0.0639,0.0731,0.0627,0.0398,-0.0413,0.0302,0.0313,0.0065,-0.0869,-0.0744
22,Income Tax expense (Gain),- -,- -,200000,100000,- -,- -,- -,- -,- -,- -,- -,-2456000,-3354000,5611000,-4262000,-4181000,-7185000,9452000,10583000,7746000,-7404000,4335000,-9363000,1518000,-13116000,-7801000
23,Net Income,-4200000,-8600000,-2900000,-2800000,-4000000,-7900000,-1500000,1800000,2900000,5400000,8700000,29200000,13500000,7730000,4000000,3900000,12700000,22600000,19100000,13544000,-11641000,10590000,24829000,411000,-38191000,-32665000
24,Net Income ratio,-1.6800,-0.9053,-0.0866,-0.0791,-0.0203,-0.0414,-0.0082,0.0160,0.0151,0.0263,0.0375,0.1387,0.0566,0.0328,0.0168,0.0141,0.0400,0.0512,0.0401,0.0251,-0.0244,0.0225,0.0474,0.0007,-0.0647,-0.0600
25,EPS,-0.55,-0.77,-0.23,-0.21,-0.25,-0.48,-0.10,0.09,0.11,0.23,0.35,1.16,0.52,0.29,0.15,0.15,0.50,0.86,0.71,0.50,-0.43,0.39,0.90,0.01,-1.31,-1.11
26,EPS Diluted,-0.55,-0.77,-0.23,-0.21,-0.25,-0.48,-0.10,0.08,0.11,0.21,0.32,1.07,0.50,0.29,0.15,0.15,0.49,0.85,0.71,0.50,-0.43,0.38,0.89,0.01,-1.31,-1.12
27,Weighted Average Shares Outstanding,7699000,11144000,12773000,13273000,15796000,16371000,18172000,21106000,21396000,23705000,24553000,25260000,26069000,26175000,26357000,26405799,25644580,26402247,26815253,26990490,27148096,27499155,27702000,29103000,29224000,29332832
28,Weighted Average Shares Outstanding Diluted,7699000,11144000,13333333,13273000,15796000,16371000,18172000,22856000,23556000,24614000,25657000,26558000,26935000,26751000,26633000,26626000,26126000,26626000,27120000,27336000,27148096,27652000,27915000,29103000,29224000,29332832
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1005286/000095000597000070/0000950005-97-000070-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000095000598000043/0000950005-98-000043-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000104746999002700/0001047469-99-002700-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000091205700002678/0000912057-00-002678-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000091205701002882/0000912057-01-002882-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000091205702002597/0000912057-02-002597-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000120677403000030/0001206774-03-000030-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000104746903028648/0001047469-03-028648-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000104746904024996/0001047469-04-024996-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000095013405014609/0000950134-05-014609-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000095013406014055/0000950134-06-014055-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420407038774/0001144204-07-038774-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420408044977/0001144204-08-044977-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000117120009000508/0001171200-09-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420410043322/0001144204-10-043322-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420411044333/0001144204-11-044333-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774912007975/0001437749-12-007975-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774913010047/0001437749-13-010047-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774914013994/0001437749-14-013994-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774915014383/0001437749-15-014383-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774916036012/0001437749-16-036012-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774917014444/0001437749-17-014444-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774918015135/0001437749-18-015135-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000162828019009791/0001628280-19-009791-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000100528620000004/0001005286-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000100528621000043/0001005286-21-000043-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14200000,5200000,9200000,3200000,8600000,8700000,7800000,3700000,6500000,12900000,15200000,62600000,44400000,43459000,27800000,8100000,22200000,13700000,14200000,14127000,9894000,5409000,2899000,1080000,360000,1295000
32,Short-Term Investments,- -,- -,- -,- -,2700000,1300000,1600000,100000,- -,2000000,- -,- -,14600000,22498000,20400000,28100000,793000,1500000,793000,- -,62700000,63600000,66500000,61100000,- -,- -
33,Cash and Short-Term Investments,14200000,5200000,9200000,3200000,11300000,10000000,9400000,3800000,6500000,14900000,15200000,62600000,59000000,65957000,48200000,36200000,22993000,15200000,14993000,14127000,72594000,69009000,69399000,62180000,360000,1295000
34,Net Receivables,- -,2200000,2800000,3000000,29900000,18600000,23400000,19700000,16800000,16400000,16200000,18500000,20400000,16089000,20100000,22700000,32300000,41800000,46700000,46631000,46406000,47083000,53877000,69565000,76206000,70013000
35,Inventory,500000,2700000,4700000,7600000,12800000,14600000,10100000,11700000,11200000,9900000,6100000,6800000,7300000,5829000,16100000,20200000,22000000,24100000,24700000,25027000,25535000,25290000,31819000,54132000,66311000,69663000
36,Other Current Assets,22600000,19900000,3100000,2400000,17300000,16700000,3600000,4000000,1500000,3200000,33100000,1200000,3300000,3459000,4500000,6500000,3907000,4600000,4507000,7417000,-58232000,-60102000,-58032000,-52836000,14230000,7350000
37,Total Current Assets,37300000,30000000,19800000,16200000,71300000,59900000,46500000,39200000,36000000,44400000,70600000,89100000,90000000,91334000,88900000,85600000,81200000,85700000,90900000,93202000,86303000,81280000,97063000,133041000,157107000,148321000
38,PP&E,1000000,5000000,8300000,11000000,16300000,20000000,19900000,18500000,18300000,17300000,16900000,20300000,21300000,22743000,50200000,51800000,63500000,65800000,74100000,84465000,120880000,133220000,159624000,200027000,217659000,200386000
39,Goodwill,- -,- -,- -,- -,22800000,24400000,25700000,26100000,26000000,26000000,21200000,21400000,27400000,27361000,41200000,36500000,49600000,49600000,49600000,49620000,49620000,54779000,54510000,76742000,69386000,69386000
40,Intangible Assets,- -,15000000,14300000,13500000,15400000,12700000,11700000,11700000,11700000,11600000,8200000,8200000,8200000,8228000,16100000,15800000,59000000,58000000,57100000,56263000,21396000,22811000,21842000,45247000,38105000,36120000
41,Intangible Assets,- -,15000000,14300000,13500000,38200000,37100000,37400000,37800000,37700000,37600000,29400000,29600000,35600000,35589000,57300000,52300000,108600000,107600000,106700000,105883000,71016000,77590000,76352000,121989000,107491000,105506000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16455000,22293000,30393000,40393000,61500000,62700000,63600000,66500000,61100000,56900000,45100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,- -,8800000,11300000,18000000,24100000,30100000,- -,22442000,24581000,17485000,19393000,- -,- -
44,Other Non-Current Assets,100000,200000,- -,- -,2400000,3100000,4000000,1400000,1000000,800000,2100000,2400000,1500000,3832000,-5000000,-11155000,-15893000,-22693000,-28593000,1415000,-20688000,-21663000,-12321000,-16459000,2156000,3611000
45,Total Non-Current Assets,1100000,20200000,22600000,24500000,56900000,60200000,61300000,57700000,57000000,55700000,48400000,52300000,60000000,62164000,111300000,120700000,196500000,205200000,222700000,253263000,256350000,277328000,307640000,386050000,384206000,354603000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38400000,50200000,42400000,40700000,128200000,120100000,107800000,96900000,93000000,100100000,119000000,141400000,150000000,153498000,200200000,206300000,277700000,290900000,313600000,346465000,342653000,358608000,404703000,519091000,541313000,502924000
48,Accounts Payable,500000,600000,1400000,1700000,32400000,20600000,18400000,17800000,15400000,18300000,13000000,13900000,18600000,12430000,14700000,17000000,23400000,32300000,32100000,35009000,30904000,25868000,34668000,53973000,51647000,47569000
49,Short-Term Debt,200000,- -,200000,100000,8700000,15600000,12291000,9619000,6822000,548000,2018000,28000,- -,- -,4521000,4330000,18678000,9933000,6055000,8353000,11548000,7940000,31940000,61791000,93377000,32889000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107000,- -,- -,- -,- -,- -,1229000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,2622000,- -,719000,807000,557000,884000,3491000,3613000,3430000,3391000,2657000,162000,1248000,1254000,843000,832000,310000,2625000,499000,352000,1130000
52,Other Current Liabilities,700000,13900000,4400000,4500000,17300000,15778000,12509000,5162000,4071000,4095000,16298000,4881000,5187000,3323000,5288000,6713000,24460000,7319000,8991000,11954000,13057000,17336000,19142000,20828000,19012000,20300000
53,Total Current Liabilities,1400000,14500000,6000000,6300000,58400000,54600000,43200000,33300000,27100000,23500000,32200000,22300000,27400000,19183000,27900000,30700000,66700000,50800000,48400000,56159000,56341000,51454000,88375000,137091000,164388000,101888000
54,Long-Term Debt,300000,- -,2700000,2600000,14200000,12800000,5300000,3900000,2200000,2500000,- -,28000,- -,- -,19200000,15500000,40300000,34400000,28300000,34166000,49776000,46030000,41001000,90725000,127741000,188513000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4119000,- -,- -,18037000,24054000,30133000,34340000,22442000,24581000,17485000,19393000,13588000,6140000
57,Other Non-Current Liabilities,100000,100000,- -,- -,3400000,2900000,3300000,1800000,2200000,2000000,1800000,8772000,8100000,- -,22300000,24100000,2963000,2946000,3767000,1691000,3366000,9934000,5280000,1738000,4552000,3599000
58,Total Non-Current Liabilities,400000,100000,2700000,2600000,17600000,15700000,8600000,5700000,4400000,4500000,1800000,8800000,8100000,7119000,41500000,39600000,61300000,61400000,62200000,70197000,75584000,80545000,63766000,111856000,145881000,198252000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3804000,3731000,3641000,3532000,30801000,27500000
61,Total Liabilities,1800000,14600000,8700000,8900000,76000000,70300000,51800000,39000000,31500000,28000000,34000000,31100000,35500000,26302000,69400000,70300000,128000000,112200000,110600000,126356000,131925000,131999000,152141000,248947000,310269000,300140000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,14461000,5531000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,77300000,92600000,93200000,100800000,110100000,116800000,122000000,126300000,129600000,112974000,26000,27000,27000,26000,26000,27000,27000,27000,27000,28000,29000,29000,29000
64,Retained Earnings,-31300000,-39900000,-42800000,-45500000,-49500000,-57400000,-59300000,-57700000,-55300000,-49900000,-41200000,-19300000,1500000,9222000,13200000,17100000,29800000,52400000,71600000,85098000,73457000,84470000,109299000,109710000,71245000,38580000
65,Other Comprehensive Income/Loss,-2300000,-2500000,-3400000,-4200000,-6800000,-9400000,-12300000,-13700000,-16000000,-15900000,-16800000,-18600000,-20100000,-22763000,-179000,-267000,- -,-38900000,-44800000,-50222000,- -,432000,1148000,64000,-2808000,-1358000
66,Other Total Stockholders Equity,70200000,78000000,79900000,4200000,15900000,23400000,12302000,13672000,16049000,15860000,16749000,18528000,20092000,138921000,117736000,119195000,119916000,165167000,176242000,183529000,137244000,141680000,142087000,160341000,162578000,165533000
67,Total Stockholders Equity,36600000,35600000,33700000,31800000,52200000,49800000,55963000,57903000,61549000,72060000,85049000,110228000,114466000,125406000,130784000,136055000,149742000,178693000,203069000,218432000,210728000,226609000,252562000,270144000,231044000,202784000
68,Total Liabilities And Stockholders Equity,38400000,50200000,42400000,40700000,128200000,120100000,107763000,96903000,93049000,100060000,119049000,141328000,149966000,151708000,200184000,206355000,277742000,290893000,313669000,344788000,342653000,358608000,404703000,519091000,541313000,502924000
69,Minority Interest,- -,- -,- -,- -,- -,- -,37000,-3000,-49000,40000,-49000,72000,34000,1790000,16000,-55000,-42000,7000,-69000,1677000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,38400000,50200000,42400000,40700000,128200000,120100000,107800000,96900000,93000000,100100000,119000000,141400000,150000000,153498000,200200000,206300000,277700000,290900000,313600000,346465000,342653000,358608000,404703000,519091000,541313000,502924000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1005286/000095000597000070/0000950005-97-000070-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000095000598000043/0000950005-98-000043-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000104746999002700/0001047469-99-002700-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000091205700002678/0000912057-00-002678-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000091205701002882/0000912057-01-002882-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000091205702002597/0000912057-02-002597-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000120677403000030/0001206774-03-000030-index.html,https://www.sec.gov/Archives/edgar/data/1005286/000104746903028648/0001047469-03-028648-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000104746904024996/0001047469-04-024996-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000095013405014609/0000950134-05-014609-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000095013406014055/0000950134-06-014055-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420407038774/0001144204-07-038774-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420408044977/0001144204-08-044977-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000117120009000508/0001171200-09-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420410043322/0001144204-10-043322-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000114420411044333/0001144204-11-044333-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774912007975/0001437749-12-007975-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774913010047/0001437749-13-010047-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774914013994/0001437749-14-013994-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774915014383/0001437749-15-014383-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774916036012/0001437749-16-036012-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774917014444/0001437749-17-014444-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000143774918015135/0001437749-18-015135-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000162828019009791/0001628280-19-009791-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000100528620000004/0001005286-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1005286/000100528621000043/0001005286-21-000043-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4200000,-8600000,-2900000,-2800000,-4000000,-7900000,-1500000,1800000,2900000,5400000,8700000,29200000,13500000,7730000,4000000,3900000,12700000,22600000,19100000,13544000,-11641000,10590000,24829000,411000,-38191000,-32665000
74,Depreciation and Amortization,500000,1100000,2100000,2200000,6066000,5430000,3500000,2040000,3705000,3467000,3203000,3260000,3204000,3139000,3364000,5313000,5621000,7295000,7114000,7090000,9395000,10677000,12412000,15230000,18838000,19867000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-611000,2569000,3248000,2493000,-774000,5209000,3683000,3689000,-9937000,2506000,-7221000,910000,-5440000,-7893000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,-295000,- -,- -,- -,- -,- -,933000,1016000,1951000,1872000,1695000,1356000,1577000,3465000,3964000,4403000,3560000,2419000,3360000
77,Change in Working Capital,- -,-20400000,-1700000,-3900000,3000000,-7600000,-2000000,2600000,3000000,12000000,17500000,28400000,-4200000,9551000,-11151000,-6100000,-40400000,20400000,7600000,-5457000,-7081000,-136000,-21138000,-12738000,-3231000,53714000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,1727000,- -,- -,- -,- -,- -,4182000,-1658000,-5813000,-3116000,-4469000,-7982000,-1754000,73000,-336000,-7312000,-8860000,-6641000,5775000
79,Inventory,-100000,- -,-2000000,-3000000,-2387000,-1858000,4518000,-2140000,250000,1310000,-3123000,-8733000,-529000,1500000,-1269000,-4054000,-441000,-2102000,-622000,-292000,-508000,855000,-6529000,-10929000,-12179000,-3352000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,2428000,- -,- -,- -,- -,- -,-5929000,1007000,2344000,-68000,8836000,-141000,2894000,-4105000,-5189000,4965000,19116000,-1249000,-5982000
81,Other Working Capital,35900000,15500000,13800000,9900000,12900000,5300000,3300000,5900000,8900000,20900000,38400000,66800000,62600000,72151000,61000000,54900000,14500000,34900000,42500000,37043000,29962000,29826000,8688000,-4050000,-7281000,46433000
82,Other Non-Cash Items,100000,22400000,-900000,900000,-58000,2501000,-101000,-4005000,-1672000,-7819000,-18538000,-62922000,5627000,-14487000,7006000,6912000,43162000,-35969000,-17808000,5712000,37583000,1726000,6494000,8647000,8564000,-21366000
83,Cash Provided by Operating Activities,-3600000,-5500000,-3400000,-3600000,5008000,-7569000,-101000,2140000,7933000,13048000,10865000,-2062000,17520000,9435000,7483000,14469000,22181000,21230000,21045000,26155000,21784000,29327000,19779000,16020000,-17041000,15017000
84,CAPEX,-400000,-1300000,-4500000,-4100000,-5338000,-6961000,-2546000,-1236000,-3393000,-3658000,-4746000,-6782000,-4240000,-4576000,-44874000,-6684000,-5371000,-8877000,-14886000,-17511000,-40867000,-22592000,-33590000,-44734000,-26686000,-23769000
85,Acquisitions Net,- -,- -,- -,- -,-6793000,-257000,-491000,-383000,- -,- -,-3860000,-1218000,-1433000,-7000,- -,- -,-66826000,- -,- -,- -,- -,-2500000,- -,-59872000,- -,- -
86,Purchases of Investments,-26300000,-14800000,-5000000,- -,- -,- -,- -,- -,- -,-1968000,-991000,- -,-14643000,-45808000,-67433000,-74833000,-30723000,-4959000,-1417000,-18000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,6000000,27600000,13500000,1000000,- -,- -,- -,- -,- -,- -,2959000,- -,- -,37953000,69510000,52130000,58847000,3414000,2962000,- -,- -,- -,- -,7000000,- -,- -
88,Other Investing Activites,- -,-5800000,100000,- -,-3492000,3223000,10554000,9000,2022000,430000,1149000,50042000,104000,101000,-39682000,- -,- -,- -,- -,1071000,-723000,81000,-1999000,809000,2798000,12913000
89,Cash Used for Investing Activites,-20700000,5700000,4100000,-3100000,-15623000,-3995000,7517000,-1610000,-1371000,-5196000,-5489000,42042000,-20212000,-12337000,-42797000,-29387000,-44073000,-10422000,-13341000,-34440000,-41590000,-25011000,-35589000,-96797000,-23888000,-10856000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-1730000,- -,- -,- -,- -,- -,- -,-387000,-3940000,-5429000,-14678000,-19433000,-37284000,-37252000,-62236000,-14076000,-39092000,-105025000,-262530000
91,Common Stock Issued,35200000,200000,1100000,500000,9857000,5537000,7611000,149000,849000,5159000,3483000,2723000,1120000,379000,379000,126000,61000,3416000,2298000,122000,322000,706000,56000,327000,30000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,150000,- -,- -,- -,-7384000,-19498000,- -,- -,-1184000,-5006000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-300000,-9400000,2200000,200000,7144000,6086000,-15873000,-3030000,-4652000,-6598000,-1211000,6718000,2910000,1586000,19680000,234000,46308000,-8005000,9956000,45331000,52503000,52729000,27312000,117791000,145012000,259111000
95,Cash Used/Provided by Financing Activities,34900000,-9200000,3300000,700000,17001000,11623000,-8262000,-4680000,-3803000,-1439000,2272000,2057000,-15468000,1965000,19672000,-4764000,35934000,-19267000,-7179000,8169000,15573000,-8801000,13292000,79026000,40017000,-3419000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,34900000,-9200000,3300000,-6000000,6386000,59000,-846000,-4150000,2759000,6413000,7648000,42037000,-18160000,-937000,-15642000,-19682000,14042000,-8459000,525000,-116000,-4233000,-4485000,-2518000,-1751000,-912000,742000
98,Cash at the End of Period,- -,- -,- -,3200000,9589000,8695000,7849000,3650000,6458000,12871000,20519000,62556000,44396000,43459000,27817000,8135000,22177000,13718000,14243000,14127000,9894000,5409000,2891000,1465000,553000,1295000
99,Cash at the Beginning of Period,3600000,14200000,5200000,9200000,3203000,8636000,8695000,7800000,3699000,6458000,12871000,20519000,62556000,44396000,43459000,27817000,8135000,22177000,13718000,14243000,14127000,9894000,5409000,3216000,1465000,553000
100,Free Cash Flow,-4000000,-6800000,-7900000,-7700000,-330000,-14530000,-2647000,900000,4540000,9390000,6119000,-8844000,13280000,4859000,-37391000,7785000,16810000,12353000,6159000,8644000,-19083000,6735000,-13811000,-28714000,-43727000,-8752000
