,https://roic.ai/company/NMTC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,4000000,1430554,1547748,1690998,1690998,1690998,1690998,1690998,2203355,2203355,3952519,5415371,10696799
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1500198/000101489712000062/0001014897-12-000062-index.html,https://www.sec.gov/Archives/edgar/data/1500198/000101489713000108/0001014897-13-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420414024610/0001144204-14-024610-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420415023047/0001144204-15-023047-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420416094382/0001144204-16-094382-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420417020684/0001144204-17-020684-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000121390018004509/0001213900-18-004509-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1500198/000121390019026720/0001213900-19-026720-index.html,https://www.sec.gov/Archives/edgar/data/1500198/000121390020041661/0001213900-20-041661-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000121390021065463/0001213900-21-065463-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9129,13851,1118,525,205,1838,- -,26467,13260,260749,4036397,6901346
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,9129,13851,1118,525,205,1838,- -,26467,13260,260749,4036397,6901346
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48336
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98287
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,4277,7146,5378,41002,118611,-6901346
37,Total Current Assets,- -,9129,13851,1118,525,205,1838,4277,33613,18638,301751,4155008,146623
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,448242,512277
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,216372,200081,- -,- -,134207
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,216372,200081,178838,156523,134207
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52026,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,216372,200081,230864,604765,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7791873
47,Total Assets,- -,9129,13851,1118,525,205,1838,4277,249985,218719,532615,4759773,7938496
48,Accounts Payable,- -,- -,- -,- -,952,9966,16659,22362,- -,221235,1152472,762538,528829
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,13619,- -,2421340,1676804,- -,1007206,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,52652,73758,- -,- -,- -,73434,8622
52,Other Current Liabilities,- -,2952,4628,18355,29864,25628,400,21807,1483791,1899417,617721,512762,644249
53,Total Current Liabilities,- -,2952,4628,18355,30816,35594,83330,117927,3905131,3797456,1770193,2355940,1181700
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202895
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,10500,12500,- -,- -,- -,- -,- -,1381465,817155,- -,337661,- -
58,Total Non-Current Liabilities,- -,10500,12500,- -,- -,- -,- -,- -,1381465,817155,- -,337661,202895
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312176,- -
61,Total Liabilities,- -,13452,17128,18355,30816,35594,83330,117927,5286596,4614611,1770193,2693601,1384595
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4500,5073,5073,5073,5073,5073,5073,7865,9657,13494,22181,35834
64,Retained Earnings,- -,-8823,-36427,-50387,-80941,-117185,-180048,-227823,-5324796,-10457710,-17238871,-30879031,-40827199
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6326,- -,- -
66,Other Total Stockholders Equity,- -,- -,28077,28077,45577,76723,93483,109100,280320,6052161,15994125,32923022,47345266
67,Total Stockholders Equity,- -,-4323,-3277,-17237,-30291,-35389,-81492,-113650,-5036611,-4395892,-1237578,2066172,6553901
68,Total Liabilities And Stockholders Equity,- -,9129,13851,1118,525,205,1838,4277,249985,218719,532615,4759773,7938496
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,9129,13851,1118,525,205,1838,4277,249985,218719,532615,4759773,7938496
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1500198/000101489712000062/0001014897-12-000062-index.html,https://www.sec.gov/Archives/edgar/data/1500198/000101489713000108/0001014897-13-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420414024610/0001144204-14-024610-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420415023047/0001144204-15-023047-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420416094382/0001144204-16-094382-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420417020684/0001144204-17-020684-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000121390018004509/0001213900-18-004509-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1500198/000121390019026720/0001213900-19-026720-index.html,https://www.sec.gov/Archives/edgar/data/1500198/000121390020041661/0001213900-20-041661-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000121390021065463/0001213900-21-065463-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-6044,-27604,-13960,-30554,-36244,-62863,-47775,-5058426,- -,-6781161,-13640160,-9948168
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,17633,- -,27569,47609,80748
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,76794,- -,491749,1835970,1793199
77,Change in Working Capital,- -,3046,-26460,-13054,-5098,-46103,-32158,-3757868,92700,- -,2310376,3267510,-2834145
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48336
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98287
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,11505,- -,- -,- -,-269601,-350313
81,Other Working Capital,6177,9223,-17237,-30291,-35389,-81492,-113650,-3871518,-3778818,- -,-1468442,1799068,-1035077
82,Other Non-Cash Items,- -,-2094,26636,13281,10559,56174,49870,3784537,2763226,- -,-1444490,5063769,2305540
83,Cash Provided by Operating Activities,- -,-5092,-27428,-13733,-25093,-26173,-45151,-21106,-2108073,- -,-5395957,-3425302,-8602826
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-91709,- -,-123352,-122427,-67079
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-91709,- -,-65000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-91709,- -,-123352,-122427,-67079
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,-528000,- -,- -
91,Common Stock Issued,- -,500,28650,- -,- -,- -,- -,- -,- -,- -,4561215,390000,8829236
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,12500,3500,1000,24500,25853,46784,21106,1754032,- -,1733583,6933377,-8826183
95,Cash Used/Provided by Financing Activities,- -,13000,32150,1000,24500,25853,46784,21106,1704032,- -,5766798,7323377,3053
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,7908,4722,-12733,-593,-320,1633,21106,-495750,- -,247489,3775648,2864949
98,Cash at the End of Period,- -,9129,13851,1118,525,205,1838,- -,26467,- -,260749,4036397,6901346
99,Cash at the Beginning of Period,- -,1221,9129,13851,1118,525,205,- -,522217,- -,13260,260749,4036397
100,Free Cash Flow,- -,-5092,-27428,-13733,-25093,-26173,-45151,-21106,-2199782,- -,-5519309,-3547729,-8669905
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1500198/000101489712000062/0001014897-12-000062-index.html,https://www.sec.gov/Archives/edgar/data/1500198/000101489713000108/0001014897-13-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420414024610/0001144204-14-024610-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420415023047/0001144204-15-023047-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420416094382/0001144204-16-094382-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000114420417020684/0001144204-17-020684-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000121390018004509/0001213900-18-004509-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1500198/000121390019026720/0001213900-19-026720-index.html,https://www.sec.gov/Archives/edgar/data/1500198/000121390020041661/0001213900-20-041661-index.htm,https://www.sec.gov/Archives/edgar/data/1500198/000121390021065463/0001213900-21-065463-index.htm
102,false,,,,,,,,,,,,,
