,https://roic.ai/company/WFG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,119803505,133537653,151153040,147072204,139954292,258480827,121718238,114084901,163009632,208674530,318612020,80209334,956345552,803944125,356221946,381239002,771498531,857432928,793598618,785624451,704047734,741760286,906560636,1049169255,1034242538,1033595784,1928000000
11,COGS and Expenses,947503483,1055020432,1185814116,1146097355,1306677346,1354196732,863752685,904123076,1156048490,1757232935,2914773549,2516568291,3512238716,2745850452,2674338650,2628779395,2648677767,2887930601,2916122731,2971934600,2775115480,2952161298,3390854871,3704764212,3829989206,3726591173,6573000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1665034,1005197,939170,- -,- -,- -,- -,5139388,3062154,13331660,11000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24568611,27600038,26595745,20470127,20103937,18783399,19812897,16574307,17855814,19085487,24962739,33683695,33721259,48000000
14,Depreciation and Amortization,73025882,85084647,96296296,95405212,93141756,97137046,86889911,86027530,109721847,127993412,219893232,216085278,267798647,231059984,274663356,181171013,164250735,152789924,150267194,146443154,137638810,146566476,166998012,188688942,198274476,213306565,584000000
15,EBITDA,184617641,186004086,177638015,113147462,268930423,238495498,188026231,209108752,137670520,374823232,349002066,663797186,121970110,74527527,-53481043,442729163,273653281,288491501,466767471,489292421,266630155,494754855,858846918,1000712172,64305236,1064180181,4530000000
16,EBITDA ratio,0.1688,0.1553,0.1360,0.0934,0.1767,0.1549,0.1916,0.2017,0.1184,0.1877,0.1133,0.2326,0.0364,0.0284,-0.0214,0.1534,0.1012,0.0957,0.1431,0.1473,0.0902,0.1494,0.2104,0.2228,0.0172,0.2320,0.4307
17,Operating Income,146271721,143023935,120824598,64924937,215144339,185943314,117607633,132673362,6954202,239212571,164872568,336729581,-164021004,-125883320,-374653806,256658935,56611166,127660002,324013637,349740709,179434888,358604271,691848907,787060491,-121720624,861068415,3945000000
18,Operating Income ratio,0.1337,0.1194,0.0925,0.0536,0.1414,0.1207,0.1198,0.1280,0.0060,0.1198,0.0535,0.1180,-0.0490,-0.0480,-0.1502,0.0889,0.0209,0.0423,0.0993,0.1053,0.0607,0.1083,0.1695,0.1752,-0.0326,0.1877,0.3751
19,Total Other Income Expenses (Gains),-34679962,-42104495,-39482879,-47182687,-39355672,-44584862,-27556879,-15004669,20994471,7617249,-34479938,111352093,18192467,-55217749,18909369,-18097104,-12634672,-12062362,-26296759,-26704340,-67017850,-28271706,-19085487,- -,-45932311,-43916058,-47000000
20,Income Before Tax,111591759,100919440,81341719,17742250,175788667,141358453,90050754,117668693,27948672,246829820,130392630,448081675,-145828537,-181101068,-355744437,238561830,43976494,115597640,297716878,323036370,112417038,330332565,672763419,787060491,-167652935,817152357,3898000000
21,Income Before Tax Ratio,0.1020,0.0842,0.0623,0.0147,0.1155,0.0918,0.0918,0.1135,0.0240,0.1236,0.0423,0.1570,-0.0436,-0.0691,-0.1426,0.0827,0.0163,0.0383,0.0912,0.0973,0.0380,0.0998,0.1648,0.1752,-0.0449,0.1781,0.3706
22,Income Tax expense (Gain),41352005,33566842,32774284,14102814,74016281,53690564,21683061,35703260,-5303948,70502604,36418977,106259437,-111178431,-68447001,-30274090,68788994,17727718,28145512,-30053439,99925917,37472346,87791087,198807157,192359933,-52822158,208601274,951000000
23,Net Income,70239754,67352598,48567435,3639436,101772386,87667889,79453259,87377962,33252620,176327216,92689857,341452471,-34650106,-112654067,-325470347,166173412,71204701,87452127,327770317,223110453,74944692,242541478,473956262,594700557,-114830778,608551084,2947000000
24,Net Income ratio,0.0642,0.0562,0.0372,0.0030,0.0669,0.0569,0.0810,0.0843,0.0286,0.0883,0.0301,0.1197,-0.0103,-0.0430,-0.1305,0.0576,0.0263,0.0290,0.1005,0.0672,0.0254,0.0733,0.1161,0.1324,-0.0308,0.1326,0.2802
25,EPS,1.30,1.15,0.81,0.02,1.68,1.41,1.16,1.31,0.45,2.39,1.08,3.99,-0.40,-1.31,-3.80,1.94,0.83,1.02,3.82,2.64,0.90,3.02,6.07,7.99,-1.67,8.86,42.91
26,EPS Diluted,1.29,1.13,0.80,0.02,1.64,1.38,1.16,1.29,0.45,2.23,1.08,3.96,-0.40,-1.31,-3.80,1.92,0.72,1.02,3.82,2.64,0.64,2.90,6.07,7.80,-1.79,8.86,42.80
27,Weighted Average Shares Outstanding,53502825,56835443,58008658,52800000,60163934,62155083,68557182,66939173,73711111,73728696,85436508,85498818,85576000,85610172,85615960,85645898,85680360,85714000,85712000,84742000,83104000,80236000,78097000,74451000,68882000,68672000,68672000
28,Weighted Average Shares Outstanding Diluted,53960114,57749196,58260870,52800000,61810526,63506280,68743478,67597052,74346552,79093284,86580000,86239870,86164000,85893300,85615960,86499774,86547730,86824000,87340000,86172000,84399000,81096000,78955000,75103000,69172000,68863000,68863000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402388/000119312521039006/0001193125-21-039006-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,122540033,205017081,290783935,53555192,519538435,17385641,- -,- -,- -,- -,102000000,162000000,21000000,13000000,50000000,258000000,160000000,16000000,- -,847000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,721000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,122540033,205017081,290783935,53555192,519538435,17385641,- -,- -,- -,- -,102000000,162000000,21000000,13000000,50000000,258000000,160000000,16000000,460334389,1568000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,110513812,121883603,246449665,265635440,258166609,332376048,229909614,256135995,245960646,265523996,252304414,262028419,248091932,222672211,220965702,279920477,278995323,300856638,284670159,550000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,202909846,250033545,450159715,492512485,456308339,522483086,420377979,389361093,372340426,389618022,461385362,487429210,504798167,454712508,432259505,532803181,580750791,558077580,576398256,1061000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,4452109,7068331,19028566,38591355,11085278,13176815,40427280,26549518,181470965,74828599,11587246,476403,7427201,9339283,-5360464,-44083499,-32249510,3138463,12547445,38000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,440415801,584002560,1006421881,850294472,1245098662,885421589,690714873,672046605,799772036,729970617,827277022,911934033,781317299,699724002,697864742,1026640159,987496604,878072680,1333950249,3217000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,836486461,959918875,1944004858,1920143792,1830742965,2236722205,1676910435,1551045745,1501559750,916454456,963983796,1074410436,1265441138,1159480864,1253626962,1504572565,1509511538,1638252429,1654694313,4100000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227069916,226251716,266302131,216680362,251838411,263657815,258276200,265371973,247940870,296332030,258703313,264861245,560636183,545509277,551187733,557577088,1975000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580411361,564920640,512786799,461726651,417960784,421099621,444532803,394264444,417218492,403870887,833000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,230139584,227069916,226251716,266302131,216680362,251838411,263657815,838687561,830292613,760727669,758058681,676664096,685960866,1005168986,939773720,968406225,961447975,2808000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11010682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23370932,- -,40823993,71651602,- -,- -,- -,- -,90160316,53408680,57649763,26039729,4771372,2202595,7655385,9410584,8000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,66969657,66024816,86454989,107830205,145431537,171635868,136318817,211632127,249560070,- -,10051969,77951107,68052995,25942393,14879845,50894632,78559209,81147083,212522350,300000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,903456117,1025943691,2260599431,2278414844,2202426218,2715484197,2112571898,2014516283,2014777636,1755142018,1804328378,2003249528,2144961494,1919737117,1980507403,2565407555,2530047062,2695461122,2838075222,7216000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,1343871918,1609946251,3267021312,3128709316,3447524880,3600905786,2803286771,2686562888,2814549672,2485112635,2631605400,2915183561,2926278793,2619461119,2678372145,3592047714,3517543666,3573533802,4172025471,10433000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,103563466,143582131,326158351,286787498,401878003,284994446,- -,- -,257958727,268266405,163847089,176563953,174008924,136197566,156982367,194035785,190891537,182963706,215659211,411000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,12526123,9997918,179887534,146040124,110058339,149106331,147904684,210581606,9098544,293830,- -,299595218,88727323,128270723,- -,- -,44786091,296263406,7842153,11000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58290673,- -,20103937,28175099,22397188,- -,15623838,89065606,37444109,13779693,110574359,323000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,18715501,23727415,164406808,98531083,199968257,72311421,248151191,262057110,108282675,40156709,223153705,249819210,267904829,172228668,184510081,269582505,201170312,161528627,304275542,733000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,134805089,177307464,670452693,531358705,711904598,506412198,396055875,472638716,375339946,308716944,387000794,725978380,530641076,436696957,341492448,463618290,436847940,640755740,527776906,1206000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,214535257,221299074,611855524,537162046,428637612,550231243,382333607,301690383,299452088,300000000,301559060,8452530,304946333,304823123,307268804,505765408,508065167,503724345,499545155,499000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,128135501,143807306,340680786,325156707,268053363,296573766,219227609,207430045,214265717,140842311,128665199,167172253,132660269,136918188,159958336,178926441,214385880,193681245,263496346,712000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,45870254,54132961,157405128,128420010,117918668,138028880,137633525,159392608,160574308,283055828,314626620,185016482,210188998,193847329,202365895,275944334,232006637,341430179,407007748,360000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,388541012,419239341,1109941438,990738764,814609643,984833889,739194741,668513036,674292113,723898139,744850879,360641265,647795600,635588640,669593036,960636183,954457684,1038835769,1170049249,1571000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2219882876,1981477527,- -,- -,- -,- -,- -,- -,- -,- -,1295591200,- -,- -,1921272366,- -,2077671538,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39633273,- -,- -,- -,- -,- -,- -,- -,- -,- -,8420924,- -,11000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,523346101,596546805,1780394130,1522097469,1526514242,1491246087,1135250616,1141151752,1049632059,1032615083,1131851673,1086619646,1178436676,1072285597,1011085485,1424254473,1391305625,1679591509,1697826155,2777000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492522597,572724668,- -,- -,605128514,565380317,505659597,417240162,408451752,436580517,360491325,369755104,379560212,3402000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,612482929,760905943,985826942,1092484071,1408125429,1598537817,1174116680,1029796581,1236602144,869343781,903671984,1253791899,1194803852,1011753345,1147236069,1645328032,1640933019,1423136105,2012296496,4503000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-933739225,-677838,-507428,-382297,-246225,-94076542,1396878,-57110114,-72088466,-5386876,-9046772,9391700,47378668,118182015,111598839,85884692,124813697,101051084,82342608,-249000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -,- -,- -,- -,0,- -,- -,- -,0,-0,- -,-0,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,820525818,1013399446,1481954681,1606611848,1921010638,2109659699,1668036154,1545411136,1764917613,1452497551,1499753727,1828563915,1747842117,1547175522,1667286660,2167793241,2126238042,1893942294,2474199316,7656000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,1343871918,1609946251,3262348811,3128709316,3447524880,3600905786,2803286771,2686562888,2814549672,2485112635,2631605400,2915183561,2926278793,2619461119,2678372145,3592047714,3517543666,3573533802,4172025471,10433000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-0,- -,4672501,-0,-0,-0,0,- -,-0,0,0,- -,-0,- -,- -,-0,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,1343871918,1609946251,3267021312,3128709316,3447524880,3600905786,2803286771,2686562888,2814549672,2485112635,2631605400,2915183561,2926278793,2619461119,2678372145,3592047714,3517543666,3573533802,4172025471,10433000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402388/000119312521039006/0001193125-21-039006-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,70239754,67352598,48567435,3639436,101772386,87667889,79453259,87377962,33252620,176327216,92689857,341452471,-34650106,-112654067,-325470347,166173412,71204701,87452127,327770317,223110453,74944692,242541478,473956262,594700557,-114830778,608551084,2947000000
74,Depreciation and Amortization,73025882,85084647,96296296,95405212,93141756,97137046,86889911,86027530,109721847,127993412,219893232,216085278,267798647,231059984,274663356,181171013,164250735,152789924,150267194,146443154,137638810,146566476,166998012,188688942,198274476,213306565,584000000
75,Deferred Income Tax,513234,12040280,8245982,844869,-1933261,-15329110,-20145354,-6200812,-11752277,-21131482,-20945411,-50654598,-61623750,-52999178,24830484,-599904,- -,28145512,-30053439,99925917,37472346,87791087,198807157,192359933,-52822158,208601274,951000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34280118,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-5865533,12405137,- -,- -,58550192,-74086696,19069335,-29954710,24777717,96058695,-203248665,307321551,-319621327,32374692,83564130,49292113,-19098923,-50259843,-12209210,-12921455,-56929141,66959304,-49304175,-54330668,49760004,-14115876,-69000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-16643449,-8391710,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23408423,-58301418,-51654348,-24120049,-11529953,37199613,-50894632,-77090813,39042464,-7057938,-139000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,58550192,-74086696,19069335,-29954710,24777717,96058695,-203248665,307321551,-319621327,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-2126256,8975482,9853249,-8383701,6490234,12938313,189488561,43804587,-39016942,-50565658,-62813845,-59058854,-93176815,49383730,43548849,-9498480,-171596474,-22114331,-42262648,-47378668,23780527,-31247675,-73161034,-254032584,7655385,-784215,-861000000
83,Cash Provided by Operating Activities,135787081,185858144,162962963,91505817,258021307,108327442,354755713,181054557,116982965,328682183,25575168,755145848,-241273352,147165160,101136472,386538154,79040157,196013389,393512214,409179401,216907234,512610669,717296223,667386181,88036930,1015558832,3552000000
84,CAPEX,-441967886,-160391127,-109154437,-102489114,-125040564,-67066355,-70924258,-78198703,-61168904,-116552149,-193215946,-196600034,-108318691,-38455218,-18049852,-56290993,-209010774,-150779530,-317439447,-353186431,-158536849,-203109888,-267196819,-271653341,-313870792,-188995891,-635000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-78389463,-18799859,-193100,- -,-934885288,- -,- -,-383865495,- -,- -,- -,- -,-30155906,- -,-179177506,-54767275,- -,-418290258,- -,- -,- -,340000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10338001,10215995,5730259,18652109,1588036,-27031010,-989962,8331904,28739098,21440930,31747890,107912663,16710088,17009039,6780632,17997120,97061704,61317009,11270040,6891443,5764976,7439923,6361829,11747172,14545232,14900091,9000000
89,Cash Used for Investing Activites,-431629885,-150175131,-103424179,-83837005,-123452528,-172486829,-90714079,-70059899,-32429806,-1029996506,-161468056,-88687371,-475474099,-21446179,-11269220,-38293873,-111949070,-119618427,-306169407,-525472495,-207539148,-195669965,-679125249,-259906169,-299325561,-174095800,-286000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-143348295,-164473684,-14691479,- -,- -,-292024878,- -,-134662600,- -,- -,- -,- -,-667000000
91,Common Stock Issued,80797712,29626386,139762,1884708,- -,- -,- -,- -,- -,223533865,453763,475292,1374331,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2817510,-95618765,-43237322,-141358530,-13518887,-495583798,-62008620,- -,-1319000000
93,Dividends Paid,-8724980,-11310566,-11879804,-11828167,-11599566,-11329777,-10679154,-11904898,-15915698,-17178532,-20613914,-20546500,-24199737,-19720624,-9359183,-7698768,-23506366,-24124725,-22540079,-20674328,-16574307,-16367830,-22266402,-27165334,-42104618,-43131842,-75000000
94,Other Financing Activites,227069433,-18753649,-27393431,-28530578,-70218804,-25188396,-23654820,-148089639,-12386931,564586487,-129174272,-142548902,124332021,82169,49947474,-5599104,-19882468,-18093544,-11270040,360939304,32427992,-15623838,179721670,22760145,203633246,-330154647,-110000000
95,Cash Used/Provided by Financing Activities,299142166,-437828,-39133473,-38474037,-81818370,-36518173,-34333974,-159994537,-28302629,770941820,-149334424,-162620110,101506614,-119638455,-102760004,-177771557,-58080313,-42218268,-36627629,-47378668,-27383638,-308012797,143936382,-499988987,99520007,-373286490,-2164000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5635020,11198594,17294929,29015698,-4771372,11012973,-765539,-7842153,5000000
97,Net Change In Cash,3226043,35245184,20405311,-30870215,52750409,-100677559,229707660,-48999879,56250530,69628329,-285227312,503838367,-615240836,6080526,-12892751,170472724,-90989226,34176694,56350198,-152473166,-720622,37943605,177335984,-81496002,99520007,-373286490,1107000000
98,Cash at the End of Period,-37466090,-2043199,18448637,-13712875,38181906,-63776592,169635925,122540033,205017081,290783935,15756845,519538435,-3735232,3040263,-9359183,160674292,66405485,102530081,152145534,-12921455,-11529953,26039729,205168986,107927138,- -,460334389,1568000000
99,Cash at the Beginning of Period,-40692133,-37288383,-1956674,17157341,-14568503,36900967,-60071735,171539913,148766551,221155606,300984157,15700069,611505604,-3040263,3533569,-9798432,157394711,68353387,95795336,139551712,-10809331,-11903876,27833002,189423140,112534162,- -,461000000
100,Free Cash Flow,-306180805,25467017,53808526,-10983298,132980743,41261087,283831455,102855854,55814061,212130035,-167640778,558545813,-349592043,108709942,83086620,330247160,-129970617,45233859,76072767,55992971,58370385,309500781,450099404,395732840,-225833863,826562941,2917000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402388/000119312521039006/0001193125-21-039006-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
