,https://roic.ai/company/RDCM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016838/999999999702018663/9999999997-02-018663-index.html,- -,https://www.sec.gov/Archives/edgar/data/1016838/000095012304005836/y97053e20vf.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420405009372/0001144204-05-009372-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000114420406012288/v038912_20-f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420407033829/v079310_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420408037374/v117985_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420409033252/v152536_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420410015616/0001144204-10-015616-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000114420411019890/v217086_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891312000877/0001178913-12-000877-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000117891313001166/zk1312881.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891314001077/zk1414617.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891315001039/zk1516474.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891316004908/0001178913-16-004908-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000117891317000987/0001178913-17-000987-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000121390018003555/0001213900-18-003555-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000121390019006669/f20f2018_radcomltd.htm,https://www.sec.gov/Archives/edgar/data/1016838/000121390020008123/0001213900-20-008123-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,7780000,2150000,390000,2140000,1180000,1040000,2360000,430000,2680000,2510000,3270000,5740000,2900000,1470000,1185000,6848000,8727000,42886000,22575000,61988000,6201000,13548000,11948000
32,Short-Term Investments,- -,- -,11310000,4930000,8480000,3010000,- -,1990000,- -,8060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,- -,63080000,55413000,58621000
33,Cash and Short-Term Investments,- -,- -,19090000,7080000,8870000,5150000,1180000,3030000,2360000,8490000,2680000,2510000,3270000,5740000,2900000,1470000,1185000,6848000,8727000,42886000,62575000,61988000,69281000,68961000,70569000
34,Net Receivables,- -,- -,9550000,9320000,4420000,3030000,3880000,5650000,8010000,10720000,6430000,7590000,3870000,7050000,5830000,3610000,5723000,5834000,5771000,5480000,21870000,20391000,11039000,13883000,11995000
35,Inventory,- -,- -,4180000,5300000,2650000,2180000,1740000,2400000,1940000,2680000,3450000,2750000,2880000,3950000,6590000,6740000,4352000,2699000,1532000,623000,1199000,251000,1356000,540000,931000
36,Other Current Assets,- -,- -,- -,11320000,4140000,5620000,4670000,6090000,8380000,2270000,1560000,1510000,350000,1510000,3050000,4690000,4597000,1086000,32000,900000,1117000,1756000,1536000,- -,- -
37,Total Current Assets,- -,- -,32820000,33020000,20080000,15980000,11470000,17170000,20690000,24160000,14120000,14360000,10370000,18250000,18370000,16510000,15857000,16467000,16062000,49889000,86761000,84386000,83212000,83384000,83495000
38,PP&E,- -,- -,1460000,440000,-670000,-1850000,-2790000,-3320000,-3560000,-1880000,-2240000,-2660000,-3090000,-3340000,-3410000,200000,253000,173000,384000,1516000,1924000,1832000,7511000,4256000,3068000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,2330000,3430000,3920000,4110000,4280000,4500000,4790000,3290000,3700000,3650000,3670000,3680000,3710000,70000,- -,- -,- -,- -,- -,- -,- -,72019000,- -
41,Intangible Assets,- -,- -,2330000,3430000,3920000,4110000,4280000,4500000,4790000,3290000,3700000,3650000,3670000,3680000,3710000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,50000,20000,980000,1190000,1440000,1780000,1870000,2180000,2480000,2490000,-5000,2800000,2680000,3090000,- -,3678000,3689000,3163000,3224000,3313000,5679000,5999000,5098000
45,Total Non-Current Assets,- -,- -,3840000,3890000,4230000,3450000,2930000,2960000,3100000,3590000,3940000,3480000,3070000,3140000,2980000,3360000,253000,3851000,4073000,4679000,5148000,5145000,13190000,10255000,8166000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,36660000,36910000,24310000,19430000,14400000,20130000,23790000,27750000,18060000,17840000,13440000,21390000,21350000,19870000,16110000,20318000,20135000,54568000,91909000,89531000,96402000,93639000,91661000
48,Accounts Payable,- -,- -,1500000,2950000,1260000,1280000,1150000,2030000,2150000,2550000,1270000,2120000,1120000,2760000,2700000,1920000,1795000,1524000,1465000,2820000,1828000,1559000,2452000,1592000,2651000
49,Short-Term Debt,- -,- -,628645,20676,- -,- -,- -,- -,- -,- -,- -,1167000,1022000,- -,- -,2585000,629000,- -,- -,- -,- -,- -,- -,- -,1045000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,889000,1545000,1534000,1593000,1057000000,478000,451000,623000,2100000,1305000,765000,931000,2593000,2601000,266000,828000,3149000,2700000
52,Other Current Liabilities,- -,- -,4101355,5439324,4370000,3990000,4620000,4201000,4015000,4296000,4027000,-1052127000,4780000,3899000,4377000,4715000,4366000,4116000,4023000,5622000,7490000,5701000,9445000,10163000,9850000
53,Total Current Liabilities,- -,- -,6230000,8410000,5630000,5270000,5770000,7120000,7710000,8380000,6890000,8160000,7400000,7110000,7700000,11320000,8095000,6405000,6419000,11035000,11919000,7526000,12725000,14904000,16246000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000,420000,- -,- -,- -,1795000,- -,- -,- -,- -,- -,- -,- -,894000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,630000,450000,1750000,1820000,2390000,2990000,3600000,4000000,3590000,3550000,2980000,3370000,3250000,3550000,- -,3651000,3853000,3390000,3594000,3525000,9807000,- -,4367000
58,Total Non-Current Liabilities,- -,- -,630000,450000,1750000,1820000,2390000,2990000,3600000,4000000,3590000,4700000,3400000,3370000,3250000,3550000,1795000,3651000,3853000,3390000,3594000,3525000,9807000,- -,5261000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6716000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6230000,3036000,1939000
61,Total Liabilities,- -,- -,6860000,8860000,7380000,7090000,8160000,10110000,11310000,12380000,10480000,12860000,10800000,10480000,10950000,14870000,4051000,10056000,10272000,14425000,15513000,11051000,22532000,21620000,21507000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,50000,60000,60000,60000,60000,100000,110000,120000,120000,180000,180000,230000,250000,250000,- -,361000,372000,523000,628000,643000,648000,657000,669000
64,Retained Earnings,- -,- -,-6380000,-9700000,-21140000,-25860000,-32080000,-33760000,-32240000,-32290000,-40870000,-46670000,-49080000,-48510000,-50420000,-56400000,- -,-57096000,-58019000,-56104000,-53203000,-55281000,-62113000,-66105000,-71368000
65,Other Comprehensive Income/Loss,- -,- -,-4760000,-740000,-7290000,-8600000,-9490000,-20000,-8730000,-6990000,-7180000,-7320000,-7800000,-8070000,-400000,-640000,-805000,-1000000,-3000000,-3000000,-3000000,-3000000,-3000000,-2662000,-2620000
66,Other Total Stockholders Equity,- -,- -,40900000,38430000,45300000,46744000,47756000,43704000,53345000,54533000,55508000,58795000,59340000,67253000,60962000,61787000,8304000,67997000,70510000,98724000,131971000,136118000,138335000,140129000,143473000
67,Total Stockholders Equity,- -,- -,29810000,28050000,16930000,12344000,6246000,10024000,12485000,15373000,7578000,4985000,2640000,10903000,10392000,4997000,7499000,10262000,9863000,40143000,76396000,78480000,73870000,72019000,70154000
68,Total Liabilities And Stockholders Equity,- -,- -,36670000,36910000,24310000,19434000,14406000,20134000,23795000,27753000,18058000,17845000,13440000,21383000,21342000,19867000,11550000,20318000,20135000,54568000,91909000,89531000,96402000,93639000,91661000
69,Minority Interest,- -,- -,-10000,- -,- -,-4000,-6000,-4000,-5000,-3000,2000,-5000,- -,7000,8000,3000,4560000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,36660000,36910000,24310000,19430000,14400000,20130000,23790000,27750000,18060000,17840000,13440000,21390000,21350000,19870000,16110000,20318000,20135000,54568000,91909000,89531000,96402000,93639000,91661000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1016838/999999999702018663/9999999997-02-018663-index.html,- -,https://www.sec.gov/Archives/edgar/data/1016838/000095012304005836/y97053e20vf.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420405009372/0001144204-05-009372-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000114420406012288/v038912_20-f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420407033829/v079310_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420408037374/v117985_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420409033252/v152536_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420410015616/0001144204-10-015616-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000114420411019890/v217086_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891312000877/0001178913-12-000877-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000117891313001166/zk1312881.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891314001077/zk1414617.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891315001039/zk1516474.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891316004908/0001178913-16-004908-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000117891317000987/0001178913-17-000987-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000121390018003555/0001213900-18-003555-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000121390019006669/f20f2018_radcomltd.htm,https://www.sec.gov/Archives/edgar/data/1016838/000121390020008123/0001213900-20-008123-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,496429,370000,-3030000,-11450000,-4720000,-6230000,-1680000,1530000,-50000,-8580000,-5790000,-2650000,570000,-1900000,-5990000,-1420000,726000,-923000,1915000,2901000,-2415000,-6832000,-3992000,- -
74,Depreciation and Amortization,- -,1259159,1678292,1766627,1705000,1400000,1145000,797000,579000,603000,687000,610000,481000,294000,155000,119000,108000,87000,123000,286000,537000,657000,752000,699000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,530000,272000,564000,823000,672000,499000,579000,1409000,2471000,2216000,2121000,2228000,2169000,- -
77,Change in Working Capital,- -,-4443035,-2493472,1102382,4852000,1567000,454000,-1307000,-690000,-3632000,1241000,-945000,2746000,-3458000,-2424000,2723000,-1325000,1998000,1275000,4779000,-16257000,-2312000,10692000,1074000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1704000,3508000,-2632000,1369000,2060000,-2716000,61000,1053000,-329000,-15865000,13000,9303000,-1653000,- -
79,Inventory,- -,-1219713,-606725,-1119231,2218000,356000,279000,-892000,143000,-1180000,-1141000,584000,-167000,-1063000,-2601000,-222000,2131000,1379000,311000,794000,-560000,901000,-1135000,811000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865000,-1004000,1634000,2000,-775000,348000,-705000,-278000,1273000,-1150000,-182000,998000,-773000,- -
81,Other Working Capital,- -,- -,- -,- -,313000,- -,- -,- -,- -,135000,51000,-32000,-163000,670000,112000,1112000,-1550000,-401000,750000,1252000,-67000,-2232000,1031000,2090000,- -
82,Other Non-Cash Items,- -,85069,-37976,170796,976000,80000,222000,11000,-30000,488000,634000,639000,41000,-468000,-4000,15000,8000,-4000,- -,- -,- -,- -,- -,- -,- -
83,Cash Provided by Operating Activities,- -,-2602378,-483156,9805,-3917000,-1673000,-4409000,-2179000,1389000,-2591000,-6018000,-4956000,890000,-2498000,-3350000,-2461000,-2130000,3386000,1884000,9451000,-10603000,-1949000,6840000,-50000,- -
84,CAPEX,- -,-2288802,-1723043,-1965374,-1196000,-434000,-222000,-292000,-336000,-327000,-437000,-120000,-27000,-56000,-103000,-66000,-88000,-65000,-97000,-1331000,-790000,-662000,-699000,-427000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-11014320,-115295,-6600000,-3000000,- -,-3000000,- -,-7987000,-2515000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,7108961,11000000,- -,2595000,8408000,3000000,1000000,2000000,- -,10502000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-17528,112534,6203587,312000,46000,34000,40000,- -,8000,- -,- -,- -,- -,- -,-1437000,-38000,1477000,- -,- -,-40000000,40000000,-61917000,8026000,- -
89,Cash Used for Investing Activites,- -,4802631,-1624829,4122918,-4889000,5020000,2812000,-2252000,1664000,-8306000,7550000,-120000,-27000,-56000,-103000,-1503000,-126000,1412000,-97000,-1331000,-40790000,39338000,-62616000,7599000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1167000,-1333000,- -,- -,-1979000,-629000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,7230,434349,1355813,154000,- -,4000,5375000,909000,2384000,224000,2404000,- -,5361000,- -,- -,- -,- -,- -,21279000,30206000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-137,-63,-284000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3505728,-2863064,-514427,38000,- -,- -,- -,- -,- -,- -,2422000,65000,996000,767000,2603000,3906000,1715000,813000,4414000,891000,2133000,16000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,3512958,-2428852,841323,-92000,- -,4000,5375000,909000,2384000,224000,4826000,-1102000,5024000,767000,2603000,1927000,1086000,813000,25693000,31097000,2133000,16000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157000,-66000,40000,-221000,-721000,346000,-15000,-145000,-27000,-202000,- -
97,Net Change In Cash,- -,5713211,-4536837,4974046,-8898000,3347000,-1593000,944000,3962000,-8513000,1756000,-250000,-239000,2470000,-2843000,-1427000,-289000,5663000,1879000,34159000,-20311000,39377000,-55787000,7347000,- -
98,Cash at the End of Period,- -,12320345,7783508,12757554,3860000,7207000,5614000,6558000,10520000,2007000,3763000,3513000,3274000,5744000,2901000,1474000,1185000,6848000,8727000,42886000,22575000,61988000,6201000,13548000,- -
99,Cash at the Beginning of Period,- -,6607134,12320345,7783508,12758000,3860000,7207000,5614000,6558000,10520000,2007000,3763000,3513000,3274000,5744000,2901000,1474000,1185000,6848000,8727000,42886000,22611000,61988000,6201000,- -
100,Free Cash Flow,- -,-4891180,-2206199,-1955569,-5113000,-2107000,-4631000,-2471000,1053000,-2918000,-6455000,-5076000,863000,-2554000,-3453000,-2527000,-2218000,3321000,1787000,8120000,-11393000,-2611000,6141000,-477000,- -
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1016838/999999999702018663/9999999997-02-018663-index.html,- -,https://www.sec.gov/Archives/edgar/data/1016838/000095012304005836/y97053e20vf.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420405009372/0001144204-05-009372-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000114420406012288/v038912_20-f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420407033829/v079310_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420408037374/v117985_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420409033252/v152536_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000114420410015616/0001144204-10-015616-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000114420411019890/v217086_20f.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891312000877/0001178913-12-000877-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000117891313001166/zk1312881.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891314001077/zk1414617.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891315001039/zk1516474.htm,https://www.sec.gov/Archives/edgar/data/1016838/000117891316004908/0001178913-16-004908-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000117891317000987/0001178913-17-000987-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000121390018003555/0001213900-18-003555-index.html,https://www.sec.gov/Archives/edgar/data/1016838/000121390019006669/f20f2018_radcomltd.htm,https://www.sec.gov/Archives/edgar/data/1016838/000121390020008123/0001213900-20-008123-index.html,- -,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
