,https://roic.ai/company/WK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,1160000,4864000,6521000,7197000,9281000,20400000,27338000,- -,143409000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,74049000,-969000
89,Cash Used for Investing Activites,- -,-10925000,-9432000,-4096000,-19777000,3805000,-6473000,-5632000,-90065000,-103750000,-68631000
90,Debt Repayment,- -,-183000,-527000,-8741000,-2366000,-1881000,-1508000,-1163000,-1213000,- -,-1705000
91,Common Stock Issued,- -,- -,- -,91769000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-61000,-279000,-381000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,31822000,9438000,10406000,1645000,986000,11330000,18039000,364583000,11118000,-1683000
95,Cash Used/Provided by Financing Activities,- -,31639000,8850000,93155000,-1102000,-895000,9822000,16876000,363370000,11118000,-3388000
96,Effect of Forex Changes on Cash,- -,-1000,50000,62000,90000,-10000,183000,-393000,287000,478000,-270000
97,Net Change In Cash,- -,14950000,-9464000,85616000,-42381000,-7469000,9052000,17251000,304158000,- -,-22445000
98,Cash at the End of Period,- -,24979000,15515000,101131000,58750000,51281000,60333000,77584000,381742000,- -,300386000
99,Cash at the Beginning of Period,- -,10029000,24979000,15515000,101131000,58750000,51281000,60333000,77584000,- -,322831000
100,Free Cash Flow,- -,-11448000,-18604000,-12465000,-23821000,-12460000,4135000,5027000,26728000,31370000,46091000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1445305/000144530516000085/0001445305-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530517000008/0001445305-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530518000054/0001445305-18-000054-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530519000032/0001445305-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530520000037/0001445305-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530521000035/0001445305-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1445305/000144530522000041/0001445305-22-000041-index.htm
102,false,,,,,,,,,,,
