,https://roic.ai/company/YVR,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,Operating Income ratio,- -,0.6452,0.3750,0.6089,0.0269,0.0618,0.0389,0.0956,0.1165,0.0711,0.0231,0.0429,0.0138,0.0402,0.0388,0.0415,0.0337,0.1975,- -,- -,0.0355,0.0969,0.0572,0.0959,0.0196,0.1648,2.8035,-3.1266,- -,- -
19,Total Other Income Expenses (Gains),- -,-836521,-1879700,-135172,-8347245,-15072623,-2871991,-11218404,3926306,3104213,52256,-684594,-12225794,-5759597,-632758,-3305375,-7648004,-11292504,-431024,-224491,9930,-140249,-88183,-50421,182579,-3554386,-6502701,-5349478,-453332,2996726
20,Income Before Tax,- -,3943594,-1127820,18383347,-7373400,-12195122,- -,-7810281,- -,- -,1867790,2145983,-11256079,-3534467,1016596,-1449219,-5841371,-5268672,-2024410,1912989,681435,1643961,897956,1418703,444547,-1739938,-3103321,-7498612,-7787892,-5183411
21,Income Before Tax Ratio,- -,0.5323,-0.5625,0.6044,-0.2038,-0.2618,- -,-0.2191,- -,- -,0.0238,0.0325,-0.1602,-0.0638,0.0239,-0.0324,-0.1091,-0.1727,-0.0718,0.0932,0.0360,0.0893,0.0521,0.0926,0.0332,-0.1580,-2.5594,-10.9090,-18.1436,-109.5465
22,Income Tax expense (Gain),- -,717017,-751880,3244120,-2086811,-1370238,- -,-568020,- -,- -,- -,- -,-1981517,-1069361,244628,2027,-1680791,38336,289285,735133,680879,93103,306652,255408,108965,-436654,- -,1621,-162576,- -
23,Net Income,- -,3226577,-375940,15139227,-4730106,-10824884,-5470460,-7242261,-1812141,-934780,1867790,2145983,-9274562,-2465106,771968,-1451246,-4160580,-5307007,-2313695,1177856,556,1550858,591304,1163295,335582,-1303284,-6509689,-7537749,-7581384,-6231009
24,Net Income ratio,- -,0.4355,-0.1875,0.4978,-0.1308,-0.2324,-0.1111,-0.2032,-0.0451,-0.0207,0.0238,0.0325,-0.1320,-0.0445,0.0182,-0.0325,-0.0777,-0.1740,-0.0821,0.0574,0.0000,0.0843,0.0343,0.0760,0.0251,-0.1184,-5.3687,-10.9659,-17.6625,-131.6865
25,EPS,- -,22.43,-2.50,98.37,-25.74,-53.84,-22.55,-28.11,-6.50,-3.99,3.46,4.01,-17.06,-4.00,1.23,-2.28,-6.73,-7.11,-3.00,1.50,0.00,2.30,1.00,2.00,0.55,-2.25,-11.55,-3.14,-1.78,-0.79
26,EPS Diluted,- -,20.94,-2.50,92.97,-25.74,-53.84,-22.55,-28.11,-6.50,-3.99,2.69,4.01,-17.06,-4.00,1.23,-2.28,-6.73,-7.11,-3.00,1.50,0.00,2.20,0.85,1.85,0.20,-2.25,-11.55,-3.14,-1.78,-0.79
27,Weighted Average Shares Outstanding,- -,143821,150481,153893,183761,201043,242552,257668,278687,300949,415606,533830,545414,615830,625643,637714,618206,736519,798324,796040,770773,673750,602529,585944,584536,576176,564129,2397117,4255297,7845300
28,Weighted Average Shares Outstanding Diluted,- -,154094,150481,162847,183761,201043,242552,257668,334207,300949,529711,533830,545414,615830,625643,637714,618206,736519,798324,796040,770773,708371,662952,649244,638592,576176,564129,2397117,4255297,7845300
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884247/000106299307002117/0001062993-07-002117-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299308002579/0001062993-08-002579-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299309001996/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299310001870/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299311002412/0001062993-11-002412-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299312001847/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299313002791/0001062993-13-002791-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299314003401/0001062993-14-003401-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299315002765/0001062993-15-002765-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299316009901/0001062993-16-009901-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299317002717/0001062993-17-002717-index.html,- -,https://www.sec.gov/Archives/edgar/data/884247/000127351120000040/f191130yvrform20ffinal.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1314532,1879699,12435793,-1669449,-2603453,547046,-3550128,-5587436,- -,- -,- -,- -,- -,- -,- -,- -,2874199,699931,1899386,1870600,1189539,53352,2393784,1702922,282819,4315028,4327331,4587405,704977
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1314532,1879699,12435793,-1669449,-2603453,547046,-3550128,-5587436,- -,- -,- -,- -,- -,- -,- -,- -,2874199,699931,1899386,1870600,1189539,53352,2393784,1702922,282819,4315028,4327331,4587405,704977
34,Net Receivables,- -,2748566,877193,2838605,2782415,4110715,3555799,6106220,4077318,5385740,6503904,5648064,3796898,4833395,2773634,3705649,3980674,2319544,1478433,1130989,730884,722387,754404,499337,303132,324577,85628,613362,793243,238059
35,Inventory,- -,- -,- -,2433090,2365053,3425596,2324945,3550128,4228330,4977993,5152437,3300961,5622657,4663820,3483622,4696534,6699569,4568788,3096403,1788727,1161848,1281653,1079590,586513,1316626,968030,361102,- -,- -,- -
36,Other Current Assets,- -,1314531,- -,6217897,5425709,2877501,410284,852030,151012,417184,6442727,244686,1878586,1035029,603705,1179902,953144,398591,177638,129979,177915,173650,307157,173841,289583,416646,129520,593431,969015,527594
37,Total Current Assets,- -,5377629,2756892,23925385,8903728,7810359,6838074,6958250,2869224,10780917,18099069,9193711,11298142,10532244,6860961,9582084,11633387,10161122,5452405,4949081,3941247,3367229,2194503,3653475,3612263,1992072,4891278,5534124,6349663,1470630
38,PP&E,- -,4421606,3759398,6488240,18224819,21101672,- -,- -,- -,- -,- -,- -,13676873,13071581,12174191,11344707,8398242,9671687,9615327,9216196,9108285,8821967,9524643,9334800,9099246,8596759,765024,- -,123305,140353
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3357231,3355406,3338894,3353543,- -,- -,- -,- -,- -,- -,- -,- -,3585883,3582548,- -
40,Intangible Assets,- -,717017,751880,9732360,9877574,5206906,683807,2840102,3171247,3255620,4499834,3891258,3479642,3458874,3463569,109080,109020,108484,108960,108960,108960,- -,- -,- -,- -,205620,297189,6059420,3548795,6479186
41,Intangible Assets,- -,717017,751880,9732360,9877574,5206906,683807,2840102,3171247,3255620,4499834,3891258,3479642,3458874,3463569,3466311,3464427,3447378,3462503,108960,108960,- -,- -,- -,- -,205620,297189,9645303,7131343,6479186
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,397629,1551324,3845598
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2418375,2581435,2582552,4556097,4491922,4223742,3488609,- -,2714627,2407975,2152567,2043603,2480257,- -,- -,- -,- -
44,Other Non-Current Assets,- -,836520,2005013,2027575,556483,274047,12855580,14484522,18121414,19574085,24071552,22857092,2631256,300950,349176,131985,6566,- -,- -,- -,2807730,77256,- -,- -,- -,- -,26195,- -,233837,110102
45,Total Non-Current Assets,- -,5975143,6516291,18248175,28658876,26582625,13539387,17324624,21292661,22829705,28571387,26748350,19787771,19249779,18568370,17525555,16425332,17610987,17301572,12813765,12024975,11613850,11932618,11487367,11142849,11282636,1088408,10042932,9039809,10575239
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11352772,9273183,42173560,37562604,34392984,20377461,24282874,24161885,33610623,46670456,35942061,31085912,29782023,25429332,27107639,28058719,27772109,22753977,17762846,15966222,14981079,14127121,15140842,14755112,13274708,5979686,15577056,15389472,12045869
48,Accounts Payable,- -,717017,501253,5542038,5008347,7673335,4376368,5538199,3926306,7338781,10790767,6124255,8080368,7374431,3701055,6190683,7558538,3890189,- -,- -,- -,- -,1921025,1961419,1561289,1514718,605046,1334852,2845308,1116088
49,Short-Term Debt,- -,239006,501253,1216545,2086811,3973691,273523,2698097,906071,4045063,8047595,3403456,1035801,5390116,4269627,3741351,4773178,3321385,2813896,1319524,487613,159343,143347,75027,- -,- -,- -,934203,1437933,1179803
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2510,3385,13406
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1075526,125314,3514464,3478020,-137023,- -,1,- -,- -,- -,- -,4324889,-0,- -,- -,0,-0,2348884,2204264,1589861,1855819,- -,- -,- -,- -,300000,2554663,1522073,168364
53,Total Current Liabilities,- -,2031549,1127820,10273047,10573178,11510003,4649891,8236297,4832377,11383844,18838362,9527712,13441058,12764546,7970682,9932034,12331716,7211575,5162780,3523788,2077474,2015162,2064372,2036446,1561289,1514718,905046,4823718,5805314,2464255
54,Long-Term Debt,- -,1434034,877193,2838605,2086811,5343930,1367615,8946322,9966777,8511996,6899195,3385112,3340516,4594678,3595333,4302638,4564753,4925807,3910157,2671680,1678463,218374,75027,- -,- -,- -,- -,- -,1388402,42945
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,540687,1391208,548095,547046,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23184,23163,- -
57,Other Non-Current Liabilities,- -,-119502,125313,- -,-139121,- -,-136762,- -,604048,- -,1542315,1718407,- -,- -,- -,- -,- -,- -,- -,- -,- -,263143,244891,284195,120337,82224,46352,652758,1102277,- -
58,Total Non-Current Liabilities,- -,1314532,1002506,3379292,3338898,5892025,1777899,8946322,10570825,8511996,8441510,5103519,3340516,4594678,3595333,4302638,4564753,4925807,3910157,2671680,1678463,481517,319918,284195,120337,82224,46352,675942,2513842,42945
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9189356,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101171,75611,50051,24491,218374,75027,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,3346080,2130326,13652338,13912076,17402028,6427790,17182619,15403201,19895841,27279872,14631231,16781573,17359224,11566015,14234672,16896469,12137382,9072937,6195468,3755937,2496679,2384290,2320641,1681626,1596942,951398,5499660,8319156,2507200
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,25128996,36211620,37769839,- -,34418774,31833879,29397023,- -,- -,- -,- -,- -,- -,33096167,32713370,32401440,31946732,31305247,18032601,21118940,29999645
64,Retained Earnings,- -,1553537,1253133,14598540,9460211,-1507262,-6974836,-14200511,-16007249,-16927872,-16501027,-15072173,-23262449,-23382341,-21882563,-21630740,-26411052,-27422836,-39601423,-41777110,-41776554,-40587442,-39996138,-38832843,-38497261,-39800545,-46310234,-10860401,-18441785,-24672794
65,Other Comprehensive Income/Loss,- -,-358509,-375940,-2568262,-3617140,-4795834,-2735230,-4118148,-4379342,-6785911,-7972988,-8176745,-249706,1386366,3912000,3293796,2967724,4862664,577916,577916,577916,577916,577916,577916,577916,577916,577916,1053705,2469563,3637361
66,Other Total Stockholders Equity,- -,6811664,6265664,16490944,17807458,23294052,23659738,25418915,29145274,12299569,7652979,6789908,- -,0,- -,1812889,- -,- -,- -,- -,- -,- -,18064886,18361758,18591391,18953663,19455359,- -,137197,574457
67,Total Stockholders Equity,- -,8006692,7142857,28521222,23650529,16990956,13949672,7100256,8758683,13714782,19390584,21310829,14304339,12422799,13863317,12872967,11162250,15634727,13681040,11567378,12210285,12484400,11742831,12820201,13073486,11677766,5028288,8238455,5283915,9538669
68,Total Liabilities And Stockholders Equity,- -,11352772,9273183,42173560,37562605,34392984,20377462,24282875,24161884,33610623,46670456,35942061,31085912,29782023,25429332,27107639,28058719,27772109,22753977,17762846,15966222,14981079,14127121,15140842,14755112,13274708,5979686,13738115,13603071,12045869
69,Minority Interest,- -,- -,- -,- -,-1,- -,-1,-1,1,- -,- -,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1838941,1786401,- -
70,Total Liabilities & Equity,- -,11352772,9273183,42173560,37562604,34392984,20377461,24282874,24161885,33610623,46670456,35942061,31085912,29782023,25429332,27107639,28058719,27772109,22753977,17762846,15966222,14981079,14127121,15140842,14755112,13274708,5979686,15577056,15389472,12045869
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884247/000106299307002117/0001062993-07-002117-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299308002579/0001062993-08-002579-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299309001996/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299310001870/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299311002412/0001062993-11-002412-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299312001847/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299313002791/0001062993-13-002791-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299314003401/0001062993-14-003401-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299315002765/0001062993-15-002765-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299316009901/0001062993-16-009901-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299317002717/0001062993-17-002717-index.html,- -,https://www.sec.gov/Archives/edgar/data/884247/000127351120000040/f191130yvrform20ffinal.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3226577,-375940,15139227,-4730106,-10824884,-5470460,-7242261,-1812141,-934780,1867790,2145983,-9274562,-2465106,771968,-1451246,-4160580,-5307007,-2313695,1177856,556,1550858,591304,1163295,335582,-1303284,-6509689,-7537749,-7581384,-6231009
74,Depreciation and Amortization,- -,358509,375940,540687,1530328,1918334,2324945,1420051,1812141,2447339,2740144,2029642,1524399,1592195,1183955,1082675,1089166,688055,767798,728993,701389,676464,656554,753210,723610,705024,634692,621440,1921351,735649
75,Deferred Income Tax,- -,- -,- -,- -,834725,-1370238,- -,-568020,- -,- -,- -,- -,-1981517,-1074623,249181,877,-1681032,39266,287887,743648,680879,93103,306652,255408,108964,-436654,2480257,1668,-160917,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306773,249442,1674875,414822,151916,54471,48806,104850,- -,111135,1173512,1917172
77,Change in Working Capital,- -,- -,751880,5136523,-5982193,3014525,-9299781,-1988072,453035,1531180,2293392,-2161961,593854,-188571,-452804,-189658,-1054506,618836,1008044,1558159,364645,-105450,179001,921854,-1049780,153517,497136,2117777,-9100,-1026054
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,851287,347444,400105,8497,-32017,255067,196205,-21445,238949,-99469,- -,- -
79,Inventory,- -,- -,- -,-675858,278242,-548095,-957330,-568020,-604047,-40229,-177930,1898212,- -,391987,1135619,-1119911,-2062357,1972762,1492429,1307676,626879,-306914,202063,493077,-730113,348596,606928,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265958,65206,40394,-400130,-46571,-609672,2044431,713702,- -
81,Other Working Capital,- -,- -,1,-1,-2,- -,- -,-2,- -,- -,- -,- -,593854,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,836520,375940,-22032982,8069004,7810358,3145515,142005,-3775294,-434325,-4921691,-138711,10023670,997093,431860,367192,4413595,351775,-264725,-25560,-130282,2613,72333,41399,-186189,-57326,1545800,5011985,629904,-1534154
83,Cash Provided by Operating Activities,- -,4421606,1127820,-1216545,-278242,548095,-9299781,-8236297,-3322259,2609414,1979635,1874952,885844,-1139012,2184160,-190160,-1393358,-3609076,-207918,4432538,3292062,2632410,1957760,3189637,-19007,-833873,-1351804,326256,-4026634,-6138396
84,CAPEX,- -,-597514,-375940,-1216545,-12799110,-7399287,-2598468,-5680204,-4530353,-1512010,-1879652,-1111188,-1402183,-722892,-316279,-207527,-1855166,-2433636,-780957,-349068,-597762,-401709,-1496572,-565015,-525182,-411113,-130595,-82147,-133356,-4521321
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-899685,-250167,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518395,- -,-103794
86,Purchases of Investments,- -,-2270555,- -,-9867532,-3199777,-274048,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,956023,1002506,4866180,1669449,137024,- -,- -,- -,- -,- -,7201224,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-3346080,-1503759,11624764,973845,-685120,17778993,-710026,4681365,-310566,-6100529,577694,-2150720,-194995,-42384,66150,173223,410974,484263,10519,- -,561,21955,- -,26887,-209693,5534251,-656657,-213702,-3696924
89,Cash Used for Investing Activites,- -,-5258126,- -,5406867,-13355593,-8221431,15180525,-6390230,151012,-2722261,-8230348,6667731,-3552903,-917886,-358663,-141377,-1681943,-2022663,-296694,-338549,-597762,-401148,-1474617,-565015,-498295,-409914,5523802,-138262,-213702,-3857154
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1732971,-2707289,-1690608,-1762800,-134852,-143347,-75027,- -,- -,-78000,-309203,-775175
91,Common Stock Issued,- -,956023,- -,6893755,3060657,4110715,2461707,284010,3473271,4002926,4540388,- -,603775,414766,5477,40700,1834767,8960462,- -,- -,- -,19251,59553,84596,76561,- -,- -,4157760,- -,5353203
92,Common Stock Repurchased,- -,-1195029,-501253,-811030,-3338899,- -,- -,- -,- -,- -,- -,-182056,- -,- -,- -,- -,- -,- -,- -,-187417,-1032525,-1168764,-1544342,-224992,-175094,-176316,-139789,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,270343,-139120,2603453,-5060175,10082363,-2265177,-770524,-2297103,-8531092,2415800,1263738,-2041849,290837,1240533,-982505,72478,- -,- -,- -,- -,- -,- -,- -,- -,-84874,4765222,1542139
95,Cash Used/Provided by Financing Activities,- -,-239006,-501253,6353068,-417362,6714168,-2598468,10366373,1208094,3232402,2243285,-8713148,3019575,1678504,-2036372,331536,3075300,7977957,-1660493,-2894706,-2723133,-2912313,-1619641,-283743,-173560,-176316,-139789,3994886,4456019,6120167
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110751,170465,-352515,378394,210875,- -,- -,527981,-21773,172,47,-10,311,-447,- -,- -,- -,90144,44391,-7045
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3119554,-3896677,- -,- -,- -,- -,- -,- -,- -,-2186878,1199455,-28786,-681061,-1136187,2340432,-690862,-1420103,4032209,4273024,260074,-3882428
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2454371,-6495682,- -,- -,- -,- -,- -,- -,2874199,699931,1899386,1870600,1189539,53352,2393784,1702922,282819,4315028,4327331,4587405,704977
99,Cash at the Beginning of Period,- -,2270554,1253133,1757232,12381747,-1644286,-2598468,568020,-3624283,-5573925,-2599005,- -,- -,- -,- -,- -,- -,- -,2886809,699931,1899386,1870600,1189539,53352,2393784,1702922,282819,54307,4327331,4587405
100,Free Cash Flow,- -,3824092,751880,-2433090,-13077352,-6851192,-11898249,-13916501,-7852612,1097403,99983,763764,-516339,-1861904,1867881,-397687,-3248523,-6042712,-988875,4083470,2694300,2230701,461188,2624622,-544189,-1244986,-1482399,244109,-4159990,-10659717
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884247/000106299307002117/0001062993-07-002117-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299308002579/0001062993-08-002579-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299309001996/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299310001870/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299311002412/0001062993-11-002412-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299312001847/form20f.htm,https://www.sec.gov/Archives/edgar/data/884247/000106299313002791/0001062993-13-002791-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299314003401/0001062993-14-003401-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299315002765/0001062993-15-002765-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299316009901/0001062993-16-009901-index.html,https://www.sec.gov/Archives/edgar/data/884247/000106299317002717/0001062993-17-002717-index.html,- -,https://www.sec.gov/Archives/edgar/data/884247/000127351120000040/f191130yvrform20ffinal.htm,- -
102,Forex Rate,undefined,0.8371,0.7999,0.7408,0.7181,0.7298,0.7308,0.7023,0.6631,0.6902,0.6509,0.6243,0.6739,0.7489,0.8107,0.8797,0.8554,1.0158,0.7853,0.9497,1.0292,1.0104,0.9701,0.9036,0.7994,0.7384,0.7518,0.7519,0.7531,0.769
