,https://roic.ai/company/OSS,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394056/000156459019008790/0001564590-19-008790-index.html,https://www.sec.gov/Archives/edgar/data/1394056/000156459020013196/0001564590-20-013196-index.html,https://www.sec.gov/Archives/edgar/data/1394056/000156459021015480/0001564590-21-015480-index.htm,https://www.sec.gov/Archives/edgar/data/1394056/000156459022011679/0001564590-22-011679-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,16650,-184437,96620,-1136278,-900337,-6544,2332773
74,Depreciation and Amortization,156945,437036,836274,1350329,1655288,-53838,557
75,Deferred Income Tax,-145504,-230797,-416614,-1489330,-112740,-663772,-64
76,Stock Based Compensation,52212,77647,160062,527335,649469,724378,1695
77,Change in Working Capital,249097,-383079,-863302,10979483,2929963,2253122,11687236
78,Accounts Receivable,-27630,-1583341,-254015,-2563523,-1165596,4286294,2327
79,Inventory,155473,69826,-1704134,46789,-1008980,623159,487
80,Accounts Payable,-40584,140826,1278055,-1460540,424567,-3148762,1084
81,Other Working Capital,1350106,967027,103725,11083208,14013171,16266293,27953529
82,Other Non-Cash Items,116112,10406,-194806,-14141182,-1846775,-2503519,-14016575
83,Cash Provided by Operating Activities,445512,-273224,-381766,-3909643,2374868,-250173,5623
84,CAPEX,-194422,-206319,-425482,-623166,-2386227,-820336,-564
85,Acquisitions Net,- -,- -,- -,-5000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,68308,- -,-286026,1050,1542,-14547
89,Cash Used for Investing Activites,-194422,-138011,-425482,-5909192,-2385177,-818794,-15111
90,Debt Repayment,-792571,-588306,-753065,-5560514,-513590,- -,- -
91,Common Stock Issued,- -,- -,- -,19500000,2700714,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,566555,988664,1731833,-2039308,734977,2109235,8431
95,Cash Used/Provided by Financing Activities,-226016,400358,978768,11900178,2922101,2109235,8431
96,Effect of Forex Changes on Cash,- -,- -,- -,5196,1273,91332,-158
97,Net Change In Cash,- -,-10877,171520,2086539,2913065,1131600,-6311820
98,Cash at the End of Period,25074,14197,185717,2272256,5185321,6316921,5101
99,Cash at the Beginning of Period,- -,25074,14197,185717,2272256,5185321,6316921
100,Free Cash Flow,251090,-479543,-807248,-4532809,-11359,-1070509,5059
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394056/000156459019008790/0001564590-19-008790-index.html,https://www.sec.gov/Archives/edgar/data/1394056/000156459020013196/0001564590-20-013196-index.html,https://www.sec.gov/Archives/edgar/data/1394056/000156459021015480/0001564590-21-015480-index.htm,https://www.sec.gov/Archives/edgar/data/1394056/000156459022011679/0001564590-22-011679-index.htm
102,false,,,,,,,
