,https://roic.ai/company/FLXT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,- -,- -,- -,870000,1275171,2748919,- -,234245,4303,1561,8501554,8305001,7990013,7371682,6852312,6606737,6379960,5918801,5529567,5336334,5181967,5082759,5010648,4960346,4926096,4907157,4896917000,4910541
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1470000,4051458,3124290,- -,397581,12705,3612,8556661,10304149,8792304,8463974,7103754,6652015,6443916,5967705,5598750,5421394,5320524,5302777,5104495,5030576,4972498,5130149,4919724000,4920373
48,Accounts Payable,- -,- -,- -,- -,510000,348473,956206,- -,549044,555939,590442,116378,41737,23348,15588,34072,81313,142865,261478,268512,212142,189078,160437,172602,227680,374422,179844,233073000,226447
49,Short-Term Debt,- -,- -,- -,- -,560000,- -,1047174,- -,129395,229345,230346,410958,- -,- -,- -,250000,329264,- -,550000,287525,560347,905397,85105,1204660,888428,1277389,930000,803163,455000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,343750,- -,- -,- -,50000,- -,- -,7120,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,610000,109838,539056,- -,517882,436727,97136,20470,43325,24987,34237,159196,88721,56411,276856,234892,212878,569339,375566,819493,1342490,1654803,1616951,2653941837,2952721
53,Total Current Liabilities,- -,- -,- -,- -,1680000,458311,2542436,- -,1196321,1222011,1261674,547806,85062,48335,99825,443268,499298,206396,1088334,790929,995367,1663814,621108,2196755,2458598,3306614,2726795,2887818000,3634168
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,7762378,7677379,- -,- -,- -,- -,- -,- -,421459,- -,- -,- -,- -,- -,- -,- -,- -,- -,218513,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7777379,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59500000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7762378,7677379,7777379,- -,- -,- -,- -,- -,421459,- -,- -,- -,- -,- -,- -,- -,- -,- -,218513,59500000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,84950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,1680000,458311,2542436,- -,8958699,8899390,9039053,547806,85062,48335,99825,443268,920757,206396,1088334,790929,995367,1663814,621108,2196755,2458598,3306614,2945308,2947318000,3634168
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1080426,1080426,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,3120000,17215,19077,- -,76535,76535,76535,19998,22992,23292,24792,24792,26580,35754,36187,45732,53377,53377,71627,78363,92863,92863,99713,385929000,114396
64,Retained Earnings,- -,- -,- -,- -,-3330000,-5550934,-15041600,- -,-31796285,-32121852,-32270608,-4510726,-6280746,-8793582,-11252051,-13253013,-14943734,-16780863,-18397420,-19447820,-20408279,-21387594,-23969627,-26222811,-27306453,-28212547,-28787605,- -,-30082373
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-210000,-387858,-847172,- -,-111220,- -,- -,731328,2699565,3189503,1799915,-29984,-151111,-265720,-374503,-450755,-527016,-586394,-586394,-586767,-589006,-591246,-593484,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,210000,9514724,16451549,- -,23269852,22078206,22078206,11768255,13777276,14324756,17791493,19918691,20799523,23248349,23615107,24660664,25307945,25577321,29166063,29638955,30374574,30376814,31466217,-383955093,31254182
67,Total Stockholders Equity,- -,- -,- -,- -,-210000,3593147,581854,- -,-8561118,-8886685,-9035441,8008855,10219087,8743969,8364149,6660486,5731258,6237520,4879371,4807821,4426027,3656710,4681669,2907740,2571978,1665884,2184841,1973907,1286205
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1470000,4051458,3124290,- -,397581,12705,3612,8556661,10304149,8792304,8463974,7103754,6652015,6443916,5967705,5598750,5421394,5320524,5302777,5104495,5030576,4972498,5130149,2949291907,4920373
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1970432093,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,1470000,4051458,3124290,- -,397581,12705,3612,8556661,10304149,8792304,8463974,7103754,6652015,6443916,5967705,5598750,5421394,5320524,5302777,5104495,5030576,4972498,5130149,4919724000,4920373
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925660/000102317509000064/0001023175-09-000064-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925660/000154812313000487/0001548123-13-000487-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812314000103/0001548123-14-000103-index.html,https://www.sec.gov/Archives/edgar/data/925660/000154812315000088/0001548123-15-000088-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812316000534/0001548123-16-000534-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812317000080/0001548123-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812318000090/0001548123-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812319000057/0001548123-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/925660/000154812320000038/0001548123-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000101041221000004/0001010412-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812322000042/0001548123-22-000042-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-2184,-1420000,-1540000,-2220000,-8800000,-15310000,-1450000,-330000,-150000,-4510000,-1770000,-2510000,-2460000,-2000000,-1690000,-1840000,-1620000,-1050000,-960000,-979320,-2742030,-2093180,-1083640,-906090,-575060,-607066,-687702
74,Depreciation and Amortization,- -,- -,56,110000,170000,227233,497675,610000,81625,19836,2703,1717063,309910,317250,318534,274847,248120,228339,216410,180487,183284,163596,101389,83307,51952,34249,18524,2239,1451
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237299,122467,65308,43408,- -,- -,- -,248656,26154,19943,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,1387,- -,- -,-1080000,3397976,-4485041,1134080,-180624,-46014,766924,2406785,-1160130,238511,-1184293,-262194,311580,-896990,317684,-188561,-614950,1124167,-1701818,-285460,-871844,756409,-2862507197,2861386664
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25618,21100,-25149,4243,11031,1263,-75224,-24048,-80942,-5809,31101,-10318,27499,-745
79,Inventory,- -,- -,- -,- -,- -,-42691,-132059,- -,41273,- -,- -,- -,- -,- -,- -,-10016,751,-175,1262,2511,-917,6584,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18485,47241,61552,118613,20121,-29046,-17778,-28641,12165,55078,126742,-116060,55426,-6628
81,Other Working Capital,- -,- -,- -,- -,- -,-1080000,2317976,-2167065,-1032985,-1213609,-1259623,-492699,1914086,753956,992467,-191826,-454020,-142440,-1039430,-721746,-910307,-1525257,-401090,-2102908,-2388368,-3260212,-2503803,-2865011000,-3624336
82,Other Non-Cash Items,- -,- -,-5,390000,740000,-219005,209061,14075041,307107,320854,185960,1490609,-2420458,1948875,692870,1494412,784296,595075,1658439,9034,433474,942990,690891,3179406,886308,1453651,-147667,2862687870,-2861139861
83,Cash Provided by Operating Activities,- -,- -,-746,-920000,-630000,-3291772,-4695288,-5110000,72812,-169934,-7351,-535404,-1473763,-1404005,-1210085,-1177735,-797311,-639698,-598733,-542795,-531803,-487684,-576927,-506131,-410897,-290034,52206,-424154,-439448
84,CAPEX,- -,- -,- -,-520000,-100000,-418292,-1945548,-140000,-6942,- -,- -,-110102,-113357,-2262,- -,-2242,-2545,- -,- -,- -,- -,-9230,-2181,-11196,-1650,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,460032,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-10000,10000,1567956,-32990,70000,- -,- -,- -,-15479,- -,- -,- -,-2242,- -,- -,- -,- -,- -,-9230,-59674,- -,-1650,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-530000,-90000,1648725,-1945548,-70000,-6942,- -,- -,-390581,-113357,-2262,- -,-2242,-2545,- -,- -,- -,- -,-9230,-59674,-11196,-1650,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-353336,-351234,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,-47475,- -,- -,- -,- -,-14621,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1547664,3638198,- -,- -,- -,- -,- -,3907207,210000,1500000,- -,- -,4950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385929
92,Common Stock Repurchased,- -,- -,- -,1400000,550000,- -,- -,1820000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-70000,270000,1000000,2830739,3250000,71700,15000,1000,978292,-409958,- -,- -,300000,684378,628095,600000,625000,525000,480000,641000,494621,440000,295000,100000,254150,53921
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1330000,820000,2194328,6117703,5070000,71700,15000,1000,978292,3497249,210000,1500000,300000,634378,633045,600000,577525,525000,480000,641000,494621,425379,295000,100000,254150,439850
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-120000,110000,551281,-523133,-110000,137570,-154934,-6351,52307,1910129,-1196267,289915,-879977,-165478,-6653,1267,34730,-6803,-16914,4399,494621,425379,4966,152206,254150,- -
98,Cash at the End of Period,- -,- -,- -,-102200,110000,657775,134642,-92200,163336,8402,2051,54358,1964487,768220,1058135,178158,12680,6027,7294,42024,35221,18307,22706,- -,12832,17798,170004,- -,402
99,Cash at the Beginning of Period,- -,- -,746,17800,- -,106494,657775,17800,25766,163336,8402,2051,54358,1964487,768220,1058135,178158,12680,6027,7294,42024,35221,18307,22706,- -,12832,17798,170004,- -
100,Free Cash Flow,- -,- -,-746,-1440000,-730000,-3710064,-6640836,-5250000,65870,-169934,-7351,-645506,-1587120,-1406267,-1210085,-1179977,-799856,-639698,-598733,-542795,-531803,-496914,-579108,-517327,-412547,-290034,52206,-424154,-439448
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925660/000102317509000064/0001023175-09-000064-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925660/000154812313000487/0001548123-13-000487-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812314000103/0001548123-14-000103-index.html,https://www.sec.gov/Archives/edgar/data/925660/000154812315000088/0001548123-15-000088-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812316000534/0001548123-16-000534-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812317000080/0001548123-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812318000090/0001548123-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812319000057/0001548123-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/925660/000154812320000038/0001548123-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000101041221000004/0001010412-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812322000042/0001548123-22-000042-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
