,https://roic.ai/company/IONI,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1580490/000126246314000099/0001262463-14-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390015004529/0001213900-15-004529-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390016012644/0001213900-16-012644-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390017003840/0001213900-17-003840-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036118027878/0001140361-18-027878-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036119007185/0001140361-19-007185-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036120006676/0001140361-20-006676-index.html,https://www.sec.gov/Archives/edgar/data/1580490/000114036121010077/0001140361-21-010077-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036122013661/0001140361-22-013661-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,33782,325392,2171630,1439700,1709210,1337740,4521328,3705945
32,Short-Term Investments,- -,- -,- -,549440,746690,741420,716010,771140,- -
33,Cash and Short-Term Investments,- -,33782,325392,2721070,2186390,2450630,2053750,5292468,3705945
34,Net Receivables,- -,- -,222358,3118900,4126390,2717930,3073130,3143952,5299951
35,Inventory,- -,- -,178814,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,11000,1884240,2333180,2622240,2929360,3120108,3434814
37,Total Current Assets,- -,33782,737564,7724210,8645960,7790800,8056240,11556528,12440710
38,PP&E,- -,- -,469039,70080,69460,164000,203750,118402,105445
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,58840,74640,136430,192870,232400,438781
41,Intangible Assets,- -,- -,- -,58840,74640,136430,192870,232400,438781
42,Investments,- -,- -,- -,171440,136270,102756,105437,101517,93168
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,755795,410259
44,Other Non-Current Assets,- -,14433,143750,1222980,1272050,1678984,1234203,395585,918083
45,Total Non-Current Assets,- -,14433,612789,1523340,1552420,2082170,1736260,1603699,1965736
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,48215,1350353,9247550,10198380,9872970,9792500,13160227,14406446
48,Accounts Payable,1333,4350,171081,142940,520050,375320,48800,626919,- -
49,Short-Term Debt,500,52611,187871,727067,2555354,715571,669339,712280,- -
50,Tax Payable,- -,- -,- -,- -,- -,128887,115896,265145,202857
51,Deferred Revenue,- -,- -,- -,3295,14215,- -,- -,- -,- -
52,Other Current Liabilities,- -,-33032,128808,937318,-1188379,919559,1821381,2525047,3516117
53,Total Current Liabilities,1833,23929,487760,1810620,1901240,2010450,2539520,3864246,3516117
54,Long-Term Debt,- -,100000,106693,248240,280010,427400,194300,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,8750,11668,11689,1211621,- -,755795,590433
57,Other Non-Current Liabilities,- -,- -,- -,-11498,-11439,-1211201,5400,- -,- -
58,Total Non-Current Liabilities,- -,100000,115443,248410,280260,427820,199700,755795,590433
59,Other Liabilities,- -,- -,327555,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,26670,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1833,123929,699872,2059030,2181500,2438270,2739220,3864246,3516117
62,Preferred Stock,- -,- -,- -,100,100,- -,475036,475036,- -
63,Common Stock,1000,44,447,2600,2600,3600,3600,3503,3503
64,Retained Earnings,- -,-83364,-1434311,4508760,4527780,4609790,3897340,5517785,7681661
65,Other Comprehensive Income/Loss,- -,- -,- -,-2094020,-1205110,-52193,-259960,289933,-726500
66,Other Total Stockholders Equity,- -,1087722,2084345,-1566590,-3827364,2873507,2937262,3003892,3003892
67,Total Stockholders Equity,-1833,1004402,650481,850850,-501994,7434704,7053278,9290149,9962556
68,Total Liabilities And Stockholders Equity,- -,1128331,1350353,2909880,1679506,9872974,9792498,13154395,13478673
69,Minority Interest,- -,-1080116,- -,6337670,8518874,-4,2,5832,927773
70,Total Liabilities & Equity,- -,48215,1350353,9247550,10198380,9872970,9792500,13160227,14406446
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1580490/000126246314000099/0001262463-14-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390015004529/0001213900-15-004529-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390016012644/0001213900-16-012644-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390017003840/0001213900-17-003840-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036118027878/0001140361-18-027878-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036119007185/0001140361-19-007185-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036120006676/0001140361-20-006676-index.html,https://www.sec.gov/Archives/edgar/data/1580490/000114036121010077/0001140361-21-010077-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036122013661/0001140361-22-013661-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,-2833,120648,940450,19110,81840,-712450,1620448,2163876
74,Depreciation and Amortization,- -,- -,189498,90896,182421,76818,240053,140985,108500
75,Deferred Income Tax,- -,21084,- -,- -,- -,- -,- -,- -,-57310
76,Stock Based Compensation,- -,36577,- -,190650,98680,86707,63753,66530,- -
77,Change in Working Capital,- -,11686,239951,5663786,831130,-964370,-263630,2175562,1232311
78,Accounts Receivable,- -,-31557,57466,29142,-331422,1144298,-205056,148057,- -
79,Inventory,- -,95275,34329,-61356,-50377,- -,- -,- -,- -
80,Accounts Payable,- -,5720,-78991,-20856,237620,-96846,-352800,431649,-403136
81,Other Working Capital,-1833,9853,249804,5913590,6744720,5780350,5516720,7692282,8924593
82,Other Non-Cash Items,- -,81045,-474680,-7740133,-2493801,890885,806718,-1402547,-3311016
83,Cash Provided by Operating Activities,- -,147559,75417,-854351,-1362460,171880,134444,2600978,136361
84,CAPEX,- -,-170377,-337844,-850998,-550400,-241792,-280581,-75279,-66721
85,Acquisitions Net,- -,37094,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2480233,-9972,- -,-8738
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2475688,- -,- -,- -
88,Other Investing Activites,- -,28000,- -,- -,- -,-2823,-255430,14058,-272033
89,Cash Used for Investing Activites,- -,-105283,-337844,-850998,-550400,-162680,-462131,-7002,-347492
90,Debt Repayment,- -,-71471,- -,-78687,-79871,- -,-686381,-190636,-196571
91,Common Stock Issued,- -,- -,- -,42753,- -,- -,- -,- -,618533
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-709478,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-42520,247372,1533889,1874734,1038401,743677,391330,-503061
95,Cash Used/Provided by Financing Activities,- -,-113991,247372,1497955,1794863,328923,57296,200694,-81099
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-165063,-159366,494198,- -
97,Net Change In Cash,- -,-71715,-15055,-207395,1794863,173060,-429757,3288868,-959008
98,Cash at the End of Period,- -,340447,325392,117997,- -,3408541,2978784,6267652,5308644
99,Cash at the Beginning of Period,- -,412162,340447,325392,117997,3235481,3408541,2978784,6267652
100,Free Cash Flow,- -,-22818,-262427,-1705349,-1912860,-69912,-146137,2525699,69640
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1580490/000126246314000099/0001262463-14-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390015004529/0001213900-15-004529-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390016012644/0001213900-16-012644-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000121390017003840/0001213900-17-003840-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036118027878/0001140361-18-027878-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036119007185/0001140361-19-007185-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036120006676/0001140361-20-006676-index.html,https://www.sec.gov/Archives/edgar/data/1580490/000114036121010077/0001140361-21-010077-index.htm,https://www.sec.gov/Archives/edgar/data/1580490/000114036122013661/0001140361-22-013661-index.htm
102,false,,,,,,,,,
