,https://roic.ai/company/ENDV,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),-10000,- -,- -,-172202,-463535,1231718,-2581107,95251,-6206274,-2276577,-13505432,2516614
20,Income Before Tax,-330000,-68600,-93288,-1914551,-2892262,-959494,-5079101,-5315672,-10810160,-6435839,-17314504,-395584
21,Income Before Tax Ratio,-5.5000,-1.1323,-1.9530,-62.6059,-126.3217,-39.6616,-1190.8795,-Infinity,-Infinity,-77.2953,-55.8237,-2.3860
22,Income Tax expense (Gain),- -,800,800,- -,532,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-330000,-69400,-94088,-1914551,-2892794,-959494,-5079101,-5315672,-10810160,-6435839,-17314504,-395584
24,Net Income ratio,-5.5000,-1.1455,-1.9697,-62.6059,-126.3450,-39.6616,-1190.8795,-Infinity,-Infinity,-77.2953,-55.8237,-2.3860
25,EPS,-0.01,-149.57,-202.78,-3571.92,-3476.92,-30.00,-50.00,-50.00,-40.00,-20.00,-24.83,-0.03
26,EPS Diluted,-0.01,-149.57,-202.78,-3571.92,-3476.92,-30.00,-50.00,-50.00,-40.00,-20.00,-24.83,-0.03
27,Weighted Average Shares Outstanding,72013779,464,464,536,832,30288,96844,117405,242090,362465,697305,12215844
28,Weighted Average Shares Outstanding Diluted,72013779,464,464,536,832,30288,96844,117405,242090,362465,697305,12215844
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1528172/000146970912000077/0001469709-12-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970913000243/0001469709-13-000243-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970914000132/0001469709-14-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000121390015004466/0001213900-15-004466-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970916000821/0001469709-16-000821-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315217003917/0001493152-17-003917-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315218004879/0001493152-18-004879-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315219005267/0001493152-19-005267-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315220007577/0001493152-20-007577-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315221008661/0001493152-21-008661-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,50000,34772,69718,800,3255,988,41473,55533,90173,379151,18893,13420
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,50000,34772,69718,800,3255,988,41473,55533,90173,379151,18893,13420
34,Net Receivables,180000,94636,1372,- -,- -,- -,- -,- -,- -,3345,22742,942
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,30592,-1090,- -,- -,2000,2900,247321,21000,- -,20920,31825
37,Total Current Assets,230000,160000,70000,800,3255,2988,44373,302854,111173,382496,62555,46187
38,PP&E,- -,3144,2165,65301,58338,42601,31657,15825,1064,6727,5915,1580
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4500000,3853090,3206180,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,4500000,3853090,3206180,- -
42,Investments,- -,- -,- -,12000,12000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,4806,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,10000,7950,- -,77301,70338,42601,31657,15825,4501064,3859817,3212095,1580
46,Other Assets,- -,- -,3255,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,240000,167950,73255,78101,73593,45589,76030,318679,4612237,4242313,3274650,47767
48,Accounts Payable,- -,1900,745,155000,155000,155000,155000,155000,- -,157388,599470,700932
49,Short-Term Debt,- -,- -,- -,236000,714502,1387602,1518821,2060502,4735381,6324403,6862146,6634039
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2245757,- -,- -
52,Other Current Liabilities,- -,- -,- -,1361600,3138918,3012346,5809031,6505822,8673964,6751603,16161854,9490850
53,Total Current Liabilities,- -,- -,- -,1752600,4008420,4554948,7482852,8721324,13409345,15479151,23623470,16825821
54,Long-Term Debt,- -,- -,- -,51656,42386,28646,27603,4221,- -,6324403,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,155000,155000,155000,155000,155000,753192,-6169403,155000,155000
58,Total Non-Current Liabilities,- -,- -,- -,206656,197386,183646,182603,159221,753192,155000,155000,155000
59,Other Liabilities,- -,1900,1293,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1900,1293,1959256,4205806,4738594,7665455,8880545,14162537,15634151,23778470,16980821
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,5,26,26,26
63,Common Stock,- -,453,453,5370,8323,8143,10479,13434,31692,43106,118,2453
64,Retained Earnings,-420000,-490931,-585019,-2440587,-5333381,-6292875,-11371976,-18374283,-29184443,-35620282,-52934786,- -
65,Other Comprehensive Income/Loss,- -,-1802,-2781,- -,- -,- -,-46575,-62407,-77168,-80474,-83879,- -
66,Other Total Stockholders Equity,660000,658330,659309,554062,1192845,1591727,3818647,9861390,19679614,24265786,32514701,-14376265
67,Total Stockholders Equity,240000,166050,71962,-1881155,-4132213,-4693005,-7589425,-8561866,-9550300,-11391838,-20503820,-14373786
68,Total Liabilities And Stockholders Equity,240000,167950,73255,78101,73593,45589,76030,318679,4612237,4242313,3274650,2607035
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2559268
70,Total Liabilities & Equity,240000,167950,73255,78101,73593,45589,76030,318679,4612237,4242313,3274650,47767
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1528172/000146970912000077/0001469709-12-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970913000243/0001469709-13-000243-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970914000132/0001469709-14-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000121390015004466/0001213900-15-004466-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970916000821/0001469709-16-000821-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315217003917/0001493152-17-003917-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315218004879/0001493152-18-004879-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315219005267/0001493152-19-005267-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315220007577/0001493152-20-007577-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315221008661/0001493152-21-008661-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-330000,-69400,-94088,-1914551,-2892794,-959494,-5079101,-5315672,-10810160,-6435839,-17314504,-395584
74,Depreciation and Amortization,- -,964,979,37034,11964,15737,14773,15833,14761,650216,650315,651247
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456519
77,Change in Working Capital,130000,-70000,-90000,-1821800,-2253365,-546795,-2886519,-979991,-4879702,-1798483,-8464260,6781281
78,Accounts Receivable,- -,- -,-1372,4954,300,- -,- -,- -,- -,-3345,-19397,21800
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1900,-1156,- -,- -,- -,- -,- -,- -,63232,442082,94202
81,Other Working Capital,230000,160000,70000,-1751800,-4005165,-4551960,-7438479,-8418470,-13298172,-15096655,-23560915,-16779634
82,Other Non-Cash Items,120000,146938,132755,3414426,4876779,581256,6931513,3817496,12685331,4705272,22587442,-8235053
83,Cash Provided by Operating Activities,-80000,8502,-50354,-284891,-257416,-909296,-1019334,-2462334,-2989770,-2878834,-2541007,-741590
84,CAPEX,- -,-166,- -,-64458,- -,- -,-3829,- -,-3000000,-8969,-2594,- -
85,Acquisitions Net,- -,- -,- -,53048,4199,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-60000,-22800,85300,- -,- -,- -,- -,- -,-3000000,- -,- -,- -
89,Cash Used for Investing Activites,-60000,-22966,85300,-11410,4199,- -,-3829,- -,-3000000,-8969,-2594,- -
90,Debt Repayment,- -,- -,- -,-1801,-19328,-28471,-149676,-253531,-132395,-559721,-130000,- -
91,Common Stock Issued,- -,- -,- -,175000,- -,- -,139092,1235829,1290250,787500,423343,100000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,114458,275000,935500,1074232,1494096,4866555,2949002,1890000,636117
95,Cash Used/Provided by Financing Activities,- -,- -,- -,287657,255672,907029,1063648,2476394,6024410,3176781,2183343,736117
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-140000,-14464,34946,-8644,2455,-2267,40485,14060,34640,288978,-360258,-5473
98,Cash at the End of Period,-140000,34772,69718,800,3255,988,41473,55533,90173,379151,18893,13420
99,Cash at the Beginning of Period,- -,49236,34772,9444,800,3255,988,41473,55533,90173,379151,18893
100,Free Cash Flow,-80000,8336,-50354,-349349,-257416,-909296,-1023163,-2462334,-5989770,-2887803,-2543601,-741590
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1528172/000146970912000077/0001469709-12-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970913000243/0001469709-13-000243-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970914000132/0001469709-14-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000121390015004466/0001213900-15-004466-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000146970916000821/0001469709-16-000821-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315217003917/0001493152-17-003917-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315218004879/0001493152-18-004879-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315219005267/0001493152-19-005267-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315220007577/0001493152-20-007577-index.htm,https://www.sec.gov/Archives/edgar/data/1528172/000149315221008661/0001493152-21-008661-index.htm
102,false,,,,,,,,,,,,
