,https://roic.ai/company/DKL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-2564000,-2011000,-2682000,-4570000,-8656000,-11246000,-14765000,-18990000,-35041000,-28096000,-20314000,-25527000
20,Income Before Tax,15189000,18010000,20035000,41734000,71186000,66016000,62885000,69187000,90716000,97716000,159479000,164975000
21,Income Before Tax Ratio,0.0301,0.0242,0.0196,0.0460,0.0846,0.1120,0.1403,0.1286,0.1379,0.1673,0.2831,0.2354
22,Income Tax expense (Gain),5102000,5363000,-14024000,757000,132000,-195000,81000,-222000,534000,967000,223000,153000
23,Net Income,10087000,12647000,8410000,47830000,71997000,66848000,62804000,69409000,90182000,96749000,159256000,164822000
24,Net Income ratio,0.0200,0.0170,0.0082,0.0527,0.0856,0.1134,0.1402,0.1290,0.1371,0.1657,0.2827,0.2352
25,EPS,0.42,0.53,0.34,1.95,2.88,2.55,2.08,2.09,2.65,2.61,4.18,3.79
26,EPS Diluted,0.42,0.53,0.34,1.93,2.85,2.52,2.07,2.09,2.65,2.61,4.18,3.79
27,Weighted Average Shares Outstanding,23998516,23998516,23998516,24024507,24170806,24236412,24293431,24348063,24390286,24413294,33594284,43454535
28,Weighted Average Shares Outstanding Diluted,23998516,23998516,23998516,24148032,24301887,24356172,24361884,24376972,24396881,24418641,33597418,43468289
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1552797/000155279713000009/0001552797-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279714000007/0001552797-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279715000008/0001552797-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279716000106/0001552797-16-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279717000009/0001552797-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279718000019/0001552797-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279719000011/0001552797-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279720000009/0001552797-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279721000015/0001552797-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279722000012/0001552797-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,35000,23452000,924000,1861000,- -,59000,4675000,4522000,5545000,4243000,4292000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253675000,- -
33,Cash and Short-Term Investments,- -,35000,23452000,924000,1861000,- -,59000,4675000,4522000,5545000,257918000,4292000
34,Net Receivables,- -,28195000,27725000,28976000,27956000,35049000,22036000,24137000,21586000,13204000,21608000,15384000
35,Inventory,- -,18859000,14351000,17512000,10316000,10451000,8875000,20855000,5491000,12617000,3127000,2406000
36,Other Current Assets,- -,1362000,183000,353000,796000,1540000,1071000,783000,969000,2204000,-253344000,951000
37,Total Current Assets,- -,48451000,65711000,47765000,40929000,47040000,32041000,50450000,32568000,33570000,29309000,23033000
38,PP&E,- -,133680000,153510000,199282000,240533000,253848000,251029000,255068000,312562000,298789000,489011000,470321000
39,Goodwill,- -,7499000,10454000,10454000,11654000,12203000,12203000,12203000,12203000,12203000,12203000,12203000
40,Intangible Assets,- -,10025000,12430000,12258000,11349000,15482000,14420000,15917000,154038000,130999000,160104000,153857000
41,Intangible Assets,- -,17524000,22884000,22712000,23003000,27685000,26623000,28120000,166241000,143202000,172307000,166060000
42,Investments,- -,- -,- -,- -,- -,40678000,101080000,106465000,104770000,246984000,253675000,250030000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,172000,3664000,5045000,7374000,6037000,4774000,3427000,8452000,21902000,12115000,25627000
45,Total Non-Current Assets,- -,151376000,180058000,227039000,270910000,328248000,383506000,393080000,592025000,710877000,927108000,912038000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,199827000,245769000,274804000,311839000,375288000,415547000,443530000,624593000,744447000,956417000,935071000
48,Accounts Payable,- -,26386000,31997000,27558000,18836000,10842000,10853000,19147000,22059000,21369000,6659000,8160000
49,Short-Term Debt,- -,30300000,- -,- -,- -,- -,- -,- -,- -,1435000,8691000,6811000
50,Tax Payable,- -,4234000,4650000,5700000,5443000,4871000,4841000,4700000,4069000,3941000,4969000,5280000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7318000,8265000,11476000,11759000,9848000,9876000,12635000,14446000,12278000,12950000,81844000
53,Total Current Liabilities,- -,64004000,40262000,39034000,30595000,20690000,20729000,31782000,36505000,35082000,28300000,96815000
54,Long-Term Debt,- -,- -,90000000,164800000,251750000,351600000,392600000,242800000,700400000,833100000,992300000,913041000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,19498000,17000,324000,231000,- -,- -,- -,- -,215000,616000,- -
57,Other Non-Current Liabilities,- -,8603000,11065000,8605000,9208000,14016000,15502000,198173000,22511000,27169000,43502000,29207000
58,Total Non-Current Liabilities,- -,28101000,101082000,173729000,261189000,365616000,408102000,440973000,722911000,860484000,1036418000,942248000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,3745000,24109000,20882000
61,Total Liabilities,- -,92105000,141344000,212763000,291784000,386306000,428831000,472755000,759416000,895566000,1064718000,1039063000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-11300000,-18790000,-36306000,-52992000,-71799000,-91378000,-112111000,-140184000,-166281000,- -,- -
66,Other Total Stockholders Equity,- -,119022000,123215000,98347000,73047000,60781000,78094000,82886000,5361000,15162000,- -,- -
67,Total Stockholders Equity,- -,107722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,199827000,245769000,274804000,311839000,375288000,415547000,443530000,624593000,744447000,956417000,1039063000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103992000
70,Total Liabilities & Equity,- -,199827000,245769000,274804000,311839000,375288000,415547000,443530000,624593000,744447000,956417000,935071000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1552797/000155279713000009/0001552797-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279714000007/0001552797-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279715000008/0001552797-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279716000106/0001552797-16-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279717000009/0001552797-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279718000019/0001552797-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279719000011/0001552797-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279720000009/0001552797-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279721000015/0001552797-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279722000012/0001552797-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,10087000,12647000,8410000,47830000,71997000,66848000,62804000,69409000,90182000,96749000,159256000,164822000
74,Depreciation and Amortization,2810000,4820000,8675000,12436000,14705000,19692000,20813000,21914000,31999000,33912000,42942000,49981000
75,Deferred Income Tax,258000,-4328000,-18762000,309000,-109000,14000,-173000,-111000,152000,- -,401000,- -
76,Stock Based Compensation,86000,64000,93000,464000,274000,406000,599000,721000,674000,- -,- -,- -
77,Change in Working Capital,-62000,-20633000,41002000,-16718000,1603000,16016000,-15038000,7356000,-22605000,2425000,2521000,51429000
78,Accounts Receivable,-6063000,-2628000,-5148000,-9886000,2007000,-5460000,15847000,-3811000,1427000,8382000,-2472000,292000
79,Inventory,-4239000,-10707000,4917000,-3333000,7894000,-907000,2045000,-11692000,15178000,-7702000,11363000,55000
80,Accounts Payable,5160000,-2998000,-4621000,7402000,-6960000,-13734000,3551000,10859000,-1747000,-4836000,-13479000,-1913000
81,Other Working Capital,5080000,-15553000,25449000,8731000,10334000,26350000,11312000,18668000,-3937000,-1512000,1009000,52995000
82,Other Non-Cash Items,242000,4571000,-5055000,70000,-2550000,-34952000,31702000,-11586000,47551000,-2687000,-12104000,8930000
83,Cash Provided by Operating Activities,13421000,-2859000,34363000,44391000,85920000,68024000,100707000,87703000,147953000,130399000,193016000,275162000
84,CAPEX,- -,-885000,-11099000,-9398000,-7132000,-19956000,-11287000,-18184000,-157150000,-9070000,-13284000,-24016000
85,Acquisitions Net,- -,- -,-23272000,-10737000,-22650000,-37834000,-61580000,-3531000,-173000,-139294000,-12175000,-1393000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,21000,- -,- -,1198000,175000,-8957000,-214935000,948000,-97692000,9049000
89,Cash Used for Investing Activites,- -,-885000,-34350000,-20135000,-29782000,-56592000,-72692000,-30672000,-228039000,-147416000,-123138000,-16360000
90,Debt Repayment,-177600000,-196000000,-292200000,-131500000,-412800000,-296550000,-273750000,-489800000,-458200000,-433000000,-441400000,-831820000
91,Common Stock Issued,- -,- -,179676000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-116535000,-128874000,-139710000,-114610000,-60621000,-68468000,-172936000,-82014000,-156755000,-161717000
94,Other Financing Activites,164100000,199779000,252463000,213590000,497309000,397867000,306415000,505853000,711069000,533054000,526975000,734784000
95,Cash Used/Provided by Financing Activities,-13500000,3779000,23404000,-46784000,-55201000,-13293000,-27956000,-52415000,79933000,18040000,-71180000,-258753000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,23417000,-22528000,937000,- -,- -,4616000,-153000,1023000,-1302000,49000
98,Cash at the End of Period,- -,35000,23452000,924000,1861000,- -,59000,4675000,4522000,5545000,4243000,4292000
99,Cash at the Beginning of Period,79000,- -,35000,23452000,924000,1861000,- -,59000,4675000,4522000,5545000,4243000
100,Free Cash Flow,13421000,-3744000,23264000,34993000,78788000,48068000,89420000,69519000,-9197000,121329000,179732000,251146000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1552797/000155279713000009/0001552797-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279714000007/0001552797-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279715000008/0001552797-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279716000106/0001552797-16-000106-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279717000009/0001552797-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279718000019/0001552797-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279719000011/0001552797-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279720000009/0001552797-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279721000015/0001552797-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1552797/000155279722000012/0001552797-22-000012-index.htm
102,false,,,,,,,,,,,,
