,https://roic.ai/company/PROG,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-129106000,-148037000,-192528000,-247412000
74,Depreciation and Amortization,6073000,6349000,5059000,1437000
75,Deferred Income Tax,6245000,- -,- -,- -
76,Stock Based Compensation,2263000,2375000,10668000,11962000
77,Change in Working Capital,46161000,-36578000,79357000,-16848000
78,Accounts Receivable,584000,3429000,9508000,- -
79,Inventory,-3475000,-3857000,143000,- -
80,Accounts Payable,- -,- -,2857000,-8686000
81,Other Working Capital,10889000,-25689000,53668000,36820000
82,Other Non-Cash Items,3238000,69767000,-68300000,83375000
83,Cash Provided by Operating Activities,-65126000,-106124000,-165744000,-167486000
84,CAPEX,-4832000,-3725000,-4944000,-855000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-167011000,-11214000,- -,- -
87,Sales/Maturities of Investments,227674000,31414000,- -,- -
88,Other Investing Activites,- -,50000,- -,- -
89,Cash Used for Investing Activites,55831000,16525000,-4944000,-855000
90,Debt Repayment,-1750000,-1275000,-727000,-295000
91,Common Stock Issued,459000,551000,116435000,46776000
92,Common Stock Repurchased,-11266000,- -,- -,- -
93,Dividends Paid,- -,-4500000,- -,- -
94,Other Financing Activites,-250000,78860000,114014000,120350000
95,Cash Used/Provided by Financing Activities,-12807000,73636000,229722000,166831000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-22102000,-15963000,59034000,-3679000
98,Cash at the End of Period,49005000,33042000,92076000,88397000
99,Cash at the Beginning of Period,71107000,49005000,33042000,92076000
100,Free Cash Flow,-69958000,-109849000,-170688000,-168341000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580063/000156459021014182/0001564590-21-014182-index.htm,https://www.sec.gov/Archives/edgar/data/1580063/000095017022004791/0000950170-22-004791-index.htm
102,false,,,,
