,https://roic.ai/company/GURE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,500000,300000,- -,3725824,10800000,30900000,45500000,68500000,78600000,65200000,107800000,146585600,133606390,163884570,208906760,178998940,100301990,94222538
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,500000,300000,- -,3725824,10800000,30900000,45500000,68500000,78600000,65200000,107800000,146585600,133606390,163884570,208906760,178998940,100301990,94222538
34,Net Receivables,- -,- -,- -,- -,- -,2838962,3900000,11700000,17200000,21500000,21900000,36000000,44900000,42036130,49980960,51836640,29767970,12510,4877670,6521798
35,Inventory,- -,- -,- -,- -,- -,53263,400000,400000,700000,2700000,4400000,6000000,5300000,5367870,7180800,5881680,1196790,- -,690090,419609
36,Other Current Assets,- -,- -,- -,- -,- -,11923,400000,200000,300000,1100000,600000,100000,100000,138190,52970,164600,1641930,8332090,1332960,6147020
37,Total Current Assets,- -,- -,500000,300000,- -,6629972,15500000,43200000,63700000,93800000,105500000,107300000,158100000,194127790,190821120,221767490,241513450,187343540,107202710,107310965
38,PP&E,- -,- -,- -,- -,- -,2673281,30100000,45400000,82000000,112200000,149500000,167900000,148100000,125690380,128798540,109285380,95606740,82533390,155319220,148947689
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29559170,27668540,29374910,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29559170,27668540,29374910,- -,- -,- -
42,Investments,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,100000,100000,100000,582231,700000,800000,700000,700000,3300000,3000000,3000000,3163980,7564400,6969940,21004320,28669860,16729060,- -
45,Total Non-Current Assets,- -,- -,100000,100000,200000,3255512,30800000,46200000,82700000,112900000,152800000,170900000,151100000,128854360,165922110,143923860,145985970,111203250,172048280,148947689
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,600000,400000,200000,9885484,46300000,89400000,146400000,206700000,258300000,278200000,309200000,322982150,356743230,365691350,387499420,298546790,279250990,256258654
48,Accounts Payable,- -,- -,- -,- -,- -,6148974,- -,900000,5300000,5700000,3600000,3800000,4000000,- -,8835440,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,2112583,1874074,1785403,- -,9939750,8684250,- -,- -,189742,193164,202392,205128,196778,187678,203206,197480,615110,694420
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,4269442,5555113,7163095,4058550,2856658,5248486,3545429,4814003,4341331,1474592,1188687,779623,1326179
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1187417,1225926,1114597,192471,4460250,9015750,6700000,8300000,8410258,7006836,7097608,7877112,7044222,13757522,3030024,2426360,5691150,6407880
53,Total Current Liabilities,- -,- -,3300000,3100000,2900000,6341445,14400000,18600000,12000000,14000000,12200000,11000000,11300000,8082240,16076440,13945200,3233230,2623840,6306260,7102300
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,5500000,18300000,- -,- -,3000000,3000000,2900000,2826500,2555910,2284960,2304000,2069550,1905770,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228702,- -,1657,864,3173,- -,2303995,2069545,15940642,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,-228702,- -,-1657,-864,-3173,- -,-2303995,-2069545,-8008782,9911245
58,Total Non-Current Liabilities,- -,- -,- -,- -,100000,- -,5500000,18300000,- -,- -,3000000,3000000,2900000,2826500,2555910,2284960,2304000,2069550,9837630,9911245
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3226300,3146066,3146270,3031623,2752692,2472637,2507201,2267025,10452731,10605665
61,Total Liabilities,- -,- -,3300000,3100000,3000000,6341445,19900000,36900000,12000000,14000000,15200000,14000000,14200000,10908740,18632350,16230160,5537230,4693390,16143890,17013545
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,27017,- -,- -,- -,- -,- -,- -,- -,19460,23140,23530,23530,23530,23900,24139
64,Retained Earnings,- -,- -,-14100000,-14100000,-14200000,2023823,12600000,35000000,65500000,116800000,147700000,162700000,183700000,201558790,235626830,271852660,279805980,209841990,184041940,151388356
65,Other Comprehensive Income/Loss,- -,- -,-7100000,-7100000,-6300000,137786,1848447,4343210,4159615,9269864,21763266,22496279,31754729,30676883,8936281,-15994527,8162958,-10478048,-15491807,4453247
66,Other Total Stockholders Equity,- -,- -,18456575,18474610,17741310,- -,11868308,13469220,64882970,66885194,73412756,79524384,79295092,79818280,93524624,93579535,88567728,94465932,94533067,121158531
67,Total Stockholders Equity,- -,- -,-2743425,-2725390,-2758690,3544039,26468308,52469220,134382970,192685194,243112756,264224384,294995092,312073413,338110875,349461198,376560196,293853404,263107100,277024273
68,Total Liabilities And Stockholders Equity,- -,- -,556575,374610,241310,9885484,46368308,89369220,146382970,206685194,258312756,278224384,309195092,322982153,356743225,365691358,382097426,298546794,279250990,294037818
69,Minority Interest,- -,- -,43425,25390,-41310,- -,-68308,30780,17030,14806,-12756,-24384,4908,-3,5,-8,5401994,-4,- -,-37779164
70,Total Liabilities & Equity,- -,- -,600000,400000,200000,9885484,46300000,89400000,146400000,206700000,258300000,278200000,309200000,322982150,356743230,365691350,387499420,298546790,279250990,256258654
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885462/000119380508000846/e603494_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380509000587/0001193805-09-000587-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380510000606/0001193805-10-000606-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380511000481/e608177_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380512000502/0001193805-12-000502-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380513000663/0001193805-13-000663-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380514000460/e611967_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380515000367/e613413_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380516002846/0001193805-16-002846-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380517000466/0001193805-17-000466-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380518000422/0001193805-18-000422-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380519000291/0001193805-19-000291-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380520000481/e619546_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380521000465/0001193805-21-000465-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,100000,- -,- -,1162273,12200000,22400000,30600000,51300000,31000000,15000000,21000000,17871800,34068040,36225830,7953310,-69963990,-25800050,-8420044
74,Depreciation and Amortization,- -,- -,-40235,-62806,-215809,213092,2045467,4873349,7257643,11097149,17697439,23811443,28120695,28322773,29870160,25654496,21179421,18205031,14060927,15987860
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11272,-2569647,489334,5502,-121436,-83856,3013,-4126947,-13087855,2746770,-1108471
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2022240,1282428,7481400,510500,544900,346100,374600,40300,372400,496200,45900,2392163
77,Change in Working Capital,- -,- -,-3800000,- -,-100000,2091194,800000,23500000,27100000,28100000,13500000,3000000,50500000,39245550,-11300870,33077610,30457930,-53560520,-83823250,-687785
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-7203377,-3283341,-6016376,995713,-13936332,-7777332,2751676,7387941,-6167996,26110087,30241680,-5070180,-1161704
79,Inventory,- -,- -,- -,- -,- -,38346,86336,49955,-222749,-1970745,-1621118,-1550213,879952,-84777,-592841,901528,4883850,1192262,-700476,292101
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1075519,429441,- -,15919,-2291004,-1498290,-1006237,-868165,-7997079,-704154,-102963,342790
81,Other Working Capital,- -,- -,-2800000,-2800000,-2900000,- -,1100000,24600000,51700000,79800000,93300000,96300000,146800000,186045550,174744680,207822290,238280220,184719700,100896450,100208665
82,Other Non-Cash Items,- -,- -,4340444,181471,211629,- -,922561,-25877043,-27159505,-33768854,-8061763,-18045975,-60019825,-39091010,17473136,-39784651,6915502,135251805,77460591,1141904
83,Cash Provided by Operating Activities,- -,- -,600209,118665,-104180,3466559,15968028,24896306,39820378,57999451,59047429,24765302,40151272,46573777,70401210,55216598,62751616,17340671,-15309112,9305627
84,CAPEX,- -,- -,-42386,-36317,- -,-581665,-22679319,-17365195,-38876657,-39463457,-52907374,-37877099,-3830757,-7202717,-23541754,-17669796,-28419975,-35954282,-60611949,-21719369
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52230886,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,9099,8241,31106,- -,- -,- -,632356,378945,933646,- -,3868626,21514,- -,2708417,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-33287,-28076,-68894,-581665,-22679319,-17365195,-38244301,-39084512,-51973728,-37877099,37869,-7181203,-75772640,-14961379,-28419975,-35954282,-60611949,-21719369
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-3843675,-1650000,- -,-288739,-297598,-302497,-304806,-306683,-287387,-273873,-294295,-275509,-264976
91,Common Stock Issued,- -,- -,- -,- -,100,- -,- -,- -,- -,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-61728,-37713,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2473729,-4739600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-174007,-264255,-98759,798958,16075924,15116155,14723463,2192919,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-174007,-264255,-98659,-1674771,11336324,11272480,13073463,2210919,-788739,-297598,-302497,-366534,-344396,-287387,-273873,-294295,-275509,-264976
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,105920,456234,1300578,9151,1831887,3796618,74370,2701121,-269239,-7263383,-9689650,10964417,-10999918,-2500379,6599270
97,Net Change In Cash,- -,- -,392915,-173666,-271733,1316043,5081267,20104169,14658691,22957745,10081580,-13335025,42587765,38756801,-12979209,30278182,45022185,-29907824,-78696949,-6079448
98,Cash at the End of Period,- -,- -,461140,287474,15741,3725824,10773875,30878044,45536735,68494480,78576060,65241035,107828800,146585601,133606392,163884574,208906759,178998935,100301986,94222538
99,Cash at the Beginning of Period,- -,- -,68225,461140,287474,2409781,5692608,10773875,30878044,45536735,68494480,78576060,65241035,107828800,146585601,133606392,163884574,208906759,178998935,100301986
100,Free Cash Flow,- -,- -,557823,82348,-104180,2884894,-6711291,7531111,943721,18535994,6140055,-13111797,36320515,39371060,46859456,37546802,34331641,-18613611,-75921061,-12413742
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885462/000119380508000846/e603494_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380509000587/0001193805-09-000587-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380510000606/0001193805-10-000606-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380511000481/e608177_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380512000502/0001193805-12-000502-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380513000663/0001193805-13-000663-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380514000460/e611967_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380515000367/e613413_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380516002846/0001193805-16-002846-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380517000466/0001193805-17-000466-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380518000422/0001193805-18-000422-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380519000291/0001193805-19-000291-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380520000481/e619546_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380521000465/0001193805-21-000465-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
