,https://roic.ai/company/DQ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-Infinity,0.4828,0.3276,0.3812,0.1697,-1.0191,-1.8407,0.1755,0.1441,0.2857,0.3648,0.2702,0.1357,0.2781,0.6263
19,Total Other Income Expenses (Gains),- -,-3758368,-6247412,-10521484,-7777394,-14473706,-19187563,-15385780,-12039285,-14167584,-17521643,-7690644,-9598729,-25725000,-16470000
20,Income Before Tax,-47542,23453853,30176316,81984868,35628384,-102991600,-219818743,16649176,14185405,51282086,111187626,73787127,37886481,162130000,1034948000
21,Income Before Tax Ratio,-Infinity,0.4161,0.2714,0.3378,0.1393,-1.1857,-2.0167,0.0912,0.0779,0.2238,0.3151,0.2447,0.1082,0.2400,0.6165
22,Income Tax expense (Gain),- -,1601959,240278,12837135,714272,10253587,1271765,- -,1137821,7358089,17332226,11716545,9623447,28182000,162806000
23,Net Income,-47542,21525027,30835002,68571257,33323952,-111928941,-70943484,16649176,12956889,43493756,92841128,38124705,29524392,129195000,756219000
24,Net Income ratio,-Infinity,0.3819,0.2773,0.2826,0.1303,-1.2886,-0.6509,0.0912,0.0712,0.1898,0.2631,0.1264,0.0844,0.1912,0.4505
25,EPS,-0.01,5.38,7.25,11.60,4.75,-3.18,-2.05,0.40,0.25,0.83,1.75,0.61,0.43,1.82,10.24
26,EPS Diluted,-0.01,4.15,7.25,11.60,4.75,-3.18,-2.05,0.39,0.25,0.82,1.70,0.59,0.42,1.72,9.85
27,Weighted Average Shares Outstanding,4000000,4000000,4000000,4713579,7028564,35142820,34613685,41269995,51603170,52348450,53014190,62343030,67914210,71017403,73868221
28,Weighted Average Shares Outstanding Diluted,5188564,5188564,4166073,5629053,7028564,35142820,34613685,42270730,52282385,52963550,54585265,65101265,69992310,75003430,76750363
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477641/000119312512195381/d295589d20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000119312513167295/d500959d20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420414022290/v371885_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420415023405/v404590_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420416093149/v433539_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420417017843/0001144204-17-017843-index.html,https://www.sec.gov/Archives/edgar/data/1477641/000114420418015103/0001144204-18-015103-index.html,https://www.sec.gov/Archives/edgar/data/1477641/000114420419020070/tv517398_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000110465920050556/tm206464-1_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3304067,81414436,203635798,92697098,6679024,7831084,7068483,14490011,15987478,60676605,65419389,51839535,76596000,723966000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21807000,- -,- -,280251000
33,Cash and Short-Term Investments,- -,3304067,81414436,203635798,92697098,6679024,7831084,7068483,14490011,15987478,60676605,87226389,51839535,76596000,1004217000
34,Net Receivables,- -,2440675,16710457,16083618,32632282,39016656,39255741,68941115,31243936,19390763,39254872,10106677,5674200,282000,365911000
35,Inventory,- -,4808827,4717488,11239762,24176109,19111382,16765061,15967172,16768254,18013614,25911979,20461148,39304208,42159000,327771000
36,Other Current Assets,- -,23394790,18074362,10779091,29947406,31704081,27292541,29972464,26273826,19911003,16519094,42274593,77510418,61234000,45081000
37,Total Current Assets,- -,33948359,120916743,241738269,179452895,96511143,91144427,121949234,88776027,73302858,142362550,160068807,174328361,180271000,1742980000
38,PP&E,- -,314506605,399985079,399558053,636474691,677895274,488504183,559006119,544326126,557427884,579128691,611616459,995223842,1027205000,1559110000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,36157610,30377493,29006693,27122287,24809809,25888850,22249251,29593265,736294000,40741000
41,Intangible Assets,- -,- -,- -,- -,- -,36157610,30377493,29006693,27122287,24809809,25888850,22249251,29593265,- -,40741000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,581581,687074,649839,641972,685000,- -
43,Tax Assets,- -,889223,1468671,918034,17900704,1057066,- -,- -,626965,585944,714068,821137,1351883,- -,- -
44,Other Non-Current Assets,- -,761041,1552965,8756583,44648352,4686711,173440,169173,-1,- -,- -,59523588,216698,30982000,820000
45,Total Non-Current Assets,- -,316156869,403006715,409232670,699023747,719796661,519055116,588181985,572075377,583405218,606418683,694860274,1027027660,1058872000,1600671000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,350105228,523923458,650970939,878476642,816307804,610199543,710131219,660851404,656708076,748781233,854929081,1201356021,1239143000,3343651000
48,Accounts Payable,- -,3160780,3494103,4302117,15036867,12346063,17695490,16784156,17491292,18745297,22403913,9195467,12713395,68308000,81469000
49,Short-Term Debt,- -,10389420,43825918,71600632,111805245,141613842,120444503,208745683,144089957,131712809,116176987,67414994,230678004,119868000,- -
50,Tax Payable,- -,1674149,674154,13373181,16666751,222987,1378963,2263055,3239512,7103125,18271479,5819174,5156197,37051000,- -
51,Deferred Revenue,- -,- -,- -,41122000,26060543,29396238,13217775,7308535,8183376,7519605,16690895,10213940,33027795,115166000,202958000
52,Other Current Liabilities,47542,140774144,95354822,53985100,64938288,76954978,147766106,163229341,105628977,91772710,61239584,63029533,168727143,-19207000,266072000
53,Total Current Liabilities,47542,154324344,142674843,171009849,217840943,260311121,299123874,396067715,275393602,249750421,216511379,149853934,445146337,284135000,550499000
54,Long-Term Debt,- -,86131995,144935562,83001176,169804047,187520880,134870287,77336160,118548430,111948913,113588232,133312370,151518023,123222000,- -
55,Deferred Revenue,- -,- -,- -,- -,12507801,26472135,38878821,29959274,25252882,23279820,24153555,28731621,23187938,- -,90661000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1184644,6367880,- -,- -
57,Other Non-Current Liabilities,- -,38596001,55821107,537080,26297624,1126255,- -,- -,- -,- -,- -,16714835,7976423,- -,31366000
58,Total Non-Current Liabilities,- -,124727996,200756669,83538256,208609472,215119270,173749108,107295434,143801312,135228733,137741787,179943470,189050264,123222000,122027000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279315000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162142,82000,- -
61,Total Liabilities,47542,279052340,343431512,254548105,426450415,475430391,472872982,503363149,419194914,384979154,354253166,329797404,634196601,440228000,672526000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,17571,17571,17288,17343,22358,26320,26532,27328,33439,34977,37000,- -
64,Retained Earnings,-47542,21477485,51609747,116881004,150204956,38276015,-32667469,-16018293,-3061404,40432352,133273480,171398185,200922577,330118000,- -
65,Other Comprehensive Income/Loss,- -,564147,617298,6276868,18444123,19551006,23699196,20037183,8780313,-8721820,13107187,-13232560,-19936848,26267000,- -
66,Other Total Stockholders Equity,-10000,-10000,258583,140305556,142511581,144260974,146277491,202726822,234609234,238362697,245327592,366932613,385622247,410701000,- -
67,Total Stockholders Equity,-47542,22041632,52495628,263480999,311178231,202105283,137326561,206768070,240354463,270099761,391735587,525131677,566642953,767123000,2169254000
68,Total Liabilities And Stockholders Equity,- -,301093972,395927140,518029104,737628646,677535674,610199543,710131219,659549377,655078915,745988753,854929081,1200839554,1207351000,2841780000
69,Minority Interest,- -,49011256,127996318,132941835,140847996,138772130,- -,- -,1302027,1629161,2792480,- -,516467,31792000,501871000
70,Total Liabilities & Equity,- -,350105228,523923458,650970939,878476642,816307804,610199543,710131219,660851404,656708076,748781233,854929081,1201356021,1239143000,3343651000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477641/000119312512195381/d295589d20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000119312513167295/d500959d20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420414022290/v371885_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420415023405/v404590_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420416093149/v433539_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420417017843/0001144204-17-017843-index.html,https://www.sec.gov/Archives/edgar/data/1477641/000114420418015103/0001144204-18-015103-index.html,https://www.sec.gov/Archives/edgar/data/1477641/000114420419020070/tv517398_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000110465920050556/tm206464-1_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-47542,21525027,30835002,68571257,33323952,-111928941,-70943484,16649176,12956889,43493756,92841128,38124705,29524392,129195000,756219000
74,Depreciation and Amortization,- -,7817151,16088049,30751063,35479645,37371791,52250595,28007943,31361026,33822082,38824055,27487163,47371130,68686000,- -
75,Deferred Income Tax,- -,-44797,-578110,-219489,- -,11572778,1415502,- -,-626965,445,-85302,-151843,-545000,- -,- -
76,Stock Based Compensation,- -,- -,258583,1614756,2206025,2249834,1881401,1792819,3687951,2702089,4200273,13788049,17896942,17908000,- -
77,Change in Working Capital,47542,72961869,-48571604,24178634,-81709889,-2700757,-44795387,2503239,19131891,18896648,2770475,-25635459,86073509,-14464000,-326027000
78,Accounts Receivable,- -,-2440675,-14269782,1530455,-7854035,-10295169,12431119,4775333,-10399283,14890598,2112239,-539597,1162813,13000,- -
79,Inventory,- -,-4808827,91339,-6522274,-26579763,-6745803,-25270470,484562,-1622269,-2258281,-6252834,-641481,-21635212,-5125000,- -
80,Accounts Payable,- -,3125506,333323,808014,10273609,3249172,5349428,-475966,1452811,2386015,2304987,-9449164,3660080,4556000,- -
81,Other Working Capital,- -,534872,-929430,-7232474,-28527943,-3530350,741492,-13317350,-2014185,-472888,7671101,1470769,22588814,1051000,- -
82,Other Non-Cash Items,- -,395547,-761458,727329,55558177,53128061,43665556,-3333448,-84579,-243083,4153765,41940425,669596,8378000,208907000
83,Cash Provided by Operating Activities,- -,102654797,-2729538,125623550,44857910,-10307234,-16525817,45619729,66426213,98671937,142704394,95553040,180990569,209703000,639099000
84,CAPEX,- -,-138890783,-121289965,-57660462,-252704147,-105659395,-32504507,-77028755,-81364037,-67477008,-67836778,-143064872,-285637391,-118292000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,2656490,-15241,- -,5110085,- -,- -,443579,627157,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-581581,-63793,-37860000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15144000,21726000,- -,- -
88,Other Investing Activites,- -,589362,11620111,7842000,-21434682,80435,1823635,-13560277,2121603,1935536,4791347,616988,-5136186,-195000,-782004000
89,Cash Used for Investing Activites,- -,-138301421,-109669854,-49818462,-274138829,-102922470,-30696113,-90589032,-74132349,-66123053,-63109224,-164720305,-261827713,-118487000,-782004000
90,Debt Repayment,- -,- -,-10394310,-40271995,-73776828,-103573459,-183131765,-461638448,-497186750,-264718617,-194754652,-94651136,-94941977,-245581000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,58000000,30030000,- -,- -,113540845,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-100000,- -,- -,-500724,- -,- -,-1350164,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,38930643,200996659,85828244,186558358,131218013,231958449,447910202,483748993,234439094,157400333,67822181,197269065,150110000,736225000
95,Cash Used/Provided by Financing Activities,- -,38930643,190502349,45556249,112781530,27143830,48826684,44271754,15242079,-30279523,-37354319,86711890,102327088,-95471000,736225000
96,Effect of Forex Changes on Cash,- -,20048,7412,860025,5560689,67800,-452694,-65052,-114415,-771894,2448276,4909097,-1315735,7365000,12242000
97,Net Change In Cash,- -,38930643,78110369,122221362,-110938700,-86018074,1152060,-762601,7421528,1497467,44689127,22453722,20174209,3110000,605562000
98,Cash at the End of Period,- -,3304067,81414436,203635798,92697098,6679024,7831084,7068483,14490011,15987478,60676605,95119886,115294095,118404000,723966000
99,Cash at the Beginning of Period,- -,- -,3304067,81414436,203635798,92697098,6679024,7831084,7068483,14490011,15987478,72666164,95119886,115294000,118404000
100,Free Cash Flow,- -,-36235986,-124019503,67963088,-207846237,-115966629,-49030324,-31409026,-14937824,31194929,74867616,-47511832,-104646822,91411000,639099000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477641/000119312512195381/d295589d20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000119312513167295/d500959d20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420414022290/v371885_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420415023405/v404590_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420416093149/v433539_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000114420417017843/0001144204-17-017843-index.html,https://www.sec.gov/Archives/edgar/data/1477641/000114420418015103/0001144204-18-015103-index.html,https://www.sec.gov/Archives/edgar/data/1477641/000114420419020070/tv517398_20f.htm,https://www.sec.gov/Archives/edgar/data/1477641/000110465920050556/tm206464-1_20f.htm,- -,- -
102,false,,,,,,,,,,,,,,,
