,https://roic.ai/company/FAT,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,2588408,1594866,937000,- -,- -,- -,- -
44,Other Non-Current Assets,8637095,9361741,8752000,20741000,30556000,- -,25
45,Total Non-Current Assets,13889703,13620807,28056000,54421000,72062000,58620,1152
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15205466,14188820,29236000,57960000,82550000,83043,1270
48,Accounts Payable,1034485,1070553,2439000,4415000,7183000,8625,28
49,Short-Term Debt,- -,- -,- -,15400000,24743000,20062000,15
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1584402,1339080,1772000,2236000,895000,30551,3
52,Other Current Liabilities,1098180,1137528,2514000,5555000,12790000,-20027999,153
53,Total Current Liabilities,3717067,3547161,6725000,27606000,45611000,73177,198
54,Long-Term Debt,- -,- -,18125000,14191000,20543000,19314,997
55,Deferred Revenue,5507500,2814688,1941000,- -,5247000,- -,18
56,Deferred Tax Liabilities,- -,- -,- -,6621000,5247000,- -,13
57,Other Non-Current Liabilities,- -,- -,436000,3803000,524000,- -,1
58,Total Non-Current Liabilities,5507500,2814688,20502000,24615000,31561000,19314,1029
59,Other Liabilities,- -,- -,- -,- -,- -,109164,- -
60,Capital Lease Obligations,- -,- -,- -,- -,880000,4759000,- -
61,Total Liabilities,9224567,6361849,27227000,52221000,77172000,163027,1227
62,Preferred Stock,- -,- -,- -,- -,- -,21788000,- -
63,Common Stock,10,10,2622000,10757000,11414000,-42775,- -
64,Retained Earnings,2480889,4326961,-613000,-5018000,-6036000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,3500000,3500000,- -,- -,- -,-63628225,- -
67,Total Stockholders Equity,5980899,7826971,2009000,5739000,5378000,-41883000,43
68,Total Liabilities And Stockholders Equity,15205466,14188820,29236000,57960000,82550000,-41719973,1270
69,Minority Interest,- -,- -,- -,- -,- -,41803016,- -
70,Total Liabilities & Equity,15205466,14188820,29236000,57960000,82550000,83043,1270
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705012/000149315218004457/0001493152-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219004280/0001493152-19-004280-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1705012/000149315221007061/0001493152-21-007061-index.htm,https://www.sec.gov/Archives/edgar/data/1705012/000162828022007042/0001628280-22-007042-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,2660207,3546072,-614000,-1798000,-1018000,-14860000,-31583000
74,Depreciation and Amortization,- -,- -,23000,358000,785000,1172000,8568000
75,Deferred Income Tax,299561,993542,232000,-504000,204000,-4077000,-5337000
76,Stock Based Compensation,- -,- -,- -,439000,262000,99000,1642000
77,Change in Working Capital,984736,-577844,-2565852,-18522000,-11056000,35074246,48674
78,Accounts Receivable,-53602,-211309,6145000,-301000,-723000,554000,-4705000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,238849,36068,85298000,2226000,3771000,-9000,5374000
81,Other Working Capital,-2401304,-2979148,-5545000,-24067000,-35123000,-48754,-80
82,Other Non-Cash Items,135394,-1747996,4423852,21864000,13894000,-28892246,27343326
83,Cash Provided by Operating Activities,4079898,2213774,1499000,1837000,3071000,-11484000,682000
84,CAPEX,- -,- -,- -,-148000,-45000,-460000,-10422000
85,Acquisitions Net,- -,- -,-11000000,-7595000,8000,-22825000,-721382000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,478000,- -,-10453000,-13290000,8604000
89,Cash Used for Investing Activites,- -,- -,-10522000,-7743000,-10490000,-36575000,-723200000
90,Debt Repayment,- -,- -,- -,-10853000,-16726000,-24295000,-93279000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,20930000,- -,- -,-500000,- -
93,Dividends Paid,-7000000,-1700000,- -,-878000,-2000,-318000,1188000
94,Other Financing Activites,3130974,-724646,-11875000,18258000,23519000,80358000,- -
95,Cash Used/Provided by Financing Activities,-3869026,-2424646,9055000,6527000,6791000,55245000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3869026,-2424646,32000,621000,-628000,7186000,- -
98,Cash at the End of Period,210872,- -,32000,653000,25000,7211000,- -
99,Cash at the Beginning of Period,- -,210872,- -,32000,653000,25000,7211000
100,Free Cash Flow,4079898,2213774,1499000,1689000,3026000,-11944000,-9740000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705012/000149315218004457/0001493152-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219004280/0001493152-19-004280-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1705012/000149315221007061/0001493152-21-007061-index.htm,https://www.sec.gov/Archives/edgar/data/1705012/000162828022007042/0001628280-22-007042-index.htm
102,false,,,,,,,
