,https://roic.ai/company/CUII,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,1070000,360000,982772,1137964,- -,11023387,13560879,21289779,19438643,26394619,37397111,47240915,53839983
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,454907,248986,- -,- -,6880686,3298089
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,7500645,6594530,5237887,4239130,2056513,1049258,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,122551,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,77440,480559,1487882,5044561,-1630606,1470588
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7500645,6594530,5770234,5091226,3544395,6093819,5250080,4768677
59,Other Liabilities,- -,- -,- -,- -,- -,17966644,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5290666,6483399,- -
61,Total Liabilities,- -,1070000,360000,982772,1137964,17966644,18524032,20155409,27060013,24529869,29939014,43490930,52490995,58608660
62,Preferred Stock,- -,- -,- -,- -,- -,10,10,10,10,10,10,10,10,- -
63,Common Stock,- -,- -,- -,200,201,291,291,295,295,295,295,294,294,303
64,Retained Earnings,- -,-1100000,-1300000,-1815504,-1918972,3598383,1717278,1808665,3286562,6419937,7273227,9402294,9097408,13690368
65,Other Comprehensive Income/Loss,- -,- -,- -,-69222,-55250,-75888,1037133,1705194,3131609,6397027,7127805,8645919,13353332,4664848
66,Other Total Stockholders Equity,- -,1480000,1520000,2673186,2674692,5089634,4674593,8157512,8157512,8190449,8190449,8190449,8190449,20398027
67,Total Stockholders Equity,- -,380000,220000,788660,700671,8612430,7429305,11671676,14575988,21007718,22591786,26238966,30641493,38753546
68,Total Liabilities And Stockholders Equity,- -,1450000,580000,1771432,1838635,26579074,25953337,31827085,41636001,45537587,52530800,69729896,83132488,97362206
69,Minority Interest,- -,- -,10000,- -,- -,5705618,6383427,7574731,9771542,13735656,16351044,19512526,24595741,30419315
70,Total Liabilities & Equity,- -,1450000,590000,1771432,1838635,32284692,32336764,39401816,51407543,59273243,68881844,89242422,107728229,127781521
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512927/000114420412053658/0001144204-12-053658-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1512927/000114420416091204/0001144204-16-091204-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420417014676/0001144204-17-014676-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420418014999/0001144204-18-014999-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420419017322/0001144204-19-017322-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000110465920036932/0001104659-20-036932-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000110465921041492/0001104659-21-041492-index.htm,https://www.sec.gov/Archives/edgar/data/1512927/000141057822000847/0001410578-22-000847-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-329987,-103468,7217468,-908132,1077927,2892155,7154638,2371405,3058848,930113,11652968
74,Depreciation and Amortization,- -,- -,- -,44053,39366,108492,407390,463201,626028,561184,636980,693459,987689,5137597
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,87391,-163631,-162575,-420262,154678
76,Stock Based Compensation,- -,- -,- -,- -,1508,- -,- -,- -,- -,- -,- -,- -,1427603,- -
77,Change in Working Capital,- -,- -,- -,387935,13331608,17147679,-11566783,1059877,3997568,9957629,1537090,2773906,4679694,13390795
78,Accounts Receivable,- -,- -,- -,-51682,-102830,-1773181,-841719,-2259028,-6095236,3657114,-2421663,-6710665,-1253807,-1047547
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,353654,13685262,30832941,19266158,20326035,24323603,34281232,35818322,38592228,43271922,56662717
82,Other Non-Cash Items,- -,- -,- -,-267156,-13613509,-22875064,12536995,-830988,28631,-12105351,-474392,-951792,-4311077,-16560550
83,Cash Provided by Operating Activities,- -,- -,- -,-165155,-344495,1598575,469470,1770017,7544382,5655491,3907452,5411846,3293760,13775488
84,CAPEX,- -,- -,- -,-63540,-24557,-26203,-550787,-628219,-984500,-542428,-778164,-852730,-1705882,-674948
85,Acquisitions Net,- -,- -,- -,207556,- -,12766882,128933,318,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2553,- -,- -,- -,-38952269,-64559309,-60091294,-71645467,-1727668
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1627816,- -,- -,24953384,59549761,47770523,59484116,142191
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-86501,-100593,-2088343,-54369,1404349,-157106,-56937,-7185904
89,Cash Used for Investing Activites,- -,- -,- -,144016,-24557,12738126,1205962,-383843,-2625499,-14435727,-4301227,-13137888,-13829956,-9446329
90,Debt Repayment,- -,- -,- -,-658510,-18157,- -,- -,-315443,-852065,-308055,-29287686,-32153385,-21881327,-49334
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1970401,323029,1260382,391812,1021588,475592,2814850,34775273,31798931,27280129,4566112
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1311891,304872,1260382,391812,706145,-376473,2506795,5487587,-354454,5398802,4516778
96,Effect of Forex Changes on Cash,- -,- -,- -,-10610,25178,-149967,-565538,-832294,147568,1577935,-397605,99225,1608722,- -
97,Net Change In Cash,- -,- -,- -,1280142,-39002,15447116,1501706,1260025,4689978,-4695506,4696207,-7981271,-3528672,9192804
98,Cash at the End of Period,- -,- -,- -,1297213,1258211,16705327,19571799,20831824,25521802,15473949,20639771,12658500,9129828,18322632
99,Cash at the Beginning of Period,- -,- -,- -,17071,1297213,1258211,18070093,19571799,20831824,20169455,15943564,20639771,12658500,9129828
100,Free Cash Flow,- -,- -,- -,-228695,-369052,1572372,-81317,1141798,6559882,5113063,3129288,4559116,1587878,13100540
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1512927/000114420412053658/0001144204-12-053658-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1512927/000114420416091204/0001144204-16-091204-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420417014676/0001144204-17-014676-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420418014999/0001144204-18-014999-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420419017322/0001144204-19-017322-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000110465920036932/0001104659-20-036932-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000110465921041492/0001104659-21-041492-index.htm,https://www.sec.gov/Archives/edgar/data/1512927/000141057822000847/0001410578-22-000847-index.htm
102,false,,,,,,,,,,,,,,
