,https://roic.ai/company/PDFS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1120914/000089161802001603/0000891618-02-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000089161803001442/0000891618-03-001442-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013404003503/0000950134-04-003503-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013405005224/0000950134-05-005224-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013406005319/0000950134-06-005319-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013407005968/0000950134-07-005968-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013408004923/0000950134-08-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000104746909002746/0001047469-09-002746-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000104746910002317/0001047469-10-002317-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774911001690/0001437749-11-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774912002383/0001437749-12-002383-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774913003135/0001437749-13-003135-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774914004084/0001437749-14-004084-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774915003857/0001437749-15-003857-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774916026490/0001437749-16-026490-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774917004058/0001437749-17-004058-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774918004863/0001437749-18-004863-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774919004374/0001437749-19-004374-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774920004708/0001437749-20-004708-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774921005696/0001437749-21-005696-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000155837022002561/0001558370-22-002561-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7626000,70835000,71490000,39110000,45660000,60506000,36451000,35315000,31686000,34899000,38154000,46041000,61637000,89371000,115464000,126158000,116787000,101267000,96089000,97605000,30315000,27684000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,16402000,9949000,9051000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114981000,112542000
33,Cash and Short-Term Investments,7626000,70835000,71490000,39110000,45660000,60506000,52853000,45264000,40737000,34899000,38154000,46041000,61637000,89371000,115464000,126158000,116787000,101267000,96089000,97605000,145296000,140226000
34,Net Receivables,3950000,5546000,7924000,11869000,15978000,22082000,27575000,38526000,24989000,19809000,23442000,20863000,33959000,34860000,37725000,33438000,48157000,57564000,51570000,40651000,34140000,40087000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,576000,3439000,4406000,4422000,4271000,2900000,5377000,5030000,5147000,3029000,3246000,3717000,7002000,9552000,6231000,3655000,5335000,5069000,9562000,9320000,13944000,8194000
37,Total Current Assets,12152000,79820000,83820000,55401000,65909000,85488000,85805000,88820000,70873000,57737000,64842000,70621000,102598000,133783000,159420000,163251000,170279000,163900000,157221000,147576000,193380000,188507000
38,PP&E,1561000,2179000,3533000,4110000,3321000,3328000,3916000,3621000,2675000,1573000,797000,777000,3898000,7064000,8832000,11325000,19341000,25386000,35681000,48407000,45914000,40703000
39,Goodwill,- -,- -,- -,- -,- -,- -,60034000,65170000,- -,- -,- -,- -,- -,- -,- -,215000,215000,1923000,1923000,2293000,15774000,14123000
40,Intangible Assets,- -,1169000,882000,63454000,55677000,49673000,13605000,12818000,4730000,2954000,1369000,539000,104000,31000,- -,5028000,4223000,6074000,5064000,6221000,24573000,21239000
41,Intangible Assets,1670000,1169000,882000,63454000,55677000,49673000,73639000,77988000,4730000,2954000,1369000,539000,104000,31000,- -,5243000,4438000,7997000,6987000,8514000,40347000,35362000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,718000,718000,718000,784000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,877000,4994000,8922000,631000,- -,- -,- -,16471000,8599000,8025000,10299000,15640000,16348000,19044000,25327000,249000,75000
44,Other Non-Current Assets,131000,148000,1564000,1002000,500000,526000,503000,- -,- -,495000,727000,1663000,1189000,1687000,1161000,1651000,12631000,10545000,6972000,9720000,7690000,9121000
45,Total Non-Current Assets,3362000,3496000,5979000,68566000,59498000,54404000,83052000,90531000,8754000,5740000,3611000,3763000,21662000,17381000,18018000,28518000,52050000,60276000,68684000,91968000,94200000,85261000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,15514000,83316000,89799000,123967000,125407000,139892000,168857000,179351000,79627000,63477000,68453000,74384000,124260000,151164000,177438000,191769000,222329000,224176000,225905000,239544000,287580000,273768000
48,Accounts Payable,514000,738000,499000,835000,1023000,1728000,3277000,4022000,1384000,959000,1080000,974000,2054000,1129000,803000,1293000,2206000,2536000,2454000,7636000,4399000,5554000
49,Short-Term Debt,- -,24000,17000,- -,- -,- -,302000,421000,370000,115000,108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,1758000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2956000,- -
51,Deferred Revenue,- -,2773000,4496000,3300000,2905000,2281000,3705000,3159000,1792000,1584000,3021000,2961000,4039000,2439000,3740000,5969000,8277000,7981000,9112000,11756000,21232000,23691000
52,Other Current Liabilities,7930000,6291000,5239000,8653000,10669000,12945000,11935000,8762000,10996000,9893000,8166000,9450000,13605000,9300000,7845000,7194000,8039000,9120000,7962000,8604000,16466000,12823000
53,Total Current Liabilities,8444000,9826000,10251000,12788000,14597000,16954000,19219000,16364000,14542000,12551000,12375000,13385000,19698000,12868000,12388000,14456000,18522000,19637000,19528000,27996000,42205000,43826000
54,Long-Term Debt,56000,31000,15000,- -,- -,- -,1198000,907000,512000,117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6516000,5258000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,313000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,532000,505000,752000,4340000,1701000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8508000,70000,39000,287000,311000,257000,221000,5610000,4803000,4922000,5163000,4156000,3502000,3340000,2914000,3006000,5004000,6171000,6582000,15391000,4353000,5099000
58,Total Non-Current Liabilities,9096000,606000,806000,4627000,2012000,257000,1419000,6517000,5315000,5039000,5163000,4156000,3502000,3584000,3227000,3006000,5004000,6171000,6582000,15391000,10869000,10357000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9544000,8442000,7016000
61,Total Liabilities,17540000,10432000,11057000,17415000,16609000,17211000,20638000,22881000,19857000,17590000,17538000,17541000,23200000,16452000,15615000,17462000,23526000,25808000,26110000,43387000,53074000,54183000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,3000,3000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,5000,5000,5000,5000,5000,5000,5000,6000,423075000
64,Retained Earnings,-9878000,-15369000,-14845000,-19361000,-19975000,-13451000,-13890000,-16892000,-112620000,-130111000,-129884000,-128789000,-91578000,-70649000,-52187000,-39780000,-25752000,-27089000,-30452000,-35870000,-76233000,-97721000
65,Other Comprehensive Income/Loss,- -,-2147000,-3668000,-5806000,-8034000,-10005000,-11768000,3000000,2000000,1000000,-16807000,-17394000,-14834000,-14481000,-1000000,-2000000,-2000000,-1000000,-1000000,-1000000,-225000,-1064000
66,Other Total Stockholders Equity,7850000,90397000,97252000,131715000,136803000,146133000,173873000,170358000,170386000,174994000,197602000,203022000,207468000,219837000,215005000,216082000,226550000,226452000,231242000,233022000,310958000,- -
67,Total Stockholders Equity,-2026000,72884000,78742000,106552000,108798000,122681000,148219000,156470000,59770000,45887000,50915000,56843000,101060000,134712000,161823000,174307000,198803000,198368000,199795000,196157000,234506000,219585000
68,Total Liabilities And Stockholders Equity,15514000,83316000,89799000,123967000,125407000,139892000,168857000,179351000,79627000,63477000,68453000,74384000,124260000,151164000,177438000,191769000,222329000,224176000,225905000,239544000,287580000,273768000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,15514000,83316000,89799000,123967000,125407000,139892000,168857000,179351000,79627000,63477000,68453000,74384000,124260000,151164000,177438000,191769000,222329000,224176000,225905000,239544000,287580000,273768000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1120914/000089161802001603/0000891618-02-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000089161803001442/0000891618-03-001442-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013404003503/0000950134-04-003503-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013405005224/0000950134-05-005224-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013406005319/0000950134-06-005319-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013407005968/0000950134-07-005968-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013408004923/0000950134-08-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000104746909002746/0001047469-09-002746-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000104746910002317/0001047469-10-002317-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774911001690/0001437749-11-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774912002383/0001437749-12-002383-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774913003135/0001437749-13-003135-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774914004084/0001437749-14-004084-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774915003857/0001437749-15-003857-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774916026490/0001437749-16-026490-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774917004058/0001437749-17-004058-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774918004863/0001437749-18-004863-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774919004374/0001437749-19-004374-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774920004708/0001437749-20-004708-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774921005696/0001437749-21-005696-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000155837022002561/0001558370-22-002561-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9097000,-3872000,524000,-4516000,-614000,6524000,-439000,-2927000,-95728000,-17491000,227000,1880000,37211000,20929000,18462000,12407000,9103000,-1337000,-7716000,-5418000,-40363000,-21488000
74,Depreciation and Amortization,833000,1406000,1722000,4853000,9118000,8239000,8832000,10707000,5343000,3209000,2414000,1289000,949000,1459000,2041000,3018000,4389000,5658000,5977000,7212000,8171000,9552000
75,Deferred Income Tax,- -,-2397000,-727000,-3461000,-2417000,-1900000,-6864000,-5494000,2566000,- -,-527000,21000,-19911000,5901000,4633000,848000,216000,-504000,-4171000,-4532000,21007000,1373000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,7228000,4269000,5230000,4791000,4891000,6693000,8547000,9756000,11002000,11810000,10295000,11423000,12463000,12931000
77,Change in Working Capital,1343000,66286000,3575000,-30956000,8699000,17222000,-1948000,5870000,-16125000,-11145000,7281000,4769000,25664000,38015000,26117000,1763000,2962000,-7494000,-6570000,-18113000,31595000,-6494000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,13593000,5180000,-3633000,1268000,-12150000,-636000,-2892000,4373000,-14620000,-9581000,6828000,10919000,8101000,-5980000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-2111000,-392000,20000,-367000,722000,-566000,-1516000,-684000,85000,1963000,-1406000,807000,-918000,-86000
81,Other Working Capital,3708000,69994000,73569000,42613000,51312000,68534000,66586000,72456000,56331000,45186000,52467000,57236000,82900000,120915000,147032000,148795000,151757000,144263000,137693000,119580000,151175000,144681000
82,Other Non-Cash Items,8822000,-58611000,-4110000,27247000,-8585000,-20310000,3046000,-6786000,104280000,16555000,-11900000,-4537000,-34048000,-47634000,-32711000,734000,-25672000,2412000,15523000,34018000,-11090000,8369000
83,Cash Provided by Operating Activities,1901000,2812000,984000,-6833000,6201000,9775000,2627000,1370000,7564000,-4603000,2725000,8213000,14756000,25363000,27089000,28526000,2000000,10545000,13338000,24590000,21783000,4243000
84,CAPEX,-1203000,-1547000,-2930000,-2402000,-1713000,-2320000,-2433000,-2226000,-1115000,-569000,-121000,-405000,-2334000,-4628000,-3958000,-5184000,-11282000,-10255000,-13116000,-10552000,-6968000,-3672000
85,Acquisitions Net,- -,- -,- -,-26938000,- -,- -,-18658000,-4586000,-1604000,- -,- -,- -,- -,- -,- -,-5152000,- -,-3841000,- -,-2660000,-28580000,-3054000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-45823000,-26803000,-27094000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131454000,-168560000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,31700000,33818000,26940000,9054000,- -,- -,975000,- -,- -,- -,- -,- -,- -,- -,16500000,171000000
88,Other Investing Activites,-225000,7000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285000,-400000,- -,- -,- -,- -,- -,-381000
89,Cash Used for Investing Activites,-1428000,-1540000,-2929000,-29340000,-1713000,-2320000,-35214000,203000,-2873000,8485000,-121000,-405000,-1359000,-4628000,-3673000,-10336000,-11282000,-14096000,-13116000,-13212000,-150502000,-4667000
90,Debt Repayment,-30000,- -,- -,- -,- -,- -,- -,- -,-409000,-267000,-107000,-112000,- -,- -,- -,-347000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,289000,62924000,1581000,1831000,4445000,7544000,7773000,2932000,590000,570000,782000,865000,- -,- -,- -,- -,- -,- -,- -,- -,65078000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-4806000,- -,- -,-5975000,-6878000,- -,- -,-2949000,-4368000,- -,-3566000,-14525000,-2182000,-13418000,-5248000,-9639000,- -,-4523000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4969000,-972000,958000,1946000,2395000,-55000,440000,-696000,63000,- -,51000,2304000,6618000,7009000,6297000,7452000,2212000,1194000,46000,-196000,-280000,-1002000
95,Cash Used/Provided by Financing Activities,5228000,61952000,2539000,3777000,2034000,7489000,8213000,-3739000,-6634000,303000,726000,108000,2250000,7009000,2731000,-7420000,30000,-12224000,-5202000,-9835000,64798000,-5525000
96,Effect of Forex Changes on Cash,-8000,-15000,61000,16000,28000,-98000,319000,1030000,-1686000,-972000,-75000,-29000,-51000,-10000,-54000,-76000,-119000,255000,-198000,-27000,131000,-182000
97,Net Change In Cash,5693000,63209000,655000,-32380000,6550000,14846000,-24055000,-1136000,-3629000,3213000,3255000,7887000,15596000,27734000,26093000,10694000,-9371000,-15520000,-5178000,1516000,-63790000,-6131000
98,Cash at the End of Period,7626000,70835000,71490000,39110000,45660000,60506000,36451000,35315000,31686000,34899000,38154000,46041000,61637000,89371000,115464000,126158000,116787000,101267000,96089000,97605000,33815000,27684000
99,Cash at the Beginning of Period,1933000,7626000,70835000,71490000,39110000,45660000,60506000,36451000,35315000,31686000,34899000,38154000,46041000,61637000,89371000,115464000,126158000,116787000,101267000,96089000,97605000,33815000
100,Free Cash Flow,698000,1265000,-1946000,-9235000,4488000,7455000,194000,-856000,6449000,-5172000,2604000,7808000,12422000,20735000,23131000,23342000,-9282000,290000,222000,14038000,14815000,571000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1120914/000089161802001603/0000891618-02-001603-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000089161803001442/0000891618-03-001442-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013404003503/0000950134-04-003503-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013405005224/0000950134-05-005224-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013406005319/0000950134-06-005319-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013407005968/0000950134-07-005968-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000095013408004923/0000950134-08-004923-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000104746909002746/0001047469-09-002746-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000104746910002317/0001047469-10-002317-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774911001690/0001437749-11-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774912002383/0001437749-12-002383-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774913003135/0001437749-13-003135-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774914004084/0001437749-14-004084-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774915003857/0001437749-15-003857-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774916026490/0001437749-16-026490-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774917004058/0001437749-17-004058-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774918004863/0001437749-18-004863-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774919004374/0001437749-19-004374-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774920004708/0001437749-20-004708-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000143774921005696/0001437749-21-005696-index.htm,https://www.sec.gov/Archives/edgar/data/1120914/000155837022002561/0001558370-22-002561-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
