,https://roic.ai/company/PSFE,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,2188706000,2188706000,- -
67,Total Stockholders Equity,- -,2057746000,1921705000,2569764000
68,Total Liabilities And Stockholders Equity,- -,7320534000,7398033000,7129224000
69,Minority Interest,- -,5961000,11298000,138005000
70,Total Liabilities & Equity,- -,7326495000,7409331000,7267229000
71,SEC Link,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-39711000,-110198000,-126715000,-110954000
74,Depreciation and Amortization,234256000,279831000,268166000,261372000
75,Deferred Income Tax,-27332000,-27417000,-61142000,-96993000
76,Stock Based Compensation,- -,- -,- -,101770000
77,Change in Working Capital,-204561000,-6009000,117738000,-126249000
78,Accounts Receivable,-47722000,-30955000,-46493000,-42592000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-43442000,-250000,-27767000,-25733000
81,Other Working Capital,15862000,-13604000,1150000,- -
82,Other Non-Cash Items,10058000,152840000,211062000,195522000
83,Cash Provided by Operating Activities,-27290000,289047000,409109000,224468000
84,CAPEX,-92899000,-160103000,-86919000,-147749000
85,Acquisitions Net,-4224912000,-454000,35697000,-263520000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-813068000,-150446000,-81533000,-142133000
89,Cash Used for Investing Activites,-5051414000,-160557000,-51222000,-411269000
90,Debt Repayment,-109167000,-178789000,-690221000,-4033206000
91,Common Stock Issued,2189958000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,1186492000,251466000,614752000,4516487000
95,Cash Used/Provided by Financing Activities,3267283000,72677000,-75469000,483281000
96,Effect of Forex Changes on Cash,-13859000,-15756000,99073000,-88614000
97,Net Change In Cash,-1825280000,185411000,381491000,207866000
98,Cash at the End of Period,1199738000,1385149000,1763852000,1971718000
99,Cash at the Beginning of Period,3025018000,1199738000,1382361000,1763852000
100,Free Cash Flow,-120189000,128944000,322190000,76719000
101,SEC Link,- -,- -,- -,- -
102,false,,,,
