,https://roic.ai/company/TRCK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-742679,-2024792,-5814579,233629,-5658507,2868449,287048,-439114,-1610356,-17542444,-944301,2577129,-2837170,648133,-3183696,-2845115,-2084982,-554392
20,Income Before Tax,-6506226,-10983689,-23797745,- -,- -,- -,- -,-9890574,-17458107,-18958608,-8692300,-5648345,-8495621,-4224175,-4835316,-1679600,674556,4159515
21,Income Before Tax Ratio,-5.8220,-12.7441,-22.2380,- -,- -,- -,- -,-0.5506,-0.8821,-1.2121,-0.7089,-0.2717,-0.3124,-0.1421,-0.1582,-0.0494,0.0199,0.1049
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2955000,1920000,- -,- -,593000,884000,793197,717109
23,Net Income,-6406711,-10983689,-23797745,-26022912,-49587050,-23081500,-13784042,-9890574,-17458107,-18958608,-8747844,-5668701,-8495621,-4725826,-5428041,-2563953,-118641,3442406
24,Net Income ratio,-5.7330,-12.7441,-22.2380,-3.0363,-3.9978,-1.8281,-1.1071,-0.5506,-0.8821,-1.2121,-0.7134,-0.2726,-0.3124,-0.1590,-0.1776,-0.0754,-0.0035,0.0868
25,EPS,-50.00,-66.00,-88.00,-52.00,-72.00,-26.00,-14.00,-6.00,-8.00,-3.70,-0.88,-0.56,-0.83,-0.45,-0.51,-0.22,-0.01,0.30
26,EPS Diluted,-50.00,-66.00,-88.00,-52.00,-72.00,-26.00,-14.00,-6.00,-8.00,-3.70,-0.88,-0.56,-0.83,-0.45,-0.51,-0.22,-0.01,0.29
27,Weighted Average Shares Outstanding,141085,171590,279230,514130,700460,910940,1136605,1903295,2735170,4832000,9951000,10159000,10285947,10408870,10732523,11401650,11413535,11450269
28,Weighted Average Shares Outstanding Diluted,141085,171590,279230,514130,700460,910940,1136605,1903295,2735170,4832000,9951000,10159000,10285947,10408870,10732523,11401650,11413535,12036577
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045942/000109690611003198/0001096906-11-003198-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000109690613000051/0001096906-13-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000109690614000038/0001096906-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000141588914003914/0001415889-14-003914-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000141588915004030/0001415889-15-004030-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495416005033/0001654954-16-005033-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495418000800/0001654954-18-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495418014088/0001654954-18-014088-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495420000262/0001654954-20-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495420013848/0001654954-20-013848-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000185173421000150/0001851734-21-000150-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,62103,416036,5872529,5556275,2782953,602321,1126232,949749,695111,3382428,11101822,4903045,1769921,2027321,5446557,6896711,6762099,8421162
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,62103,416036,5872529,5556275,2782953,602321,1126232,949749,695111,3382428,11101822,4903045,1769921,2027321,5446557,6896711,6762099,8421162
34,Net Receivables,260475,96781,245032,4498812,1497238,1441648,1339513,- -,- -,- -,- -,- -,- -,- -,- -,6763236,5546213,7163615
35,Inventory,78286,46576,39276,51359,- -,603329,345529,579779,630566,467101,1248264,741514,521851,261810,277119,274501,124606,305210
36,Other Current Assets,13432,221459,2504500,923369,724842,275390,791986,5323008,4999904,5681974,5288225,7617642,8045536,6527419,7248939,1339465,866389,998589
37,Total Current Assets,414296,780852,8661337,11029815,5005033,2922688,3603260,6852536,6325581,9531503,17638311,13262201,10337308,8816550,12972615,15273913,13299307,16888576
38,PP&E,114074,380715,3482716,1430768,2930704,2629799,3168678,1086633,677493,318201,1860247,1697630,1226461,903100,745475,675037,2444711,3270326
39,Goodwill,- -,- -,- -,- -,4811834,2468081,3910063,5889395,375000,- -,6577609,7782903,7955876,8226714,8076759,8187911,8220380,8519998
40,Intangible Assets,- -,- -,- -,- -,216500,496346,398842,5191191,4874679,15413920,26743626,25884087,25540650,24718655,23253054,21955679,21171045,20434143
41,Intangible Assets,- -,- -,- -,- -,5028334,2964427,4308905,11080586,5249679,15413920,33321235,33666990,33496526,32945369,31329813,30143590,29391425,28954141
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540563,432721,101159
44,Other Non-Current Assets,180434,34877,48013,- -,46626,76675,107618,3665494,14280972,1435367,5065094,5403630,7259028,6482113,3308381,2749087,2166743,4309040
45,Total Non-Current Assets,294508,415592,3530729,1430768,8005664,5670901,7585201,15832713,20208144,17167488,40246576,40768250,41982015,40330582,35383669,34108277,34435600,36634666
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,708804,1196444,12192066,12460583,13010697,8593589,11188461,22685249,26533725,26698991,57884887,54030451,52319323,49147132,48356284,49382190,47734907,53523242
48,Accounts Payable,706008,1355050,1696165,3065187,2059188,2339786,2059896,2840845,12793303,348074,1995607,2363441,2771101,2769835,2518030,2628003,2199215,2821982
49,Short-Term Debt,789176,1980079,4111336,4028661,3927949,12276835,2283969,1796288,13427521,148095,1906040,796225,3245732,30270531,30437810,33827689,31125535,688447
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93407,- -,529926,351469,1071532,324221,23022
51,Deferred Revenue,13434,17539,17817,1314247,21343,56858,80890,162331,422183,8674,- -,- -,- -,- -,- -,- -,147921,22500
52,Other Current Liabilities,1174880,2645650,425548,1324735,5818829,4726106,2573437,3255027,-6717081,2190218,2413557,2705403,3976192,6650291,10333103,13828696,14599797,4165217
53,Total Current Liabilities,2683498,5998318,6250866,9732830,11827309,19399585,6998192,8054491,19925926,2695061,6315204,5865069,9993025,39690657,43288943,50284388,48072468,7698146
54,Long-Term Debt,1503958,421570,- -,- -,1147382,1566825,1060418,898598,449950,40588,25868361,30189188,30345803,3480717,3428975,33827689,418575,43452216
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2990000,3590000,- -,- -,- -,- -,- -,- -,- -,85275,106671,- -,- -,- -,- -,164487,3650
58,Total Non-Current Liabilities,1503958,3411570,3590000,- -,1147382,1566825,1060418,898598,449950,40588,25953636,30295859,30345803,3480717,3428975,33827689,583062,43455866
59,Other Liabilities,- -,- -,- -,239763,- -,- -,- -,1914048,2630612,- -,57607272,64093128,63981485,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210910,162313
61,Total Liabilities,4187456,9409888,9840866,9972593,12974691,20966410,8058610,9069941,22106588,2735649,37968840,39662338,43628707,43171374,46717918,50284388,48655530,51154012
62,Preferred Stock,186,140,560,2,2,- -,4,5,5,1,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3140,4513,8013,- -,15588,21037,28002,50362,61933,980,1009,1026,1034,1048,1140,1140,1141,1152
64,Retained Earnings,-69480005,-80463694,-106726375,- -,-182683996,-205765496,-219164945,-229055519,-248513626,-266429337,-275177181,-280845882,-289341503,-294067329,-299495370,-302152292,-302270933,-298828527
65,Other Comprehensive Income/Loss,-331312,-3868026,-2649088,-7876498,-3498672,-5469377,-5023992,- -,- -,- -,-271954,-2378065,-845314,-675822,-970270,-1001602,-921073,-1054349
66,Other Total Stockholders Equity,66329339,76113623,111718090,1277868,186203084,198841015,227475855,242620460,252878825,290391698,295364173,297591034,298876399,300717861,302102866,302250556,302270242,302250954
67,Total Stockholders Equity,-3478652,-8213444,2351200,1625527,36006,-12372821,3314924,13615308,4427137,23963342,19916047,14368113,8690616,5975758,1638366,-902198,-920623,2369230
68,Total Liabilities And Stockholders Equity,708804,1196444,12192066,11598120,13010697,8593589,11373534,22685249,26533725,26698991,57884887,54030451,52319323,49147132,48356284,49382190,47734907,53523242
69,Minority Interest,- -,- -,- -,862463,- -,- -,-185073,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,708804,1196444,12192066,12460583,13010697,8593589,11188461,22685249,26533725,26698991,57884887,54030451,52319323,49147132,48356284,49382190,47734907,53523242
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045942/000109690611003198/0001096906-11-003198-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000109690613000051/0001096906-13-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000109690614000038/0001096906-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000141588914003914/0001415889-14-003914-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000141588915004030/0001415889-15-004030-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495416005033/0001654954-16-005033-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495418000800/0001654954-18-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495418014088/0001654954-18-014088-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495420000262/0001654954-20-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495420013848/0001654954-20-013848-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000185173421000150/0001851734-21-000150-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-6406711,-10983689,-23797745,-26022912,-49587050,-23081500,-13784042,-9890574,-17458107,-18958608,-8747844,-5668701,-8495621,-4725826,-5428041,-2563953,-118641,3442406
74,Depreciation and Amortization,943403,1207931,10090794,3017673,1736492,2087949,1436876,1793557,2078127,2414270,2457991,4399582,4719355,4460885,3977480,4060955,3287809,4408264
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,160301,801820,1662883,1353295,1140520,1719844,21465,19687,- -
77,Change in Working Capital,690298,-2948264,7627937,-1113486,-8119261,-9654621,13081965,2192977,-12398390,20436787,4486665,-3925975,-7052849,-31218390,557779,-4694147,237314,-1962297
78,Accounts Receivable,- -,- -,- -,- -,- -,-23490,102135,-2726576,1054267,-652749,-193030,-2751598,-2718115,583694,-556160,-1418487,989684,-1820091
79,Inventory,286151,31711,7300,-12083,- -,- -,183195,-502648,-410521,186913,-1727400,-300865,258519,260041,- -,498936,80500,4200
80,Accounts Payable,- -,- -,- -,- -,- -,745630,-279890,1042579,487264,-1473530,1466905,442107,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-2269202,-5217466,2410471,1296985,-6822276,-16476897,-3394932,-1201955,-13600345,6836442,11323107,7397132,344283,-30874107,-30316328,-35010475,-34773161,- -
82,Other Non-Cash Items,2737958,8884786,-5318613,9946216,46297075,22126846,-6620586,-905473,26068982,-3087125,-3580920,2616986,10383383,34490597,5203530,8247330,1299695,-1066191
83,Cash Provided by Operating Activities,-2035052,-3839236,-11397627,-14172509,-9672744,-8521326,-5885787,-6809513,-1709388,965625,-4582288,-915225,907563,4147786,6030592,5071650,4725864,4822182
84,CAPEX,-102740,-311730,-3335490,-4257390,-526447,-1693044,-2228803,-3281554,-2857562,-560425,-1874194,-2456096,-5057183,-4340332,-2543704,-3278846,-2942195,-4507696
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-390000,- -,- -,-7855109,-1782849,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55984,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2735,8457,1507,- -,- -,16577,105803,-45000,136618,- -,-3163802,-567287,-2090962,-1904304,-1075245,-1170745,-1514482,-1349550
89,Cash Used for Investing Activites,-100005,-303273,-3333983,-4257390,-526447,-1676467,-2123000,-3716554,-2720944,-560425,-12837121,-4238945,-5057183,-3827832,-2535204,-3268283,-2942195,-4507696
90,Debt Repayment,- -,- -,- -,- -,- -,-1854300,-3956399,-3059730,-5245268,-299276,-1467524,-5053989,-1021832,-67775,-66252,-65317,-2727557,-275628
91,Common Stock Issued,705546,2607746,16201558,18683533,10230395,3250000,- -,- -,1033000,- -,8000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-312008,-10500,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-28452,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1354720,1888696,3986545,-541436,-2052122,6621461,12489097,13409314,8387962,2818475,26915265,4077778,2000000,- -,- -,- -,933200,1652852
95,Cash Used/Provided by Financing Activities,2060266,4496442,20188103,18113645,8178273,8017161,8532698,10349584,4175694,2519199,25143733,-986711,978168,-67775,-66252,-65317,-1794357,1377224
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4930,-57896,38328,5221,-9900,-287896,-123924,-32647
97,Net Change In Cash,-74791,353933,5456493,-316254,-2020918,-2180632,523911,-176483,-254638,2924399,7719394,-6198777,-3133124,257400,3419236,1450154,-134612,1659063
98,Cash at the End of Period,62103,416036,5872529,5556275,2782953,602321,1126232,949749,695111,3382428,11101822,4903045,1769921,2027321,5446557,6896711,6762099,8421162
99,Cash at the Beginning of Period,136894,62103,416036,5872529,4803871,2782953,602321,1126232,949749,458029,3382428,11101822,4903045,1769921,2027321,5446557,6896711,6762099
100,Free Cash Flow,-2137792,-4150966,-14733117,-18429899,-10199191,-10214370,-8114590,-10091067,-4566950,405200,-6456482,-3371321,-4149620,-192546,3486888,1792804,1783669,314486
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045942/000109690611003198/0001096906-11-003198-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000109690613000051/0001096906-13-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000109690614000038/0001096906-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000141588914003914/0001415889-14-003914-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000141588915004030/0001415889-15-004030-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495416005033/0001654954-16-005033-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495418000800/0001654954-18-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495418014088/0001654954-18-014088-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495420000262/0001654954-20-000262-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000165495420013848/0001654954-20-013848-index.htm,https://www.sec.gov/Archives/edgar/data/1045942/000185173421000150/0001851734-21-000150-index.htm
102,false,,,,,,,,,,,,,,,,,,
