,https://roic.ai/company/EWLU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,1417556,5906016,28279845,412719,267212,206988,806856,1112406,1383775,624769
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1517498/000147793214001190/0001477932-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793216012793/0001477932-16-012793-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793217003448/0001477932-17-003448-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793217000563/0001477932-17-000563-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793218001362/0001477932-18-001362-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793219001247/0001477932-19-001247-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793220001852/0001477932-20-001852-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793221001788/0001477932-21-001788-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793222002230/0001477932-22-002230-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1460530,2232997,-1072779,-3494740,-736955,-1035582,-3146818,-722404,-1818338,-1196324
74,Depreciation and Amortization,51811,48745,39961,34071,33174,31779,160557,150034,248858,252008
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,344100,- -,- -,- -,- -,- -,839439,857092,421101,179992
77,Change in Working Capital,1988126,2231795,-20102055,15646605,-244797,7108782,-87267,3734901,2502752,-731236
78,Accounts Receivable,-25659,-3114,-47444,-48274,-70527,27067,3355,-80119,-64200,50114
79,Inventory,15955,179719,-67472,49455,99259,1021,30430,-115405,35656,6908
80,Accounts Payable,1266927,-85763,-1246290,- -,-104100,36426,-123618,- -,- -,110862
81,Other Working Capital,-11346714,-9114919,-29216974,-13570369,-13815166,-6706384,-6793651,-3058750,-555998,-1287234
82,Other Non-Cash Items,-36615,-165008,1426566,1426832,18040,248031,856836,-200415,-69019,- -
83,Cash Provided by Operating Activities,886892,4634153,-4045180,-1980900,-577477,-669206,-1508338,-1444324,-990096,-216386
84,CAPEX,-5527,-22352,-5886,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,-5527,-22352,-1765084,-727857,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,5527,22352,41271,-65887,- -,- -,- -,- -,- -,7700
89,Cash Used for Investing Activites,-5527,-22352,-1729699,-793744,- -,- -,- -,- -,- -,7700
90,Debt Repayment,-134353,-323863,-27594,-44855,-52278,-116768,-292837,-491269,-423662,-16623
91,Common Stock Issued,- -,- -,- -,- -,- -,453182,2374553,189305,1105000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6928,183723,1964368,1493213,623259,335776,-282895,1460004,309027,216685
95,Cash Used/Provided by Financing Activities,-127425,-140140,1936774,1448358,570981,672190,1798821,1158040,990365,200062
96,Effect of Forex Changes on Cash,- -,- -,-43284,-42011,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,753940,4471661,-3881389,-1368297,-6496,2984,290483,-286284,269,-8624
98,Cash at the End of Period,786575,5258236,1376847,8550,2054,5038,295521,9237,9506,882
99,Cash at the Beginning of Period,32635,786575,5258236,1376847,8550,2054,5038,295521,9237,9506
100,Free Cash Flow,886892,4634153,-4045180,-1980900,-577477,-669206,-1508338,-1444324,-990096,-216386
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1517498/000147793214001190/0001477932-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793216012793/0001477932-16-012793-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793217003448/0001477932-17-003448-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793217000563/0001477932-17-000563-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793218001362/0001477932-18-001362-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793219001247/0001477932-19-001247-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793220001852/0001477932-20-001852-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793221001788/0001477932-21-001788-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793222002230/0001477932-22-002230-index.htm
102,false,,,,,,,,,,
