,https://roic.ai/company/VASO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,100000,200000,- -,- -,500000,- -,- -,- -,- -,48294,98140,186574,132062,105232,81662,69767,16616,- -,5383,32220,2000,- -,- -,472000,650000,674000,750000,993000,701000,- -
14,Depreciation and Amortization,- -,- -,- -,300000,700000,300000,800000,500000,400000,500000,483627,587541,962167,1132996,749111,578530,518176,315269,187628,102245,123704,144536,391000,361000,467000,1540000,2158000,2426000,2522000,2681000,2462000,3840000
15,EBITDA,-800000,-700000,-4000000,-3900000,-4100000,-2800000,-1300000,-4000000,-3400000,-2300000,1774543,5873077,5400413,-5106101,-2490707,-4838615,-3019164,-1165422,-454676,-1416591,-1780093913,-3707018,-2936000,-842000,1722000,5791000,3909000,-1305000,-847000,3824000,3522000,9789000
16,EBITDA ratio,-8.0000,-7.0000,-40.0000,-3.9000,-2.9286,-28.0000,-0.4815,-1.9048,-0.6538,-0.3833,0.1298,0.2135,0.1550,-0.2057,-0.1122,-0.3205,-0.2759,-0.1834,-0.0877,-0.3168,-0.4232,-0.2264,-0.1004,-0.0256,0.0493,0.1015,0.0539,-0.0179,-0.0114,0.0505,0.0504,0.1295
17,Operating Income,-700000,-800000,-4500000,-4300000,-4200000,-3100000,-2300000,-4500000,-4000000,-2900000,1198901,5083544,4188524,-6415821,-3339211,-5491298,-3612849,-1534339,-747758,-1627415,-1979860,-3932638,-3508000,-1290000,1063000,3939000,1564000,-3832000,-3724000,1012000,772000,2819000
18,Operating Income ratio,-7.0000,-8.0000,-45.0000,-4.3000,-3.0000,-31.0000,-0.8519,-2.1429,-0.7692,-0.4833,0.0877,0.1848,0.1203,-0.2585,-0.1504,-0.3638,-0.3302,-0.2415,-0.1443,-0.3640,-0.0005,-0.2402,-0.1200,-0.0392,0.0304,0.0690,0.0215,-0.0526,-0.0503,0.0134,0.0111,0.0373
19,Total Other Income Expenses (Gains),100000,100000,- -,100000,-800000,100000,200000,100000,200000,- -,92015,153698,151582,-9850,-32669,-31079,-6154,-16119,88838,108579,-1850147140,48864,179000,87000,192000,-160000,-463000,-573000,-395000,-862000,-415000,3432000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1290916,5237242,4340106,-6425671,-3371880,-5522377,-3619003,-1550458,-658920,-1518836,-1852127000,-3883774,-3329000,-1203000,1255000,3779000,1101000,-4405000,-4119000,150000,357000,6251000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0944,0.1904,0.1246,-0.2589,-0.1518,-0.3658,-0.3307,-0.2440,-0.1271,-0.3397,-0.4404,-0.2372,-0.1139,-0.0366,0.0359,0.0662,0.0152,-0.0605,-0.0557,0.0020,0.0051,0.0827
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-6457108,1554000,-1634688,50640,39661,7082139,20608,18045,5875,35952000,6755,52000,-58000,127000,-44000,281000,134000,-385000,111000,1000,-151000
23,Net Income,-800000,-700000,-4100000,-4400000,-4800000,-3100000,-2600000,-4500000,-3800000,-2800000,1690916,11694350,2786106,-4790983,-3422520,-5562038,-10701141,-1571066,-676965,-1524711,-1816175000,-3890529,-3381000,-1145000,1128000,3823000,820000,-4539000,-3734000,39000,358000,6100000
24,Net Income ratio,-8.0000,-7.0000,-41.0000,-4.4000,-3.4286,-31.0000,-0.9630,-2.1429,-0.7308,-0.4667,0.1237,0.4251,0.0800,-0.1930,-0.1541,-0.3684,-0.9779,-0.2473,-0.1306,-0.3410,-0.4318,-0.2376,-0.1156,-0.0348,0.0323,0.0670,0.0113,-0.0624,-0.0505,0.0005,0.0051,0.0807
25,EPS,-0.08,-0.07,-0.32,-0.21,-0.20,-0.10,-0.07,-0.10,-0.11,-0.08,0.03,0.21,0.05,-0.08,-0.06,-0.10,-0.19,-0.02,-0.01,-0.02,-0.02,-0.04,-0.02,-0.01,0.01,0.02,0.01,-0.03,-0.02,0.00,0.00,0.04
26,EPS Diluted,-0.08,-0.07,-0.32,-0.21,-0.20,-0.10,-0.07,-0.10,-0.11,-0.08,0.03,0.20,0.05,-0.08,-0.06,-0.10,-0.19,-0.02,-0.01,-0.02,-0.02,-0.04,-0.02,-0.01,0.01,0.02,0.01,-0.03,-0.02,0.00,0.00,0.04
27,Weighted Average Shares Outstanding,10000000,10000000,12812500,20952381,24000000,31000000,37142857,46297142,47873711,49371574,52580623,56571402,57251035,57647032,57981963,58547574,61351323,65198592,92211788,99556191,101776390,111978478,158366000,159377000,156032000,156707000,159138000,162213000,165420000,167843000,169932000,169932000
28,Weighted Average Shares Outstanding Diluted,10000000,10000000,12812500,20952381,24000000,31000000,37142857,46297142,47873711,49371574,57141949,59927199,59468092,57647032,57981963,58547574,61351323,65198592,92211788,99556191,101776390,111978478,158366000,159377000,156032000,157189000,159396000,162213000,165420000,168090000,170846000,170846000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/839087/000120180010000130/0001201800-10-000130-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/839087/000120180014000003/0001201800-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000120180015000006/0001201800-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000120180016000030/0001201800-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/839087/000120180017000003/0001201800-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/839087/000083908718000002/0000839087-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/839087/000165495419004395/0001654954-19-004395-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000165495420004060/0001654954-20-004060-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000165495421005117/0001654954-21-005117-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000165495422004333/0001654954-22-004333-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5222847,6365049,989524,2385778,850288,2653999,544057,481679000,8130031,11469000,7961000,9128000,2160000,7087000,5245000,2668000,2124000,6819000,6025000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1180540,1758443,- -,- -,- -,370523,68850000,109709,110000,111000,111000,38000,- -,- -,- -,- -,766000,629000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5222847,7545589,2747967,2385778,850288,2653999,914580,550529000,8239740,11579000,8072000,9239000,2198000,7087000,5245000,2668000,2124000,7585000,6654000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7641208,5521853,1892002,843282,733655,717849,659551,- -,4036997,9170000,13570000,15273000,11620000,12741000,13225000,11028000,15852000,- -,15393000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3439567,2373748,3360272,2699673,2117627,1652678,1479724,2063769000,1786057,2166000,1618000,1898000,1963000,2395000,2355000,1983000,1941000,1384000,1147000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571231,272513,223902,108049,34761,58933,175511,565726000,3309283,2801000,2671000,2584000,2973000,2860000,4662000,3495000,4142000,13299000,4609000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16874853,15713703,8224143,6036782,3736331,5083459,3229366,3180024000,17372077,25716000,25931000,28994000,18754000,25083000,25487000,19174000,24059000,22268000,27803000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3233158,2430521,2234153,1569588,1286880,57170,180409,- -,366199,473000,365000,266000,2888000,4021000,4719000,5809000,4954000,1009000,3087000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3212000,3303000,3288000,17484000,17280000,17471000,17309000,17271000,15688000,15722000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2826000,6977000,5996000,5254000,4740000,4301000,3949000,2041000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3212000,3303000,6114000,24461000,23276000,22725000,22049000,21572000,19637000,17763000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1116000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14279000,14582000,14582000,- -,- -,- -,- -,- -,- -,- -,112000,112000,- -,- -,- -,375000,323000,271000,219000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,940539,297391,321174,305670,260240,620437,553975,- -,816269,2980000,3806000,5505000,4315000,5001000,3847000,3067000,3456000,-2396000,3489000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18452697,17309912,17137327,1875258,1547120,677607,734384,- -,1182468,6665000,7586000,11997000,31664000,32298000,31291000,31300000,30305000,19637000,24558000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35327550,33023615,25361470,7912040,5283451,5761066,3963750,3180024000,18554545,32381000,33517000,40991000,50418000,57381000,56778000,50474000,54364000,41905000,52361000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2667861,3122184,1569131,938095,575793,822244,260000,300784000,480661,342000,597000,462000,4037000,5219000,5423000,6284000,6179000,6285000,2797000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108462,136478,148212,97309,65769,- -,- -,- -,- -,- -,- -,163000,1485000,4245000,3760000,9886000,4652000,6700000,792000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143693,141884,160321,178000,230000,291000,873000,748000,852000,1020000,887000,621000,719000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789118,1734925,1667080,1600887,1286726,1132445,957258,854403000,10970977,10580000,10541000,9882000,9480000,7628000,15540000,10382000,12345000,11516000,16495000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1831320,948246,906951,533203,487696,276869,711461,761146000,3083934,7256000,8077000,9272000,7448000,8558000,8981000,8801000,8352000,7198000,10916000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5396761,5941833,4291374,3169494,2415984,2231558,1928719,1916333000,14535572,18178000,19215000,19779000,22450000,25650000,33704000,35353000,31528000,31699000,31000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177804,1092837,947597,853189,785246,- -,11900,239032000,94835,- -,3000,1039000,4886000,648000,259000,245000,8121000,- -,352000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445814,- -,1004483,5022000,7478000,12650000,9036000,11776000,7526000,7704000,6998000,- -,8470000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,112000,112000,112000,220000,124000,124000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1433683,1394776,959702,723201,469626,662874,16040,11900000,11875,171000,244000,-340000,2193000,6284000,5917000,1437000,1804000,910000,1229000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2611487,2487613,1907299,1576390,1254872,662874,473754,250932000,1111193,5193000,7837000,13461000,16227000,18820000,13922000,9510000,17047000,910000,10051000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477000,1445000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8008248,8429446,6198673,4745884,3670856,2894432,2402473,1514621000,15646765,23371000,27052000,33240000,38677000,44470000,47626000,44863000,48575000,13592000,10051000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2990,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57822,58419,58552,65198,65198,93768,99843,- -,117079,163000,165000,166000,168000,174000,176000,178000,184000,- -,185000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23361836,-26784356,-32346394,-43047535,-44618601,-45295566,-46820277,- -,-52955584,-52416000,-53561000,-52433000,-48610000,-47790000,-52329000,-55924000,-55885000,- -,-50902000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2338366,-2378576,-2626983,-2613180,-2836938,-2178566,-1562891,- -,- -,34000,108000,94000,-80000,-329000,-58000,-315000,-313000,16000,110000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52961682,53698682,54077622,48761673,49002936,50246998,49844602,432556000,55743295,61229000,59753000,59924000,60263000,60856000,61363000,61672000,61803000,5069000,61917000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27319302,24594169,19162797,3166156,1612595,2866634,1561277,432556,2907780,9010000,6465000,7751000,11741000,12911000,9152000,5611000,5789000,5085000,11310000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35327550,33023615,25361470,7912040,5283451,5761066,3963750,1515053556,18554545,32381000,33517000,40991000,50418000,57381000,56778000,50474000,54364000,18677000,21361000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1664970444,- -,- -,- -,- -,- -,- -,- -,- -,- -,23228000,31000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35327550,33023615,25361470,7912040,5283451,5761066,3963750,3180024000,18554545,32381000,33517000,40991000,50418000,57381000,56778000,50474000,54364000,41905000,52361000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/839087/000120180010000130/0001201800-10-000130-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/839087/000120180014000003/0001201800-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000120180015000006/0001201800-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000120180016000030/0001201800-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/839087/000120180017000003/0001201800-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/839087/000083908718000002/0000839087-18-000002-index.html,https://www.sec.gov/Archives/edgar/data/839087/000165495419004395/0001654954-19-004395-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000165495420004060/0001654954-20-004060-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000165495421005117/0001654954-21-005117-index.htm,https://www.sec.gov/Archives/edgar/data/839087/000165495422004333/0001654954-22-004333-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-800000,-700000,-4100000,-4400000,-4800000,-3100000,-2600000,-4500000,-3800000,-2800000,1690916,11694350,2786106,-4790983,-3422520,-5562038,-10701141,-1571066,-676965,-1524711,-1816175000,-3890529,-3381000,-1145000,1128000,3823000,820000,-4539000,-3734000,39000,358000,6100000
74,Depreciation and Amortization,- -,- -,- -,300000,700000,300000,800000,500000,400000,500000,483627,587541,962167,1132996,749111,578530,518176,315269,187628,102245,123704,144536,391000,361000,467000,1540000,2158000,2426000,2522000,2681000,2462000,3840000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6597000,1573000,-1669000,- -,- -,7093000,- -,- -,- -,- -,- -,- -,- -,- -,-334000,226000,216000,-374000,52000,-73000,52000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159354,218004,445586,793000,369000,390000,342000,428000,514000,313000,141000,88000,31000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11478092,-1706222,-5839101,-1065481,-1546941,1531554,-1551254,1262390353,-1260854495,4701495,-822000,2499000,-12911000,3129000,-7650000,-7962000,8710000,-1962000,6234000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233510,166626,- -,- -,- -,- -,- -,- -,- -,- -,- -,5050000,-6052000
79,Inventory,- -,- -,- -,-300000,- -,- -,-600000,-400000,400000,-400000,-281337,-4460572,-1694198,1079976,1187761,-1295294,699371,606580,592427,-180441,-287320,247762,249000,545000,-294000,-201000,-602000,87000,329000,31000,6000,385000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000,138036,234904,69000,255000,-135000,347000,1270000,197000,864000,-105000,-1369000,-3492000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11478092,9771870,3932769,2867288,1320347,2851901,1300647,1263691000,2836505,7538000,6716000,9215000,-3696000,-567000,-8217000,-16179000,-7469000,-9431000,-3197000
82,Other Non-Cash Items,800000,700000,2300000,-200000,1300000,400000,-700000,600000,-300000,-700000,-3334029,-5005996,-7637925,-2971501,6215891,6228025,1879573,1569444,-1074238,1097506,551854552,1268294742,6926505,-267000,-1890000,14060000,-1546000,10632000,7782000,-12956000,5061000,-8442000
83,Cash Provided by Operating Activities,- -,- -,-1800000,-4300000,-2800000,-2400000,-2500000,-3400000,-3700000,-3000000,-1159486,678895,-2316652,3179604,1836260,-4594584,-2275873,-1233294,-32021,-1716860,-1588387,4139840,9431000,-1504000,2594000,6520000,5215000,1599000,-1453000,-1333000,5934000,7815000
84,CAPEX,- -,- -,-800000,-300000,-100000,- -,-200000,-200000,-300000,- -,-279033,-1578415,-319981,-326489,-153954,-200198,- -,-10593,- -,-22559,-25664,-135097,-402000,-228000,-389000,-893000,-1866000,-2374000,-2586000,-1205000,-1000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1023000,-17367000,-422000,- -,311000,- -,1150000,- -
86,Purchases of Investments,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1180540,-3747903,- -,- -,- -,-370523,-68850,-40000,-70000,-111000,-111000,-38000,- -,- -,- -,- -,-725000,155000
87,Sales/Maturities of Investments,- -,- -,- -,900000,- -,300000,700000,- -,- -,- -,- -,- -,- -,- -,- -,3170000,1758443,- -,- -,- -,370523,- -,70000,111000,111000,40000,38000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1500000,500000,- -,-100000,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,1310857,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,22000,- -,-415000
89,Cash Used for Investing Activites,- -,- -,-800000,-900000,-500000,300000,400000,-200000,-300000,- -,-279033,-1578415,-819981,-326489,-1334494,-778101,1758443,-10593,1310857,-393082,276009,-175097,-402000,-228000,-1388000,-18258000,-2250000,-2374000,-2275000,-1183000,-575000,-260000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,-190000,- -,- -,-146000,-868000,-663000,-135000,-867000,-4305000,-5762000
91,Common Stock Issued,- -,- -,2600000,4200000,3500000,- -,2300000,900000,6600000,400000,2818711,1626609,1341310,235000,697387,130666,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1755000,-245000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91623,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1600000,-1000000,1900000,3700000,- -,- -,- -,- -,- -,977494,-832895,-56951,-133506,-494693,-291603,524875,- -,1250000,3933609,343000,- -,199000,4847000,2787000,-389000,1276000,2776000,3752000,-2567000
95,Cash Used/Provided by Financing Activities,- -,- -,2600000,5800000,2500000,1900000,6000000,900000,6600000,400000,2818711,1626609,2318804,-597895,640436,-2840,1913684,-291603,524875,- -,1250000,3683609,153000,-1755000,-46000,4701000,1919000,-1052000,1141000,1909000,-553000,-8329000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000,-21000,7000,69000,43000,-15000,10000,63000,-111000,-20000
97,Net Change In Cash,- -,- -,2600000,5800000,-900000,1900000,6000000,900000,6600000,-2700000,1380192,727089,-817829,2255220,1142202,-5375525,1396254,-1535490,1803711,-2109942,-62378,7648352,9175000,-3508000,1167000,-6968000,4927000,-1842000,-2577000,-544000,4695000,-794000
98,Cash at the End of Period,- -,- -,- -,- -,700000,- -,- -,- -,- -,1700000,3058367,3785456,2967627,5222847,6365049,989524,2385778,850288,2653999,544057,481679,8130031,11469000,7961000,9128000,2160000,7087000,5245000,2668000,2124000,6819000,6025000
99,Cash at the Beginning of Period,- -,- -,1100000,1100000,1600000,800000,500000,4400000,1800000,4400000,1678175,3058367,3785456,2967627,5222847,6365049,989524,2385778,850288,2653999,544057,481679,2294000,11469000,7961000,9128000,2160000,7087000,5245000,2668000,2124000,6819000
100,Free Cash Flow,- -,- -,-2600000,-4600000,-2900000,-2400000,-2700000,-3600000,-4000000,-3000000,-1438519,-899520,-2636633,2853115,1682306,-4794782,-2275873,-1243887,-32021,-1739419,-1614051,4004743,9029000,-1732000,2205000,5627000,3349000,-775000,-4039000,-2538000,4934000,7815000
