,https://roic.ai/company/DSX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,768000,951000,920000,1033000,1432000,1800000,3627000,3152000,2410000,4508000,8822000,2858000,1307000,176000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,5851000,2944000,4642000,4924000,7021000,7600000,7815000,13922000,19523000,24978000,28299000,27963000,20742000,20239000
14,Depreciation and Amortization,- -,2347000,3004000,3978000,5087000,9943000,16709000,24443000,43259000,44686000,53083000,55278000,62010000,64741000,70503000,76333000,81578000,87003000,52206000,48904000,42991000,- -
15,EBITDA,- -,1955000,3080000,13467000,65170000,74933000,77772000,158663000,270809000,169128000,186504000,167699000,123670000,51136000,68050000,25542000,-63136000,-399733000,97085000,66332000,-70464000,77633000
16,EBITDA ratio,- -,0.1721,0.2579,0.5328,1.0208,0.7268,0.6699,0.8330,0.8027,0.7066,0.6771,0.6531,0.5540,0.3109,0.3876,0.1620,-0.5526,-2.4691,0.4292,0.3005,-0.4151,0.3624
17,Operating Income,- -,2214000,2056000,11162000,42130000,66699000,63916000,137938000,225837000,124336000,133639000,110916000,63116000,-8653000,-18204000,-47177000,-88321000,-483987000,38250000,17622000,-112675000,63518000
18,Operating Income ratio,- -,0.1949,0.1722,0.4416,0.6599,0.6469,0.5505,0.7242,0.6694,0.5195,0.4852,0.4319,0.2827,-0.0526,-0.1037,-0.2991,-0.7730,-2.9895,0.1691,0.0798,-0.6638,0.2965
19,Total Other Income Expenses (Gains),- -,- -,- -,-1700000,19979000,30000,-3886000,- -,945000,-845000,-5770000,973000,-8477000,-12552000,7936000,-17536000,-75916000,-27727000,-21670000,-28157000,-21522000,-6124000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127869000,- -,54639000,-21205000,-10268000,-64713000,-164237000,-511714000,16580000,-10535000,-134197000,57394000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4642,- -,0.2448,-0.1289,-0.0585,-0.4103,-1.4374,-3.1607,0.0733,-0.0477,-0.7906,0.2679
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-392000,76000,9489000,60083000,64990000,61063000,134220000,221699000,121498000,128779000,107497000,54639000,-21205000,-10268000,-64713000,-164237000,-511714000,16580000,-10535000,-134197000,57394000
24,Net Income ratio,- -,-0.0345,0.0064,0.3754,0.9412,0.6303,0.5259,0.7046,0.6571,0.5076,0.4675,0.4186,0.2448,-0.1289,-0.0585,-0.4103,-1.4374,-3.1607,0.0733,-0.0477,-0.7906,0.2679
25,EPS,- -,-0.11,0.02,0.37,2.17,1.72,0.82,2.11,2.97,1.55,1.60,1.33,0.67,-0.26,-0.19,-0.89,-2.11,-5.41,0.10,-0.17,-1.62,0.64
26,EPS Diluted,- -,-0.11,0.02,0.37,2.17,1.72,0.82,2.11,2.97,1.55,1.59,1.33,0.67,-0.26,-0.19,-0.89,-2.11,-5.41,0.10,-0.17,-1.62,0.61
27,Weighted Average Shares Outstanding,- -,3683333,4297161,25340596,27625000,37765753,49528904,63748973,74375686,78282775,80682770,81081774,81083485,81328390,81292290,79518009,80441517,95731093,103736742,95191116,86143556,81121781
28,Weighted Average Shares Outstanding Diluted,- -,3683333,4297161,25340596,27625000,37765753,49528904,63748973,74558254,78385464,80808232,81124348,81083485,81328390,81292290,79518009,80441517,95731093,104715883,95191116,86143556,84856840
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318885/000091957409004286/0000919574-09-004286-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957410002777/0000919574-10-002777-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957411002540/d1184225_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957412002867/d1282190_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957413002517/0000919574-13-002517-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957414002437/d1464688_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957415003145/d6386849_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957416012194/0000919574-16-012194-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957417002154/0000919574-17-002154-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957418002512/0000919574-18-002512-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957419002305/0000919574-19-002305-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957420002636/0000919574-20-002636-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1867000,7441000,1758000,21230000,14511000,16726000,62033000,282438000,345414000,416674000,446624000,240633000,218901000,193218000,98142000,40227000,126825000,107288000,82909000,126788000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,7690000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1867000,7441000,1758000,21230000,14511000,16726000,62033000,290128000,345414000,416674000,446624000,240633000,218901000,193218000,98142000,40227000,126825000,107288000,82909000,126788000
34,Net Receivables,- -,- -,- -,227000,128000,1007000,1000000,1822000,1646000,183000,467000,5831000,7203000,787000,6440000,9615000,6005000,87597000,2948000,7885000,- -,- -
35,Inventory,- -,- -,- -,366000,517000,872000,1279000,2102000,3146000,2831000,4068000,4808000,5275000,5959000,7313000,6251000,5860000,5770000,5835000,5526000,- -,- -
36,Other Current Assets,- -,- -,1480000,1038000,1146000,3488000,2272000,864000,1729000,4014000,4700000,5378000,7884000,4489000,5580000,5929000,5309000,5167000,6364000,16340000,41752000,15566000
37,Total Current Assets,- -,- -,3347000,9072000,3549000,26597000,19062000,21514000,68554000,297156000,354649000,432691000,466986000,251868000,238234000,215013000,115316000,138761000,141972000,137039000,124661000,142354000
38,PP&E,- -,- -,- -,125345000,152087000,311526000,489683000,921692000,987766000,1009173000,1217972000,1131818000,1245414000,1382063000,1426520000,1508806000,1473889000,1076228000,1013828000,904374000,737882000,682579000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,77000,- -,- -,- -,- -,- -,- -,- -,29842000,24734000,15640000,67546000,62487000,6014000,3249000,3263000,1680000,- -,7644000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,76600000,628000,- -,3826000,1930000,1136000,886000,14096000,12768000,10120000,5668000,52410000,54822000,50659000,73444000,28484000,28733000,28187000,9867000,9582000
45,Total Non-Current Assets,- -,- -,76600000,126050000,152087000,315352000,491613000,922828000,988652000,1023269000,1230740000,1171780000,1275816000,1450113000,1548888000,1621952000,1553347000,1107961000,1045824000,934241000,747749000,699805000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,79947000,135122000,155636000,341949000,510675000,944342000,1057206000,1320425000,1585389000,1604471000,1742802000,1701981000,1787122000,1836965000,1668663000,1246722000,1187796000,1071280000,872410000,842159000
48,Accounts Payable,- -,- -,- -,682000,2595000,1590000,2868000,3718000,- -,- -,5759000,7127000,6993000,7409000,9702000,8963000,6572000,7954000,11073000,11394000,- -,- -
49,Short-Term Debt,- -,- -,- -,6027000,7078000,- -,- -,- -,- -,5400000,7320000,27700000,45032000,46532000,78734000,40984000,65072000,60763000,96434000,40205000,39217000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,11802000,18119000,13662000,8136000,2827000,3278000,3279000,2414000,822000,3207000,4090000,2532000,- -,- -
52,Other Current Liabilities,- -,- -,5863000,2398000,1671000,3077000,4768000,17246000,8210000,8867000,5769000,5132000,6625000,5533000,6377000,6528000,5759000,8517000,13559000,11353000,22372000,- -
53,Total Current Liabilities,- -,- -,5863000,9107000,11344000,4667000,7636000,20964000,20012000,32386000,32510000,48095000,61477000,62752000,98092000,58889000,78225000,80441000,125156000,65484000,61589000,- -
54,Long-Term Debt,- -,- -,53810000,77229000,85168000,12859000,138239000,98819000,238094000,276081000,376303000,345638000,414080000,385025000,405522000,559087000,533109000,540621000,434113000,434746000,420314000,423675000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,23965000,22502000,11244000,4227000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-3208000,345000,72000,265000,1697000,1120000,1122000,1389000,2419000,1860000,821000,812000,1282000,623000,740000,902000,843000,986000,23526000,25080000
58,Total Non-Current Liabilities,- -,- -,50602000,77574000,85240000,13124000,139936000,123904000,261718000,288714000,382949000,347498000,414901000,385837000,406804000,559710000,533849000,541523000,434956000,435732000,443840000,448755000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,56465000,86681000,96584000,17791000,147572000,144868000,281730000,321100000,415459000,395593000,476378000,448589000,504896000,618599000,612074000,621964000,560112000,501216000,443840000,448755000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,26000,26000,26000,26000,26000,26000,- -
63,Common Stock,- -,- -,- -,276000,276000,450000,531000,744000,751000,815000,820000,824000,822000,828000,819000,825000,847000,1061000,1038000,912000,- -,- -
64,Retained Earnings,- -,- -,- -,10204000,19287000,26877000,-5905000,-2729000,-28031000,93467000,222246000,292762000,347401000,326196000,310848000,240366000,70360000,-447123000,-436312000,-452616000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-9329000,-14416000,-24218000,-40054000,-57206000,182000,-143762000,-16000,-112000,194000,164000,-747000,269000,185000,294000,287000,109000,69000,- -
66,Other Total Stockholders Equity,- -,- -,23482000,47290000,53905000,321049000,408531000,858665000,802574000,1048805000,908467000,915404000,918007000,926204000,971280000,976880000,985171000,1070500000,1062645000,1021633000,428501000,- -
67,Total Stockholders Equity,- -,- -,23482000,48441000,59052000,324158000,363103000,799474000,775476000,999325000,1131517000,1208878000,1266424000,1253392000,1282226000,1218366000,1056589000,624758000,627684000,570064000,428570000,393404000
68,Total Liabilities And Stockholders Equity,- -,- -,79947000,135122000,155636000,341949000,510675000,944342000,1057206000,1320425000,1546976000,1604471000,1742802000,1701981000,1787122000,1836965000,1668663000,1246722000,1187796000,1071280000,872410000,842159000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38413000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,79947000,135122000,155636000,341949000,510675000,944342000,1057206000,1320425000,1585389000,1604471000,1742802000,1701981000,1787122000,1836965000,1668663000,1246722000,1187796000,1071280000,872410000,842159000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318885/000091957409004286/0000919574-09-004286-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957410002777/0000919574-10-002777-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957411002540/d1184225_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957412002867/d1282190_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957413002517/0000919574-13-002517-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957414002437/d1464688_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957415003145/d6386849_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957416012194/0000919574-16-012194-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957417002154/0000919574-17-002154-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957418002512/0000919574-18-002512-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957419002305/0000919574-19-002305-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957420002636/0000919574-20-002636-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-392000,76000,9489000,60083000,64990000,61063000,134220000,221699000,121498000,128779000,107497000,54639000,-21205000,-10268000,-64713000,-164237000,-511714000,16580000,-10535000,-134197000,- -
74,Depreciation and Amortization,- -,2347000,3004000,3978000,5087000,9943000,16709000,24443000,43259000,44686000,53083000,55278000,62010000,64741000,70503000,76333000,81578000,87003000,52206000,48904000,42991000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3944000,7482000,8095000,8645000,8203000,7744000,8279000,8313000,8232000,7279000,7581000,10511000,- -
77,Change in Working Capital,- -,- -,- -,453000,1168000,-5569000,5598000,389000,-4009000,-18184000,-7575000,-16037000,-6070000,10884000,-5041000,2627000,-1666000,7744000,9755000,-13715000,809000,- -
78,Accounts Receivable,- -,- -,- -,-137000,99000,-879000,7000,-822000,- -,- -,- -,- -,-1022000,5889000,-5682000,1871000,-1391000,966000,1989000,-4914000,2627000,- -
79,Inventory,- -,- -,- -,-296000,-151000,-355000,-407000,-823000,-1044000,315000,-1237000,-737000,-467000,-684000,-1354000,1062000,391000,90000,-65000,309000,809000,- -
80,Accounts Payable,- -,- -,- -,503000,43000,865000,988000,850000,507000,303000,1231000,1833000,-134000,416000,2293000,-739000,-2391000,1382000,3119000,321000,-2836000,- -
81,Other Working Capital,- -,- -,- -,956000,-86000,224000,1573000,-12531000,-1401000,-2193000,-11072000,-13065000,-5309000,451000,1000,-865000,-1592000,2385000,883000,-1558000,310000,- -
82,Other Non-Cash Items,- -,3176000,2371000,1298000,-18959000,-108000,-1000000,-10093000,202000,-41000,-3477000,-603000,662000,4777000,-18028000,1419000,55014000,432148000,-5890000,17647000,97120000,- -
83,Cash Provided by Operating Activities,- -,5131000,5451000,15218000,47379000,69256000,82370000,148959000,261151000,151903000,178292000,154230000,119886000,67400000,44910000,23945000,-20998000,23413000,79930000,49882000,17234000,- -
84,CAPEX,- -,- -,- -,-44081000,-35956000,-165020000,-168749000,-458989000,-109568000,-65225000,-259689000,-28160000,-172748000,-199156000,-113276000,-155563000,-51128000,-125885000,-2825000,-2929000,-6139000,- -
85,Acquisitions Net,- -,- -,- -,-44081000,-52977000,-165020000,- -,- -,- -,- -,- -,-50124000,- -,- -,-40000000,-267000,- -,- -,- -,- -,-500000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000,- -,- -,1500000,- -
88,Other Investing Activites,- -,-53011000,- -,35439000,77155000,160799000,-24347000,49904000,906000,-7856000,7376000,-12144000,2835000,-46000000,763000,193000,9509000,-26606000,102195000,41326000,15623000,- -
89,Cash Used for Investing Activites,- -,-53011000,- -,-52723000,-11778000,-169241000,-193096000,-409085000,-108662000,-73081000,-252313000,-90428000,-169913000,-245156000,-152513000,-155637000,-41619000,-152333000,99370000,38397000,10484000,- -
90,Debt Repayment,- -,- -,- -,-4398000,-6289000,-230718000,-71425000,-327350000,-97500000,-30100000,-35830000,-6330000,-31972000,-45783000,-48589000,-321240000,-42489000,-55164000,-169943000,-100553000,-54762000,- -
91,Common Stock Issued,- -,- -,- -,14000000,- -,- -,71651000,433085000,- -,98444000,- -,- -,- -,- -,- -,- -,- -,77311000,- -,960000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1187000,-6044000,- -,-25349000,-2673000,- -,- -,-15157000,-49679000,-11999000,- -
93,Dividends Paid,- -,- -,- -,- -,-51000000,-57400000,-73578000,-131044000,-247001000,- -,- -,- -,- -,- -,-3862000,-5769000,-5769000,-5769000,-5769000,-5769000,-5769000,- -
94,Other Financing Activites,- -,47993000,-4894000,33477000,16005000,407575000,177359000,287650000,237319000,73239000,172827000,14975000,117993000,17548000,163671000,435691000,37299000,57209000,97167000,43643000,-567000,- -
95,Cash Used/Provided by Financing Activities,- -,47993000,-4894000,43079000,-41284000,119457000,104007000,262341000,-107182000,141583000,136997000,7458000,79977000,-28235000,85871000,106009000,-10959000,73587000,-93702000,-111398000,-73097000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,47993000,-4894000,5574000,-5683000,19472000,-6719000,2215000,45307000,220405000,62976000,71260000,29950000,-205991000,-21732000,-25683000,-73576000,-55333000,85598000,-23119000,-45379000,- -
98,Cash at the End of Period,- -,- -,- -,7441000,1758000,21230000,14511000,16726000,62033000,282438000,345414000,416674000,446624000,240633000,218901000,193218000,98142000,65809000,151407000,128288000,82909000,- -
99,Cash at the Beginning of Period,- -,- -,- -,1867000,7441000,1758000,21230000,14511000,16726000,62033000,282438000,345414000,416674000,446624000,240633000,218901000,171718000,121142000,65809000,151407000,128288000,- -
100,Free Cash Flow,- -,5131000,5451000,-28863000,11423000,-95764000,-86379000,-310030000,151583000,86678000,-81397000,126070000,-52862000,-131756000,-68366000,-131618000,-72126000,-102472000,77105000,46953000,11095000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318885/000091957409004286/0000919574-09-004286-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957410002777/0000919574-10-002777-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957411002540/d1184225_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957412002867/d1282190_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957413002517/0000919574-13-002517-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957414002437/d1464688_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957415003145/d6386849_20-f.htm,https://www.sec.gov/Archives/edgar/data/1318885/000091957416012194/0000919574-16-012194-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957417002154/0000919574-17-002154-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957418002512/0000919574-18-002512-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957419002305/0000919574-19-002305-index.html,https://www.sec.gov/Archives/edgar/data/1318885/000091957420002636/0000919574-20-002636-index.html,- -,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,
