,https://roic.ai/company/NDRAW,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,156442,19128,144953,5669374,6471375,6174207,7227316,9461534
34,Net Receivables,- -,- -,- -,6850,- -,- -,- -,- -
35,Inventory,238988,99004,40105,191680,59444,113442,589620,1284578
36,Other Current Assets,8986,8486,10535,14249,418739,247450,396786,1348003
37,Total Current Assets,404416,126618,195593,5882153,6949558,6535099,8213722,12094115
38,PP&E,298518,360104,295168,241549,273233,236251,212242,774543
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,404919,- -,5986
45,Total Non-Current Assets,298518,360104,295168,241549,273233,641170,212242,780529
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,702934,486722,490761,6123702,7222791,7176269,8425964,12874644
48,Accounts Payable,11500,80945,227743,848214,974583,1708525,910183,- -
49,Short-Term Debt,- -,- -,949976,- -,- -,66193,76480,132330
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,86101,155476,206809,- -,- -,298069,- -,1411437
53,Total Current Liabilities,97601,236421,1384528,848214,974583,2072787,986663,1543767
54,Long-Term Debt,- -,- -,- -,- -,- -,342812,608992,546631
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,1,- -,- -,- -,342812,608992,546631
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,409005,348388,- -
61,Total Liabilities,97601,236422,1384528,848214,974583,2415599,1595655,2090398
62,Preferred Stock,- -,- -,- -,- -,- -,1,1,- -
63,Common Stock,200,253,253,392,742,842,3404,4254
64,Retained Earnings,-7463899,-9743104,-12518473,-17895435,-27691696,-45217437,- -,-68690810
65,Other Comprehensive Income/Loss,-188669,-208094,-276150,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,8257701,10201245,11900603,23170531,33939162,49977264,7165916,79470802
67,Total Stockholders Equity,605333,250300,-893767,5275488,6248208,4760670,7169321,10784246
68,Total Liabilities And Stockholders Equity,702934,486722,490761,6123702,7222791,7176269,8764976,12874644
69,Minority Interest,- -,- -,- -,- -,- -,- -,-339012,- -
70,Total Liabilities & Equity,702934,486722,490761,6123702,7222791,7176269,8425964,12874644
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681682/000165495418002829/0001654954-18-002829-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495419002560/0001654954-19-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495420003346/0001654954-20-003346-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495421003302/0001654954-21-003302-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495422004172/0001654954-22-004172-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-2180878,-2279204,-2775369,-5376962,-9796261,-17525741,-11725501,-11231250
74,Depreciation and Amortization,37242,72225,64936,772953,797557,2470480,99342,224415
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,259493,309837,230326,- -,- -,- -,- -,1444572
77,Change in Working Capital,-152204,-416618,-1079132,6222874,941036,-1512663,2764747,3323289
78,Accounts Receivable,- -,- -,- -,-6850,6850,- -,- -,- -
79,Inventory,-60212,139984,58899,-151574,-155305,-53998,-476178,-694958
80,Accounts Payable,- -,- -,- -,528294,126368,760143,-834990,491104
81,Other Working Capital,306815,-109803,-1188935,5033939,5974975,4462312,7227059,10550348
82,Other Non-Cash Items,639118,1471033,2243616,-4919779,355187,7979073,-1885183,-4883410
83,Cash Provided by Operating Activities,-1397229,-842727,-1315623,-3300914,-7702481,-8588851,-10746595,-11122384
84,CAPEX,-275371,-133811,- -,- -,-100000,-43595,-75333,-45000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-7862,- -,- -,- -,- -
89,Cash Used for Investing Activites,-275371,-133811,- -,-7862,-100000,-43595,-75333,-45000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1751015,839224,5000,8590700,7736678,125000,2102352,1444572
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,395551,-121071
94,Other Financing Activites,- -,- -,1436448,175000,935300,8210278,9377134,12078101
95,Cash Used/Provided by Financing Activities,1751015,839224,1441448,8765700,8671978,8335278,11875037,13401602
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,78415,-137314,125825,- -,- -,- -,1053109,2234218
98,Cash at the End of Period,156442,19128,144953,5601878,6471375,6174207,7227316,9461534
99,Cash at the Beginning of Period,78027,156442,19128,5601878,6471375,6174207,6174207,7227316
100,Free Cash Flow,-1672600,-976538,-1315623,-3300914,-7802481,-8632446,-10821928,-11167384
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681682/000165495418002829/0001654954-18-002829-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495419002560/0001654954-19-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495420003346/0001654954-20-003346-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495421003302/0001654954-21-003302-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495422004172/0001654954-22-004172-index.htm
102,false,,,,,,,,
