,https://roic.ai/company/PSNL,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,290000,5572000,-18069000,-42653000,-70828000
84,CAPEX,-5158000,-7852000,-8382000,-3246000,-11083000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-78897000,-161775000,-267128000
87,Sales/Maturities of Investments,- -,- -,5700000,99878000,218142000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-5158000,-7852000,-81579000,-65143000,-60069000
90,Debt Repayment,-823000,-645000,-25000000,- -,-1857000
91,Common Stock Issued,- -,- -,144709000,117500000,162258000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,17227000,54000,15239000,3768000,9299000
95,Cash Used/Provided by Financing Activities,16404000,-591000,134948000,121268000,169700000
96,Effect of Forex Changes on Cash,4000,-2000,2000,7000,47000
97,Net Change In Cash,11540000,-2873000,35302000,13479000,38850000
98,Cash at the End of Period,22617000,19744000,55046000,68525000,107375000
99,Cash at the Beginning of Period,11077000,22617000,19744000,55046000,68525000
100,Free Cash Flow,-4868000,-2280000,-26451000,-45899000,-81911000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1527753/000156459020012826/0001564590-20-012826-index.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459021008848/0001564590-21-008848-index.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459022006722/0001564590-22-006722-index.htm
102,false,,,,,
