,https://roic.ai/company/AA,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1675149/000119312517083862/0001193125-17-083862-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000119312518056314/0001193125-18-056314-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459019004171/0001564590-19-004171-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459020005759/0001564590-20-005759-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459021008854/0001564590-21-008854-index.htm,https://www.sec.gov/Archives/edgar/data/1675149/000156459022006763/0001564590-22-006763-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,266000000,557000000,853000000,1358000000,1113000000,879000000,1607000000,1814000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,266000000,557000000,853000000,1358000000,1113000000,879000000,1607000000,1814000000
34,Net Receivables,- -,712000000,504000000,834000000,1043000000,1003000000,660000000,556000000,884000000
35,Inventory,- -,1501000000,1172000000,1160000000,1453000000,1644000000,1644000000,1398000000,1956000000
36,Other Current Assets,- -,438000000,333000000,334000000,384000000,374000000,347000000,959000000,372000000
37,Total Current Assets,- -,2917000000,2566000000,3181000000,4238000000,4134000000,3530000000,4520000000,5026000000
38,PP&E,- -,11326000000,9390000000,9325000000,9138000000,8327000000,7916000000,7190000000,6623000000
39,Goodwill,- -,160000000,152000000,155000000,154000000,151000000,150000000,145000000,- -
40,Intangible Assets,- -,70000000,53000000,135000000,62000000,57000000,52000000,45000000,- -
41,Intangible Assets,- -,230000000,205000000,290000000,216000000,208000000,202000000,190000000,- -
42,Investments,- -,1777000000,1472000000,1358000000,1410000000,1360000000,1113000000,1051000000,1199000000
43,Tax Assets,- -,1065000000,589000000,741000000,814000000,560000000,642000000,655000000,504000000
44,Other Non-Current Assets,- -,1365000000,2191000000,1846000000,1631000000,1349000000,1228000000,1254000000,1651000000
45,Total Non-Current Assets,- -,15763000000,13847000000,13560000000,13209000000,11804000000,11101000000,10340000000,9977000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18680000000,16413000000,16741000000,17447000000,15938000000,14631000000,14860000000,15003000000
48,Accounts Payable,- -,1740000000,1379000000,1455000000,1898000000,1663000000,1484000000,1403000000,1674000000
49,Short-Term Debt,- -,29000000,18000000,21000000,16000000,1000000,1000000,2000000,1000000
50,Tax Payable,- -,141000000,136000000,147000000,282000000,426000000,104000000,91000000,374000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,966000000,1007000000,1345000000,1338000000,1255000000,1078000000,1356000000,1548000000
53,Total Current Liabilities,- -,2735000000,2404000000,2821000000,3252000000,2919000000,2563000000,2761000000,3223000000
54,Long-Term Debt,- -,313000000,207000000,1424000000,1388000000,1801000000,1899000000,2545000000,1726000000
55,Deferred Revenue,- -,93000000,84000000,76000000,68000000,61000000,52000000,45000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2466000000,2205000000,4723000000,5941000000,3763000000,4231000000,4493000000,3805000000
58,Total Non-Current Liabilities,- -,2872000000,2496000000,6223000000,7397000000,5625000000,6182000000,7083000000,5531000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,100000000,82000000,- -
61,Total Liabilities,- -,5607000000,4900000000,9044000000,10649000000,8544000000,8745000000,9844000000,8754000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,11915000000,11042000000,2000000,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,-104000000,113000000,341000000,-555000000,-725000000,-315000000
65,Other Comprehensive Income/Loss,- -,-1316000000,-1600000000,-3775000000,-5182000000,-4565000000,-4974000000,-5629000000,-4626000000
66,Other Total Stockholders Equity,- -,- -,- -,9531000000,9590000000,9611000000,9639000000,9663000000,- -
67,Total Stockholders Equity,- -,10599000000,9442000000,5654000000,4523000000,5389000000,4112000000,3311000000,4638000000
68,Total Liabilities And Stockholders Equity,- -,16206000000,14342000000,14698000000,15172000000,13933000000,12857000000,13155000000,13392000000
69,Minority Interest,- -,2474000000,2071000000,2043000000,2275000000,2005000000,1774000000,1705000000,1611000000
70,Total Liabilities & Equity,- -,18680000000,16413000000,16741000000,17447000000,15938000000,14631000000,14860000000,15003000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1675149/000119312517083862/0001193125-17-083862-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000119312518056314/0001193125-18-056314-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459019004171/0001564590-19-004171-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459020005759/0001564590-20-005759-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459021008854/0001564590-21-008854-index.htm,https://www.sec.gov/Archives/edgar/data/1675149/000156459022006763/0001564590-22-006763-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-2909000000,-256000000,-863000000,-400000000,217000000,227000000,-1125000000,-170000000,429000000
74,Depreciation and Amortization,1026000000,954000000,780000000,718000000,752000000,733000000,713000000,653000000,- -
75,Deferred Income Tax,-10000000,-50000000,86000000,-46000000,176000000,-36000000,15000000,-26000000,147000000
76,Stock Based Compensation,33000000,39000000,35000000,28000000,24000000,35000000,30000000,25000000,39000000
77,Change in Working Capital,-202000000,86000000,-20000000,198000000,626000000,229000000,-248000000,792000000,-672000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,36000000,-126000000,212000000,1000000,-238000000,-278000000,137000000,122000000,-639000000
80,Accounts Payable,219000000,110000000,-156000000,6000000,377000000,-165000000,-153000000,25000000,354000000
81,Other Working Capital,96000000,182000000,162000000,360000000,986000000,1215000000,967000000,1759000000,301000000
82,Other Non-Cash Items,2514000000,69000000,857000000,-809000000,-571000000,-740000000,1301000000,-880000000,977000000
83,Cash Provided by Operating Activities,452000000,842000000,875000000,-311000000,1224000000,448000000,686000000,394000000,920000000
84,CAPEX,-567000000,-444000000,-391000000,-404000000,-405000000,-399000000,-379000000,-353000000,-390000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-242000000,-145000000,-63000000,-3000000,-66000000,-7000000,-112000000,-12000000,-11000000
87,Sales/Maturities of Investments,- -,28000000,- -,146000000,- -,- -,- -,- -,- -
88,Other Investing Activites,-560000000,-221000000,-321000000,934000000,-160000000,-398000000,-356000000,-155000000,576000000
89,Cash Used for Investing Activites,-802000000,-338000000,-384000000,1077000000,-226000000,-405000000,-468000000,-167000000,565000000
90,Debt Repayment,-41000000,-36000000,-24000000,-34000000,-60000000,-135000000,-7000000,-1000000,-1294000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-50000000,- -,- -,-150000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-19000000
94,Other Financing Activites,470000000,-408000000,-138000000,-449000000,-446000000,-103000000,-437000000,515000000,305000000
95,Cash Used/Provided by Financing Activities,429000000,-444000000,-162000000,-483000000,-506000000,-288000000,-444000000,514000000,-1158000000
96,Effect of Forex Changes on Cash,-14000000,-7000000,-38000000,13000000,13000000,-4000000,-7000000,-14000000,-13000000
97,Net Change In Cash,65000000,53000000,291000000,296000000,505000000,-249000000,-233000000,727000000,314000000
98,Cash at the End of Period,213000000,266000000,557000000,853000000,1358000000,1116000000,883000000,1610000000,1924000000
99,Cash at the Beginning of Period,148000000,213000000,266000000,557000000,853000000,1365000000,1116000000,883000000,1610000000
100,Free Cash Flow,-115000000,398000000,484000000,-715000000,819000000,49000000,307000000,41000000,530000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1675149/000119312517083862/0001193125-17-083862-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000119312518056314/0001193125-18-056314-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459019004171/0001564590-19-004171-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459020005759/0001564590-20-005759-index.html,https://www.sec.gov/Archives/edgar/data/1675149/000156459021008854/0001564590-21-008854-index.htm,https://www.sec.gov/Archives/edgar/data/1675149/000156459022006763/0001564590-22-006763-index.htm
102,false,,,,,,,,,
