,https://roic.ai/company/MEDP,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,54285000,14880000,37099000,26485000,23275000,131920000,277766000,461304000
34,Net Receivables,65248000,65088000,79767000,83079000,133449000,155662000,160962000,186432000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,13788000,14753000,16382000,20407000,21390000,29446000,34923000,43176000
37,Total Current Assets,133321000,94721000,133248000,129971000,178114000,317028000,473651000,690912000
38,PP&E,38084000,37512000,43805000,48739000,52255000,99444000,198826000,222711000
39,Goodwill,670294000,660981000,660981000,660981000,660981000,662396000,662396000,662396000
40,Intangible Assets,249885000,186743000,136071000,98740000,69179000,54350000,46474000,41360000
41,Intangible Assets,920179000,847724000,797052000,759721000,730160000,716746000,708870000,703756000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,138000,157000,97000,6343000,713000,376000,536000,25134000
44,Other Non-Current Assets,5190000,3927000,4903000,5943000,6691000,9477000,8794000,17422000
45,Total Non-Current Assets,963591000,889320000,845857000,820746000,789819000,826043000,917026000,969023000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1096912000,984041000,979105000,950717000,967933000,1143071000,1390677000,1659935000
48,Accounts Payable,6252000,8728000,10911000,16674000,16737000,22404000,26552000,25678000
49,Short-Term Debt,- -,- -,12375000,16500000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,58139000,51051000,65668000,73756000,147935000,192359000,255664000,344641000
52,Other Current Liabilities,69249000,74238000,79649000,85776000,92354000,128239000,157894000,186898000
53,Total Current Liabilities,133640000,134017000,168603000,192706000,257026000,343002000,440110000,557217000
54,Long-Term Debt,491518000,377882000,151267000,205111000,79721000,- -,115143000,130965000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,33768000,21104000,12030000,560000,439000,12849000,13551000,1080000
57,Other Non-Current Liabilities,36016000,37564000,36495000,48810000,41044000,60937000,16094000,17745000
58,Total Non-Current Liabilities,561302000,436550000,199792000,254481000,121204000,73786000,144788000,149790000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,45212000,115143000,130965000
61,Total Liabilities,694942000,570567000,368395000,447187000,378230000,416788000,584898000,707007000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,313000,326000,407000,355000,356000,360000,355000,360000
64,Retained Earnings,-14336000,-23009000,-9584000,-120402000,-41487000,68109000,115229000,234984000
65,Other Comprehensive Income/Loss,-1560000,-2559000,-4000000,-1000000,-3000000,-3000000,-131000,-4846000
66,Other Total Stockholders Equity,- -,- -,623887000,624577000,633834000,660814000,690326000,722430000
67,Total Stockholders Equity,401970000,413474000,610710000,503530000,589703000,726283000,805779000,952928000
68,Total Liabilities And Stockholders Equity,1096912000,984041000,979105000,950717000,967933000,1143071000,1390677000,1659935000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1096912000,984041000,979105000,950717000,967933000,1143071000,1390677000,1659935000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1668397/000156459017002839/0001564590-17-002839-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459018003500/0001564590-18-003500-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459019004451/0001564590-19-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459020006385/0001564590-20-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459021006072/0001564590-21-006072-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000095017022001280/0000950170-22-001280-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-8673000,13425000,39122000,73185000,100443000,145384000,181848000
74,Depreciation and Amortization,- -,69521000,58114000,46474000,38801000,23189000,19528000,21119000
75,Deferred Income Tax,- -,-12690000,-9006000,3237000,3942000,10050000,527000,-37112000
76,Stock Based Compensation,- -,22324000,9815000,4463000,6499000,20741000,13784000,14469000
77,Change in Working Capital,- -,-38977000,3941000,-27380000,-16177000,52938000,59515000,66707000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,2481000,691000,4816000,1342000,4730000,-2597000,1866000
81,Other Working Capital,- -,-39296000,-35355000,-62735000,-78912000,-25974000,33541000,88433000
82,Other Non-Cash Items,- -,52612000,15443000,31469000,50334000,-5494000,19938000,16296000
83,Cash Provided by Operating Activities,- -,84117000,91732000,97385000,156584000,201867000,258676000,263327000
84,CAPEX,- -,-6465000,-13537000,-12293000,-16024000,-17912000,-31340000,-28271000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,33000,115000,-513000,-949000,-1232000,126000,-31364000
89,Cash Used for Investing Activites,- -,-6432000,-13422000,-12237000,-16973000,-19144000,-31214000,-31364000
90,Debt Repayment,- -,-116055000,-390608000,-42375000,-142188000,-80438000,- -,- -
91,Common Stock Issued,- -,608000,173578000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-155583000,- -,- -,-98274000,-62096000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-1042000,159022000,100130000,608000,6520000,15992000,17643000
95,Cash Used/Provided by Financing Activities,- -,-116489000,-58008000,-97828000,-141580000,-73918000,-82282000,-44453000
96,Effect of Forex Changes on Cash,- -,-601000,-632000,1765000,-1241000,-167000,666000,-3972000
97,Net Change In Cash,- -,-39405000,19670000,-10915000,-3210000,108638000,145846000,183538000
98,Cash at the End of Period,- -,14880000,37407000,26492000,23282000,131920000,277766000,461304000
99,Cash at the Beginning of Period,- -,54285000,17737000,37407000,26492000,23282000,131920000,277766000
100,Free Cash Flow,- -,77652000,78195000,85092000,140560000,183955000,227336000,235056000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1668397/000156459017002839/0001564590-17-002839-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459018003500/0001564590-18-003500-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459019004451/0001564590-19-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459020006385/0001564590-20-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459021006072/0001564590-21-006072-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000095017022001280/0000950170-22-001280-index.htm
102,false,,,,,,,,
