,https://roic.ai/company/RDWR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,- -,6700000,2500000,2600000,4300000,5100000,5300000,7000000,7500000,4600000,5700000,5900000,5100000,9900000,8800000,9800000,9255000,5971000,5367000,4483000,6315000,3882000,3805000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5090000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92127000,99922000
52,Other Current Liabilities,- -,- -,6700000,12100000,11800000,11900000,14800000,19000000,22300000,20500000,24000000,33100000,47200000,50200000,56600000,57900000,66000000,68159000,79293000,102003000,113551000,119226000,47738000,56565000
53,Total Current Liabilities,- -,- -,13400000,14600000,14400000,16200000,19900000,24300000,29300000,28000000,28600000,38800000,53100000,55300000,66500000,66700000,75800000,77414000,85264000,107370000,118034000,125541000,143747000,165382000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22360000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54797000,67065000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,800000,900000,1200000,1700000,2400000,2600000,4000000,11400000,8800000,20600000,22500000,20600000,19900000,27900000,33100000,34350000,45309000,48684000,50730000,74327000,36260000,10065000
58,Total Non-Current Liabilities,- -,- -,800000,900000,1200000,1700000,2400000,2600000,4000000,11400000,8800000,20600000,22500000,20600000,19900000,27900000,33100000,34350000,45309000,48684000,50730000,74327000,91057000,99490000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19107000,30075000,27450000
61,Total Liabilities,- -,- -,14200000,15500000,15600000,17900000,22300000,26900000,33300000,39400000,37400000,59400000,75600000,75900000,86400000,94600000,108900000,111764000,130573000,156054000,168764000,199868000,234804000,264872000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,400000,400000,400000,400000,500000,500000,500000,500000,500000,500000,500000,600000,600000,600000,700000,661000,663000,673000,693000,710000,721000,730000
64,Retained Earnings,- -,- -,4900000,-2700000,-4800000,1300000,15100000,24400000,23100000,11100000,-19900000,-25800000,-16200000,5100000,36900000,55000000,79900000,98470000,89811000,82318000,101555000,124121000,133757000,141568000
65,Other Comprehensive Income/Loss,- -,- -,-1800000,-800000,-3600000,-5100000,-200000,-1000000,-400000,400000,-1800000,1800000,200000,-3400000,4200000,3400000,400000,1000000,-40000,-886000,-1000000,1000000,-98091000,-455000
66,Other Total Stockholders Equity,- -,- -,132400000,132000000,135357000,143646000,145517000,153526000,159214000,164713000,169262000,172973000,200490000,217021000,229530000,235120000,252697000,218992000,209329000,233251000,262709000,269500000,352074000,228150000
67,Total Stockholders Equity,- -,- -,135900000,128900000,127357000,140246000,160917000,177426000,182414000,176713000,148062000,149473000,184990000,219321000,271230000,294120000,333697000,319123000,299763000,315356000,363957000,395331000,388461000,369993000
68,Total Liabilities And Stockholders Equity,- -,- -,150100000,144400000,142957000,158146000,183217000,204326000,215714000,216113000,185462000,208873000,260590000,295221000,357630000,388720000,442597000,430887000,430336000,471410000,532721000,595199000,623265000,634865000
69,Minority Interest,- -,- -,- -,100000,43000,-46000,-17000,-26000,-14000,-13000,38000,27000,10000,-21000,70000,-20000,3000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,150100000,144500000,143000000,158100000,183200000,204300000,215700000,216100000,185500000,208900000,260600000,295200000,357700000,388700000,442600000,430887000,430336000,471410000,532721000,595199000,623265000,634865000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000112528203002709/0001125282-03-002709-index.html,https://www.sec.gov/Archives/edgar/data/1094366/000112528204001050/0001125282-04-001050-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891309000672/0001178913-09-000672-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891312000829/0001178913-12-000829-index.html,https://www.sec.gov/Archives/edgar/data/1094366/000117891313000919/0001178913-13-000919-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891318000982/0001178913-18-000982-index.html,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1300000,280000,6100000,-7600000,-2100000,6400000,13800000,9300000,-1300000,-12000000,-31000000,-5900000,9600000,21300000,31800000,18100000,25000000,18569000,-8659000,-7493000,11735000,22566000,9636000,7811000
74,Depreciation and Amortization,100000,835000,1242000,1753000,1809000,1821000,1747000,1504000,3434000,1571000,6073000,9794000,9052000,10299000,9867000,8086000,8102000,9401000,10372000,11232000,9782000,11283000,10559000,10196000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-350000,20000,-241000,-60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4041000,5493000,5458000,5383000,5374000,7382000,9329000,11520000,13031000,12503000,13064000,16545000,17574000
77,Change in Working Capital,-900000,1274000,-1958000,-471000,3070000,822000,-1071000,1511000,191000,5070000,3876000,6495000,15638000,2336000,3062000,-518000,9577000,3697000,23343000,12938000,16227000,3735000,28043000,31487000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3255000,60000,3978000,-5843000,-6356000,-726000,-773000,7003000,3390000,-1169000,-2407000,5762000,9896000
79,Inventory,-300000,-217000,-3392000,-1190000,1793000,-10000,-1096000,-1160000,-1520000,1493000,-1284000,-561000,70000,-2425000,-398000,-1569000,-2654000,522000,-792000,-1658000,371000,4461000,5000,2355000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053000,214000,-814000,4816000,-1231000,1019000,-562000,-3284000,-734000,-884000,1775000,-2433000,-77000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586000,8302000,13353000,-381000,-1288000,5221000,6863000,4064000,10277000,28872000,12132000,6687000,22723000,14292000
82,Other Non-Cash Items,300000,-18000,-634000,6384000,-1681000,-83000,1025000,1515000,5167000,4294000,11325000,-3000,1183000,2597000,1408000,-842000,2116000,-1860000,1904000,1754000,-996000,2204000,-918000,4706000
83,Cash Provided by Operating Activities,-1800000,2371000,4750000,66000,1098000,8960000,15151000,13850000,7251000,-1125000,-9726000,14427000,40966000,41990000,51520000,30200000,52177000,39136000,38480000,31462000,49251000,52852000,63865000,71774000
84,CAPEX,-100000,-980000,-2404000,-1891000,-1335000,-1311000,-2369000,-3626000,-5843000,-6747000,-4645000,-5837000,-6850000,-5734000,-9350000,-8701000,-10823000,-13874000,-9404000,-7216000,-8869000,-8155000,-8671000,-5603000
85,Acquisitions Net,- -,- -,- -,- -,- -,-350000,-335000,-9011000,-3000000,-7293000,- -,-18022000,- -,- -,- -,-8126000,- -,- -,- -,-8269000,- -,-12239000,- -,- -
86,Purchases of Investments,- -,- -,-125732000,- -,-1818000,-18340000,-34435000,-32048000,-115336000,-67121000,-161706000,-440863000,-97076000,-100901000,-32066000,-35149000,-44063000,-13442000,-16219000,-24595000,-47455000,-371210000,-32981000,-11045000
87,Sales/Maturities of Investments,- -,- -,- -,- -,17457000,20152000,13369000,80722000,84412000,116972000,147485000,440575000,37201000,57423000,12183000,23279000,39783000,54287000,22740000,20938000,41783000,340807000,51272000,24448000
88,Other Investing Activites,- -,-52000,-729000,-2371000,197000,- -,16000,-9727000,11000,-15000,-38000,- -,-1200000,- -,-30653000,-1290000,-22304000,-33824000,31242000,-37200000,-70962000,4000,-23988000,49000
89,Cash Used for Investing Activites,-100000,-1032000,-128865000,-4262000,14501000,151000,-23754000,26310000,-39756000,35796000,-18904000,-24147000,-66725000,-49212000,-59886000,-29987000,-36032000,-6853000,28359000,-56342000,-85503000,-50793000,-14368000,7849000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,72041000,64732000,98000,412000,6563000,6905000,7311000,12635000,1381000,1913000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-7000,-254000,- -,- -,- -,-11069000,- -,-6594000,-419000,- -,- -,- -,-7902000,-15169000,-52896000,-21980000,-413000,-4275000,-24509000,-45326000,-52471000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-6310000,-4863000,-56000,- -,- -,- -,- -,- -,- -,- -,1917000,21200000,9324000,11028000,7708000,23936000,9378000,1036000,10891000,20493000,17998000,9849000,10590000
95,Cash Used/Provided by Financing Activities,- -,65731000,59869000,35000,158000,6563000,6905000,7311000,1566000,1381000,-4681000,1498000,21200000,9324000,11028000,-194000,8767000,-43518000,-20944000,10478000,16218000,-6511000,-35477000,-41881000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1900000,67070000,-64246000,-4161000,15757000,15674000,-1698000,47471000,-30939000,36052000,-33311000,-8222000,-4559000,2102000,2662000,19000,24912000,-11235000,45895000,-14402000,-20034000,-4452000,14020000,37742000
98,Cash at the End of Period,1700000,68747000,4501000,340000,16097000,31771000,30073000,56263000,25324000,61376000,28065000,19843000,15284000,17386000,20048000,20067000,44979000,33744000,79639000,65237000,45203000,40751000,54771000,92513000
99,Cash at the Beginning of Period,3600000,1677000,68747000,4501000,340000,16097000,31771000,8792000,56263000,25324000,61376000,28065000,19843000,15284000,17386000,20048000,20067000,44979000,33744000,79639000,65237000,45203000,40751000,54771000
100,Free Cash Flow,-1900000,1391000,2346000,-1825000,-237000,7649000,12782000,10224000,1408000,-7872000,-14371000,8590000,34116000,36256000,42170000,21499000,41354000,25262000,29076000,24246000,40382000,44697000,55194000,66171000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000112528203002709/0001125282-03-002709-index.html,https://www.sec.gov/Archives/edgar/data/1094366/000112528204001050/0001125282-04-001050-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891309000672/0001178913-09-000672-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891312000829/0001178913-12-000829-index.html,https://www.sec.gov/Archives/edgar/data/1094366/000117891313000919/0001178913-13-000919-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891318000982/0001178913-18-000982-index.html,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
