,https://roic.ai/company/TROO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
33,Cash and Short-Term Investments,101671,100312,30271,23493805,534501,11548000,13497000,92000,345000,29000,4262000,14342000,5161000,3028000
34,Net Receivables,- -,- -,- -,56464436,20437445,59524000,49869000,92289000,587000,119000,702000,31091000,35291000,22497000
35,Inventory,- -,- -,- -,17291123,1864011,5725000,7017000,1000,26000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,108330,95686,29896013,62147844,28589000,34129000,157000,223000,6459000,743000,31116000,6776000,125000
37,Total Current Assets,101671,208642,125957,127145377,84983801,105386000,104512000,92539000,1181000,6607000,5707000,76549000,47228000,25650000
38,PP&E,- -,- -,- -,16886297,217586,261000,223000,14000,8000,5000,511000,58319000,57979000,52340000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,36504000,49977000,20804000,3906000,5107000
40,Intangible Assets,- -,- -,- -,8589215,- -,- -,- -,- -,- -,25290000,42258000,22579000,2377000,446000
41,Intangible Assets,- -,- -,- -,8589215,- -,- -,- -,- -,- -,61794000,92235000,43383000,6283000,5553000
42,Investments,- -,33798651,33838155,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000,- -,- -
44,Other Non-Current Assets,183253,- -,- -,- -,- -,- -,- -,- -,85693000,31866000,- -,12429000,29088000,6587000
45,Total Non-Current Assets,183253,33798651,33838155,25475512,217586,261000,223000,14000,85701000,93665000,92746000,114292000,93350000,64480000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,284924,34007293,33964112,152620889,85201387,105647000,104735000,92553000,86882000,100272000,98453000,190841000,140578000,90130000
48,Accounts Payable,- -,- -,- -,31958430,4608600,12038000,2052000,606000,46000,222000,235000,- -,1000,- -
49,Short-Term Debt,281661,- -,- -,46141184,208958,6439000,6734000,100000,2169000,342000,2527000,3757000,4526000,5595000
50,Tax Payable,- -,- -,- -,2449939,5552293,7291000,6137000,6291000,6241000,6241000,15000,206000,693000,657000
51,Deferred Revenue,- -,- -,- -,3278269,153436,1155000,999000,198000,421000,- -,113000,1000,1000,- -
52,Other Current Liabilities,- -,31780,76275,7084918,6249323,7682000,7140000,6452000,6410000,6706000,511000,6277000,1965000,1852000
53,Total Current Liabilities,281661,31780,76275,88462801,11220317,27314000,16925000,7356000,9046000,7270000,3386000,10035000,6493000,7447000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000,6429000,6197000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6323000,10572000,11986000,6777000,5859000
57,Other Non-Current Liabilities,- -,10903464,10903464,3530569,92966,18000,21000,- -,- -,- -,680000,286000,253000,- -
58,Total Non-Current Liabilities,- -,10903464,10903464,3530569,92966,18000,21000,- -,- -,6323000,11252000,12632000,13459000,12056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97000,199000
61,Total Liabilities,281661,10935244,10979739,91993370,11313283,27332000,16946000,7356000,9046000,13593000,14638000,22667000,19952000,19503000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1150,5299,5299,17428,17258,17000,18000,18000,18000,38000,65000,302000,320000,405000
64,Retained Earnings,-21737,214769,127093,29051779,49177643,53044000,61080000,59601000,57183000,52136000,40922000,21128000,2316000,-65120000
65,Other Comprehensive Income/Loss,- -,- -,- -,7376309,83757,426000,1639000,-11000,-5269000,-7700000,-7331000,-9000,-10000,-5000
66,Other Total Stockholders Equity,23850,22851981,- -,- -,24609446,24828000,25052000,25589000,25904000,42205000,50159000,116648000,117804000,135347000
67,Total Stockholders Equity,3263,23072049,22984373,60627519,73888104,78315000,87789000,85197000,77836000,86679000,83815000,138069000,120430000,70627000
68,Total Liabilities And Stockholders Equity,284924,34007293,33964112,152620889,85201387,105647000,104735000,92553000,86882000,100272000,98453000,160736000,140382000,90130000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30105000,196000,- -
70,Total Liabilities & Equity,284924,34007293,33964112,152620889,85201387,105647000,104735000,92553000,86882000,100272000,98453000,190841000,140578000,90130000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-21737,236505,- -,19931589,16619057,4213000,8444000,-2288000,-2418000,-5047000,-11214000,-12372000,-19402000,-67918000
74,Depreciation and Amortization,- -,- -,- -,1611372,1460162,69000,76000,19000,3000,1264000,2716000,2383000,3516000,4799000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,314000,- -,- -,-315000,-679000,-457000,-5172000,-1048000
76,Stock Based Compensation,- -,- -,- -,- -,- -,273000,225000,538000,239000,1566000,741000,534000,600000,680000
77,Change in Working Capital,- -,-76550,- -,-13525066,-75445854,-18367000,-7776000,-9034000,264000,-286000,-6696000,-35276000,2527000,21474000
78,Accounts Receivable,- -,- -,- -,-35610660,-19378690,-39496000,10953000,14275000,676000,-96000,119000,-12000,-25000,4000
79,Inventory,- -,- -,- -,-12813671,1160326,34557000,-1093000,2009000,-27000,25000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,27638400,31772095,7390000,-10195000,13495000,-556000,186000,-1000,5000,1000,- -
81,Other Working Capital,- -,- -,- -,- -,-101730517,997000,-189000,-200000,245000,-412000,109000,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,286877,-861465,-75000,101000,-19000,1150000,1739000,7155000,9014000,21046000,63866000
83,Cash Provided by Operating Activities,-21737,159955,- -,8304772,-58228100,-13887000,1384000,-10784000,-762000,-1079000,-7977000,-36174000,3115000,21853000
84,CAPEX,- -,- -,- -,-3569964,-1022714,-106000,-32000,- -,- -,- -,- -,-2442000,-697000,-118000
85,Acquisitions Net,- -,- -,- -,5913,-2226038,18734000,- -,-25000,464000,-7000,943000,-7960000,-12733000,-27052000
86,Purchases of Investments,- -,-510361,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-33288290,- -,-6419,809,- -,- -,- -,- -,-6743000,6457000,- -,-5835000,-247000
89,Cash Used for Investing Activites,- -,-33798651,- -,-3564051,-3246398,18628000,-32000,-25000,464000,-6750000,7400000,-10402000,-19265000,-27417000
90,Debt Repayment,- -,-281661,- -,-32155846,-93391418,- -,-6439000,-3099000,-505000,-88000,-221000,- -,-200000,-169000
91,Common Stock Issued,25000,32000000,- -,5594543,- -,- -,- -,- -,- -,7001000,3091000,49991000,- -,3600000
92,Common Stock Repurchased,- -,-1545402,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,98408,3464400,- -,39009442,130909320,6230000,6668000,600000,1101000,607000,1940000,6155000,7164000,- -
95,Cash Used/Provided by Financing Activities,123408,33637337,- -,12448139,37517902,6230000,229000,-2499000,596000,7520000,4810000,56146000,6964000,3431000
96,Effect of Forex Changes on Cash,- -,- -,- -,496932,997292,42000,368000,-97000,-45000,-7000,- -,- -,- -,- -
97,Net Change In Cash,123408,-1359,- -,17685792,-22959304,11013000,1949000,-13405000,253000,-316000,4233000,9570000,-9186000,-2133000
98,Cash at the End of Period,101671,100312,- -,23493805,534501,11548000,13497000,92000,345000,29000,4262000,14347000,5161000,3028000
99,Cash at the Beginning of Period,- -,101671,- -,5808013,23493805,535000,11548000,13497000,92000,345000,29000,4777000,14347000,5161000
100,Free Cash Flow,-21737,159955,- -,4734808,-59250814,-13993000,1352000,-10784000,-762000,-1079000,-7977000,-38616000,2418000,21735000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,
