,https://roic.ai/company/SUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0054,0.0044,0.0053,0.0083,0.0112,0.0136,-0.0278,0.0017,0.0054,0.0178,0.0220,0.0315
22,Income Tax expense (Gain),5236000,6039000,5033000,-440000,-2352000,47070000,-31000000,-306000000,34000000,-17000000,24000000,30000000
23,Net Income,9216000,10598000,17570000,37027000,56743000,129822000,-406000000,149000000,-207000000,313000000,212000000,446000000
24,Net Income ratio,0.0034,0.0028,0.0041,0.0082,0.0105,0.0077,-0.0259,0.0127,-0.0122,0.0189,0.0198,0.0253
25,EPS,0.42,0.48,0.42,1.69,1.96,1.11,-5.26,0.35,-3.39,2.84,1.63,5.35
26,EPS Diluted,0.42,0.48,0.42,1.69,1.96,1.11,-5.26,0.34,-3.39,2.82,1.61,5.28
27,Weighted Average Shares Outstanding,21878872,21878872,21878872,21903694,25145972,50264246,93575530,99270120,84299893,82755520,83062159,83369534
28,Weighted Average Shares Outstanding Diluted,21878872,21878872,21878872,21903694,25163084,50285984,93603835,99728354,84820570,83551962,83716464,84438276
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1552275/000155227513000013/0001552275-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227514000019/0001552275-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227515000007/0001552275-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000156459016013451/0001564590-16-013451-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227517000012/0001552275-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227518000013/0001552275-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227519000011/0001552275-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227520000007/0001552275-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227521000011/0001552275-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227522000019/0001552275-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,240000,6752000,8150000,67151000,61783000,119000000,28000000,56000000,21000000,97000000,25000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,240000,6752000,8150000,67151000,61783000,119000000,28000000,56000000,21000000,97000000,25000000
34,Net Receivables,- -,138313000,92551000,118884000,100798000,268067000,542000000,696000000,411000000,411000000,306000000,538000000
35,Inventory,- -,7023000,2981000,11122000,48646000,416504000,573000000,426000000,374000000,419000000,382000000,534000000
36,Other Current Assets,- -,1836000,821000,66000,8546000,267797000,155000000,3394000000,64000000,73000000,62000000,95000000
37,Total Current Assets,- -,147412000,103105000,138222000,225141000,1014151000,1389000000,4544000000,905000000,924000000,847000000,1192000000
38,PP&E,- -,39049000,68173000,180127000,905465000,2397266000,3373000000,1557000000,1546000000,1471000000,1428000000,2193000000
39,Goodwill,- -,20661000,12936000,22823000,863458000,1821864000,2618000000,1430000000,1559000000,1555000000,1564000000,1568000000
40,Intangible Assets,- -,23309000,23131000,22772000,172108000,965904000,1255000000,768000000,708000000,646000000,588000000,542000000
41,Intangible Assets,- -,43970000,36067000,45595000,1035566000,2787768000,3873000000,2198000000,2267000000,2201000000,2152000000,2110000000
42,Investments,- -,- -,148264000,25952000,- -,- -,- -,- -,- -,654000000,672000000,132000000
43,Tax Assets,- -,- -,- -,- -,14893000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,885000,191000,188000,16416000,48398000,66000000,45000000,161000000,188000000,168000000,188000000
45,Total Non-Current Assets,- -,83904000,252695000,251862000,1972340000,5233432000,7312000000,3800000000,3974000000,4514000000,4420000000,4623000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,231316000,355800000,390084000,2197481000,6247583000,8701000000,8344000000,4879000000,5438000000,5267000000,5815000000
48,Accounts Payable,- -,98316000,88884000,110432000,95932000,401231000,616000000,559000000,412000000,445000000,267000000,515000000
49,Short-Term Debt,- -,22000,24000,525000,13757000,5084000,5000000,6000000,5000000,31000000,25000000,25000000
50,Tax Payable,- -,1042000,370000,5817000,18326000,99816000,154000000,180000000,91000000,42000000,135000000,152000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,8010000,1101000,11427000,44993000,269286000,568000000,649000000,448000000,268000000,361000000,350000000
53,Total Current Liabilities,- -,106348000,90009000,122384000,154682000,675601000,1189000000,1214000000,865000000,744000000,653000000,890000000
54,Long-Term Debt,- -,1098000,184831000,185626000,856761000,1952531000,4539000000,4294000000,2996000000,3590000000,3644000000,3770000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2595000,152000,222000,- -,431327000,643000000,389000000,103000000,109000000,104000000,114000000
57,Other Non-Current Liabilities,- -,5462000,2476000,2159000,49306000,93709000,134000000,200000000,131000000,237000000,234000000,230000000
58,Total Non-Current Liabilities,- -,9155000,187459000,188007000,906067000,2477567000,5316000000,4883000000,3230000000,3936000000,3982000000,4114000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,30000000,10000000,16000000,550000000,557000000,540000000
61,Total Liabilities,- -,115503000,277468000,310391000,1060749000,3153168000,6505000000,6097000000,4095000000,4680000000,4635000000,5004000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,115813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-17877000,-8500000,-13400000,-89676000,-339000000,-358000000,-455000000,-587000000,-692000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,115813000,- -,- -,- -,- -,-20175000,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,231316000,355800000,390084000,2197481000,6247583000,6484825000,8344000000,4879000000,5438000000,5267000000,5004000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,2216175000,- -,- -,- -,- -,811000000
70,Total Liabilities & Equity,- -,231316000,355800000,390084000,2197481000,6247583000,8701000000,8344000000,4879000000,5438000000,5267000000,5815000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1552275/000155227513000013/0001552275-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227514000019/0001552275-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227515000007/0001552275-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000156459016013451/0001564590-16-013451-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227517000012/0001552275-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227518000013/0001552275-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227519000011/0001552275-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227520000007/0001552275-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227521000011/0001552275-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227522000019/0001552275-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,9216000,10598000,17570000,37027000,56743000,129822000,-406000000,149000000,-207000000,313000000,212000000,446000000
74,Depreciation and Amortization,4771000,6090000,7031000,8687000,26955000,201019000,319000000,169000000,182000000,183000000,189000000,177000000
75,Deferred Income Tax,-1527000,1251000,2428000,70000,-925000,24231000,-31000000,-308000000,6000000,6000000,5000000,10000000
76,Stock Based Compensation,- -,- -,101000,1935000,4692000,5703000,13000000,24000000,12000000,13000000,14000000,16000000
77,Change in Working Capital,4512000,- -,-27968000,2742000,54621000,268091000,-138550000,3130000000,-3290000000,140000000,14000000,-19000000
78,Accounts Receivable,2585000,-12664000,-93301000,-6423000,-3939000,-11586000,-210000000,-132000000,216000000,-19000000,105000000,-231000000
79,Inventory,853000,-1091000,-7912000,-7777000,-10557000,23362000,-91000000,21000000,-11000000,26000000,-45000000,38000000
80,Accounts Payable,-4112000,18474000,93193000,9691000,30838000,-28824000,291000000,53000000,-138000000,26000000,-156000000,276000000
81,Other Working Capital,41064000,41064000,13096000,15838000,70459000,338550000,200000000,3330000000,40000000,180000000,194000000,- -
82,Other Non-Cash Items,86000,-3676000,17326000,219000,-36111000,-243116000,804550000,-2725000000,3260000000,-220000000,68000000,-87000000
83,Cash Provided by Operating Activities,17058000,14263000,16488000,50680000,105975000,385750000,561000000,439000000,-37000000,435000000,502000000,543000000
84,CAPEX,-13963000,-19438000,-44006000,-116251000,-176301000,-428751000,-490000000,-142000000,-105000000,-148000000,-124000000,-174000000
85,Acquisitions Net,- -,- -,- -,- -,-803000000,-1919042000,-2543000000,- -,-401000000,-46000000,-20000000,-256000000
86,Purchases of Investments,- -,- -,-497426000,-844359000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,349162000,966671000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-13897000,-19153000,-42685000,-115954000,87530000,-423436000,-473000000,-170000000,3139000000,-118000000,-100000000,-131000000
89,Cash Used for Investing Activites,-13897000,-19153000,-190949000,6358000,-891771000,-2342478000,-3016000000,-170000000,2738000000,-164000000,-120000000,-387000000
90,Debt Repayment,-8000,-21000,-32523000,-137173000,-25881000,-1691341000,-3069000000,-2893000000,-6305000000,-2990000000,-1898000000,-2593000000
91,Common Stock Issued,- -,- -,206154000,- -,- -,899434000,132000000,333000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-843000000,- -,- -,- -
93,Dividends Paid,- -,- -,-206653000,-39601000,-26841000,-324614000,-436000000,-431000000,-383000000,-353000000,-354000000,-357000000
94,Other Financing Activites,1150000,402000,213995000,121134000,897519000,3009606000,5874000000,2652000000,4847000000,3037000000,1946000000,2722000000
95,Cash Used/Provided by Financing Activities,1142000,381000,180973000,-55640000,844797000,1893085000,2501000000,-339000000,-2684000000,-306000000,-306000000,-228000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4303000,-4509000,6512000,1398000,59001000,-63643000,46000000,-75000000,28000000,-35000000,76000000,-72000000
98,Cash at the End of Period,4749000,240000,6752000,8150000,67201000,61783000,119000000,28000000,56000000,21000000,97000000,25000000
99,Cash at the Beginning of Period,446000,4749000,240000,6752000,8200000,125426000,73000000,103000000,28000000,56000000,21000000,97000000
100,Free Cash Flow,3095000,-5175000,-27518000,-65571000,-70326000,-43001000,71000000,297000000,-142000000,287000000,378000000,369000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1552275/000155227513000013/0001552275-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227514000019/0001552275-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227515000007/0001552275-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000156459016013451/0001564590-16-013451-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227517000012/0001552275-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227518000013/0001552275-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227519000011/0001552275-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227520000007/0001552275-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227521000011/0001552275-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1552275/000155227522000019/0001552275-22-000019-index.htm
102,false,,,,,,,,,,,,
