,https://roic.ai/company/FZMD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-3.14,-2.43,-5.21,-0.71,-3.57,-17.07,-4.21,-0.79,0.02,0.23,0.38,0.38,0.23,-0.79,-2.63,-0.88,-0.73,-0.58,-1.61,-0.44,-0.44,-0.15,-0.29,-0.44,-0.73,-0.44,-0.44,-0.44,-0.37,-0.13,-0.08,0.04,0.06,-0.05,-0.02,-0.02
27,Weighted Average Shares Outstanding,140000,140000,140000,140000,140000,140000,140000,140000,130000,130000,130000,130000,130000,140000,187960,235797,235797,235797,235797,235797,235797,235797,235797,235797,235797,243397,244005,260246,3793489,6189329,7185890,16027794,68020348,70221566,70221566,70221566
28,Weighted Average Shares Outstanding Diluted,140000,140000,140000,140000,140000,140000,140000,140000,130000,130000,130000,130000,130000,140000,187960,235797,235797,235797,235797,235797,235797,235797,235797,235797,235797,243397,244005,260246,3793489,6189329,7185890,19473553,70945602,70221566,70221566,70221566
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319016/000095012309053146/0000950123-09-053146-index.html,https://www.sec.gov/Archives/edgar/data/319016/000095012310109703/0000950123-10-109703-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319016/000147793216009171/0001477932-16-009171-index.html,https://www.sec.gov/Archives/edgar/data/319016/000156459017004799/0001564590-17-004799-index.html,https://www.sec.gov/Archives/edgar/data/319016/000119312518280111/0001193125-18-280111-index.htm,https://www.sec.gov/Archives/edgar/data/319016/000156459019008819/0001564590-19-008819-index.html,https://www.sec.gov/Archives/edgar/data/319016/000156459020014068/0001564590-20-014068-index.htm,https://www.sec.gov/Archives/edgar/data/319016/000156459021016781/0001564590-21-016781-index.htm,https://www.sec.gov/Archives/edgar/data/319016/000156459022013025/0001564590-22-013025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1150000,1400000,940000,940000,1890000,1930000,- -,2020000,2090000,2110000,2150000,2040000,3251000,2950029,2902827,2703127,2394843,2275488,2218572,2204485,2137198,2036836,1931769,53401,334,12339,67555,8157,667475,804715,844314,1099310,1187458,553190
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1150000,1400000,940000,940000,1890000,1930000,- -,2020000,2090000,2110000,2150000,2040000,3251000,2950029,2902827,2703127,2394843,2275488,2218572,2204485,2137198,2036836,1931769,53401,334,12339,67555,8157,667475,804715,844314,1099310,1187458,553190
34,Net Receivables,- -,- -,3040000,2050000,2930000,1120000,380000,110000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182907,246236,298011,58065,6570382,5225999,6174299,4427896,3528992
35,Inventory,- -,- -,5470000,4030000,5290000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243115,131382,81209,25326,10626769,11075889,7855887,6981413,8736474
36,Other Current Assets,- -,- -,110000,60000,130000,310000,20000,- -,- -,- -,- -,- -,- -,- -,29000,20125,35214,87347,38333,37000,36372,29440,27000,17000,15667,11917,5190,95370,49250,18828,3528,32466,29553,39850,24203,5921
37,Total Current Assets,- -,- -,9770000,7540000,9290000,5170000,2290000,2040000,- -,2030000,2090000,2110000,2150000,2040000,3280000,2970154,2938041,2790474,2433176,2312488,2254944,2233925,2164198,2053836,1947436,65318,5524,533731,494423,406205,754394,18034332,17175755,15169346,12620970,12824577
38,PP&E,- -,- -,1710000,670000,830000,540000,100000,- -,- -,- -,- -,- -,- -,10000,10000,518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287,48961,24978,8931,16895,42974,32639,17791,7251
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820650,2905089,1972886,1972886,1972886
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288040,1206620,1138080,1317341
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820650,4193129,3179506,3110966,3290227
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375278,760993,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-10000,-10000,-10000,-230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,101620,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2489,3822,3822,- -,- -,- -,- -,2182437
45,Total Non-Current Assets,- -,- -,1700000,660000,820000,310000,100000,- -,- -,- -,- -,- -,- -,140000,10000,102138,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1287,51450,28800,12753,1212823,4997096,3212145,3128757,5479915
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,11470000,8200000,10110000,5480000,2390000,2040000,- -,2030000,2090000,2110000,2150000,2180000,3290000,3072292,2938041,2790474,2433176,2312488,2254944,2233925,2164198,2053836,1947436,65318,5524,535018,545873,435005,767147,19247155,22172851,18381491,15749727,18304492
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29681,67956,18713,2139,3250,1075,3828,- -,- -,- -,- -,161143,276619,295579,83410,2588091,2712919,2752854,3236592,4461641
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17250,- -,150000,3565351,1627448,1902501,1426993,150000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,4340000,1630000,4390000,2460000,250000,60000,- -,10000,30000,10000,- -,10000,35000,21761,43269,- -,- -,- -,- -,- -,- -,3830,23692,7925,49714,- -,53500,34469,83122,1830679,2784271,3302904,2584734,5330838
53,Total Current Liabilities,- -,- -,4340000,1630000,4390000,2460000,250000,60000,- -,10000,30000,10000,- -,10000,35000,21761,72950,67956,18713,2139,3250,1075,3828,3830,23692,7925,49714,- -,347369,330048,316532,7984121,7124638,7958259,7248319,9942479
54,Long-Term Debt,- -,- -,860000,280000,250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,- -,100000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10000,280000,220000,140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19244543,13581529,11645365,- -,11793832
58,Total Non-Current Liabilities,- -,- -,870000,560000,470000,140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,- -,100000,- -,19244543,13581529,11645365,- -,11793832
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12283759,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,5210000,2190000,4860000,2600000,250000,60000,- -,10000,30000,10000,- -,10000,35000,21761,72950,67956,18713,2139,3250,1075,3828,3830,23692,7925,49714,- -,347369,430048,316532,27228664,20706167,19603624,19532078,21736311
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,20000,20000,20000,20000,20000,20000,- -,20000,20000,20000,20000,20000,34000,34473,34473,34473,34473,34473,34473,34473,34473,34473,34473,35673,35673,- -,55108,68908,158908,671583,714891,731245,731245,728958
64,Retained Earnings,- -,- -,2580000,2480000,1990000,-400000,-990000,-1100000,- -,-1070000,-1020000,-970000,-940000,-1050000,-1553000,-1757808,-1943248,-2085821,-2451949,-2556063,-2644118,-2684962,-2766742,-2877106,-3034568,-3156830,-3258413,-12964,-1513497,-2315044,-2900979,- -,751793,-2595813,- -,-5616199
65,Other Comprehensive Income/Loss,- -,- -,-2240000,-1400000,-1330000,-1420000,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-2079,-2597,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34198,-35014,-10065,-25826,-38997,- -,- -
66,Other Total Stockholders Equity,- -,- -,5910000,4920000,4570000,4680000,3100000,3060000,- -,3060000,3070000,3050000,3070000,3200000,4777000,4775945,4776463,4773866,4831939,4831939,4861339,4883339,4892639,4892639,4923839,3178550,3178550,- -,1656893,2285291,3227700,-8643027,25826,681432,-2844086,1455422
67,Total Stockholders Equity,- -,- -,6270000,6020000,5250000,2880000,2130000,1980000,- -,2010000,2070000,2100000,2150000,2170000,3255000,3050531,2865091,2722518,2414463,2310349,2251694,2232850,2160370,2050006,1923744,57393,-44190,- -,198504,4957,450615,-7981509,1466684,-1222133,-2112841,-3431819
68,Total Liabilities And Stockholders Equity,- -,- -,11480000,8210000,10110000,5480000,2380000,2040000,- -,2020000,2100000,2110000,2150000,2180000,3290000,3072292,2938041,2790474,2433176,2312488,2254944,2233925,2164198,2053836,1947436,65318,5524,- -,545873,435005,767147,19247155,22172851,18381491,17419237,18304492
69,Minority Interest,- -,- -,-10000,-10000,- -,- -,10000,- -,- -,10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535018,- -,- -,- -,- -,- -,- -,-1669510,- -
70,Total Liabilities & Equity,- -,- -,11470000,8200000,10110000,5480000,2390000,2040000,- -,2030000,2090000,2110000,2150000,2180000,3290000,3072292,2938041,2790474,2433176,2312488,2254944,2233925,2164198,2053836,1947436,65318,5524,535018,545873,435005,767147,19247155,22172851,18381491,15749727,18304492
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319016/000095012309053146/0000950123-09-053146-index.html,https://www.sec.gov/Archives/edgar/data/319016/000095012310109703/0000950123-10-109703-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/319016/000147793216009171/0001477932-16-009171-index.html,https://www.sec.gov/Archives/edgar/data/319016/000156459017004799/0001564590-17-004799-index.html,https://www.sec.gov/Archives/edgar/data/319016/000119312518280111/0001193125-18-280111-index.htm,https://www.sec.gov/Archives/edgar/data/319016/000156459019008819/0001564590-19-008819-index.html,https://www.sec.gov/Archives/edgar/data/319016/000156459020014068/0001564590-20-014068-index.htm,https://www.sec.gov/Archives/edgar/data/319016/000156459021016781/0001564590-21-016781-index.htm,https://www.sec.gov/Archives/edgar/data/319016/000156459022013025/0001564590-22-013025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-730000,-100000,-500000,-2390000,-590000,-110000,- -,30000,50000,50000,30000,-110000,-503000,-204847,-185440,-142573,-366128,-104114,-88055,-40844,-81780,-110364,-157462,-122262,-101583,-109855,-1405045,-801547,-585935,699678,3957554,-3316495,-1432495,-1587891
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,134000,1560,518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13280,25073,14167,14521,49685,107073,104143,67638
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-431272,760993,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31200,- -,- -,- -,- -,418000,63000,42609,834929,627678,553184,257913
77,Change in Working Capital,- -,- -,1420000,480000,-1010000,-2190000,-670000,-60000,40000,40000,40000,50000,-120000,1215000,-296607,-83302,-142573,-308055,-104114,-58655,-18844,-72480,-110364,-126262,-1866351,-101583,22595,555326,-386677,-70897,361705,9612349,906,-2840030,-1838436,-2490553
78,Accounts Receivable,- -,- -,- -,990000,-880000,1810000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54339,-116920,239946,-62096,917689,-1623615,-1983429,739559
79,Inventory,- -,- -,- -,1440000,-1260000,2490000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111733,50173,55883,2022723,1881556,1126144,1602476,-586545
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93210,18960,-128252,178477,-82824,39935,483738,1225049
81,Other Working Capital,- -,- -,5430000,5910000,4900000,2710000,2040000,1980000,2020000,2060000,2100000,2150000,2030000,3245000,2948393,2865091,2722518,2414463,2310349,2251694,2232850,2160370,2050006,1923744,57393,-44190,-21595,533731,147054,76157,437862,10050211,10051117,7211087,5372651,2882098
82,Other Non-Cash Items,- -,- -,730000,140000,1440000,4040000,1710000,300000,-20000,-60000,-20000,-70000,110000,-1215000,321607,84564,191095,250928,161958,43414,49983,99237,124857,136264,1887546,89566,25921,-496354,609658,54231,-90843,-8764621,-1931902,4656042,2850258,1974565
83,Cash Provided by Operating Activities,- -,- -,1420000,520000,-70000,-540000,450000,130000,20000,10000,70000,30000,20000,-40000,-344000,-202025,-136400,-199700,-308284,-119355,-56916,-14087,-67287,-100362,-105067,-134279,-53067,-50883,-1168784,-375140,-237906,1604536,2479900,-4739,236654,-1778328
84,CAPEX,- -,- -,-330000,-340000,-120000,-10000,-10000,- -,- -,- -,- -,- -,- -,-10000,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60954,-8308,- -,-20334,-41838,-15318,-20757,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641,- -,- -,- -,-63097,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101620,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89198,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,370000,1790000,80000,350000,510000,-50000,-1520000,1580000,- -,- -,- -,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,1300,300,8732,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,40000,1450000,-40000,340000,500000,-50000,-1520000,1580000,- -,- -,- -,-10000,-8000,-98620,89198,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70313,-7008,300,-11602,-104935,-15318,-20757,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17250,- -,-15580346,- -,- -,- -,19581
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1567000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,655391,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-40000,- -,- -,- -,-10000,20000,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1783689,- -,- -,-40583,- -,- -,-1949714,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1590000,-1740000,370000,50000,- -,- -,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39600,- -,51350,1334896,150000,241533,15963394,-2335366,275053,-127749,1124479
95,Cash Used/Provided by Financing Activities,- -,- -,-1590000,-1740000,370000,50000,- -,-40000,- -,- -,- -,-10000,20000,-70000,1567000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1744089,- -,51350,1294313,322750,896924,-1566666,-2335366,275053,-127749,1144060
96,Effect of Forex Changes on Cash,- -,- -,-80000,20000,-720000,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-210000,250000,-460000,10000,950000,40000,-1500000,1590000,70000,20000,40000,-120000,1215000,-300645,-47202,-199700,-308284,-119355,-56916,-14087,-67287,-100362,-105067,-1878368,-53067,467,55216,-59398,659318,26268,39599,254996,88148,-634268
