,https://roic.ai/company/GENN,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
17,Operating Income,38963000,- -,52029000,72925000,82685000,91109000,84617000,93122000,103064000,73493000,25525000,28500000,306118000,254498000,182729000,209925000,51284000,-269777000
18,Operating Income ratio,0.1229,- -,0.1124,0.1372,0.1303,0.1242,0.1114,0.1135,0.1185,0.0842,0.0303,0.0342,0.0545,0.0444,0.0340,0.0422,0.0112,-0.0691
19,Total Other Income Expenses (Gains),-44259000,- -,-44251000,-43384000,-52584000,-33848000,-199566000,-91691000,-302814000,-39458000,-34614000,-30655000,-659143000,-390011000,-1152328000,-584765000,-42056000,162800000
20,Income Before Tax,-5296000,- -,7778000,29541000,30101000,57261000,-114949000,1431000,-199750000,34035000,-9089000,-2155000,-353025000,-135513000,-969599000,-374840000,9228000,-106977000
21,Income Before Tax Ratio,-0.0167,- -,0.0168,0.0556,0.0474,0.0781,-0.1513,0.0017,-0.2297,0.0390,-0.0108,-0.0026,-0.0628,-0.0236,-0.1804,-0.0753,0.0020,-0.0274
22,Income Tax expense (Gain),-1645000,- -,-13048000,12204000,12952000,20052000,17842000,2472000,3516000,12438000,-2905000,-1248000,172524000,-17435000,-10427000,-2423000,1754000,-3610000
23,Net Income,-13946000,- -,33938000,17337000,17149000,37209000,-133181000,-1041000,-203266000,21597000,-10484000,-907000,-426195000,-64013000,-578982000,-235231000,14619000,-58963000
24,Net Income ratio,-0.0440,- -,0.0733,0.0326,0.0270,0.0507,-0.1753,-0.0013,-0.2337,0.0247,-0.0124,-0.0011,-0.0758,-0.0112,-0.1077,-0.0473,0.0032,-0.0151
25,EPS,-12.06,- -,27.01,-0.09,0.36,1.02,-3.61,-0.03,-5.47,0.58,-0.28,-0.02,-4.97,-0.41,-6.15,-2.33,0.14,-0.55
26,EPS Diluted,-12.06,- -,25.73,-0.09,0.35,1.01,-3.61,-0.03,-5.47,0.57,-0.28,-0.02,-4.97,-0.41,-6.15,-2.33,0.10,-0.55
27,Weighted Average Shares Outstanding,1157000,- -,1228965,11638185,27062000,36573000,36914000,36988000,37145000,37389000,37533000,38125000,85755000,154531787,94217000,101007000,107286000,107286000
28,Weighted Average Shares Outstanding Diluted,1157000,- -,1290120,11638185,27715000,36894000,36914000,36988000,37145000,37589000,37533000,38125000,85755000,154531787,94217000,101007000,165314000,107286000
29,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1351051/000155837020002774/0001558370-20-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1351051/000155837021003091/0001558370-21-003091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2670000,- -,37138000,2821000,5012000,2047000,3528000,4192000,16017000,2003000,4177000,3629000,61543000,51408000,54525000,20865000,12097000,212071000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35631000,31855000,- -
33,Cash and Short-Term Investments,2670000,- -,37138000,2821000,5012000,2047000,3528000,4192000,16017000,2003000,4177000,3629000,61543000,51408000,54525000,56496000,43952000,212071000
34,Net Receivables,- -,- -,62561000,86168000,112919000,115211000,96610000,98777000,99764000,112508000,116370000,131409000,789387000,832109000,724138000,622717000,567636000,426927000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2778000,2766000,2776000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,36251000,25645000,32373000,31417000,31465000,45856000,27550000,21536000,19104000,23569000,160563000,175470000,161244000,196412000,217259000,230132000
37,Total Current Assets,- -,- -,135950000,114634000,150304000,148675000,131603000,148825000,143331000,138825000,142417000,161383000,1011493000,1058987000,939907000,875625000,828847000,869130000
38,PP&E,157146000,- -,191151000,230904000,294281000,346466000,373211000,387322000,382896000,380658000,351238000,340074000,4085247000,3765393000,3413599000,2887554000,3398707000,2728092000
39,Goodwill,- -,- -,396097000,411349000,449710000,449962000,279362000,332724000,84299000,85609000,69065000,68833000,470019000,440712000,85642000,85642000,85642000,85642000
40,Intangible Assets,- -,- -,35823000,33843000,34092000,30310000,26297000,25341000,22413000,22035000,18807000,18491000,209967000,175566000,142976000,119082000,87446000,82270000
41,Intangible Assets,- -,- -,431920000,445192000,483802000,480272000,305659000,358065000,106712000,107644000,87872000,87324000,679986000,616278000,228618000,204724000,173088000,167912000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,5525000,6420000,4950000,- -,- -,- -,100522000,105087000,- -
43,Tax Assets,- -,- -,21000,1504000,- -,- -,- -,- -,11615000,7362000,9472000,3232000,7144000,6107000,3580000,5867000,3772000,2278000
44,Other Non-Current Assets,- -,- -,38040000,46461000,41720000,38429000,45769000,43518000,50446000,42622000,45997000,53993000,307600000,332436000,202161000,189331000,152639000,294834000
45,Total Non-Current Assets,- -,- -,661132000,724061000,819803000,865167000,724639000,788905000,551669000,543811000,500999000,489573000,5079977000,4720214000,3847958000,3387998000,3833293000,3193116000
46,Other Assets,260407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,260407000,- -,797082000,838695000,970107000,1013842000,856242000,937730000,695000000,682636000,643416000,650956000,6091470000,5779201000,4787865000,4263623000,4662140000,4062246000
48,Accounts Payable,- -,- -,- -,69136000,59218000,- -,- -,- -,- -,- -,- -,- -,233801000,258616000,285637000,234786000,238384000,211357000
49,Short-Term Debt,- -,- -,2918000,3177000,6335000,7812000,7823000,5742000,4414000,13338000,7630000,12456000,15308000,28093000,31351000,126703000,306152000,2980578000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,73902000,22693000,29629000,86303000,79108000,90298000,93964000,90965000,90158000,102836000,549556000,570851000,582206000,550723000,526634000,652779000
53,Total Current Liabilities,- -,- -,76820000,95006000,95182000,94115000,86931000,96040000,98378000,104303000,97788000,115292000,798665000,857560000,899194000,912212000,1071170000,3844714000
54,Long-Term Debt,- -,- -,460391000,465878000,452101000,462449000,450856000,514221000,471069000,435629000,411495000,398389000,5335573000,5011424000,5005175000,4783814000,4171732000,829588000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,2297000,457000,3200000,8431000,- -,- -,- -,- -,14939000,22354000,7584000,6281000,5245000,5071000
57,Other Non-Current Liabilities,- -,- -,36944000,37163000,46058000,44718000,39833000,41458000,48340000,42873000,41901000,42016000,561680000,618051000,556044000,606182000,496558000,545120000
58,Total Non-Current Liabilities,- -,- -,497335000,503041000,500456000,507624000,493889000,564110000,519409000,478502000,453396000,440405000,5912192000,5651829000,5568803000,5396277000,4673535000,1379779000
59,Other Liabilities,342720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3519000,- -,7812000,7823000,- -,- -,- -,- -,- -,4120724000,3868373000,3959227000,3705053000,2864464000,2269444000
61,Total Liabilities,342720000,- -,574155000,598047000,595638000,601739000,580820000,660150000,617787000,582805000,551184000,555697000,6710857000,6509389000,6467997000,6308489000,5744705000,5224493000
62,Preferred Stock,- -,- -,246000,18652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,13000,13000,37000,37000,37000,38000,38000,39000,40000,40000,154000,155000,159000,162000,165000,167000
64,Retained Earnings,- -,- -,- -,- -,10134000,47343000,-89781000,-90822000,-294088000,-276108000,-286592000,-287499000,-731602000,-795615000,-1374597000,-1609828000,-1010296000,-1069259000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-753000,-1842000,40000,-218000,-490000,-127000,28000,- -,-218000,-221000,-362000,-262000,602000,1396000
66,Other Total Stockholders Equity,- -,- -,222668000,221983000,365051000,366565000,365126000,368582000,371753000,376027000,378756000,382718000,295359000,305358000,290573000,270408000,248594000,247472000
67,Total Stockholders Equity,-82313000,- -,222927000,240648000,374469000,412103000,275422000,277580000,77213000,99831000,92232000,95259000,-436307000,-490323000,-1084227000,-1339520000,-760935000,-820224000
68,Total Liabilities And Stockholders Equity,260407000,- -,797082000,838695000,970107000,1013842000,856242000,937730000,695000000,682636000,643416000,650956000,6274550000,6019066000,5383770000,4968969000,4983770000,4404269000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-183080000,-239865000,-595905000,-705346000,-321630000,-342023000
70,Total Liabilities & Equity,260407000,- -,797082000,838695000,970107000,1013842000,856242000,937730000,695000000,682636000,643416000,650956000,6091470000,5779201000,4787865000,4263623000,4662140000,4062246000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1351051/000155837020002774/0001558370-20-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1351051/000155837021003091/0001558370-21-003091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-13946000,- -,33938000,17337000,17149000,37209000,-133181000,-1041000,-203266000,21597000,-10484000,-907000,-426195000,-64013000,-578982000,-235231000,14619000,-58963000
74,Depreciation and Amortization,8069000,- -,9991000,16701000,20467000,20978000,23308000,25047000,25229000,25400000,24622000,24234000,237763000,254459000,255786000,220896000,123159000,107833000
75,Deferred Income Tax,- -,- -,-23129000,-6363000,349000,-659000,5966000,-54000,-11086000,3490000,-529000,-432000,164750000,7142000,-12128000,-3475000,-179000,1005000
76,Stock Based Compensation,- -,- -,- -,- -,- -,1558000,2268000,3549000,3608000,4750000,2998000,4269000,28472000,8414000,9621000,8820000,7309000,6480000
77,Change in Working Capital,- -,- -,-18308000,820000,-25871000,-9374000,-7154000,-10508000,2838000,-27959000,-11025000,-18949000,-115394000,-124894000,8048000,-5408000,-124796000,193704000
78,Accounts Receivable,- -,- -,- -,- -,- -,-15668000,-15836000,-14508000,-9299000,-15293000,-14496000,-33803000,-144624000,-170126000,-86256000,66508000,45745000,125511000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,8581000,-8000,-1722000,- -,- -,-3551000,8330000,-3702000,538000,5090000,- -,- -,- -,- -,- -,155824000
82,Other Non-Cash Items,-9344000,- -,12512000,5920000,18436000,13301000,183690000,18305000,282057000,15398000,42339000,18106000,119222000,-12747000,438110000,32982000,-27278000,65672000
83,Cash Provided by Operating Activities,-15221000,- -,15004000,34415000,30530000,63013000,74897000,35298000,99380000,42676000,47921000,26321000,8618000,68361000,120455000,18584000,-7166000,315731000
84,CAPEX,-6019000,- -,-11183000,-22267000,-29398000,-72986000,-41155000,-45771000,-16298000,-19522000,-13436000,-12981000,-85723000,-93118000,-64106000,-51152000,-62727000,-55616000
85,Acquisitions Net,- -,- -,- -,-43030000,-88447000,- -,-5013000,-45380000,-24019000,-1053000,- -,30000,25966000,5924000,142000,- -,- -,-17520000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83916000,-52554000,-48595000,-79650000,-70316000,-79285000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060000,41314000,72767000,69800000,69180000,71174000,63880000
88,Other Investing Activites,-26093000,- -,-212602000,-9079000,-6140000,4609000,- -,14746000,400000,1050000,12943000,66000,-236848000,69374000,34144000,22346000,-387861000,-607000
89,Cash Used for Investing Activites,-26093000,- -,-223785000,-74376000,-123985000,-68377000,-46168000,-76405000,-39917000,-19525000,-493000,-11825000,-253484000,-12788000,55491000,11876000,-387003000,-33532000
90,Debt Repayment,- -,- -,-139362000,- -,- -,-10624000,-99686000,-479822000,-135201000,-437423000,-550514000,-310998000,-1113716000,-1287251000,-806957000,-5092892000,-4832935000,-4876808000
91,Common Stock Issued,- -,- -,- -,100000,116793000,- -,- -,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-15739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-108604000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23486000,- -,504958000,5544000,-21147000,13023000,72048000,521593000,87563000,400258000,505260000,295954000,1332553000,1221543000,634128000,5146070000,5210634000,4782023000
95,Cash Used/Provided by Financing Activities,23486000,- -,241253000,5644000,95646000,2399000,-27638000,41771000,-47638000,-37165000,-45254000,-15044000,218861000,-65708000,-172829000,53178000,377699000,-94785000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23486000,- -,32472000,-34317000,2191000,-2965000,1481000,664000,11825000,-14014000,2174000,-548000,-26005000,-10135000,3117000,83638000,-16470000,187414000
98,Cash at the End of Period,- -,- -,37138000,2821000,5012000,2047000,3528000,4192000,16017000,2003000,4177000,3629000,61543000,51408000,54525000,142276000,125806000,313220000
99,Cash at the Beginning of Period,- -,- -,4666000,37138000,2821000,5012000,2047000,3528000,4192000,16017000,2003000,4177000,87548000,61543000,51408000,58638000,142276000,125806000
100,Free Cash Flow,-21240000,- -,3821000,12148000,1132000,-9973000,33742000,-10473000,83082000,23154000,34485000,13340000,-77105000,-24757000,56349000,-32568000,-69893000,260115000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1351051/000155837020002774/0001558370-20-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1351051/000155837021003091/0001558370-21-003091-index.htm
102,false,,,,,,,,,,,,,,,,,,
