,https://roic.ai/company/IHS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,124201000,200735000,234685000,345008000,258367000,153156000,291580000,- -,- -,- -,898802000,585416000,916488000
34,Net Receivables,203500000,256552000,326009000,372117000,459263000,421374000,355913000,- -,- -,- -,258324000,290295000,428446000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48711000,49222000,42022000
36,Other Current Assets,85533000,95447000,137384000,146758000,163210000,196057000,307849000,- -,- -,- -,17869000,64387000,40812000
37,Total Current Assets,413234000,552734000,698078000,863883000,880840000,770587000,955342000,- -,- -,- -,1223706000,989320000,1427768000
38,PP&E,74798000,93193000,128418000,163013000,245566000,301419000,314366000,- -,- -,- -,1925794000,1927098000,2277556000
39,Goodwill,875742000,1120830000,1722312000,1959223000,3065181000,3157324000,3287459000,- -,- -,- -,518141000,656256000,869319000
40,Intangible Assets,309795000,384568000,514949000,554552000,1144464000,1091109000,1014691000,- -,- -,- -,449632000,690841000,701425000
41,Intangible Assets,1185537000,1505398000,2237261000,2513775000,4209645000,4248433000,4302150000,- -,- -,- -,967773000,1347097000,1570744000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,8000,11000
43,Tax Assets,- -,33532000,45253000,55084000,70818000,81780000,4585000,- -,- -,- -,4820000,13443000,11064000
44,Other Non-Current Assets,- -,-33532000,-35973000,-46544000,-47256000,-53789000,24638000,- -,- -,- -,42604000,170677000,186508000
45,Total Non-Current Assets,1260335000,- -,2374959000,2685328000,4478773000,4577843000,4645739000,- -,- -,- -,2941002000,3458323000,4045883000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1673569000,552734000,3073037000,3549211000,5359613000,5348430000,5601081000,- -,- -,- -,4164708000,4447643000,5473651000
48,Accounts Payable,26470000,35854000,32428000,52079000,57001000,52245000,59180000,- -,- -,- -,338402000,301813000,342841000
49,Short-Term Debt,92577000,19054000,144563000,170102000,395527000,36257000,36019000,- -,- -,- -,122001000,214365000,258179000
50,Tax Payable,1720000,4350000,- -,2800000,9961000,- -,23339000,- -,- -,- -,33796000,54397000,73351000
51,Deferred Revenue,30970000,33532000,487172000,515318000,560010000,596187000,552498000,- -,- -,- -,2691000,2224000,20435000
52,Other Current Liabilities,399160000,489828000,152694000,139438000,233897000,270368000,312436000,- -,- -,- -,103366000,165241000,209104000
53,Total Current Liabilities,549177000,578268000,816857000,876937000,1246435000,955057000,960133000,- -,- -,- -,566460000,683643000,830559000
54,Long-Term Debt,92577000,19054000,658911000,890922000,1779065000,1806098000,2095183000,- -,- -,- -,2118371000,2303591000,2727012000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,33532000,123895000,139235000,361267000,347419000,259524000,- -,- -,- -,19757000,177184000,118210000
57,Other Non-Current Liabilities,- -,-19054000,19985000,27732000,38692000,51171000,58619000,- -,- -,- -,29801000,59034000,71910000
58,Total Non-Current Liabilities,92577000,33532000,802791000,1057889000,2179024000,2204688000,2413326000,- -,- -,- -,2167929000,2539809000,2917132000
59,Other Liabilities,1218988000,- -,1674242000,2145805000,4385239000,4438515000,4853397000,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184494000,314747000,376101000
61,Total Liabilities,1675588000,33532000,1688308000,1964853000,3452650000,3188884000,3400204000,- -,- -,- -,2734389000,3223452000,3747691000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,648000,0,675000,676000,679000,694000,703000,- -,- -,- -,4530870000,4530870000,5223484000
64,Retained Earnings,719182000,860497000,930619000,1088787000,1220520000,1415069000,1655262000,- -,- -,- -,-2513396000,-2835390000,-2860205000
65,Other Comprehensive Income/Loss,-103831000,-124632000,-49202000,-46693000,-56961000,-106725000,-191213000,- -,- -,- -,-587155000,-485505000,-780272000
66,Other Total Stockholders Equity,397679000,- -,502637000,541588000,742725000,850508000,736125000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,1013678000,519202000,1384729000,1584358000,1906963000,2159546000,2200877000,- -,- -,- -,1430319000,1209975000,1583007000
68,Total Liabilities And Stockholders Equity,2689266000,552734000,3073037000,3549211000,5359613000,5348430000,5601081000,- -,- -,- -,4164708000,4433427000,5330698000
69,Minority Interest,-1015697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14216000,142953000
70,Total Liabilities & Equity,1673569000,552734000,3073037000,3549211000,5359613000,5348430000,5601081000,- -,- -,- -,4164708000,4447643000,5473651000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1316360/000119312510007348/0001193125-10-007348-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000119312511008432/0001193125-11-008432-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636012000024/0001316360-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636013000019/0001316360-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636014000008/0001316360-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636015000007/0001316360-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636016000114/0001316360-16-000114-index.html,undefined,undefined,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,134963000,141315000,135415000,158168000,131733000,194549000,240193000,- -,- -,-132770000,-423492000,-321994000,-25832000
74,Depreciation and Amortization,49146000,59474000,88039000,118243000,158737000,202145000,235501000,- -,- -,317304000,384507000,408662000,382882000
75,Deferred Income Tax,18272000,3471000,-1683000,-16451000,-34312000,-10285000,-34927000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,57112000,66474000,86194000,121543000,162451000,167359000,135386000,- -,- -,-5065000,351054000,8342000,11780000
77,Change in Working Capital,92166000,110409000,-93245000,105725000,-352541000,181125000,179679000,- -,- -,-67067000,-18133000,-157765000,-69827000
78,Accounts Receivable,19476000,37886000,-35137000,-35410000,-24427000,36418000,56058000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4592000,-27069000,-8482000,6689000
80,Accounts Payable,-13280000,3017000,-4302000,22383000,-10069000,-11425000,-4131000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-135943000,-25534000,-118779000,-13054000,-365595000,-184470000,-4791000,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-116965000,-114955000,127330000,-172855000,430087000,-106794000,-143193000,- -,- -,349905000,348004000,698011000,451186000
83,Cash Provided by Operating Activities,234694000,266188000,342050000,314373000,496155000,628099000,612639000,- -,- -,462307000,641940000,635256000,750189000
84,CAPEX,-27739000,-31836000,-54340000,-64732000,-90734000,-114453000,-122921000,- -,- -,-378025000,-258278000,-229199000,-402475000
85,Acquisitions Net,-125379000,-334514000,-730058000,-306268000,-1487034000,-210395000,-369908000,- -,- -,- -,- -,-542905000,-401039000
86,Purchases of Investments,- -,-26442000,-32249000,-92823000,-97164000,-59928000,-248868000,- -,- -,- -,- -,- -,-103647000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-920000,21536000,23409000,88563000,85686000,49327000,245738000,- -,- -,104839000,17186000,11128000,24158000
89,Cash Used for Investing Activites,-154038000,-371256000,-793238000,-375260000,-1589246000,-335449000,-495959000,- -,- -,-264596000,-235806000,-758512000,-877949000
90,Debt Repayment,- -,-43300000,-444775000,-493080000,-268909000,-2817236000,-261152000,- -,- -,-89143000,-1680647000,-139056000,-716828000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-26442000,-32249000,-92823000,-97164000,-59928000,-248868000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,407000,251344000,959841000,765314000,1372523000,2479303000,555494000,- -,- -,-113637000,1542328000,10920000,1241093000
95,Cash Used/Provided by Financing Activities,407000,181602000,482817000,179411000,1006450000,-397861000,45474000,- -,- -,-202780000,-138319000,-128136000,524265000
96,Effect of Forex Changes on Cash,- -,-4296000,2321000,-8201000,-17349000,-11438000,-22162000,- -,- -,-7677000,-2463000,-61994000,-65433000
97,Net Change In Cash,93161000,76534000,33950000,110323000,-86641000,-105211000,139992000,- -,- -,-12746000,265352000,-313386000,331072000
98,Cash at the End of Period,124201000,200735000,234685000,345008000,258367000,153156000,291580000,- -,- -,633450000,898802000,585416000,916488000
99,Cash at the Beginning of Period,31040000,124201000,200735000,234685000,345008000,258367000,151588000,- -,- -,646196000,633450000,898802000,585416000
100,Free Cash Flow,206955000,234352000,284725000,245941000,405421000,512932000,489718000,- -,- -,84282000,383662000,406057000,347714000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1316360/000119312510007348/0001193125-10-007348-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000119312511008432/0001193125-11-008432-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636012000024/0001316360-12-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636013000019/0001316360-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636014000008/0001316360-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636015000007/0001316360-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1316360/000131636016000114/0001316360-16-000114-index.html,undefined,undefined,- -,- -,- -,- -
102,false,,,,,,,,,,,,,
