,https://roic.ai/company/ALTO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),7928,19136,7275,-2061703,-1793789,- -,-11525,5600,- -,- -,- -,- -,- -,- -,- -,- -,15137000,-10034000,-981000,-321000,-562000,-20000,-17000,1469000
23,Net Income,-2003758,-965632,247752,1169269,1247954,-1626038,-1485815,-9923119,-142000,-14400000,-146547000,-308153000,73892000,3074000,-19057000,-781000,21289000,-18786000,1419000,-34964000,-60273000,-88949000,-15116000,46082000
24,Net Income ratio,-0.1376,-0.0796,0.0171,0.6891,0.3106,-2.4729,-1.8018,-0.1133,-0.0006,-0.0312,-0.2082,-0.9734,0.2251,0.0034,-0.0234,-0.0009,0.0192,-0.0158,0.0009,-0.0214,-0.0398,-0.0624,-0.0169,0.0382
25,EPS,-126.00,-63.00,10.50,57.75,57.75,-388.50,-68.25,-42.00,-262.50,-49.35,-317.10,-572.25,101.85,0.75,-2.85,-0.17,0.96,-0.60,0.00,-0.85,-1.42,-1.90,-0.28,0.79
26,EPS Diluted,-126.00,-63.00,10.50,57.75,57.75,-388.50,-68.25,-42.00,-262.50,-49.35,-317.10,-572.25,84.00,0.75,-2.85,-0.17,0.88,-0.60,0.00,-0.85,-1.42,-1.90,-0.28,0.79
27,Weighted Average Shares Outstanding,15614,15856,18965,20398,20762,4181,21611,238723,331953,379953,477592,543659,700955,2248877,7223902,12264000,20810000,33173000,42182000,42745000,43376000,47384000,58609000,58609000
28,Weighted Average Shares Outstanding Diluted,15614,15856,22051,21160,20762,20744,21611,238723,331953,379953,477592,543659,891879,2265611,7223902,12264000,22669000,33173000,42251000,42745000,43376000,47384000,58609000,58609000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/778164/000121390020010440/0001213900-20-010440-index.htm,https://www.sec.gov/Archives/edgar/data/778164/000121390021017995/0001213900-21-017995-index.htm,https://www.sec.gov/Archives/edgar/data/778164/000121390022012260/0001213900-22-012260-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2782180,542359,1039866,265408,908655,95575,188444,4521111,44053000,5707000,11466000,17545000,8736000,8914000,7586000,5151000,62084000,52712000,68590000,49489000,26627000,18997000,47667000,50612000
32,Short-Term Investments,- -,1036263,789505,1915121,5309481,4313114,- -,2750000,39119000,19353000,7780000,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2782180,1578622,1829371,2180529,6218136,4408689,188444,7271111,83172000,25060000,19246000,17646000,8736000,8914000,7586000,5151000,62084000,52712000,68590000,49489000,26627000,18997000,47667000,50612000
34,Net Receivables,1711644,1794740,1813747,136450,149685,156096,138575,5083533,29322000,28034000,23823000,12765000,25855000,28140000,26051000,35296000,34612000,72000000,92005000,81087000,68248000,74307000,43491000,86888000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,362972,9624000,21578000,18408000,12131000,17306000,16131000,16244000,23386000,18550000,60820000,60070000,61550000,57820000,60600000,41767000,54373000
36,Other Current Assets,66207,39376,99074,2099601,334719,114301,3627541,2062056,4927000,7521000,10414000,6234000,6065000,13563000,7551000,15544000,24305000,12410000,14536000,11120000,16109000,78160000,81121000,37653000
37,Total Current Assets,4560031,3412738,3742192,4416580,6702540,4679086,3954560,14779672,127045000,82193000,71891000,48776000,57962000,66748000,57432000,79377000,139551000,197942000,235201000,203246000,168804000,232064000,214046000,229526000
38,PP&E,601424,689094,820404,615630,708976,449295,86489,23208248,196156000,468704000,530037000,243733000,168976000,159617000,150409000,155194000,155302000,464960000,465190000,508352000,482657000,356872000,240532000,235963000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,85307000,88168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10134473,10155000,6324000,5630000,5156000,5382000,4458000,3734000,3260000,2786000,2678000,2678000,2678000,2678000,2678000,2678000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10134473,95462000,94492000,5630000,5156000,5382000,4458000,3734000,3260000,2786000,2678000,2678000,2678000,2678000,2678000,2678000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,107972,35288,27738,27563,357979,353549,4026,62419,35157000,6211000,9276000,1154000,1763000,1653000,3388000,3218000,1863000,9563000,5169000,6020000,5842000,20881000,19562000,19464000
45,Total Non-Current Assets,709396,724382,848142,643193,1066955,802844,90515,33405140,326775000,569407000,544943000,250043000,176121000,165728000,157531000,161672000,159951000,477201000,473037000,517050000,491177000,380431000,262772000,255427000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5269427,4137120,4590334,5059773,7769495,5481930,4045075,48184812,453820000,651600000,616834000,298819000,234083000,232476000,214963000,241049000,299502000,675143000,708238000,720296000,659981000,612495000,476818000,484953000
48,Accounts Payable,1238089,938418,1153972,155330,299215,52197,55446,11166853,15367000,77844000,14034000,8182000,6472000,5519000,5104000,11071000,13122000,30520000,37051000,39738000,48176000,29277000,13047000,23251000
49,Short-Term Debt,44672,50513,14644,- -,31968,20386,- -,1200000,4125000,17098000,305420000,77365000,38108000,750000,4029000,5580000,4077000,21251000,11294000,20592000,146716000,66457000,27713000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,596795,747567,638163,433796,859315,429172,416789,5306952,11102000,25137000,40750000,14086000,3251000,2713000,3282000,11565000,8248000,21138000,30496000,30376000,36967000,64664000,46167000,46351000
53,Total Current Liabilities,1879556,1736498,1806779,589126,1190498,501755,472235,17673805,30594000,120079000,360204000,99633000,47831000,8982000,12415000,28216000,25447000,72909000,78841000,90706000,231859000,160398000,86927000,69602000
54,Long-Term Debt,51926,- -,- -,- -,- -,- -,- -,1995576,28970000,151188000,937000,12739000,84981000,93689000,117253000,98408000,34533000,204324000,188028000,221091000,94109000,180795000,71807000,50361000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1091000,1965000,- -,- -,- -,- -,- -,- -,17040000,1174000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,20415,- -,- -,- -,357000,- -,3497000,244245000,13456000,10541000,12388000,19524000,4500000,25192000,23108000,24799000,14648000,44257000,21849000,19776000
58,Total Non-Current Liabilities,51926,- -,- -,- -,20415,- -,- -,1995576,30418000,153153000,4434000,256984000,98437000,104230000,129641000,117932000,56073000,230690000,211136000,245890000,108757000,225052000,93656000,70137000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,52383,20386,- -,- -,- -,- -,- -,- -,- -,- -,- -,10871000,6132000,8431000,1341000,715000,123000,24628000,10895000,- -
61,Total Liabilities,1931482,1736498,1806779,589126,1210913,501755,472235,19669381,61012000,273232000,364638000,356617000,146268000,113212000,142056000,146148000,81520000,303599000,289977000,336596000,340616000,385450000,180583000,139739000
62,Preferred Stock,- -,- -,- -,- -,10,10,- -,- -,5000,5000,2000,2000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,- -
63,Common Stock,128977,128977,168625,172750,176205,36291,37821,28874,40000,41000,58000,57000,90000,87000,147000,16000,25000,43000,44000,44000,46000,56000,72000,73000
64,Retained Earnings,-4463382,-5429014,-5181262,-4011993,-2764039,-4390077,-5875892,-13584365,-99680000,-118309000,-269721000,-581076000,-511794000,-509985000,-530310000,-532356000,-512332000,-532383000,-532233000,-568462000,-630000000,-720214000,-736598000,-691781000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,14204,-37785,33195,-1626564,545000,-2383000,- -,-77782000,-6813000,-19235000,-30684000,-42047000,-54343000,1040000,-2620000,-2234000,-2459000,-2370000,-3878000,-284000
66,Other Total Stockholders Equity,7672350,7700659,7796192,8309890,9132202,9371736,9377716,43697486,397535000,402932000,479034000,558730000,511359000,576106000,613408000,663604000,780156000,902843000,922698000,927090000,932179000,942307000,1036638000,1037206000
67,Total Stockholders Equity,3337945,2400622,2783555,4470647,6558582,4980175,3572840,28515431,298445000,282286000,209373000,-100069000,-7157000,46974000,52562000,89218000,213507000,371544000,387890000,356439000,299767000,219780000,296235000,345214000
68,Total Liabilities And Stockholders Equity,5269427,4137120,4590334,5059773,7769495,5481930,4045075,48184812,359457000,555518000,574011000,256548000,139111000,160186000,194618000,235366000,295027000,675143000,677867000,693035000,640383000,605230000,476818000,484953000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,94363000,96082000,42823000,42271000,94972000,72290000,20345000,5683000,4475000,- -,30371000,27261000,19598000,7265000,- -,- -
70,Total Liabilities & Equity,5269427,4137120,4590334,5059773,7769495,5481930,4045075,48184812,453820000,651600000,616834000,298819000,234083000,232476000,214963000,241049000,299502000,675143000,708238000,720296000,659981000,612495000,476818000,484953000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/778164/000121390020010440/0001213900-20-010440-index.htm,https://www.sec.gov/Archives/edgar/data/778164/000121390021017995/0001213900-21-017995-index.htm,https://www.sec.gov/Archives/edgar/data/778164/000121390022012260/0001213900-22-012260-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2003758,-965632,247752,1169269,1247954,-1626038,-1485815,-9923119,-142000,-14400000,-146547000,-308153000,73892000,3074000,-19057000,-781000,21289000,-18786000,1419000,-34964000,-60273000,-88949000,-15116000,46082000
74,Depreciation and Amortization,143308,201289,282051,408751,488934,318837,295366,786525,5067000,22239000,26635000,34876000,9110000,12648000,12205000,12136000,13186000,23632000,35441000,38651000,40849000,47909000,30268000,- -
75,Deferred Income Tax,- -,- -,- -,-1900000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5129000,-2023000,-1122000,169000,27000,2000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,806000,1724000,1838000,2019000,2616000,3828000,3438000,2809000,2679000,- -
77,Change in Working Capital,233852,-1004235,259173,1892041,1684588,-1334711,-695006,-6376458,99345133,-134337000,-250427000,237456000,60988000,47635000,-12749000,6144000,62943000,10929000,31327000,-43820000,-175595000,134721000,55453000,32805000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2020000,12015000,-13789000,-2067000,2095000,-9414000,726000,-15950000,-25235000,17562000,12663000,-6698000,30571000,- -
79,Inventory,61642,- -,- -,- -,- -,- -,- -,218593,-4376000,-10945000,-1596000,5404000,-7462000,1128000,-929000,-2150000,3866000,-13296000,750000,5070000,4080000,-2780000,19090000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2680475,1676240,1935413,3827454,5512042,4177331,3482325,-2894133,96451000,-37886000,-288313000,-50857000,10131000,57766000,45017000,51161000,114104000,125033000,156360000,112540000,-63055000,71666000,127119000,159924000
82,Other Non-Cash Items,72336,869242,-163239,-863102,-7549189,889861,923513,19520063,-112414133,143216000,315164000,29519000,-180911000,-67307000,-2051000,-5036000,-16053000,-42613000,-29284000,72645000,193120000,-119855000,-1508000,-78887000
83,Cash Provided by Operating Activities,-1554262,-899336,625737,706959,-2227713,-1752051,-961942,4007011,-8144000,16718000,-55175000,-6302000,-36921000,-3950000,-20846000,14187000,88332000,-26842000,40397000,36509000,1566000,-23363000,71776000,- -
84,CAPEX,-287422,-224284,-413361,-216379,-433853,-39793,-3867,-17272971,-82454000,-210482000,-152635000,-4304000,-643000,-2365000,-2273000,-3993000,-13259000,-20507000,-19171000,-20866000,-15154000,-3281000,-6580000,- -
85,Acquisitions Net,- -,- -,- -,- -,6174389,- -,- -,- -,-29514000,- -,- -,- -,- -,- -,-10000000,-2340000,-6000000,18756000,- -,-29574000,- -,- -,19896000,- -
86,Purchases of Investments,- -,-1543454,- -,-1128506,-8396026,-5439087,-1398776,-15000000,-28962000,- -,- -,- -,-29980000,-9117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,500000,300000,- -,4929000,6349183,2470340,12250000,- -,19417000,11573000,7679000,18500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2500,-47095,15600,-300000,10000,- -,2772013,-33892000,24851000,206000,- -,-1301000,- -,- -,- -,- -,-4574000,4574000,- -,- -,- -,10000000,- -
89,Cash Used for Investing Activites,-287422,-1265238,-160456,-1329285,1973510,880303,1067697,-17250958,-174822000,-166214000,-140856000,3375000,-13424000,-11482000,-12273000,-6333000,-19259000,-6325000,-14597000,-50440000,-15154000,-3281000,23316000,- -
90,Debt Repayment,- -,-46085,-35869,-14644,-9853,-31997,- -,- -,- -,- -,-22605000,-12821000,-13250000,-1712000,-10721000,-52720000,-77992000,-18892000,-190303000,-60938000,-19687000,-11748000,-157611000,- -
91,Common Stock Issued,1070000,- -,9000,- -,- -,90665,7500,19882069,230136000,2257000,26649000,- -,- -,7364000,20924000,- -,26073000,- -,- -,- -,2057000,3670000,75829000,- -
92,Common Stock Repurchased,- -,-29162,- -,- -,-92697,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-1948000,-4200000,-4104000,- -,- -,- -,-1268000,-1265000,-3459000,-1265000,-1269000,-1265000,-1265000,-946000,- -,-1265000
94,Other Financing Activites,100000,- -,59095,- -,1000000,- -,-20386,-2117053,-5690000,113093000,201850000,21827000,54786000,9958000,22856000,43696000,43238000,43952000,181650000,61364000,9621000,28038000,15360000,- -
95,Cash Used/Provided by Financing Activities,1170000,-75247,32226,-14644,897450,58668,-12886,17765016,222498000,111150000,201790000,9006000,41536000,15610000,31791000,-10289000,-12140000,23795000,-9922000,-839000,-9274000,19014000,-66422000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-671684,-2239821,497507,-636970,643247,-813080,92869,4521069,39532000,-38346000,5759000,6079000,-8809000,178000,-1328000,-2435000,56933000,-9372000,15878000,-14770000,-22862000,-7630000,28670000,- -
98,Cash at the End of Period,2782180,542359,1039866,265408,908655,95575,188444,4521111,44053000,5707000,11466000,17545000,8736000,8914000,7586000,5151000,62084000,52712000,68590000,49489000,26627000,18997000,47667000,- -
99,Cash at the Beginning of Period,3453864,2782180,542359,902378,265408,908655,95575,42,4521000,44053000,5707000,11466000,17545000,8736000,8914000,7586000,5151000,62084000,52712000,64259000,49489000,26627000,18997000,47667000
100,Free Cash Flow,-1841684,-1123620,212376,490580,-2661566,-1791844,-965809,-13265960,-90598000,-193764000,-207810000,-10606000,-37564000,-6315000,-23119000,10194000,75073000,-47349000,21226000,15643000,-13588000,-26644000,65196000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/778164/000121390020010440/0001213900-20-010440-index.htm,https://www.sec.gov/Archives/edgar/data/778164/000121390021017995/0001213900-21-017995-index.htm,https://www.sec.gov/Archives/edgar/data/778164/000121390022012260/0001213900-22-012260-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
