,https://roic.ai/company/VCNX,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,1037000,2813000,- -,- -,1134000,175000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,694000,369000,- -,- -,- -,- -
58,Total Non-Current Liabilities,1731000,3182000,- -,- -,1134000,175000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,6171000,7347000,6686000,6878000,14314000,2431000
62,Preferred Stock,111420000,119402000,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,3000,3000
64,Retained Earnings,-168527000,-187249000,-216767000,-248630000,- -,-299861000
65,Other Comprehensive Income/Loss,-5895000,-6101000,-6324000,-6573000,- -,- -
66,Other Total Stockholders Equity,171093000,191578000,214469000,228965000,-26578000,307270000
67,Total Stockholders Equity,-3329000,-13735000,-8621000,-26237000,-26575000,7412000
68,Total Liabilities And Stockholders Equity,2842000,-6388000,-1935000,-19359000,-12261000,9843000
69,Minority Interest,- -,11963000,23963000,23963000,23963000,- -
70,Total Liabilities & Equity,2842000,5575000,22028000,4604000,11702000,9843000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1205922/000156459019007458/0001564590-19-007458-index.html,https://www.sec.gov/Archives/edgar/data/1205922/000156459020009251/0001564590-20-009251-index.html,https://www.sec.gov/Archives/edgar/data/1205922/000156459021016874/0001564590-21-016874-index.htm,https://www.sec.gov/Archives/edgar/data/1205922/000156459022012778/0001564590-22-012778-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-13943000,-18722000,-29518000,-31863000,-28851000,-22380000
74,Depreciation and Amortization,178000,206000,223000,249000,307000,169000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,135000,319000,177000,447000,732000,541000
77,Change in Working Capital,1654000,3137000,13929000,-17606000,974000,9043000
78,Accounts Receivable,-85000,-13000,-522000,-260000,741000,157000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,407000,-555000,421000,725000,122000,-2108000
81,Other Working Capital,-2328000,809000,14738000,-2868000,-1894000,7149000
82,Other Non-Cash Items,-7744000,-6327000,-10087000,18058000,-1809000,-12671000
83,Cash Provided by Operating Activities,-19720000,-21387000,-25276000,-30715000,-28647000,-25298000
84,CAPEX,-793000,-68000,-235000,-78000,-290000,-32000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-20756000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6750000,14151000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-793000,-68000,-14241000,14073000,-290000,-32000
90,Debt Repayment,-800000,-6000000,-5500000,- -,-50000,-9000
91,Common Stock Issued,- -,- -,37125000,13800000,11475000,32848000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17157000,29974000,9330000,- -,25332000,-9516000
95,Cash Used/Provided by Financing Activities,16357000,23974000,40955000,13800000,36757000,23323000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4156000,2519000,1438000,-2842000,7820000,-2007000
98,Cash at the End of Period,1661000,4180000,5618000,2776000,10596000,8589000
99,Cash at the Beginning of Period,5817000,1661000,4180000,5618000,2776000,10596000
100,Free Cash Flow,-20513000,-21455000,-25511000,-30793000,-28937000,-25330000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1205922/000156459019007458/0001564590-19-007458-index.html,https://www.sec.gov/Archives/edgar/data/1205922/000156459020009251/0001564590-20-009251-index.html,https://www.sec.gov/Archives/edgar/data/1205922/000156459021016874/0001564590-21-016874-index.htm,https://www.sec.gov/Archives/edgar/data/1205922/000156459022012778/0001564590-22-012778-index.htm
102,false,,,,,,
