,https://roic.ai/company/JBLU,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,1261980,2700000,114705882,143456427,160667010,165582558,153846154,163636364,180000000,228390000,332063000,346580000,346468000,344129000,343425000,343294000,344817000,342200000,329618768,314500000,298400000,277500000,319600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158463/000104746903005952/0001047469-03-005952-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000104746904004064/a2128367z10-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000104746905003748/a2151224z10-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013606001033/file001.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013607000901/file1.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013608000821/file1.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095012309002805/0000950123-09-002805-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000095012310009322/0000950123-10-009322-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000095012311018216/y04224e10vk.htm,https://www.sec.gov/Archives/edgar/data/1158463/000119312512084229/0001193125-12-084229-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846313000010/0001158463-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846314000008/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846315000013/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846316000102/0001158463-16-000102-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846317000016/0001158463-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846318000018/0001158463-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846319000018/0001158463-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846320000012/0001158463-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000162828021003705/0001628280-21-003705-index.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846322000017/0001158463-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,246752000,570695000,410417000,6000000,10000000,190000000,561000000,896000000,465000000,673000000,182000000,225000000,341000000,318000000,433000000,303000000,474000000,959000000,1918000000,2018000000
32,Short-Term Investments,- -,- -,- -,11101000,36610000,38745000,478000000,689000000,644000000,10000000,240000000,495000000,553000000,549000000,402000000,367000000,558000000,538000000,390000000,413000000,369000000,1135000000,824000000
33,Cash and Short-Term Investments,- -,- -,- -,257853000,607305000,449162000,484000000,699000000,834000000,571000000,1136000000,960000000,1226000000,731000000,627000000,708000000,876000000,971000000,693000000,887000000,1328000000,3053000000,2842000000
34,Net Receivables,- -,- -,- -,11931000,16723000,38271000,94000000,77000000,92000000,86000000,81000000,84000000,101000000,106000000,129000000,136000000,136000000,172000000,245000000,211000000,231000000,98000000,207000000
35,Inventory,- -,- -,- -,4840000,8295000,10360000,21000000,27000000,26000000,30000000,40000000,49000000,50000000,36000000,48000000,46000000,44000000,47000000,55000000,78000000,81000000,71000000,74000000
36,Other Current Assets,- -,- -,- -,8435000,13417000,17287000,36000000,124000000,164000000,275000000,281000000,267000000,251000000,227000000,252000000,310000000,317000000,377000000,213000000,298000000,146000000,123000000,124000000
37,Total Current Assets,- -,- -,- -,283059000,645740000,515080000,635000000,927000000,1116000000,962000000,1538000000,1360000000,1628000000,1100000000,1056000000,1200000000,1373000000,1567000000,1206000000,1474000000,1786000000,3345000000,3247000000
38,PP&E,- -,- -,- -,997161000,1420691000,2137855000,2978000000,3438000000,3794000000,4470000000,4638000000,4641000000,4860000000,5343000000,5656000000,6072000000,6652000000,7271000000,8049000000,8315000000,9526000000,9203000000,9543000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,68278000,62256000,54258000,43000000,32000000,21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,- -
41,Intangible Assets,- -,- -,- -,68278000,62256000,54258000,43000000,32000000,21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,284000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000000,6000000,133000000,38000000,136000000,114000000,60000000,49000000,90000000,2000000,3000000,3000000,2000000,39000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,30425000,57070000,91451000,236000000,446000000,667000000,347000000,372000000,459000000,545000000,491000000,524000000,507000000,586000000,559000000,524000000,634000000,603000000,595000000,529000000
45,Total Non-Current Assets,- -,- -,- -,1095864000,1540017000,2283564000,3257000000,3916000000,4482000000,5061000000,5016000000,5233000000,5443000000,5970000000,6294000000,6639000000,7287000000,7920000000,8575000000,8952000000,10132000000,10061000000,10395000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1378923000,2185757000,2798644000,3892000000,4843000000,5598000000,6023000000,6554000000,6593000000,7071000000,7070000000,7350000000,7839000000,8660000000,9487000000,9781000000,10426000000,11918000000,13406000000,13642000000
48,Accounts Payable,- -,- -,- -,46042000,52983000,70934000,99000000,136000000,140000000,144000000,93000000,104000000,148000000,153000000,180000000,208000000,205000000,242000000,378000000,437000000,401000000,365000000,499000000
49,Short-Term Debt,- -,- -,- -,72433000,96985000,148873000,223000000,175000000,417000000,272000000,384000000,183000000,286000000,394000000,469000000,265000000,448000000,189000000,196000000,309000000,472000000,563000000,461000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,514000000,627000000,693000000,825000000,973000000,1053000000,1120000000,1215000000,1035000000,1119000000,1122000000,1618000000
52,Other Current Liabilities,- -,- -,- -,151189000,219651000,266191000,354000000,543000000,699000000,665000000,692000000,284000000,351000000,368000000,400000000,490000000,569000000,672000000,606000000,637000000,671000000,624000000,839000000
53,Total Current Liabilities,- -,- -,- -,269664000,369619000,485998000,676000000,854000000,1256000000,1081000000,1169000000,1085000000,1412000000,1608000000,1874000000,1936000000,2275000000,2223000000,2395000000,2418000000,2663000000,2674000000,3417000000
54,Long-Term Debt,- -,- -,- -,639498000,1011610000,1395939000,2103000000,2626000000,2588000000,2883000000,2920000000,2850000000,2850000000,2457000000,2116000000,1968000000,1395000000,1195000000,1003000000,1361000000,1990000000,5165000000,4341000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,481000000,616000000,640000000
56,Deferred Tax Liabilities,- -,- -,- -,38545000,133392000,160507000,202000000,411000000,718000000,194000000,259000000,327000000,392000000,481000000,605000000,832000000,1218000000,1509000000,1033000000,1088000000,1251000000,922000000,843000000
57,Other Non-Current Liabilities,- -,- -,- -,16543000,- -,- -,- -,- -,- -,604000000,667000000,677000000,660000000,636000000,621000000,574000000,562000000,547000000,516000000,501000000,734000000,78000000,552000000
58,Total Non-Current Liabilities,- -,- -,- -,694586000,1145002000,1556446000,2305000000,3037000000,3306000000,3681000000,3846000000,3854000000,3902000000,3574000000,3342000000,3374000000,3175000000,3251000000,2552000000,3397000000,4456000000,6781000000,6376000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818000000,865000000,796000000
61,Total Liabilities,- -,- -,- -,964250000,1514621000,2042444000,2981000000,3891000000,4562000000,4762000000,5015000000,4939000000,5314000000,5182000000,5216000000,5310000000,5450000000,5474000000,4947000000,5815000000,7119000000,9455000000,9793000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,638000,1021000,1042000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,3000000,3000000,4000000,4000000,4000000,4000000,4000000,4000000,5000000,5000000
64,Retained Earnings,- -,- -,- -,15791000,119689000,167156000,145000000,144000000,162000000,86000000,118000000,219000000,305000000,433000000,601000000,1002000000,1679000000,2446000000,3593000000,3679000000,4322000000,2968000000,2786000000
65,Other Comprehensive Income/Loss,- -,- -,- -,187000,5595000,12659000,- -,-7000000,19000000,-84000000,1000000,-10000000,-15000000,-8000000,- -,-63000000,-3000000,13000000,- -,-3000000,2000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,398057000,544831000,575343000,764000000,813000000,853000000,1256000000,1417000000,1442000000,1464000000,1460000000,1530000000,1586000000,1530000000,1550000000,1237000000,931000000,471000000,978000000,1058000000
67,Total Stockholders Equity,- -,- -,- -,414673000,671136000,756200000,911000000,952000000,1036000000,1261000000,1539000000,1654000000,1757000000,1888000000,2134000000,2529000000,3210000000,4013000000,4834000000,4611000000,4799000000,3951000000,3849000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1378923000,2185757000,2798644000,3892000000,4843000000,5598000000,6023000000,6554000000,6593000000,7071000000,7070000000,7350000000,7839000000,8660000000,9487000000,9781000000,10426000000,11918000000,13406000000,13642000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,1378923000,2185757000,2798644000,3892000000,4843000000,5598000000,6023000000,6554000000,6593000000,7071000000,7070000000,7350000000,7839000000,8660000000,9487000000,9781000000,10426000000,11918000000,13406000000,13642000000
71,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1158463/000104746903005952/0001047469-03-005952-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000104746904004064/a2128367z10-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000104746905003748/a2151224z10-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013606001033/file001.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013607000901/file1.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013608000821/file1.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095012309002805/0000950123-09-002805-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000095012310009322/0000950123-10-009322-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000095012311018216/y04224e10vk.htm,https://www.sec.gov/Archives/edgar/data/1158463/000119312512084229/0001193125-12-084229-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846313000010/0001158463-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846314000008/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846315000013/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846316000102/0001158463-16-000102-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846317000016/0001158463-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846318000018/0001158463-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846319000018/0001158463-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846320000012/0001158463-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000162828021003705/0001628280-21-003705-index.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846322000017/0001158463-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13764000,-21330000,- -,54908000,103898000,47467000,-20000000,-1000000,18000000,-76000000,58000000,97000000,86000000,128000000,168000000,401000000,677000000,759000000,1147000000,188000000,569000000,-1354000000,-182000000
74,Depreciation and Amortization,111000,3995000,- -,26922000,50865000,77420000,117000000,154000000,180000000,210000000,234000000,230000000,247000000,269000000,306000000,325000000,345000000,393000000,446000000,491000000,525000000,535000000,540000000
75,Deferred Income Tax,- -,- -,- -,39659000,69753000,29737000,-4000000,10000000,23000000,-1000000,40000000,62000000,58000000,76000000,107000000,212000000,377000000,270000000,-313000000,90000000,139000000,-329000000,-88000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,16000000,17000000,13000000,13000000,14000000,20000000,20000000,23000000,29000000,28000000,31000000,28000000,28000000
77,Change in Working Capital,- -,- -,- -,13395000,262726000,-247039000,-70082000,114000000,-213000000,21000000,488000000,-94000000,-59000000,-724000000,-310000000,82000000,-166000000,246000000,-533000000,245000000,67000000,1548000000,1343000000
78,Accounts Receivable,- -,- -,- -,6851000,-4047000,-21267000,-28000000,-12000000,-14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-3992000,-11491000,-6194000,-20000000,-28000000,3000000,-10000000,-43000000,-4000000,4000000,38000000,-23000000,3000000,-5000000,1000000,15000000,-174000000,188000000,52000000,138000000
80,Accounts Payable,- -,- -,- -,34734000,37335000,20094000,54000000,33000000,36000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,13395000,276121000,29082000,-41000000,73000000,-140000000,-119000000,369000000,275000000,216000000,-508000000,-818000000,-736000000,-902000000,-656000000,-1189000000,-944000000,-877000000,671000000,445000000
82,Other Non-Cash Items,7097000,20159000,- -,81593000,-200905000,290835000,147082000,-3000000,350000000,-187000000,-350000000,211000000,269000000,936000000,473000000,-128000000,345000000,-59000000,622000000,175000000,118000000,-1111000000,1000000
83,Cash Provided by Operating Activities,-6556000,2824000,- -,216477000,286337000,198420000,170000000,274000000,358000000,-17000000,486000000,523000000,614000000,698000000,758000000,912000000,1598000000,1632000000,1398000000,1217000000,1449000000,-683000000,1642000000
84,CAPEX,- -,- -,- -,-1198080000,-893334000,-977990000,-1307000000,-1208000000,-873000000,-703000000,-466000000,-299000000,-528000000,-828000000,-637000000,-857000000,-941000000,-1011000000,-1202000000,-1114000000,-1156000000,-791000000,-995000000
85,Acquisitions Net,- -,- -,- -,-80448000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-11395000,-25870000,-18729000,-170000000,-1025000000,-665000000,-69000000,-668000000,-1935000000,-1052000000,-976000000,-647000000,-696000000,-742000000,-873000000,-452000000,-1408000000,-1374000000,-1962000000,-1614000000
87,Sales/Maturities of Investments,- -,- -,- -,2000000,9185000,25310000,18000000,812000000,743000000,397000000,661000000,1551000000,1076000000,872000000,808000000,777000000,555000000,850000000,688000000,1380000000,1414000000,1195000000,1910000000
88,Other Investing Activites,-67452000,-241130000,- -,-110553000,-574464000,-621844000,-941000000,-988000000,-684000000,-526000000,-418000000,-262000000,-478000000,-477000000,-615000000,-726000000,-843000000,-861000000,-1083000000,-922000000,-945000000,-506000000,-912000000
89,Cash Used for Investing Activites,-67452000,-241130000,- -,-744461000,-751530000,-795948000,-1276000000,-1307000000,-734000000,-247000000,-457000000,-696000000,-502000000,-867000000,-476000000,-379000000,-1134000000,-1045000000,-975000000,-1156000000,-1129000000,-1349000000,-704000000
90,Debt Repayment,- -,- -,- -,-105598000,-792224000,-106365000,-164000000,-461000000,-309000000,-725000000,-310000000,-333000000,-278000000,-893000000,-815000000,-716000000,-328000000,-368000000,-194000000,-222000000,-323000000,-1372000000,-1892000000
91,Common Stock Issued,- -,- -,- -,174014000,136022000,20148000,178000000,28000000,26000000,320000000,120000000,9000000,10000000,9000000,10000000,41000000,84000000,45000000,47000000,48000000,51000000,620000000,46000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82000000,-241000000,-134000000,-390000000,-382000000,-542000000,-167000000,-8000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,80740000,254463000,- -,588798000,1445338000,523467000,1079000000,1470000000,839000000,1040000000,496000000,66000000,364000000,562000000,566000000,340000000,-2000000,-15000000,-16000000,669000000,979000000,3902000000,1024000000
95,Cash Used/Provided by Financing Activities,80740000,254463000,- -,657214000,789136000,437250000,1093000000,1037000000,556000000,635000000,306000000,-258000000,96000000,-322000000,-239000000,-417000000,-487000000,-472000000,-553000000,113000000,165000000,2983000000,-830000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,80740000,254463000,- -,129230000,323943000,-160278000,-13000000,4000000,180000000,371000000,335000000,-431000000,208000000,-491000000,43000000,116000000,-23000000,115000000,-130000000,174000000,485000000,951000000,108000000
98,Cash at the End of Period,- -,- -,- -,246752000,570695000,410417000,6000000,10000000,190000000,561000000,896000000,465000000,673000000,182000000,225000000,341000000,318000000,433000000,303000000,533000000,1018000000,1969000000,2077000000
99,Cash at the Beginning of Period,- -,- -,- -,117522000,246752000,570695000,19000000,6000000,10000000,190000000,561000000,896000000,465000000,673000000,182000000,225000000,341000000,318000000,433000000,359000000,533000000,1018000000,1969000000
100,Free Cash Flow,-6556000,2824000,- -,-981603000,-606997000,-779570000,-1137000000,-934000000,-515000000,-720000000,20000000,224000000,86000000,-130000000,121000000,55000000,657000000,621000000,196000000,103000000,293000000,-1474000000,647000000
101,SEC Link,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1158463/000104746903005952/0001047469-03-005952-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000104746904004064/a2128367z10-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000104746905003748/a2151224z10-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013606001033/file001.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013607000901/file1.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095013608000821/file1.htm,https://www.sec.gov/Archives/edgar/data/1158463/000095012309002805/0000950123-09-002805-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000095012310009322/0000950123-10-009322-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000095012311018216/y04224e10vk.htm,https://www.sec.gov/Archives/edgar/data/1158463/000119312512084229/0001193125-12-084229-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846313000010/0001158463-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846314000008/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846315000013/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846316000102/0001158463-16-000102-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846317000016/0001158463-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846318000018/0001158463-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846319000018/0001158463-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000115846320000012/0001158463-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1158463/000162828021003705/0001628280-21-003705-index.htm,https://www.sec.gov/Archives/edgar/data/1158463/000115846322000017/0001158463-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
