,https://roic.ai/company/LUNA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,122000,1293000,- -,609636,12514839,17866753,12046945,15518960,5228802,7216580,8939127,6340461,7778541,14116969,17464040,12802458,36981533,42460267,25005917,15366000,17128000
34,Net Receivables,- -,- -,- -,3900007,5644708,7629468,10112672,7430126,7203203,7669625,5958086,7059635,5408281,5689615,11034557,14297725,13857985,17959563,21528977,31997000,20913000
35,Inventory,- -,- -,- -,98447,448475,843294,1675239,2828991,2890364,3106600,3330773,3336916,3346177,3364233,8863167,8370235,6951110,6873742,10294431,23597000,22493000
36,Other Current Assets,- -,- -,- -,123206,227409,503703,333105,342598,1290496,710558,1107155,703402,779182,715302,1388439,1627175,1220650,935185,1286968,4509000,21911000
37,Total Current Assets,- -,- -,- -,4731296,18835431,26843218,24167961,26120675,16612865,18703363,19335141,17440414,17312181,23886119,38750203,37097593,59011278,68228757,58116293,75469000,82445000
38,PP&E,- -,- -,- -,2045648,2972287,5730094,5859515,5363957,4129015,3204670,2816674,2426638,2060709,3497057,6614238,6780838,3453741,3627886,3465612,14833000,8063000
39,Goodwill,- -,- -,- -,- -,- -,418073,- -,418075,- -,- -,- -,- -,- -,- -,2274112,2348331,502000,101008,10541676,18121000,18984000
40,Intangible Assets,- -,- -,- -,390212,999544,1613416,1911132,1395568,580785,664418,539563,437839,288475,199277,10404312,8681263,3237593,3302270,10194477,20109000,17177000
41,Intangible Assets,- -,- -,- -,390212,999544,2031489,1911132,1813643,580785,664418,539563,437839,288475,199277,12678424,11029594,3739593,3403278,20736153,38230000,36161000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,472855,600000,600000,600000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1415563,1960000,3321000
44,Other Non-Current Assets,- -,- -,- -,107459,726568,12413,10270,118292,435259,303210,228043,152877,42710,1995,88948,88948,18024,338815,2790439,510000,247000
45,Total Non-Current Assets,- -,- -,- -,3016174,5298399,8373996,8380917,7895892,5145059,4172298,3584280,3017354,2391894,3698329,19381610,17899380,7211358,7369979,28407767,55533000,47792000
46,Other Assets,1967000,6807000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1967000,6807000,- -,7747470,24133830,35217214,32548878,34016567,21757924,22875661,22919421,20457768,19704075,27584448,58131813,54996973,66222636,75598736,86524060,131002000,130237000
48,Accounts Payable,- -,- -,- -,519284,3647505,2757381,3024973,2667192,1142267,2008183,1656602,1797571,1401764,1447177,4054425,4466192,2962863,2395984,2786825,4393000,2809000
49,Short-Term Debt,- -,- -,- -,1596177,98820,300333,23885,1445968,7510,3697978,1675949,1554091,1566617,695725,1864792,1885461,1876998,659901,1333617,6438000,6268000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166550,133847,- -,403548,236636,715916,281000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,874676,- -,- -,- -,- -,- -,- -,- -,861081,1109759,949603,1026339,2486111,3887685,7095000,- -
52,Other Current Liabilities,3610000,9802000,- -,2358366,3246555,3627277,7004198,7015590,4406355,4942206,5074796,3579997,4238009,5536322,8304686,8667100,8959935,6597458,9035928,12159000,23610000
53,Total Current Liabilities,3610000,9802000,- -,4473827,6992880,7559667,10053056,11128750,5556132,10648367,8407347,6931659,7206390,8540305,15333662,15968356,14826135,12139454,17044055,30085000,32687000
54,Long-Term Debt,- -,- -,- -,- -,5214955,5000000,5000000,8571428,- -,2611609,3625000,2125000,625000,- -,4291667,2420032,603007,- -,- -,15817000,15182000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,-422000,93000,- -,1106390,1072118,582291,359089,- -,19062000,- -,183008,128917,110307,39582,1599466,1518897,1255713,1104952,2011487,10658000,445000
58,Total Non-Current Liabilities,-422000,93000,- -,1106390,6287073,5582291,5359089,8571428,19062000,2611609,3808008,2253917,735307,39582,5891133,3938929,1858720,1104952,2011487,26475000,15627000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,206390,117134,27873,4671,17396,7510,2194,233957,183008,176924,110307,66696,167068,114940,109564,1333617,12715000,- -
61,Total Liabilities,3188000,9895000,- -,5580217,13279953,13141958,15412145,19700178,24618132,13259976,12215355,9185576,7941697,8579887,21224795,19907285,16684855,13244406,19055542,56560000,48314000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322,1322,1322,1322,1322,1322,1322,1322,1322,- -,- -,- -
63,Common Stock,- -,- -,- -,2911,5700,9912,10704,11138,11352,13526,13969,14245,14842,15541,28178,28600,29186,30120,31849,33000,34000
64,Retained Earnings,- -,- -,- -,1907185,-86872,-9520418,-17370034,-23655677,-44100258,-47080919,-48600741,-50104880,-51010357,-45127747,-44399455,-46874205,-32406189,-21305222,-16248127,-12957000,-11575000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1352852,-2704419,-3420633,-4573200,-5873025,-7097996,-8114337,-9104184,-9869950,-10071210,-10370253,-11528045,-13028826,-12577892,-12496308,-13319327,-248000,-33000
66,Other Total Stockholders Equity,- -,- -,- -,1610009,13639468,35006395,39069263,43833953,48326694,64796093,68393700,71231455,72827781,74485698,92805018,94962797,94491354,96124418,97004123,87614000,93497000
67,Total Stockholders Equity,-1221000,-3088000,- -,2167253,10853877,22075256,17136733,14316389,-2860208,9615685,10704066,11272192,11762378,19004561,36907018,35089688,49537781,62354330,67468518,74442000,81923000
68,Total Liabilities And Stockholders Equity,1967000,6807000,- -,7747470,24133830,35217214,32548878,34016567,21757924,22875661,22919421,20457768,19704075,27584448,58131813,54996973,66222636,75598736,86524060,131002000,130237000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1967000,6807000,- -,7747470,24133830,35217214,32548878,34016567,21757924,22875661,22919421,20457768,19704075,27584448,58131813,54996973,66222636,75598736,86524060,131002000,130237000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1239819/000119312507070633/0001193125-07-070633-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312508060148/0001193125-08-060148-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312509054032/0001193125-09-054032-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312510068762/0001193125-10-068762-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312511084936/0001193125-11-084936-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312512139796/0001193125-12-139796-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312513134461/0001193125-13-134461-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981914000013/0001239819-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981915000023/0001239819-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981916000112/0001239819-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981917000022/0001239819-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981918000008/0001239819-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981919000029/0001239819-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981920000032/0001239819-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981921000027/0001239819-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981922000034/0001239819-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1234000,- -,- -,4056182,-1994057,-9437731,-7849616,-6285643,-20444581,-2620030,-1392360,-1384385,-803150,5994807,2317026,-2369492,14614905,11004241,5342545,3291000,1382000
74,Depreciation and Amortization,- -,- -,- -,381052,540145,1141115,1780877,1933566,1853188,1331809,1462511,1092027,935477,607693,2457032,3713879,2526609,1218559,2503291,2970000,4628000
75,Deferred Income Tax,- -,- -,- -,957898,-157251,- -,- -,- -,600000,- -,- -,- -,-1507791,-1148941,-510772,- -,- -,- -,-3349032,1436000,-1501000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2867487,3216780,3472330,2163290,1862533,1181379,1019445,1124379,860215,715094,627856,1544156,2134000,2955000
77,Change in Working Capital,-1762000,- -,- -,11585082,7441000,-5168646,877020,-3935192,-3001737,2872798,-419039,-402964,5240023,8070727,-2287304,23055906,11904160,-15017065,4311762,3573000,801000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,2384576,-6332,-466422,1711539,-1101549,1533827,-281334,-2040323,-3568761,1152055,-6240377,-2248925,-3292000,-280000
79,Inventory,- -,- -,- -,- -,- -,- -,-831945,-1566809,-61373,-261972,-224173,-10482,-9261,-220419,-252934,492932,-1902311,-967797,-722690,-1550000,939000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-724050,- -,311627,- -,- -,- -,- -,592000,1143000,-3213000
81,Other Working Capital,257469,- -,- -,11842551,19283551,14114905,14991925,11056733,8054996,10927794,10508755,10105791,15345814,23416541,21129237,44185143,56089303,41072238,45384000,48957000,49758000
82,Other Non-Cash Items,2996000,- -,- -,-15498057,-5917426,4349729,975549,4661443,13140860,-5144189,1175987,-1583979,-6833230,-17258450,-8188268,-25660345,-28845726,-1142416,-5554521,-10548000,-3782000
83,Cash Provided by Operating Activities,- -,- -,- -,1482157,-87589,-9115533,-4216170,-758339,-4635490,-87282,2990389,-416768,-1787292,-2714719,-5087907,-399837,915042,-3308825,4798201,2856000,4483000
84,CAPEX,- -,- -,- -,-1568503,-1307991,-3393294,-1789940,-927461,-695986,-450682,-675517,-595927,-440407,-507325,-1077398,-2000184,-1848128,-761656,-810741,-1060000,-1412000
85,Acquisitions Net,- -,- -,- -,- -,33676,- -,- -,- -,- -,- -,- -,- -,5110855,- -,374517,- -,28026528,-5001750,-19004250,-34102000,- -
86,Purchases of Investments,- -,- -,- -,-378000,-122642,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-536251,-642875,-365533,-347813,-224537,-5364306,-252083,-367050,-490200,-28519125,-373766,-270106,624000,-356000
89,Cash Used for Investing Activites,- -,- -,- -,-1946503,-1396957,-3393294,-1789940,-927461,-695986,-450682,-675517,-595927,-440407,-507325,-702881,-2000184,-1845128,-5762406,-19814991,-34159000,-1768000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-11160,-5009886,-839435,-6909776,-1675949,-1557033,-1566617,-6789539,-1928508,-1885461,-1879986,-665047,-53000,-4144000
91,Common Stock Issued,- -,- -,- -,3300,9996926,17963444,485950,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32221,-152713,-333053,-1131759,-466894,-2220467,-452000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,428505,3392823,-102703,-299648,5168975,51204,3365177,6317451,89978,111957,232042,7082516,- -,99853,1097316,447954,22154000,2880000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,431805,13389749,17860741,186302,5157815,-4958682,2525742,-592325,-1585971,-1445076,-1366796,140264,-2261561,-2917367,-1249564,-2437560,21649000,-1264000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,311000
97,Net Change In Cash,- -,- -,- -,-32541,11905203,5351914,-5819808,3472015,-10290158,1987778,1722547,-2598666,1438080,6338428,3347071,-4661582,24179075,5478734,-17454350,-9640000,1762000
98,Cash at the End of Period,- -,- -,- -,609636,12514839,17866753,12046945,15518960,5228802,7216580,8939127,6340461,7778541,14116969,17464040,12802458,36981533,42460267,25005917,15366000,17128000
99,Cash at the Beginning of Period,- -,- -,- -,642177,609636,12514839,17866753,12046945,15518960,5228802,7216580,8939127,6340461,7778541,14116969,17464040,12802458,36981533,42460267,25006000,15366000
100,Free Cash Flow,- -,- -,- -,-86346,-1395580,-12508827,-6006110,-1685800,-5331476,-537964,2314872,-1012695,-2227699,-3222044,-6165305,-2400021,-933086,-4070481,3987460,1796000,3071000
101,SEC Link,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1239819/000119312507070633/0001193125-07-070633-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312508060148/0001193125-08-060148-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312509054032/0001193125-09-054032-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312510068762/0001193125-10-068762-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312511084936/0001193125-11-084936-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312512139796/0001193125-12-139796-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000119312513134461/0001193125-13-134461-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981914000013/0001239819-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981915000023/0001239819-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981916000112/0001239819-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981917000022/0001239819-17-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981918000008/0001239819-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981919000029/0001239819-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981920000032/0001239819-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981921000027/0001239819-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1239819/000123981922000034/0001239819-22-000034-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
