,https://roic.ai/company/ABBV,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,6647809000,6020000000,4940721000,6979000000,6528000000,3584000000,8200000000,10120000000,10378000000,8310000000,12227000000,12317000000,23926000000
16,EBITDA ratio,0.4677,0.3850,0.2832,0.3797,0.3474,0.1796,0.3587,0.3947,0.3678,0.2537,0.3676,0.2689,0.4258
17,Operating Income,4931794000,4717000000,3620732000,5817000000,5664000000,3411000000,7537000000,9384000000,9592000000,6383000000,12983000000,11363000000,17924000000
18,Operating Income ratio,0.3470,0.3016,0.2076,0.3165,0.3014,0.1709,0.3297,0.3660,0.3399,0.1949,0.3903,0.2481,0.3189
19,Total Other Income Expenses (Gains),1018523000,119000000,47795000,-92000000,-332000000,-1042000000,-892000000,-1500000000,-1865000000,-1186000000,-4557000000,-7965000000,-4935000000
20,Income Before Tax,5950317000,4836000000,3668527000,5725000000,5332000000,2369000000,6645000000,7884000000,7727000000,5197000000,8426000000,3398000000,12989000000
21,Income Before Tax Ratio,0.4186,0.3092,0.2103,0.3115,0.2838,0.1187,0.2907,0.3075,0.2739,0.1587,0.2533,0.0742,0.2311
22,Income Tax expense (Gain),1313802000,658000000,235399000,450000000,1204000000,595000000,1501000000,1931000000,2418000000,-490000000,544000000,-1224000000,1440000000
23,Net Income,4636515000,4178000000,3433128000,5275000000,4128000000,1774000000,5144000000,5953000000,5309000000,5687000000,7882000000,4616000000,11542000000
24,Net Income ratio,0.3262,0.2672,0.1968,0.2870,0.2197,0.0889,0.2250,0.2322,0.1882,0.1736,0.2369,0.1008,0.2054
25,EPS,2.93,2.64,2.17,3.35,2.60,1.11,3.20,3.74,3.33,3.85,5.33,2.62,6.54
26,EPS Diluted,2.93,2.64,2.17,3.35,2.56,1.10,3.13,3.63,3.30,3.66,5.28,2.62,6.54
27,Weighted Average Shares Outstanding,1580000000,1580000000,1580000000,1577000000,1587360562,1591389331,1609892935,1592512724,1592131025,1478824398,1478911462,1765132819,1765132819
28,Weighted Average Shares Outstanding Diluted,1580000000,1580000000,1580000000,1577000000,1604000000,1610000000,1637000000,1631000000,1603000000,1546000000,1484000000,1765132819,1765132819
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551152/000104746913002827/0001047469-13-002827-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000104746914001154/a2217723z10-k.htm,https://www.sec.gov/Archives/edgar/data/1551152/000104746915000995/a2223058z10-k.htm,https://www.sec.gov/Archives/edgar/data/1551152/000104746916010239/0001047469-16-010239-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000004/0001551152-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115218000014/0001551152-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115219000008/0001551152-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/0001551152-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/0001551152-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9644000,27482000,5901000000,9595000000,8348000000,8399000000,5100000000,9303000000,7289000000,39924000000,8449000000,9746000000
32,Short-Term Investments,- -,1131000,626099000,2075000000,300000000,26000000,8000000,1323000000,486000000,772000000,- -,30000000,84000000
33,Cash and Short-Term Investments,- -,10775000,653581000,7976000000,9895000000,8374000000,8407000000,6423000000,9789000000,8061000000,39924000000,8479000000,9830000000
34,Net Receivables,- -,3373104000,3817486000,4298000000,4803000000,4291000000,4730000000,4758000000,5088000000,5384000000,5428000000,8822000000,9977000000
35,Inventory,- -,836270000,871582000,1091000000,1150000000,1124000000,1719000000,1444000000,1605000000,1605000000,1813000000,3310000000,3128000000
36,Other Current Assets,- -,3998344000,2011506000,1989000000,2000000000,2299000000,1458000000,3562000000,4741000000,1895000000,2354000000,3562000000,4993000000
37,Total Current Assets,- -,8218493000,7354155000,15354000000,17848000000,16088000000,16314000000,16187000000,21223000000,16945000000,49519000000,24173000000,27928000000
38,PP&E,- -,2357563000,2144200000,2247000000,2298000000,2485000000,2565000000,2604000000,2803000000,2883000000,2962000000,5248000000,5110000000
39,Goodwill,- -,6197182000,6099652000,6130000000,6277000000,5862000000,13168000000,15416000000,15785000000,15663000000,15604000000,33124000000,32379000000
40,Intangible Assets,- -,3691178000,2910167000,2323000000,1890000000,1513000000,19709000000,28897000000,27559000000,21233000000,18649000000,82876000000,75951000000
41,Intangible Assets,- -,9888360000,9009819000,8453000000,8167000000,7375000000,32877000000,44313000000,43344000000,36896000000,34253000000,116000000000,108330000000
42,Investments,- -,137360000,229342000,119000000,118000000,92000000,145000000,1783000000,2090000000,1420000000,93000000,293000000,277000000
43,Tax Assets,- -,532929000,919650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,835000000,767000000,1507000000,1149000000,1212000000,1326000000,1208000000,2288000000,4851000000,4884000000
45,Total Non-Current Assets,- -,12916212000,12303011000,11654000000,11350000000,11459000000,36736000000,49912000000,49563000000,42407000000,39596000000,126392000000,118601000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,21134705000,19657166000,27008000000,29198000000,27547000000,53050000000,66099000000,70786000000,59352000000,89115000000,150565000000,146529000000
48,Accounts Payable,- -,356784000,417030000,556000000,933000000,881000000,1597000000,1407000000,1474000000,1546000000,1452000000,2276000000,2882000000
49,Short-Term Debt,- -,- -,- -,1042000000,431000000,4446000000,2431000000,402000000,6415000000,5308000000,3753000000,8502000000,12495000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3404464000,5479648000,5178000000,5515000000,6073000000,6866000000,7972000000,8752000000,10385000000,10380000000,17883000000,19817000000
53,Total Current Liabilities,- -,3761248000,5896678000,6776000000,6879000000,11400000000,10894000000,9781000000,16641000000,17239000000,15585000000,28661000000,35194000000
54,Long-Term Debt,- -,- -,- -,14630000000,14292000000,10565000000,29240000000,36440000000,30953000000,35002000000,62975000000,77554000000,64189000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,360000000,570000000,630000000,5276000000,6890000000,2490000000,1067000000,1130000000,3646000000,3009000000
57,Other Non-Current Liabilities,- -,1670458000,1536775000,1879000000,2965000000,3210000000,3695000000,8352000000,15605000000,14490000000,17597000000,27607000000,28701000000
58,Total Non-Current Liabilities,- -,1670458000,1536775000,16869000000,17827000000,14405000000,38211000000,51682000000,49048000000,50559000000,81702000000,108807000000,95899000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,5431706000,7433453000,23645000000,24706000000,25805000000,49105000000,61463000000,65689000000,67798000000,97287000000,137468000000,131093000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,3713000000,16000000,16000000,17000000,18000000,18000000,18000000,18000000,18000000,18000000
64,Retained Earnings,- -,- -,- -,- -,1567000000,535000000,2248000000,4378000000,5459000000,3368000000,4717000000,1055000000,3127000000
65,Other Comprehensive Income/Loss,- -,288289000,-25166000,-350000000,-442000000,-2031000000,-2561000000,-2586000000,-2727000000,-2480000000,-3596000000,-3117000000,-2899000000
66,Other Total Stockholders Equity,- -,15414999000,12248713000,- -,3351000000,3222000000,4241000000,2826000000,2347000000,-9352000000,-9311000000,15120000000,- -
67,Total Stockholders Equity,- -,15702999000,12223713000,3363000000,4492000000,1742000000,3945000000,4636000000,5097000000,-8446000000,-8172000000,13076000000,15408000000
68,Total Liabilities And Stockholders Equity,- -,21134705000,19657166000,27008000000,29198000000,27547000000,53050000000,66099000000,70786000000,59352000000,89115000000,150544000000,146501000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,28000000
70,Total Liabilities & Equity,- -,21134705000,19657166000,27008000000,29198000000,27547000000,53050000000,66099000000,70786000000,59352000000,89115000000,150565000000,146529000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1551152/000104746913002827/0001047469-13-002827-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000104746914001154/a2217723z10-k.htm,https://www.sec.gov/Archives/edgar/data/1551152/000104746915000995/a2223058z10-k.htm,https://www.sec.gov/Archives/edgar/data/1551152/000104746916010239/0001047469-16-010239-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000004/0001551152-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115218000014/0001551152-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115219000008/0001551152-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/0001551152-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/0001551152-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,4636515000,4178000000,3433128000,5275000000,4128000000,1774000000,5144000000,5953000000,5309000000,5687000000,7882000000,4616000000,11542000000
74,Depreciation and Amortization,697492000,1184000000,1272194000,1150000000,897000000,786000000,836000000,1189000000,1501000000,1765000000,2017000000,6471000000,8521000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1242000000,424000000,- -,-2325000000,-898000000
76,Stock Based Compensation,156718000,167000000,162976000,187000000,212000000,241000000,282000000,353000000,365000000,421000000,430000000,753000000,692000000
77,Change in Working Capital,503741000,4457245000,-2999768000,7120523000,2391000000,-6281000000,732000000,986000000,-1824000000,-4876000000,34228000000,-38422000000,-1322000000
78,Accounts Receivable,-322193000,-60000000,-497739000,223000000,- -,- -,- -,-71000000,-391000000,-591000000,-74000000,-929000000,-1321000000
79,Inventory,165347000,-73000000,-87602000,-203000000,-56000000,-203000000,-434000000,-38000000,93000000,-226000000,-231000000,-40000000,-142000000
80,Accounts Payable,210324000,-695000000,1497147000,-731000000,-426000000,-193000000,1503000000,-1187000000,425000000,190000000,-1121000000,1514000000,1628000000
81,Other Working Capital,- -,4457245000,1457477000,8578000000,10969000000,4688000000,5420000000,6406000000,4582000000,-294000000,33934000000,-4488000000,-1290000000
82,Other Non-Cash Items,-627130000,-5010245000,4378430000,-7387523000,-1361000000,7029000000,541000000,-1440000000,3367000000,10006000000,-31233000000,46495000000,4242000000
83,Cash Provided by Operating Activities,5367336000,4976000000,6246960000,6345000000,6267000000,3549000000,7535000000,7041000000,9960000000,13427000000,13324000000,17588000000,22777000000
84,CAPEX,-312565000,-448000000,-355515000,-333000000,-491000000,-612000000,-532000000,-479000000,-529000000,-638000000,-552000000,-798000000,-787000000
85,Acquisitions Net,-170000000,-2621000000,-272500000,-688000000,-405000000,-622000000,-12452000000,-2757000000,-308000000,-736000000,-1135000000,-39610000000,-1902000000
86,Purchases of Investments,-4213000,-93000000,-1943258000,-2550000000,-930000000,-1169000000,-851000000,-5315000000,-2230000000,-1792000000,-583000000,-61000000,-119000000
87,Sales/Maturities of Investments,6000,1000000,1254931000,1153000000,2705000000,1477000000,880000000,2359000000,2793000000,2160000000,2699000000,1525000000,98000000
88,Other Investing Activites,417000,-1870000000,1870241000,- -,- -,- -,19000000,118000000,- -,- -,167000000,1387000000,366000000
89,Cash Used for Investing Activites,-486355000,-5031000000,553899000,-2418000000,879000000,-926000000,-12936000000,-6074000000,-274000000,-1006000000,596000000,-37557000000,-2344000000
90,Debt Repayment,-34766000,- -,-21086000,- -,- -,- -,-4018000000,-6010000000,-25000000,-6035000000,-5235000000,-5683000000,-9414000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-320000000,-652000000,-7567000000,-6033000000,-1410000000,-12014000000,-629000000,-978000000,-934000000
93,Dividends Paid,- -,- -,- -,- -,-2555000000,-2661000000,-3294000000,-3717000000,-4107000000,-5580000000,-6366000000,-7716000000,-9261000000
94,Other Financing Activites,-4846385000,65000000,-6761935000,1931000000,-567000000,20000000,20631000000,11832000000,30000000,9233000000,30938000000,2876000000,570000000
95,Cash Used/Provided by Financing Activities,-4881151000,65000000,-6783021000,1931000000,-3442000000,-3293000000,5752000000,-3928000000,-5512000000,-14396000000,18708000000,-11501000000,-19039000000
96,Effect of Forex Changes on Cash,- -,- -,- -,16000000,-10000000,-577000000,-300000000,-338000000,29000000,-39000000,7000000,-5000000,-97000000
97,Net Change In Cash,-170000,65000000,17838000,5874000000,3694000000,-1247000000,51000000,-3299000000,4203000000,-2014000000,32635000000,-31475000000,1297000000
98,Cash at the End of Period,37000,10000000,27482000,5901000000,9595000000,8348000000,8399000000,5100000000,9303000000,7289000000,39924000000,8449000000,9746000000
99,Cash at the Beginning of Period,207000,- -,9644000,27000000,5901000000,9595000000,8348000000,8399000000,5100000000,9303000000,7289000000,39924000000,8449000000
100,Free Cash Flow,5054771000,4528000000,5891445000,6012000000,5776000000,2937000000,7003000000,6562000000,9431000000,12789000000,12772000000,16790000000,21990000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551152/000104746913002827/0001047469-13-002827-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000104746914001154/a2217723z10-k.htm,https://www.sec.gov/Archives/edgar/data/1551152/000104746915000995/a2223058z10-k.htm,https://www.sec.gov/Archives/edgar/data/1551152/000104746916010239/0001047469-16-010239-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115217000004/0001551152-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115218000014/0001551152-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115219000008/0001551152-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/0001551152-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000008/0001551152-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000007/0001551152-22-000007-index.htm
102,false,,,,,,,,,,,,,
